SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
-20,0.0963636363636363,0.0921212121212121,0.0919696969696969,0.093030303030303,0.0921212121212121,0.0916666666666666,0.0901515151515151,0.0903030303030303,0.0901515151515151,0.0903030303030303,0.0916666666666666,0.0907575757575757,0.0901515151515151,0.0915151515151515,0.0906060606060606,0.0903030303030303,0.0921212121212121,0.0895454545454545,0.0907575757575757,0.0925757575757575,0.0936363636363636,0.0921212121212121,0.0918181818181818,0.0922727272727272,0.0912121212121212,0.0919696969696969,0.0924242424242424,0.0922727272727272,0.0936363636363636,0.0945454545454545,0.0939393939393939,0.0933333333333333,0.0937878787878787,0.0943939393939393,0.0937878787878787,0.0951515151515151,0.0948484848484848,0.093030303030303,0.0942424242424242,0.0942424242424242,0.0946969696969697,0.0939393939393939,0.094090909090909,0.0936363636363636,0.0937878787878787,0.0933333333333333,0.0936363636363636,0.0934848484848484,0.09333333333333334
-18,0.0971212121212121,0.0942424242424242,0.094090909090909,0.0957575757575757,0.0942424242424242,0.095,0.0948484848484848,0.0962121212121212,0.095,0.0946969696969697,0.0971212121212121,0.0983333333333333,0.0978787878787878,0.0953030303030303,0.0954545454545454,0.0972727272727272,0.0975757575757575,0.0996969696969697,0.0977272727272727,0.0974242424242424,0.0975757575757575,0.0953030303030303,0.0965151515151515,0.0971212121212121,0.0975757575757575,0.0993939393939394,0.0975757575757575,0.0983333333333333,0.0989393939393939,0.1004545454545454,0.1001515151515151,0.1007575757575757,0.0995454545454545,0.1003030303030303,0.1,0.1015151515151515,0.1027272727272727,0.1024242424242424,0.1024242424242424,0.1025757575757575,0.1019696969696969,0.1013636363636363,0.1027272727272727,0.1025757575757575,0.1034848484848484,0.1031818181818181,0.1034848484848484,0.1028787878787878,0.10424242424242425
-16,0.0919696969696969,0.0934848484848484,0.0927272727272727,0.0954545454545454,0.0966666666666666,0.0936363636363636,0.0966666666666666,0.0954545454545454,0.0954545454545454,0.0954545454545454,0.0942424242424242,0.0957575757575757,0.0983333333333333,0.0984848484848484,0.0965151515151515,0.099090909090909,0.0968181818181818,0.0975757575757575,0.0986363636363636,0.0972727272727272,0.0996969696969697,0.0992424242424242,0.095,0.0977272727272727,0.0986363636363636,0.1012121212121212,0.1013636363636363,0.0972727272727272,0.0995454545454545,0.1027272727272727,0.1012121212121212,0.0996969696969697,0.1009090909090909,0.1031818181818181,0.1016666666666666,0.1021212121212121,0.1003030303030303,0.0995454545454545,0.1018181818181818,0.1024242424242424,0.1027272727272727,0.103030303030303,0.1028787878787878,0.105,0.1039393939393939,0.1034848484848484,0.1042424242424242,0.1024242424242424,0.10287878787878788
-14,0.0863636363636363,0.1103030303030303,0.1092424242424242,0.1128787878787878,0.1116666666666666,0.1089393939393939,0.1074242424242424,0.1145454545454545,0.1131818181818181,0.109090909090909,0.1122727272727272,0.1159090909090909,0.1206060606060606,0.1190909090909091,0.1203030303030303,0.1192424242424242,0.1224242424242424,0.1228787878787878,0.1254545454545454,0.1231818181818181,0.121060606060606,0.125,0.1246969696969697,0.1221212121212121,0.1262121212121212,0.1303030303030303,0.1274242424242424,0.1259090909090909,0.1243939393939393,0.1286363636363636,0.1307575757575757,0.1315151515151515,0.1312121212121212,0.1303030303030303,0.1304545454545454,0.1336363636363636,0.1333333333333333,0.1321212121212121,0.1339393939393939,0.1334848484848484,0.1339393939393939,0.1354545454545454,0.1328787878787878,0.1334848484848484,0.1337878787878788,0.135,0.1375757575757575,0.1353030303030303,0.13424242424242425
-12,0.0993939393939394,0.1289393939393939,0.1262121212121212,0.1368181818181818,0.1419696969696969,0.1418181818181818,0.1433333333333333,0.1453030303030303,0.1415151515151515,0.1446969696969696,0.1477272727272727,0.1498484848484848,0.1548484848484848,0.1563636363636363,0.1595454545454545,0.1601515151515151,0.1574242424242424,0.1542424242424242,0.1574242424242424,0.1621212121212121,0.1627272727272727,0.1634848484848484,0.1631818181818181,0.1592424242424242,0.1624242424242424,0.1684848484848485,0.1666666666666666,0.1662121212121212,0.165,0.1675757575757575,0.1693939393939394,0.1718181818181818,0.1687878787878788,0.1695454545454545,0.1698484848484848,0.1728787878787878,0.1737878787878788,0.1713636363636363,0.1718181818181818,0.1721212121212121,0.1715151515151515,0.1722727272727272,0.1719696969696969,0.1746969696969696,0.1751515151515151,0.1739393939393939,0.176060606060606,0.1742424242424242,0.17484848484848484
-10,0.0928787878787878,0.1543939393939394,0.1756060606060606,0.1831818181818182,0.1925757575757575,0.1903030303030303,0.1909090909090909,0.1977272727272727,0.1934848484848484,0.2043939393939394,0.2148484848484848,0.2254545454545454,0.2224242424242424,0.2268181818181818,0.2356060606060606,0.2257575757575757,0.2284848484848484,0.2318181818181818,0.2343939393939394,0.2366666666666666,0.2321212121212121,0.2312121212121212,0.2428787878787879,0.2365151515151515,0.2374242424242424,0.2403030303030303,0.2443939393939393,0.2472727272727272,0.2436363636363636,0.2465151515151515,0.2503030303030303,0.2515151515151515,0.2528787878787878,0.2540909090909091,0.2601515151515151,0.2574242424242424,0.2577272727272727,0.258030303030303,0.2607575757575757,0.2615151515151515,0.2581818181818182,0.2619696969696969,0.2627272727272727,0.2625757575757576,0.2633333333333333,0.2646969696969697,0.2642424242424242,0.2633333333333333,0.2628787878787879
-8,0.0977272727272727,0.2018181818181818,0.2254545454545454,0.2387878787878788,0.2409090909090909,0.2515151515151515,0.2493939393939394,0.2554545454545454,0.2481818181818181,0.2757575757575757,0.3059090909090909,0.3193939393939394,0.3171212121212121,0.3242424242424242,0.3192424242424242,0.3222727272727272,0.3207575757575757,0.3254545454545454,0.3351515151515151,0.3246969696969697,0.3203030303030303,0.3316666666666666,0.3290909090909091,0.3439393939393939,0.3381818181818182,0.3443939393939394,0.3554545454545454,0.35,0.3531818181818182,0.3572727272727273,0.3636363636363636,0.3653030303030303,0.3662121212121212,0.3653030303030303,0.3704545454545455,0.3746969696969697,0.3753030303030303,0.378030303030303,0.3812121212121212,0.3819696969696969,0.3837878787878788,0.3827272727272727,0.3869696969696969,0.3825757575757575,0.3853030303030303,0.3853030303030303,0.386060606060606,0.3893939393939394,0.3887878787878788
-6,0.1043939393939394,0.2287878787878788,0.2725757575757576,0.2828787878787879,0.3095454545454545,0.3146969696969697,0.3251515151515151,0.3296969696969697,0.3321212121212121,0.3739393939393939,0.4201515151515151,0.4386363636363636,0.4451515151515151,0.4466666666666666,0.4486363636363636,0.4554545454545454,0.4604545454545454,0.4540909090909091,0.4616666666666666,0.4677272727272727,0.4683333333333333,0.4675757575757576,0.47,0.4792424242424242,0.4692424242424242,0.4881818181818181,0.4909090909090909,0.4972727272727272,0.4957575757575757,0.4995454545454545,0.5083333333333333,0.5098484848484849,0.5160606060606061,0.5104545454545455,0.5215151515151515,0.5263636363636364,0.5224242424242425,0.5275757575757576,0.5318181818181819,0.5325757575757576,0.5327272727272727,0.5362121212121213,0.5362121212121213,0.5381818181818182,0.5365151515151515,0.5365151515151515,0.5337878787878788,0.5416666666666666,0.5381818181818182
-4,0.12,0.2731818181818182,0.3296969696969697,0.3515151515151515,0.408030303030303,0.421969696969697,0.4318181818181818,0.4289393939393939,0.4433333333333333,0.4821212121212121,0.5330303030303031,0.546969696969697,0.5662121212121212,0.578030303030303,0.5706060606060606,0.5801515151515152,0.5848484848484848,0.5863636363636363,0.588939393939394,0.5975757575757575,0.5954545454545455,0.5946969696969697,0.6022727272727273,0.6068181818181818,0.6077272727272728,0.6321212121212121,0.6312121212121212,0.6377272727272727,0.6365151515151515,0.6430303030303031,0.651060606060606,0.6590909090909091,0.6543939393939394,0.6545454545454545,0.6671212121212121,0.6706060606060606,0.668939393939394,0.6733333333333333,0.6793939393939394,0.6816666666666666,0.6834848484848485,0.6790909090909091,0.6822727272727273,0.6857575757575758,0.6846969696969697,0.6833333333333333,0.6834848484848485,0.6863636363636364,0.6871212121212121
-2,0.1163636363636363,0.2992424242424242,0.3956060606060606,0.4287878787878788,0.4984848484848485,0.5183333333333333,0.524090909090909,0.5381818181818182,0.5427272727272727,0.5803030303030303,0.6254545454545455,0.6559090909090909,0.6677272727272727,0.6806060606060607,0.6854545454545454,0.6925757575757576,0.6956060606060606,0.6995454545454546,0.6998484848484848,0.7068181818181818,0.7096969696969697,0.7165151515151515,0.7136363636363636,0.7183333333333334,0.7192424242424242,0.7366666666666667,0.7407575757575757,0.745,0.7418181818181818,0.7468181818181818,0.7592424242424243,0.7609090909090909,0.7672727272727272,0.7646969696969697,0.7674242424242425,0.7756060606060606,0.775,0.7793939393939394,0.7804545454545454,0.7821212121212121,0.786060606060606,0.7868181818181819,0.7887878787878788,0.7904545454545454,0.786969696969697,0.7875757575757576,0.7921212121212121,0.7936363636363636,0.7930303030303031
