SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
-20,0.0942424242424242,0.0934848484848484,0.0928787878787878,0.0942424242424242,0.0936363636363636,0.0969696969696969,0.0965151515151515,0.0962121212121212,0.0945454545454545,0.0942424242424242,0.0948484848484848,0.0916666666666666,0.0953030303030303,0.096060606060606,0.0956060606060606,0.0942424242424242,0.095,0.0969696969696969,0.0972727272727272,0.0956060606060606,0.0966666666666666,0.0975757575757575,0.098030303030303,0.0981818181818181,0.099090909090909,0.0974242424242424,0.0989393939393939,0.1018181818181818,0.1036363636363636,0.1066666666666666,0.1059090909090909,0.1081818181818181,0.1092424242424242,0.1145454545454545,0.1113636363636363,0.1127272727272727,0.1201515151515151,0.1216666666666666,0.1212121212121212,0.1245454545454545,0.1292424242424242,0.13166666666666665
-18,0.0943939393939393,0.0984848484848484,0.0966666666666666,0.095,0.095,0.0977272727272727,0.0959090909090909,0.0995454545454545,0.0948484848484848,0.0965151515151515,0.0951515151515151,0.0968181818181818,0.0983333333333333,0.099090909090909,0.0983333333333333,0.0984848484848484,0.0969696969696969,0.098030303030303,0.0998484848484848,0.099090909090909,0.1009090909090909,0.1033333333333333,0.1006060606060606,0.1025757575757575,0.1013636363636363,0.1025757575757575,0.1042424242424242,0.1057575757575757,0.1072727272727272,0.1098484848484848,0.1103030303030303,0.1109090909090909,0.1168181818181818,0.1146969696969697,0.1193939393939394,0.1195454545454545,0.1284848484848484,0.1263636363636363,0.126060606060606,0.1316666666666666,0.1407575757575757,0.13954545454545456
-16,0.0981818181818181,0.0978787878787878,0.096060606060606,0.0993939393939394,0.0983333333333333,0.1,0.0977272727272727,0.0995454545454545,0.0983333333333333,0.1003030303030303,0.101060606060606,0.1042424242424242,0.1001515151515151,0.1025757575757575,0.1018181818181818,0.1025757575757575,0.1040909090909091,0.1081818181818181,0.1057575757575757,0.1087878787878788,0.1068181818181818,0.1104545454545454,0.1089393939393939,0.1083333333333333,0.1083333333333333,0.1106060606060606,0.1151515151515151,0.1151515151515151,0.1181818181818181,0.1204545454545454,0.1215151515151515,0.123030303030303,0.1266666666666666,0.1286363636363636,0.1325757575757575,0.1298484848484848,0.1401515151515151,0.1434848484848485,0.1462121212121212,0.1465151515151515,0.1559090909090909,0.15848484848484848
-14,0.1104545454545454,0.1151515151515151,0.1266666666666666,0.1263636363636363,0.121060606060606,0.1307575757575757,0.13,0.1301515151515151,0.1319696969696969,0.1292424242424242,0.1321212121212121,0.1353030303030303,0.1312121212121212,0.1316666666666666,0.1362121212121212,0.1334848484848484,0.136060606060606,0.1406060606060606,0.1368181818181818,0.1418181818181818,0.1406060606060606,0.1439393939393939,0.1454545454545454,0.1457575757575757,0.1427272727272727,0.1478787878787879,0.1443939393939394,0.1551515151515151,0.1522727272727272,0.1607575757575757,0.1618181818181818,0.1643939393939394,0.1657575757575757,0.168030303030303,0.1683333333333333,0.1759090909090909,0.1816666666666666,0.1827272727272727,0.1884848484848484,0.1936363636363636,0.1968181818181818,0.20272727272727273
-12,0.1489393939393939,0.1703030303030303,0.1737878787878788,0.1812121212121212,0.1721212121212121,0.1833333333333333,0.1812121212121212,0.1828787878787879,0.1787878787878788,0.1821212121212121,0.1866666666666666,0.1798484848484848,0.1878787878787878,0.1784848484848485,0.1803030303030303,0.1789393939393939,0.1781818181818182,0.1819696969696969,0.1772727272727272,0.1809090909090909,0.1825757575757575,0.184090909090909,0.181060606060606,0.1821212121212121,0.1913636363636363,0.1887878787878787,0.1896969696969697,0.1969696969696969,0.209090909090909,0.2084848484848485,0.2095454545454545,0.2206060606060606,0.2127272727272727,0.2171212121212121,0.2203030303030303,0.2237878787878787,0.2395454545454545,0.2381818181818182,0.2407575757575757,0.2466666666666666,0.2531818181818182,0.26212121212121214
-10,0.2266666666666666,0.2601515151515151,0.2590909090909091,0.2659090909090909,0.2642424242424242,0.2592424242424242,0.2689393939393939,0.2754545454545454,0.271060606060606,0.2790909090909091,0.2816666666666667,0.2809090909090909,0.2833333333333333,0.2868181818181818,0.2883333333333333,0.2886363636363636,0.2892424242424242,0.2865151515151515,0.2871212121212121,0.2846969696969696,0.2886363636363636,0.286969696969697,0.2886363636363636,0.2901515151515151,0.2883333333333333,0.2898484848484848,0.3013636363636364,0.2942424242424242,0.311060606060606,0.3113636363636363,0.3192424242424242,0.3219696969696969,0.3218181818181818,0.3336363636363636,0.335,0.3372727272727273,0.3516666666666667,0.3556060606060606,0.36,0.3627272727272727,0.3728787878787878,0.3843939393939394
-8,0.3098484848484849,0.3583333333333333,0.3695454545454545,0.3728787878787878,0.3803030303030303,0.3845454545454545,0.3822727272727272,0.4054545454545454,0.3974242424242424,0.4072727272727273,0.406060606060606,0.4166666666666667,0.4186363636363636,0.423030303030303,0.4187878787878787,0.4218181818181818,0.4204545454545454,0.4290909090909091,0.4290909090909091,0.4368181818181818,0.4306060606060606,0.4368181818181818,0.4353030303030303,0.4525757575757576,0.4389393939393939,0.4368181818181818,0.4601515151515151,0.4589393939393939,0.466060606060606,0.4706060606060606,0.4733333333333333,0.4816666666666667,0.4796969696969697,0.4896969696969697,0.4940909090909091,0.5048484848484849,0.514090909090909,0.5237878787878788,0.5254545454545455,0.5263636363636364,0.5333333333333333,0.535
-6,0.4319696969696969,0.4906060606060606,0.5089393939393939,0.5193939393939394,0.536969696969697,0.5459090909090909,0.5496969696969697,0.5604545454545454,0.5509090909090909,0.5603030303030303,0.561969696969697,0.5727272727272728,0.566060606060606,0.5698484848484848,0.5766666666666667,0.576969696969697,0.5859090909090909,0.5863636363636363,0.5962121212121212,0.5924242424242424,0.6045454545454545,0.6101515151515151,0.6153030303030304,0.618030303030303,0.6221212121212121,0.6262121212121212,0.6413636363636364,0.6375757575757576,0.6563636363636364,0.6577272727272727,0.6662121212121213,0.6662121212121213,0.6765151515151515,0.6759090909090909,0.6759090909090909,0.6824242424242424,0.701060606060606,0.7093939393939394,0.7127272727272728,0.7136363636363636,0.7206060606060606,0.725909090909091
-4,0.5289393939393939,0.6034848484848485,0.621969696969697,0.6292424242424243,0.6457575757575758,0.656969696969697,0.6639393939393939,0.6656060606060606,0.6809090909090909,0.6743939393939394,0.6824242424242424,0.6884848484848485,0.695,0.698030303030303,0.7012121212121212,0.7048484848484848,0.7125757575757575,0.7157575757575757,0.7283333333333334,0.7365151515151516,0.7377272727272727,0.7434848484848485,0.7437878787878788,0.7481818181818182,0.7493939393939394,0.7536363636363637,0.7509090909090909,0.7653030303030303,0.7781818181818182,0.791969696969697,0.7921212121212121,0.7898484848484848,0.796969696969697,0.7998484848484848,0.7998484848484848,0.8051515151515152,0.8172727272727273,0.8165151515151515,0.8203030303030303,0.821060606060606,0.831060606060606,0.8368181818181818
-2,0.5928787878787879,0.6793939393939394,0.7063636363636364,0.7174242424242424,0.7307575757575757,0.7413636363636363,0.7484848484848485,0.7581818181818182,0.7633333333333333,0.7671212121212121,0.7733333333333333,0.7771212121212121,0.7816666666666666,0.7789393939393939,0.7853030303030303,0.7968181818181819,0.8063636363636364,0.8087878787878788,0.8195454545454546,0.826060606060606,0.826969696969697,0.833030303030303,0.8398484848484848,0.8404545454545455,0.8466666666666667,0.8472727272727273,0.8545454545454545,0.8554545454545455,0.8625757575757576,0.8681818181818182,0.8703030303030304,0.868030303030303,0.8722727272727273,0.8722727272727273,0.8739393939393939,0.8783333333333333,0.8856060606060606,0.8872727272727273,0.8913636363636364,0.8862121212121212,0.8931818181818182,0.8921212121212121
