SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
-20,0.0962121212121212,0.0934848484848484,0.0951515151515151,0.0931818181818181,0.0931818181818181,0.0924242424242424,0.0931818181818181,0.0945454545454545,0.0931818181818181,0.0927272727272727,0.0915151515151515,0.0951515151515151,0.094090909090909,0.0945454545454545,0.0937878787878787,0.0931818181818181,0.0945454545454545,0.0939393939393939,0.0975757575757575,0.093030303030303,0.0956060606060606,0.0956060606060606,0.0939393939393939,0.0945454545454545,0.0945454545454545,0.0948484848484848,0.0963636363636363,0.0953030303030303,0.0939393939393939,0.0934848484848484,0.0951515151515151,0.0953030303030303,0.094090909090909,0.0966666666666666,0.0936363636363636,0.0953030303030303,0.0963636363636363,0.0968181818181818,0.0966666666666666,0.0942424242424242,0.0937878787878787,0.0962121212121212,0.0953030303030303,0.0975757575757575,0.0965151515151515,0.0963636363636363,0.0959090909090909,0.0957575757575757,0.0978787878787878,0.0968181818181818,0.0972727272727272,0.0981818181818181,0.0993939393939394,0.0983333333333333,0.0986363636363636,0.1,0.0983333333333333,0.0978787878787878,0.101060606060606,0.09818181818181818
-18,0.0948484848484848,0.0954545454545454,0.0943939393939393,0.0978787878787878,0.0957575757575757,0.0953030303030303,0.096060606060606,0.0986363636363636,0.0966666666666666,0.0956060606060606,0.0983333333333333,0.0971212121212121,0.0962121212121212,0.0946969696969697,0.096060606060606,0.096060606060606,0.0962121212121212,0.096060606060606,0.0984848484848484,0.0954545454545454,0.0959090909090909,0.0974242424242424,0.0972727272727272,0.0974242424242424,0.0939393939393939,0.0954545454545454,0.0975757575757575,0.0963636363636363,0.0969696969696969,0.0965151515151515,0.0972727272727272,0.0974242424242424,0.0969696969696969,0.0968181818181818,0.0983333333333333,0.0984848484848484,0.0984848484848484,0.0984848484848484,0.0984848484848484,0.0975757575757575,0.0993939393939394,0.0984848484848484,0.1003030303030303,0.1003030303030303,0.1009090909090909,0.1006060606060606,0.1004545454545454,0.1007575757575757,0.1015151515151515,0.101060606060606,0.1027272727272727,0.1018181818181818,0.0998484848484848,0.1015151515151515,0.1003030303030303,0.0993939393939394,0.1024242424242424,0.1013636363636363,0.1021212121212121,0.10363636363636364
-16,0.0975757575757575,0.0945454545454545,0.0978787878787878,0.0962121212121212,0.0989393939393939,0.0966666666666666,0.1025757575757575,0.0989393939393939,0.0989393939393939,0.103030303030303,0.1021212121212121,0.1016666666666666,0.0993939393939394,0.1015151515151515,0.1022727272727272,0.1054545454545454,0.1043939393939394,0.1013636363636363,0.1016666666666666,0.1048484848484848,0.1003030303030303,0.1040909090909091,0.1036363636363636,0.101060606060606,0.1025757575757575,0.1012121212121212,0.1027272727272727,0.1048484848484848,0.1022727272727272,0.1034848484848484,0.1007575757575757,0.1046969696969696,0.0995454545454545,0.1057575757575757,0.1043939393939394,0.1036363636363636,0.1042424242424242,0.1016666666666666,0.105,0.1043939393939394,0.1040909090909091,0.103030303030303,0.1051515151515151,0.106060606060606,0.1059090909090909,0.1028787878787878,0.1078787878787878,0.1065151515151515,0.1057575757575757,0.1078787878787878,0.1068181818181818,0.1095454545454545,0.1059090909090909,0.1087878787878788,0.1048484848484848,0.1086363636363636,0.1096969696969697,0.1096969696969697,0.1098484848484848,0.10803030303030303
-14,0.1074242424242424,0.1171212121212121,0.121060606060606,0.1256060606060606,0.1251515151515151,0.1266666666666666,0.1281818181818181,0.1283333333333333,0.1277272727272727,0.1224242424242424,0.1306060606060606,0.1318181818181818,0.1272727272727272,0.1277272727272727,0.1254545454545454,0.1315151515151515,0.1354545454545454,0.1301515151515151,0.1296969696969697,0.1277272727272727,0.1289393939393939,0.1316666666666666,0.1365151515151515,0.1301515151515151,0.1319696969696969,0.136060606060606,0.1342424242424242,0.1369696969696969,0.1369696969696969,0.1346969696969697,0.1336363636363636,0.1404545454545454,0.136060606060606,0.133030303030303,0.1407575757575757,0.1348484848484848,0.1375757575757575,0.1404545454545454,0.1413636363636363,0.135,0.1371212121212121,0.1416666666666666,0.1434848484848485,0.136060606060606,0.1456060606060606,0.1442424242424242,0.1418181818181818,0.14,0.1427272727272727,0.1433333333333333,0.1453030303030303,0.1462121212121212,0.1439393939393939,0.1504545454545454,0.1396969696969697,0.1456060606060606,0.1487878787878787,0.1475757575757575,0.1440909090909091,0.1453030303030303
-12,0.1368181818181818,0.1613636363636363,0.1704545454545454,0.1734848484848485,0.1713636363636363,0.1748484848484848,0.168030303030303,0.1651515151515151,0.1607575757575757,0.1612121212121212,0.1622727272727272,0.1637878787878788,0.1648484848484848,0.1677272727272727,0.1625757575757575,0.1639393939393939,0.1695454545454545,0.1707575757575757,0.1690909090909091,0.1727272727272727,0.1675757575757575,0.1686363636363636,0.171060606060606,0.1709090909090909,0.1701515151515151,0.1675757575757575,0.1748484848484848,0.171060606060606,0.1719696969696969,0.1819696969696969,0.1756060606060606,0.1824242424242424,0.1845454545454545,0.1798484848484848,0.186060606060606,0.1756060606060606,0.1795454545454545,0.1804545454545454,0.1792424242424242,0.1825757575757575,0.1859090909090909,0.1807575757575757,0.1848484848484848,0.1859090909090909,0.1886363636363636,0.1872727272727272,0.1824242424242424,0.1842424242424242,0.1934848484848484,0.1889393939393939,0.1883333333333333,0.1933333333333333,0.1903030303030303,0.1927272727272727,0.1883333333333333,0.1948484848484848,0.1918181818181818,0.1969696969696969,0.1925757575757575,0.19303030303030302
-10,0.1971212121212121,0.2371212121212121,0.2546969696969697,0.256060606060606,0.2627272727272727,0.2522727272727272,0.2524242424242424,0.2506060606060606,0.2453030303030303,0.2498484848484848,0.2498484848484848,0.2503030303030303,0.2443939393939393,0.2498484848484848,0.2498484848484848,0.2509090909090909,0.2498484848484848,0.2477272727272727,0.2496969696969697,0.2522727272727272,0.2466666666666666,0.2477272727272727,0.2462121212121212,0.2484848484848484,0.2459090909090909,0.2446969696969697,0.2501515151515151,0.2453030303030303,0.2392424242424242,0.2551515151515151,0.2513636363636363,0.255,0.2563636363636363,0.2574242424242424,0.2603030303030303,0.2657575757575757,0.2634848484848485,0.2589393939393939,0.2628787878787879,0.2687878787878788,0.2636363636363636,0.2666666666666666,0.2665151515151515,0.2671212121212121,0.2675757575757576,0.2740909090909091,0.2704545454545454,0.2757575757575757,0.276060606060606,0.285,0.273030303030303,0.2821212121212121,0.2809090909090909,0.2792424242424242,0.2875757575757576,0.2875757575757576,0.2881818181818182,0.2874242424242424,0.2903030303030303,0.2878787878787879
-8,0.2740909090909091,0.341060606060606,0.3422727272727273,0.3622727272727272,0.3618181818181818,0.3612121212121212,0.3672727272727272,0.3646969696969697,0.3801515151515151,0.3748484848484849,0.3854545454545454,0.3819696969696969,0.3774242424242424,0.3854545454545454,0.3887878787878788,0.3907575757575757,0.3881818181818182,0.3825757575757575,0.4006060606060606,0.3934848484848485,0.4046969696969697,0.3877272727272727,0.39,0.4025757575757576,0.3939393939393939,0.4013636363636363,0.3940909090909091,0.396060606060606,0.401969696969697,0.4004545454545454,0.4051515151515151,0.4056060606060606,0.3993939393939394,0.4142424242424242,0.4007575757575757,0.4059090909090909,0.41,0.4145454545454545,0.4137878787878788,0.4093939393939394,0.4090909090909091,0.414090909090909,0.4274242424242424,0.4175757575757576,0.4184848484848484,0.4204545454545454,0.4272727272727272,0.4316666666666666,0.4296969696969697,0.4313636363636363,0.4343939393939394,0.4337878787878788,0.4333333333333333,0.4383333333333333,0.4466666666666666,0.4377272727272727,0.4377272727272727,0.4415151515151515,0.4453030303030303,0.4415151515151515
-6,0.3766666666666666,0.4643939393939394,0.4836363636363636,0.4862121212121212,0.5018181818181818,0.5124242424242424,0.5196969696969697,0.5077272727272727,0.5296969696969697,0.5227272727272727,0.5201515151515151,0.5268181818181819,0.5221212121212121,0.5363636363636364,0.5446969696969697,0.5416666666666666,0.5465151515151515,0.5590909090909091,0.56,0.5557575757575758,0.5584848484848485,0.5674242424242424,0.5581818181818182,0.5596969696969697,0.5654545454545454,0.5678787878787879,0.5662121212121212,0.5640909090909091,0.571969696969697,0.5909090909090909,0.5851515151515152,0.5874242424242424,0.5831818181818181,0.5910606060606061,0.5907575757575757,0.5978787878787879,0.5957575757575757,0.5936363636363636,0.5959090909090909,0.5962121212121212,0.5956060606060606,0.5978787878787879,0.6095454545454545,0.6110606060606061,0.6089393939393939,0.6163636363636363,0.6140909090909091,0.6122727272727273,0.6209090909090909,0.6186363636363637,0.6168181818181818,0.6236363636363637,0.6284848484848485,0.6278787878787879,0.6315151515151515,0.6281818181818182,0.6383333333333333,0.6227272727272727,0.6366666666666667,0.6377272727272727
-4,0.4833333333333333,0.576060606060606,0.5925757575757575,0.6004545454545455,0.6184848484848485,0.6336363636363637,0.6484848484848484,0.65,0.6637878787878788,0.6607575757575758,0.668939393939394,0.6630303030303031,0.6545454545454545,0.6725757575757576,0.6668181818181819,0.6846969696969697,0.6754545454545454,0.6853030303030303,0.6878787878787879,0.6863636363636364,0.6871212121212121,0.6948484848484848,0.6922727272727273,0.6945454545454546,0.7062121212121212,0.7066666666666667,0.7103030303030303,0.708939393939394,0.7136363636363636,0.7303030303030303,0.7253030303030303,0.7322727272727273,0.7337878787878788,0.7298484848484849,0.7271212121212122,0.7396969696969697,0.7462121212121212,0.7384848484848485,0.7421212121212121,0.7407575757575757,0.7436363636363637,0.7495454545454545,0.755,0.7571212121212121,0.7601515151515151,0.7575757575757576,0.7596969696969696,0.7625757575757576,0.7733333333333333,0.7736363636363637,0.771969696969697,0.7775757575757576,0.776969696969697,0.7693939393939394,0.7821212121212121,0.7834848484848485,0.7833333333333333,0.7871212121212121,0.7886363636363637,0.7890909090909091
-2,0.5425757575757576,0.6475757575757576,0.6886363636363636,0.7025757575757576,0.7275757575757575,0.7413636363636363,0.7559090909090909,0.7671212121212121,0.769090909090909,0.7789393939393939,0.781969696969697,0.7901515151515152,0.7654545454545455,0.7957575757575758,0.7953030303030303,0.7948484848484848,0.7951515151515152,0.7930303030303031,0.8125757575757576,0.8066666666666666,0.8065151515151515,0.8086363636363636,0.8096969696969697,0.816060606060606,0.8151515151515152,0.8168181818181818,0.825,0.8184848484848485,0.8259090909090909,0.8359090909090909,0.8345454545454546,0.8393939393939394,0.8395454545454546,0.8410606060606061,0.8419696969696969,0.8436363636363636,0.8440909090909091,0.845,0.8460606060606061,0.848939393939394,0.8437878787878788,0.850909090909091,0.8590909090909091,0.8607575757575757,0.8633333333333333,0.8657575757575757,0.8681818181818182,0.8701515151515151,0.8740909090909091,0.8727272727272727,0.875,0.8734848484848485,0.8725757575757576,0.8759090909090909,0.8803030303030303,0.8828787878787879,0.8833333333333333,0.881969696969697,0.8851515151515151,0.8859090909090909
