SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
-20,0.0868181818181818,0.0872727272727272,0.0922727272727272,0.0957575757575757,0.0906060606060606,0.0918181818181818,0.0924242424242424,0.0921212121212121,0.0921212121212121,0.0924242424242424,0.0889393939393939,0.0916666666666666,0.0924242424242424,0.0909090909090909,0.0895454545454545,0.0913636363636363,0.09,0.0886363636363636,0.0896969696969696,0.0887878787878787,0.0912121212121212,0.0884848484848484,0.0890909090909091,0.0919696969696969,0.0922727272727272,0.0913636363636363,0.0921212121212121,0.0919696969696969,0.0901515151515151,0.0916666666666666,0.0909090909090909,0.0918181818181818,0.0916666666666666,0.093030303030303,0.0933333333333333,0.0919696969696969,0.0939393939393939,0.0933333333333333,0.0921212121212121,0.096060606060606,0.0924242424242424,0.095,0.0933333333333333,0.0934848484848484,0.0936363636363636,0.0937878787878787,0.0959090909090909,0.094090909090909,0.0931818181818181,0.095,0.0927272727272727,0.0943939393939393,0.0922727272727272,0.0942424242424242,0.0937878787878787,0.0959090909090909,0.096060606060606,0.095,0.0939393939393939,0.09484848484848485
-18,0.0937878787878787,0.0934848484848484,0.1009090909090909,0.0948484848484848,0.0913636363636363,0.091060606060606,0.0948484848484848,0.0945454545454545,0.0962121212121212,0.0962121212121212,0.0957575757575757,0.0962121212121212,0.0953030303030303,0.0968181818181818,0.0945454545454545,0.0957575757575757,0.0959090909090909,0.0966666666666666,0.0948484848484848,0.0954545454545454,0.0945454545454545,0.0951515151515151,0.0945454545454545,0.0942424242424242,0.095,0.0953030303030303,0.0966666666666666,0.0954545454545454,0.0933333333333333,0.0962121212121212,0.0939393939393939,0.0946969696969697,0.0954545454545454,0.095,0.0956060606060606,0.0954545454545454,0.0975757575757575,0.0965151515151515,0.0969696969696969,0.0962121212121212,0.0971212121212121,0.0945454545454545,0.0962121212121212,0.0959090909090909,0.0956060606060606,0.095,0.0966666666666666,0.0978787878787878,0.0956060606060606,0.0977272727272727,0.0975757575757575,0.0969696969696969,0.0978787878787878,0.0977272727272727,0.0972727272727272,0.0969696969696969,0.0971212121212121,0.0965151515151515,0.098030303030303,0.09787878787878788
-16,0.0856060606060606,0.098030303030303,0.0957575757575757,0.0984848484848484,0.094090909090909,0.0969696969696969,0.096060606060606,0.0927272727272727,0.0951515151515151,0.0962121212121212,0.0968181818181818,0.0957575757575757,0.0951515151515151,0.0954545454545454,0.0927272727272727,0.0924242424242424,0.0956060606060606,0.0946969696969697,0.0946969696969697,0.0948484848484848,0.094090909090909,0.0962121212121212,0.0943939393939393,0.0946969696969697,0.0954545454545454,0.0962121212121212,0.0956060606060606,0.0954545454545454,0.0943939393939393,0.0948484848484848,0.0957575757575757,0.0977272727272727,0.096060606060606,0.0975757575757575,0.0974242424242424,0.0983333333333333,0.098030303030303,0.0986363636363636,0.0978787878787878,0.1024242424242424,0.0984848484848484,0.1013636363636363,0.0992424242424242,0.1001515151515151,0.1001515151515151,0.1,0.1007575757575757,0.1018181818181818,0.1003030303030303,0.099090909090909,0.0996969696969697,0.1012121212121212,0.1012121212121212,0.1007575757575757,0.1015151515151515,0.1015151515151515,0.0993939393939394,0.1006060606060606,0.1012121212121212,0.1006060606060606
-14,0.0907575757575757,0.0939393939393939,0.1169696969696969,0.1148484848484848,0.1039393939393939,0.1063636363636363,0.1028787878787878,0.1048484848484848,0.1045454545454545,0.106060606060606,0.1118181818181818,0.1103030303030303,0.1136363636363636,0.1118181818181818,0.11,0.1103030303030303,0.1119696969696969,0.1153030303030303,0.1098484848484848,0.1118181818181818,0.1136363636363636,0.1156060606060606,0.1118181818181818,0.1146969696969697,0.1166666666666666,0.1165151515151515,0.1154545454545454,0.111060606060606,0.1136363636363636,0.1143939393939394,0.1151515151515151,0.1192424242424242,0.1184848484848484,0.1171212121212121,0.1166666666666666,0.1186363636363636,0.12,0.1192424242424242,0.1196969696969696,0.1231818181818181,0.1186363636363636,0.1198484848484848,0.1237878787878788,0.1254545454545454,0.123030303030303,0.1231818181818181,0.1221212121212121,0.1237878787878788,0.1218181818181818,0.1259090909090909,0.124090909090909,0.1245454545454545,0.125,0.1234848484848484,0.1233333333333333,0.1263636363636363,0.1242424242424242,0.1256060606060606,0.1243939393939393,0.12515151515151515
-12,0.0937878787878787,0.1134848484848484,0.1321212121212121,0.1381818181818181,0.1162121212121212,0.1146969696969697,0.1142424242424242,0.1098484848484848,0.1169696969696969,0.1315151515151515,0.1421212121212121,0.1434848484848485,0.1419696969696969,0.1412121212121212,0.1413636363636363,0.1428787878787878,0.1436363636363636,0.1433333333333333,0.1415151515151515,0.1425757575757575,0.1446969696969696,0.1481818181818182,0.1553030303030303,0.1590909090909091,0.1542424242424242,0.158030303030303,0.1616666666666666,0.1515151515151515,0.1581818181818181,0.1593939393939394,0.1598484848484848,0.1648484848484848,0.1621212121212121,0.1640909090909091,0.1619696969696969,0.166060606060606,0.1657575757575757,0.1657575757575757,0.1687878787878788,0.1689393939393939,0.1707575757575757,0.1671212121212121,0.1669696969696969,0.1728787878787878,0.1678787878787878,0.1701515151515151,0.1734848484848485,0.1689393939393939,0.1763636363636363,0.1713636363636363,0.1722727272727272,0.1725757575757575,0.1704545454545454,0.1695454545454545,0.17,0.1746969696969696,0.1742424242424242,0.1721212121212121,0.1692424242424242,0.1737878787878788
-10,0.098030303030303,0.1319696969696969,0.1674242424242424,0.1766666666666666,0.1566666666666666,0.1598484848484848,0.1533333333333333,0.1519696969696969,0.1589393939393939,0.1768181818181818,0.1925757575757575,0.2033333333333333,0.205,0.205,0.2066666666666666,0.2053030303030303,0.2081818181818182,0.2045454545454545,0.2101515151515151,0.214090909090909,0.2283333333333333,0.2378787878787878,0.2462121212121212,0.2503030303030303,0.2607575757575757,0.2578787878787879,0.2592424242424242,0.2477272727272727,0.2565151515151515,0.2616666666666666,0.2533333333333333,0.2595454545454545,0.256060606060606,0.2554545454545454,0.2609090909090909,0.2615151515151515,0.2569696969696969,0.2559090909090909,0.2562121212121212,0.2571212121212121,0.2557575757575757,0.2590909090909091,0.2578787878787879,0.2596969696969697,0.2565151515151515,0.2577272727272727,0.2595454545454545,0.2596969696969697,0.2601515151515151,0.2603030303030303,0.2566666666666666,0.2554545454545454,0.2566666666666666,0.2637878787878788,0.2572727272727272,0.2634848484848485,0.2618181818181818,0.2592424242424242,0.266060606060606,0.2631818181818182
-8,0.1053030303030303,0.1484848484848485,0.2077272727272727,0.2143939393939394,0.2037878787878788,0.1998484848484848,0.1992424242424242,0.205,0.2112121212121212,0.2239393939393939,0.2377272727272727,0.2433333333333333,0.2571212121212121,0.2571212121212121,0.2683333333333333,0.2631818181818182,0.2627272727272727,0.2695454545454545,0.2703030303030303,0.2809090909090909,0.3057575757575758,0.3319696969696969,0.3439393939393939,0.3478787878787879,0.3524242424242424,0.36,0.3553030303030303,0.3521212121212121,0.3596969696969697,0.37,0.3610606060606061,0.3640909090909091,0.3668181818181818,0.3636363636363636,0.3637878787878787,0.3624242424242424,0.3546969696969697,0.3521212121212121,0.3624242424242424,0.3598484848484848,0.3615151515151515,0.3609090909090909,0.3601515151515151,0.3583333333333333,0.3643939393939394,0.3624242424242424,0.3709090909090909,0.3584848484848484,0.3640909090909091,0.3696969696969697,0.368030303030303,0.3651515151515151,0.3660606060606061,0.37,0.3671212121212121,0.3713636363636363,0.3769696969696969,0.3716666666666666,0.3781818181818182,0.3756060606060606
-6,0.1093939393939393,0.1846969696969697,0.2378787878787878,0.2545454545454545,0.2596969696969697,0.2627272727272727,0.2713636363636363,0.2740909090909091,0.2771212121212121,0.289090909090909,0.293030303030303,0.2948484848484848,0.2996969696969697,0.3083333333333333,0.3131818181818182,0.3242424242424242,0.3239393939393939,0.3357575757575757,0.3459090909090909,0.3563636363636364,0.3907575757575757,0.418030303030303,0.4286363636363636,0.4374242424242424,0.4463636363636363,0.4545454545454545,0.4663636363636363,0.4584848484848485,0.4768181818181818,0.4724242424242424,0.4863636363636364,0.4854545454545454,0.4863636363636364,0.4883333333333333,0.4868181818181818,0.4933333333333333,0.4943939393939394,0.4874242424242424,0.5003030303030302,0.4959090909090909,0.4984848484848485,0.4987878787878788,0.5083333333333333,0.4984848484848485,0.4978787878787878,0.5025757575757576,0.5013636363636363,0.5,0.5033333333333333,0.5075757575757576,0.5060606060606061,0.5021212121212121,0.5018181818181818,0.5112121212121212,0.5033333333333333,0.5180303030303031,0.5159090909090909,0.5163636363636364,0.5187878787878788,0.525
-4,0.1116666666666666,0.1837878787878787,0.266060606060606,0.2774242424242424,0.3025757575757575,0.3168181818181818,0.3453030303030303,0.3539393939393939,0.3671212121212121,0.3756060606060606,0.3737878787878788,0.3725757575757575,0.3896969696969697,0.4006060606060606,0.4084848484848485,0.4181818181818181,0.4186363636363636,0.4237878787878787,0.4393939393939394,0.4578787878787879,0.4853030303030303,0.509090909090909,0.5174242424242425,0.5262121212121212,0.5346969696969697,0.5425757575757576,0.5424242424242425,0.5495454545454546,0.5543939393939394,0.5627272727272727,0.5736363636363636,0.583939393939394,0.5990909090909091,0.5960606060606061,0.5966666666666667,0.6057575757575757,0.6096969696969697,0.6092424242424243,0.6086363636363636,0.615,0.6081818181818182,0.6157575757575757,0.6153030303030304,0.6201515151515151,0.6231818181818182,0.626969696969697,0.635,0.6260606060606061,0.6227272727272727,0.6343939393939394,0.6336363636363637,0.6253030303030302,0.6327272727272727,0.635,0.6328787878787879,0.644090909090909,0.6460606060606061,0.6456060606060606,0.6445454545454545,0.6466666666666666
-2,0.1157575757575757,0.1862121212121212,0.2584848484848485,0.2868181818181818,0.318030303030303,0.3453030303030303,0.396969696969697,0.415,0.4333333333333333,0.4475757575757575,0.445,0.4531818181818182,0.4698484848484848,0.481969696969697,0.4927272727272727,0.5057575757575757,0.5154545454545455,0.5218181818181818,0.5330303030303031,0.5513636363636364,0.5725757575757576,0.5978787878787879,0.6060606060606061,0.6036363636363636,0.6133333333333333,0.6212121212121212,0.6245454545454545,0.6278787878787879,0.6342424242424243,0.6395454545454545,0.6509090909090909,0.6571212121212121,0.6656060606060606,0.6666666666666666,0.6751515151515152,0.6790909090909091,0.6848484848484848,0.6862121212121212,0.69,0.6904545454545454,0.691969696969697,0.6974242424242424,0.7007575757575758,0.7043939393939394,0.7101515151515152,0.7077272727272728,0.7157575757575757,0.7136363636363636,0.7136363636363636,0.7178787878787879,0.7163636363636363,0.7168181818181818,0.725909090909091,0.733030303030303,0.7243939393939394,0.7337878787878788,0.733030303030303,0.7306060606060606,0.7368181818181818,0.7406060606060606
