SNR,MCLDNN,MCFormer,PET-CGDNN,AMC-Net,FEA-T,IQFormer,IQFormerLite
-20,0.0028276965481810364,0.0005926547641093116,0.001309532753717092,0.001176561736867718,0.0013095327537170681,0.0025226248955475847,0.004825466191669169
-18,0.0022863229709016923,0.001670106642806688,0.002935251689265963,0.003526757225685633,0.002783511071344524,0.0012281141896460376,0.002867601871924994
-16,0.0025511300364367815,0.0031062453751399856,0.004458254485541556,0.002794622936170804,0.0045613358924735175,0.005788989263611975,0.0035002951469415224
-14,0.007284082045094608,0.004073193966767245,0.0054772255750516734,0.009374001324218312,0.0065838520212727165,0.00611021364142054,0.003783937343321369
-12,0.01863747225083988,0.004504359687940907,0.012533426381461064,0.004481366379587728,0.00711040443573144,0.008481871772216917,0.009127200289462642
-10,0.043349673757434815,0.006737400239222149,0.023558876483334764,0.0023088045634909677,0.011818181818181823,0.012412503693207289,0.006204170817860363
-8,0.07168961449503183,0.015352604969152386,0.043091292671863894,0.010441691702968192,0.02368308319776093,0.012459023746958354,0.014213542605150585
-6,0.10159502737229248,0.011971902366833431,0.07806743747164006,0.01297406822399945,0.03600045913389499,0.008546179853165062,0.015445853170520859
-4,0.09845364307485398,0.007996641857163233,0.08077235637097022,0.01636805495898932,0.037487739042417555,0.012053599304703434,0.016966788170612777
-2,0.09987512864729663,0.007241409844010024,0.08321683316681819,0.011564586867739283,0.03595279273971806,0.00825347409947738,0.01087304651401198
0,0.0945538676326755,0.014202636235328211,0.06055749948438798,0.01038017022424473,0.037375689274718786,0.001657689320800887,0.004635472285084353
2,0.09132461853417853,0.022292199280473234,0.0377614850352329,0.004446653491416583,0.026646988262673785,0.002696799449852956,0.008866549637786927
4,0.07749740064955737,0.02113171991998901,0.031176980806861394,0.007445393495143223,0.023921790612654873,0.0016576893208009086,0.007796481511999019
6,0.09057210268688683,0.023058943515110546,0.030269792377525685,0.011121975863462287,0.019120647833002925,0.00422262696817953,0.005146610856261128
8,0.07833296699990537,0.018442450133920624,0.034967517394394375,0.005572586384100698,0.025305162312647202,0.002921139820556226,0.0073532474413611285
10,0.07857288557197989,0.013872947692756224,0.029153696447087547,0.009132857762447127,0.019723292434652234,0.003004817069279748,0.005081972676135856
12,0.08112178376769642,0.017239801153193554,0.02305356679884394,0.01052348809344563,0.01769344091011328,0.002838635453817441,0.003902213823879093
14,0.08207447233010068,0.021171768977884017,0.032095222476018495,0.011671289914335213,0.02149524260261917,0.0029034035313947504,0.0037839373433213503
16,0.08454606549143874,0.023582543620999912,0.02551656405792741,0.005406989660622873,0.02126038880715509,0.004027282987879397,0.004723774929733305
18,0.09283115838414462,0.016336467344235016,0.031961689360496225,0.0068408713378601965,0.017441164378447713,0.003734471982989832,0.004390542051288431
