SNR,MCLDNN,MCFormer,PET-CGDNN,AMC-Net,FEA-T,IQFormer,IQFormerLite
-20,0.10625,0.108,0.1053333333333333,0.10075,0.1045833333333333,0.11075,0.1065833333333333
-18,0.1095833333333333,0.1120833333333333,0.1124166666666666,0.1120833333333333,0.10925,0.1119166666666666,0.111
-16,0.1235,0.12425,0.1266666666666666,0.1156666666666666,0.1198333333333333,0.1265,0.1278333333333333
-14,0.141,0.156,0.1624166666666666,0.1439166666666666,0.15175,0.1603333333333333,0.16175
-12,0.21775,0.203,0.2130833333333333,0.2123333333333333,0.2109166666666666,0.2131666666666666,0.2184166666666666
-10,0.3141666666666666,0.29275,0.2958333333333333,0.3166666666666666,0.3155833333333333,0.3258333333333333,0.31325
-8,0.4285,0.413,0.4124166666666666,0.4414166666666667,0.421,0.4380833333333333,0.4294166666666666
-6,0.5780833333333333,0.5576666666666666,0.5301666666666667,0.5809166666666666,0.56975,0.60825,0.5961666666666666
-4,0.7261666666666666,0.6941666666666667,0.6764166666666667,0.75275,0.7270833333333333,0.7795,0.76825
-2,0.8511666666666666,0.81175,0.8165,0.87175,0.8535833333333334,0.88825,0.8743333333333333
0,0.9095,0.8841666666666667,0.8911666666666667,0.9150833333333334,0.9089166666666668,0.9251666666666668,0.91975
2,0.9243333333333332,0.9025833333333332,0.9169166666666668,0.9235833333333332,0.9264166666666668,0.9328333333333332,0.9319166666666666
4,0.9299166666666666,0.9123333333333332,0.9244166666666668,0.931,0.9318333333333332,0.9365833333333332,0.9361666666666668
6,0.9349166666666666,0.9173333333333332,0.929,0.936,0.9353333333333332,0.9405833333333332,0.9388333333333332
8,0.934,0.91275,0.9255,0.93225,0.9325,0.9378333333333332,0.937
10,0.93475,0.9131666666666668,0.9265833333333332,0.9320833333333334,0.9315833333333332,0.9373333333333334,0.9369166666666666
12,0.9330833333333334,0.911,0.9254166666666668,0.9305,0.9294166666666668,0.9374166666666668,0.93625
14,0.937,0.915,0.9289166666666666,0.93375,0.93575,0.939,0.9393333333333334
16,0.9334166666666668,0.9108333333333334,0.9255,0.9314166666666668,0.9265833333333332,0.9333333333333332,0.9435833333333332
18,0.94175,0.9184166666666668,0.9324166666666668,0.9360833333333334,0.9375,0.94425,0.9508333333333332
