SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
-20,0.10275,0.10375,0.107,0.1071944444444444,0.1065555555555555,0.1079722222222222,0.1054444444444444,0.1076111111111111,0.1055833333333333,0.1069722222222222,0.108,0.1071111111111111,0.1073055555555555,0.1066666666666666,0.1078333333333333,0.1085833333333333,0.1074166666666666,0.10975,0.1103888888888888,0.1113611111111111,0.1110277777777777,0.1126666666666666,0.1125277777777777,0.1129722222222222,0.1122222222222222,0.1161111111111111,0.1189444444444444,0.119,0.12225,0.1224166666666666,0.1233611111111111,0.1277222222222222,0.1282777777777777,0.1296388888888889,0.1279444444444444,0.13275
-18,0.1084166666666666,0.1066111111111111,0.10775,0.1105,0.1106666666666666,0.1109166666666666,0.1117777777777777,0.1121944444444444,0.1148055555555555,0.1105277777777777,0.1130555555555555,0.1131666666666666,0.1118888888888888,0.1123055555555555,0.1130277777777777,0.1145,0.1115833333333333,0.1135555555555555,0.1140833333333333,0.1144722222222222,0.1160555555555555,0.1176944444444444,0.1206111111111111,0.1176944444444444,0.1194722222222222,0.1268333333333333,0.12275,0.1254444444444444,0.1271944444444444,0.129,0.1301388888888889,0.1330277777777777,0.1327222222222222,0.1342777777777777,0.1354722222222222,0.1361111111111111
-16,0.1144444444444444,0.1179444444444444,0.1173611111111111,0.12,0.1226944444444444,0.1191388888888888,0.1183888888888888,0.1226944444444444,0.1228611111111111,0.1234444444444444,0.11925,0.1245277777777777,0.1246666666666666,0.1237222222222222,0.1235277777777777,0.1260277777777777,0.1258888888888888,0.1227222222222222,0.1265277777777777,0.1278333333333333,0.1266944444444444,0.1312222222222222,0.1289166666666666,0.1296944444444444,0.1341388888888889,0.1366666666666666,0.1354722222222222,0.1383888888888889,0.1393055555555555,0.1413333333333333,0.1421111111111111,0.1466666666666666,0.1470833333333333,0.1505,0.1501111111111111,0.15325
-14,0.1346111111111111,0.1411111111111111,0.1433611111111111,0.1460277777777777,0.1457222222222222,0.1499166666666666,0.1489722222222222,0.1500555555555555,0.1509722222222222,0.1526388888888888,0.1546111111111111,0.1548888888888888,0.1533888888888888,0.1546944444444444,0.1553888888888888,0.1591111111111111,0.1556111111111111,0.1589444444444444,0.1612222222222222,0.1615,0.1598611111111111,0.1595833333333333,0.1620277777777777,0.1636666666666666,0.1628055555555555,0.1744722222222222,0.1718333333333333,0.1753055555555555,0.1745555555555555,0.179,0.1813055555555555,0.1814444444444444,0.183,0.1851666666666666,0.1848055555555555,0.18955555555555556
-12,0.1853055555555555,0.1955833333333333,0.1934722222222222,0.1936666666666666,0.2013611111111111,0.2009166666666666,0.2008888888888889,0.2012222222222222,0.2040555555555555,0.2084722222222222,0.2051111111111111,0.2123055555555555,0.2108888888888888,0.2120555555555555,0.2158055555555555,0.2145,0.2155277777777778,0.2147777777777778,0.2156666666666666,0.219,0.2215277777777777,0.2208333333333333,0.2190277777777777,0.2211944444444444,0.2253611111111111,0.2312222222222222,0.2321111111111111,0.2356944444444444,0.2378333333333333,0.2418333333333333,0.2431666666666666,0.2467777777777778,0.2488888888888888,0.2496944444444444,0.2509722222222222,0.2528611111111111
-10,0.2723055555555556,0.2987777777777777,0.2960833333333333,0.2971944444444444,0.3002222222222222,0.3021388888888889,0.2991388888888889,0.2958333333333333,0.3022777777777777,0.3039444444444444,0.3071666666666666,0.3118888888888889,0.3102777777777777,0.3107777777777777,0.3131666666666666,0.3168611111111111,0.3217222222222222,0.3242777777777778,0.3228888888888889,0.3238333333333333,0.3266388888888888,0.3244722222222222,0.3264166666666667,0.3296944444444444,0.3300555555555555,0.3363333333333333,0.3403333333333333,0.3409444444444444,0.3455833333333333,0.3436666666666667,0.3431111111111111,0.3573611111111111,0.3554166666666666,0.3601666666666667,0.3595277777777778,0.36069444444444443
-8,0.3608611111111111,0.38975,0.3973055555555556,0.4040277777777777,0.4074444444444444,0.4092222222222222,0.4078055555555555,0.4190555555555555,0.4223333333333333,0.4235,0.4279444444444444,0.4291944444444444,0.4341944444444444,0.4341944444444444,0.4338888888888889,0.4361111111111111,0.4410833333333333,0.4420555555555555,0.4443333333333333,0.4472777777777778,0.4494166666666667,0.4486388888888888,0.4538888888888889,0.4554444444444444,0.4555,0.4638611111111111,0.4721388888888889,0.4725277777777777,0.4763888888888888,0.4712777777777778,0.4786666666666667,0.4860555555555556,0.4887222222222222,0.4896944444444444,0.4936111111111111,0.49594444444444447
-6,0.4473611111111111,0.4855833333333333,0.5010555555555556,0.5151111111111111,0.5245277777777778,0.53025,0.5436388888888889,0.5533055555555556,0.5630277777777778,0.5705833333333333,0.5728333333333333,0.5708055555555556,0.5775277777777778,0.5787777777777777,0.5818888888888889,0.5849444444444445,0.5895277777777778,0.5937777777777777,0.5968055555555556,0.6010277777777778,0.5971388888888889,0.6036111111111111,0.6063611111111111,0.6058888888888889,0.6091944444444445,0.62,0.6255277777777778,0.6263055555555556,0.632,0.6317777777777778,0.6325277777777778,0.6465555555555556,0.6486666666666666,0.6473333333333333,0.6491666666666667,0.6526666666666666
-4,0.5498888888888889,0.6068888888888889,0.62275,0.6408888888888888,0.6475277777777778,0.6615277777777778,0.6818888888888889,0.7025277777777778,0.7113888888888888,0.7188333333333333,0.7248611111111111,0.7286666666666667,0.7303888888888889,0.7335555555555555,0.742,0.7420833333333333,0.7470277777777777,0.7478055555555555,0.7518611111111111,0.75375,0.7590277777777777,0.76075,0.7631111111111111,0.7622777777777778,0.7697777777777778,0.7797777777777778,0.781,0.7846666666666666,0.7858611111111111,0.7870555555555555,0.7885,0.7953055555555556,0.8015,0.8002777777777778,0.8015833333333333,0.8080833333333334
-2,0.644,0.7223055555555555,0.7356944444444444,0.7461944444444445,0.75675,0.7683055555555556,0.7943611111111111,0.8218611111111112,0.8346666666666667,0.8430833333333333,0.8424444444444444,0.8489166666666667,0.8490555555555556,0.8546944444444444,0.8573333333333333,0.8576944444444444,0.8603055555555555,0.8636666666666667,0.8630833333333333,0.86375,0.8668888888888889,0.8703611111111111,0.8684722222222222,0.8706111111111111,0.8725555555555555,0.8806944444444444,0.8835555555555555,0.88525,0.8854722222222222,0.8868333333333334,0.8875555555555555,0.8903611111111112,0.893,0.8913333333333333,0.8933333333333333,0.8931944444444444
