SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
-20,0.10325,0.1025277777777777,0.1068333333333333,0.108,0.1050833333333333,0.1056388888888889,0.1076944444444444,0.1057777777777777,0.1058888888888889,0.1049444444444444,0.108,0.1061944444444444,0.1048888888888888,0.1079722222222222,0.1053055555555555,0.1056944444444444,0.1086944444444444,0.1089166666666666,0.1075555555555555,0.1093055555555555,0.1060277777777777,0.1072222222222222,0.1090833333333333,0.1076666666666666,0.1113888888888888,0.1104166666666666,0.1081944444444444,0.1098055555555555,0.1095555555555555,0.1099166666666666,0.1113333333333333,0.1107222222222222,0.1130833333333333,0.11180555555555556
-18,0.1035555555555555,0.1072777777777777,0.1090833333333333,0.1113888888888888,0.1121388888888888,0.1093888888888888,0.1106666666666666,0.1116944444444444,0.1108611111111111,0.1114166666666666,0.1119444444444444,0.1116388888888888,0.1120555555555555,0.1104722222222222,0.1129444444444444,0.1106111111111111,0.1105555555555555,0.1131666666666666,0.1109444444444444,0.1116666666666666,0.1139166666666666,0.1136111111111111,0.1133611111111111,0.113,0.1139444444444444,0.1148333333333333,0.1132777777777777,0.1160833333333333,0.117,0.1173055555555555,0.1177222222222222,0.1174722222222222,0.1185,0.11855555555555555
-16,0.1072222222222222,0.1218611111111111,0.1196666666666666,0.1215,0.1218611111111111,0.1210555555555555,0.1230277777777777,0.1236111111111111,0.12475,0.1246944444444444,0.1253888888888888,0.1265277777777777,0.1263055555555555,0.1267777777777777,0.1250555555555555,0.1251111111111111,0.1254722222222222,0.1254166666666666,0.1230555555555555,0.125,0.1279166666666666,0.1289444444444444,0.1284166666666666,0.1274444444444444,0.1282222222222222,0.1297777777777777,0.1282777777777777,0.1284444444444444,0.1293888888888889,0.1303055555555555,0.1311388888888889,0.1309444444444444,0.1343611111111111,0.13283333333333333
-14,0.1198333333333333,0.1413611111111111,0.1481666666666666,0.1499444444444444,0.1540833333333333,0.1539444444444444,0.1578055555555555,0.1576944444444444,0.1576666666666666,0.1608333333333333,0.1555555555555555,0.1582222222222222,0.1630555555555555,0.1579722222222222,0.1615555555555555,0.1606944444444444,0.1611388888888889,0.1620277777777777,0.1577777777777777,0.1589444444444444,0.1612222222222222,0.1636111111111111,0.1624166666666666,0.1615555555555555,0.1644722222222222,0.1622222222222222,0.1652222222222222,0.1633055555555555,0.1673333333333333,0.1646944444444444,0.1659444444444444,0.1656111111111111,0.1677222222222222,0.16491666666666666
-12,0.1503333333333333,0.1966111111111111,0.2023611111111111,0.2054444444444444,0.2061111111111111,0.2054166666666666,0.2096388888888889,0.2106111111111111,0.2093333333333333,0.2121111111111111,0.2136944444444444,0.2131388888888888,0.2168888888888888,0.2175833333333333,0.2179166666666666,0.2135,0.2176388888888888,0.2193888888888888,0.2178611111111111,0.2196666666666666,0.2208888888888888,0.2236666666666666,0.2255833333333333,0.2207777777777777,0.22475,0.2246666666666666,0.2250833333333333,0.2276944444444444,0.23025,0.2298333333333333,0.2291111111111111,0.2284722222222222,0.234,0.2328611111111111
-10,0.1841944444444444,0.2797222222222222,0.2932222222222222,0.2935,0.2900833333333333,0.2961944444444444,0.2983888888888888,0.2955833333333333,0.2995555555555556,0.3024444444444444,0.2988888888888888,0.3013333333333333,0.3021388888888889,0.3069166666666666,0.3061944444444444,0.3035277777777778,0.3053611111111111,0.3074722222222222,0.3066388888888889,0.3111666666666666,0.3108333333333333,0.3208333333333333,0.3213611111111111,0.3246388888888888,0.3268333333333333,0.3295,0.33,0.3314444444444444,0.3348611111111111,0.3401111111111111,0.3383888888888889,0.3413611111111111,0.3465,0.34758333333333336
-8,0.2197777777777777,0.3602777777777777,0.381,0.3886666666666666,0.3955277777777777,0.4041388888888889,0.4064444444444444,0.4104722222222222,0.4141944444444444,0.4153888888888888,0.4198333333333333,0.4206666666666667,0.4195833333333333,0.4253611111111111,0.4214166666666666,0.4300555555555556,0.4219722222222222,0.4273888888888889,0.4283611111111111,0.4321666666666666,0.4289722222222222,0.4359444444444444,0.4345277777777778,0.442,0.4432222222222222,0.4433888888888889,0.4451111111111111,0.4461666666666666,0.4507777777777778,0.4556111111111111,0.4590277777777777,0.4599722222222222,0.4645277777777777,0.4706666666666667
-6,0.2501111111111111,0.4464444444444444,0.4818055555555555,0.4958055555555555,0.5168888888888888,0.5215555555555556,0.5280555555555555,0.5345277777777778,0.5341388888888889,0.5375555555555556,0.5441666666666667,0.5498055555555555,0.5526944444444445,0.5576388888888889,0.5623055555555555,0.5667777777777778,0.5683333333333334,0.5682222222222222,0.5738888888888889,0.5708055555555556,0.5748611111111112,0.5911666666666666,0.5903055555555555,0.5874166666666667,0.5933888888888889,0.5941944444444445,0.5949444444444445,0.5966666666666667,0.6079444444444444,0.61225,0.6103055555555555,0.6164444444444445,0.6230833333333333,0.6249166666666667
-4,0.3095833333333333,0.56225,0.6107222222222223,0.6320555555555556,0.6511111111111111,0.6616666666666666,0.6688055555555555,0.6754166666666667,0.6776944444444445,0.6817777777777778,0.6898055555555556,0.6962777777777778,0.6994166666666667,0.7039444444444445,0.7095,0.7146111111111111,0.7181111111111111,0.7185277777777778,0.722,0.7246388888888889,0.7266388888888888,0.746,0.7501944444444445,0.7503888888888889,0.7561944444444444,0.7569166666666667,0.7592222222222222,0.7608055555555555,0.7749722222222222,0.7789166666666667,0.7831666666666667,0.7813055555555556,0.7926388888888889,0.7958055555555555
-2,0.3713611111111111,0.6674722222222222,0.7146111111111111,0.7357777777777778,0.7695833333333333,0.7803055555555556,0.7878611111111111,0.7978611111111111,0.8045833333333333,0.8088611111111111,0.8144722222222223,0.8205277777777777,0.8241944444444445,0.8320277777777778,0.8373611111111111,0.8403888888888889,0.8431388888888889,0.8465555555555555,0.8481944444444445,0.8468333333333333,0.8518055555555556,0.8673333333333333,0.8682777777777778,0.8694444444444445,0.8692222222222222,0.872,0.8717222222222222,0.87475,0.8851111111111111,0.8865277777777778,0.8876111111111111,0.8885833333333333,0.8944166666666666,0.8962777777777777
