SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
-20,0.10225,0.1061111111111111,0.1042777777777777,0.1033333333333333,0.1054722222222222,0.10625,0.1063333333333333,0.1089722222222222,0.10625,0.1073333333333333,0.1073055555555555,0.1105,0.108,0.1084166666666666,0.1076111111111111,0.1073611111111111,0.1108888888888888,0.1111111111111111,0.11175,0.1117777777777777,0.1123888888888888,0.1137777777777777,0.1146111111111111,0.1165277777777777,0.1157222222222222,0.1193888888888888,0.1198888888888888,0.12175,0.1198333333333333,0.1204722222222222,0.1223888888888889,0.1228055555555555,0.12225,0.12311111111111112
-18,0.1085555555555555,0.1091944444444444,0.1111666666666666,0.1101111111111111,0.1116388888888888,0.1113333333333333,0.111,0.1105,0.11225,0.1102777777777777,0.1119722222222222,0.1108333333333333,0.1128333333333333,0.11375,0.1122777777777777,0.1147222222222222,0.11625,0.1146388888888888,0.1164166666666666,0.1196666666666666,0.1186944444444444,0.12025,0.1233333333333333,0.1214444444444444,0.1219166666666666,0.1251388888888888,0.1281666666666666,0.1279444444444444,0.1296111111111111,0.1302222222222222,0.1302777777777777,0.1304166666666666,0.13325,0.13175
-16,0.1174166666666666,0.1208888888888888,0.1220277777777777,0.1222777777777777,0.1243611111111111,0.1246666666666666,0.1253888888888888,0.1251666666666666,0.1268055555555555,0.1275555555555555,0.1266666666666666,0.1280555555555555,0.1260277777777777,0.129,0.1266388888888888,0.1299722222222222,0.1308055555555555,0.1320277777777777,0.1351666666666666,0.1353888888888889,0.1329722222222222,0.1384722222222222,0.1425,0.1424722222222222,0.1416944444444444,0.1425,0.1439444444444444,0.1442777777777777,0.14525,0.1476388888888888,0.1470833333333333,0.1503611111111111,0.1488611111111111,0.15022222222222223
-14,0.1401111111111111,0.1506944444444444,0.1539722222222222,0.1557777777777777,0.1614444444444444,0.1611111111111111,0.1629444444444444,0.1607777777777777,0.1613055555555555,0.1621666666666666,0.1660833333333333,0.1635833333333333,0.1648055555555555,0.1686388888888889,0.1653611111111111,0.1658055555555555,0.1703055555555555,0.1694722222222222,0.1715555555555555,0.1740555555555555,0.1736111111111111,0.1779444444444444,0.1786666666666666,0.1801944444444444,0.1781666666666666,0.1839722222222222,0.18475,0.1863888888888888,0.1869444444444444,0.1869722222222222,0.19,0.1876388888888888,0.1898333333333333,0.19033333333333333
-12,0.1954722222222222,0.2134166666666666,0.2059166666666666,0.2105833333333333,0.2165555555555555,0.2180833333333333,0.2161111111111111,0.2197777777777777,0.2212777777777777,0.2236388888888889,0.2220555555555555,0.2218055555555555,0.224,0.2227777777777777,0.2260833333333333,0.227,0.2309444444444444,0.2296111111111111,0.2345,0.2318055555555555,0.2325,0.2381944444444444,0.2410833333333333,0.2393055555555555,0.2412777777777777,0.2461944444444444,0.2462222222222222,0.2466388888888888,0.2445,0.2490277777777777,0.2514722222222222,0.2544166666666667,0.25225,0.25275
-10,0.2900277777777778,0.3034722222222222,0.3001111111111111,0.3010555555555556,0.2999722222222222,0.2999722222222222,0.30275,0.3072777777777777,0.3114444444444444,0.30675,0.3113055555555555,0.3173611111111111,0.32025,0.3179166666666667,0.3229444444444444,0.32325,0.3274444444444444,0.3308333333333333,0.3314166666666667,0.3321944444444444,0.3352222222222222,0.3413611111111111,0.3441944444444444,0.3434166666666666,0.3498888888888889,0.3505555555555555,0.3530833333333333,0.3510277777777777,0.3555555555555555,0.3551944444444444,0.3568055555555555,0.3569166666666666,0.3573611111111111,0.36180555555555555
-8,0.3763055555555555,0.39925,0.4171111111111111,0.4237222222222222,0.4238055555555555,0.4253611111111111,0.4285277777777778,0.4311388888888889,0.43025,0.4275555555555556,0.4331666666666666,0.4327777777777777,0.43925,0.4383333333333333,0.4379166666666667,0.4406388888888889,0.4530833333333333,0.4578333333333333,0.4569722222222222,0.4618888888888889,0.4580277777777777,0.4701111111111111,0.4731944444444444,0.4751388888888889,0.4794166666666666,0.4824444444444444,0.4849166666666666,0.4873611111111111,0.4872222222222222,0.4873888888888888,0.4906111111111111,0.4909722222222222,0.4918888888888889,0.49244444444444446
-6,0.4818888888888888,0.5226944444444445,0.548,0.5671388888888889,0.5783888888888888,0.5846944444444444,0.5856388888888889,0.5893611111111111,0.5925555555555555,0.5943888888888889,0.5952222222222222,0.5950833333333333,0.6028055555555556,0.6019166666666667,0.6055833333333334,0.6051666666666666,0.6182777777777778,0.62225,0.6250555555555556,0.6253333333333333,0.6305555555555555,0.6369722222222223,0.6461666666666667,0.6462777777777777,0.6452777777777777,0.6521388888888889,0.6553055555555556,0.6578055555555555,0.6570555555555555,0.6629166666666667,0.66275,0.6641666666666667,0.6650277777777778,0.66475
-4,0.5995,0.6551944444444444,0.6886111111111111,0.7095277777777778,0.7218888888888889,0.73275,0.7378611111111111,0.7452222222222222,0.7506111111111111,0.7528055555555555,0.7591388888888889,0.7589166666666667,0.7627777777777778,0.7658333333333334,0.7683888888888889,0.7701944444444444,0.7826111111111111,0.7854722222222222,0.7874444444444444,0.7894722222222222,0.7908333333333334,0.8015555555555556,0.8058055555555556,0.80525,0.8072777777777778,0.8149722222222222,0.8159444444444445,0.8161111111111111,0.8152777777777778,0.8201388888888889,0.82275,0.8234166666666667,0.8233333333333334,0.8255
-2,0.6832222222222222,0.7560277777777777,0.8055833333333333,0.8268611111111112,0.8401944444444445,0.8462222222222222,0.8504444444444444,0.8539166666666667,0.85875,0.8609722222222222,0.8634722222222222,0.8676111111111111,0.8703888888888889,0.8710833333333333,0.8736666666666667,0.8763611111111111,0.8841666666666667,0.8860555555555556,0.8861111111111111,0.8881666666666667,0.8886944444444445,0.8943611111111112,0.8970833333333333,0.8975833333333333,0.8974166666666666,0.9011666666666668,0.9013333333333332,0.9016666666666666,0.9025,0.9027222222222222,0.9043611111111112,0.9045277777777778,0.9042777777777776,0.9059722222222222
