SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
-20,0.1031388888888888,0.1084722222222222,0.1057777777777777,0.1058611111111111,0.1068611111111111,0.1075277777777777,0.1058611111111111,0.1065833333333333,0.1098333333333333,0.1063611111111111,0.1087777777777777,0.1058888888888889,0.1057777777777777,0.1078055555555555,0.1050833333333333,0.1065,0.1068611111111111,0.1083888888888889,0.1089722222222222,0.1061111111111111,0.1085,0.1087777777777777,0.1083611111111111,0.1072222222222222,0.1087222222222222,0.1095555555555555,0.1065555555555555,0.1095277777777777,0.1113333333333333,0.1110277777777777,0.1131111111111111,0.1129166666666666,0.1122777777777777,0.1166388888888888,0.1133333333333333,0.1161388888888888,0.1156388888888888,0.1180833333333333,0.1169722222222222,0.11619444444444445
-18,0.1089444444444444,0.1120555555555555,0.1101111111111111,0.1123333333333333,0.1103888888888888,0.1099722222222222,0.1111944444444444,0.1117777777777777,0.1089722222222222,0.1121111111111111,0.1107222222222222,0.1126666666666666,0.1099444444444444,0.1108055555555555,0.1118055555555555,0.1113888888888888,0.1116388888888888,0.1108055555555555,0.1126388888888888,0.1159722222222222,0.11125,0.1118888888888888,0.1125277777777777,0.1123611111111111,0.1169722222222222,0.1152777777777777,0.115,0.1133055555555555,0.1149166666666666,0.1186388888888888,0.1176944444444444,0.1179444444444444,0.1171111111111111,0.1189722222222222,0.1218333333333333,0.1201944444444444,0.1213055555555555,0.1208055555555555,0.1223055555555555,0.12247222222222222
-16,0.1178611111111111,0.1226944444444444,0.1239444444444444,0.1206388888888888,0.1206666666666666,0.1228611111111111,0.1240555555555555,0.1241388888888888,0.1225,0.1240277777777777,0.1200833333333333,0.1253055555555555,0.1253611111111111,0.1223888888888889,0.1238611111111111,0.1207222222222222,0.1229166666666666,0.1261944444444444,0.12575,0.1250277777777777,0.1238333333333333,0.1263055555555555,0.1270277777777777,0.1258611111111111,0.1270277777777777,0.1290833333333333,0.1278888888888888,0.1298055555555555,0.1291388888888889,0.1315277777777777,0.1295277777777777,0.1308333333333333,0.1314166666666666,0.1348333333333333,0.1337777777777777,0.13425,0.137,0.1351666666666666,0.138,0.1383611111111111
-14,0.1385833333333333,0.1530555555555555,0.1573333333333333,0.15575,0.1571666666666666,0.1554444444444444,0.1563333333333333,0.154,0.1583611111111111,0.1591666666666666,0.1584444444444444,0.1630833333333333,0.1589444444444444,0.1600833333333333,0.1589444444444444,0.1616944444444444,0.1613055555555555,0.1616111111111111,0.1635277777777777,0.1639166666666666,0.1629166666666666,0.1643333333333333,0.1638611111111111,0.1628611111111111,0.1683611111111111,0.1675,0.1704444444444444,0.1717777777777777,0.1695833333333333,0.1718888888888889,0.1721111111111111,0.1709722222222222,0.1741944444444444,0.1762777777777777,0.1768611111111111,0.179,0.1773888888888889,0.1779722222222222,0.1793611111111111,0.17816666666666667
-12,0.1884444444444444,0.2123611111111111,0.2050833333333333,0.2027222222222222,0.2066111111111111,0.2066944444444444,0.2078055555555555,0.2135833333333333,0.2113055555555555,0.2133333333333333,0.2143055555555555,0.2164722222222222,0.2179722222222222,0.2166388888888888,0.2153055555555555,0.2156388888888888,0.2181666666666666,0.2154722222222222,0.2186666666666666,0.2210277777777777,0.2202777777777777,0.2199166666666666,0.22175,0.2183611111111111,0.2254444444444444,0.2226111111111111,0.2215555555555555,0.2265,0.2243333333333333,0.229,0.2305555555555555,0.2308611111111111,0.2325555555555555,0.2311111111111111,0.2365555555555555,0.2368333333333333,0.2333055555555555,0.23525,0.2380555555555555,0.2388611111111111
-10,0.2671111111111111,0.287,0.28675,0.2869166666666666,0.2884166666666666,0.2924444444444444,0.2950555555555555,0.3003055555555555,0.3006111111111111,0.3078055555555555,0.3085,0.3084166666666667,0.3104166666666667,0.3143333333333333,0.3158055555555555,0.3146944444444444,0.31575,0.3203055555555555,0.3186111111111111,0.321,0.3179722222222222,0.3222777777777778,0.3242222222222222,0.3230833333333333,0.334,0.3342777777777778,0.3308055555555556,0.3310833333333333,0.3346388888888889,0.3425833333333333,0.3420277777777777,0.3435,0.3423333333333333,0.3434722222222222,0.3481944444444444,0.3476666666666667,0.347,0.3506666666666667,0.351,0.3521666666666667
-8,0.3274444444444444,0.36575,0.3916388888888888,0.4019722222222222,0.4032222222222222,0.4042777777777778,0.4041388888888889,0.4116388888888889,0.41675,0.4224722222222222,0.42275,0.4243055555555555,0.4305,0.4345277777777778,0.432,0.435,0.4365555555555555,0.4372777777777777,0.4363888888888889,0.43825,0.4409444444444444,0.4421388888888889,0.4430833333333333,0.4467222222222222,0.4551944444444444,0.4583333333333333,0.4571388888888889,0.45875,0.4591666666666666,0.4675555555555555,0.4686111111111111,0.4669722222222222,0.4700277777777777,0.4696111111111111,0.4767777777777778,0.4783055555555555,0.4788055555555555,0.4783611111111111,0.4822777777777778,0.48347222222222225
-6,0.4094166666666666,0.4856666666666667,0.5116666666666667,0.5288055555555555,0.5399444444444444,0.5484722222222222,0.5569722222222222,0.5652777777777778,0.5689166666666666,0.5731944444444445,0.5767777777777777,0.5795555555555556,0.5819444444444445,0.5879722222222222,0.5868055555555556,0.5890833333333333,0.5915277777777778,0.5919166666666666,0.5931944444444445,0.5970277777777778,0.5973888888888889,0.5995555555555555,0.5995555555555555,0.6023333333333334,0.6114444444444445,0.6162222222222222,0.6152222222222222,0.6171666666666666,0.6215833333333334,0.6261111111111111,0.6273611111111111,0.6303611111111111,0.6304722222222222,0.6312777777777778,0.6384444444444445,0.6403055555555556,0.6405,0.641,0.6448333333333334,0.6419444444444444
-4,0.5220833333333333,0.6239444444444444,0.6564444444444445,0.6703055555555556,0.6800277777777778,0.693,0.70425,0.7154444444444444,0.7236944444444444,0.7300833333333333,0.735,0.7381111111111112,0.7436666666666667,0.7449722222222223,0.74775,0.7497222222222222,0.7543888888888889,0.7561111111111111,0.7543055555555556,0.7576111111111111,0.7608333333333334,0.7640833333333333,0.7626388888888889,0.7664444444444445,0.7782222222222223,0.7831944444444444,0.7835833333333333,0.7854166666666667,0.786,0.7947777777777778,0.7969444444444445,0.7979722222222222,0.7985833333333333,0.80025,0.8048888888888889,0.8069444444444445,0.8087777777777778,0.8073888888888889,0.8130277777777778,0.8122222222222222
-2,0.6072777777777778,0.7345555555555555,0.7760833333333333,0.7914444444444444,0.8038333333333333,0.8165277777777777,0.8291111111111111,0.8429166666666666,0.8497777777777777,0.85175,0.8579722222222222,0.8595833333333334,0.8628333333333333,0.8618333333333333,0.8644722222222222,0.8665,0.8671388888888889,0.8684166666666666,0.8722222222222222,0.8716666666666667,0.8732777777777778,0.8725,0.8736666666666667,0.8770833333333333,0.8840555555555556,0.8868611111111111,0.8870833333333333,0.8873055555555556,0.8879444444444444,0.8935833333333333,0.8942777777777777,0.894,0.8942777777777777,0.8968333333333334,0.8999166666666667,0.8993055555555556,0.9003888888888889,0.9004166666666666,0.9008888888888889,0.9021944444444444
0,0.6693055555555556,0.8003333333333333,0.8445555555555555,0.8616388888888888,0.8742777777777778,0.8830833333333333,0.8936111111111111,0.9001111111111111,0.9050277777777778,0.9074166666666666,0.9088888888888887,0.9106388888888888,0.9130277777777778,0.9133611111111112,0.9143888888888888,0.9151666666666668,0.9137222222222222,0.9161666666666668,0.9162222222222224,0.9156388888888888,0.9171944444444444,0.9176944444444444,0.9181944444444444,0.9188333333333332,0.92175,0.9235833333333332,0.9232222222222224,0.9235555555555556,0.9231666666666668,0.9255833333333332,0.9265,0.9256944444444444,0.9253333333333332,0.9259444444444443,0.9271388888888888,0.9275,0.927,0.9277777777777778,0.9272222222222222,0.9276666666666666
2,0.6963055555555555,0.83225,0.8735,0.8898611111111111,0.8986944444444445,0.9055,0.9149166666666668,0.9190277777777778,0.92075,0.9225833333333332,0.9230833333333334,0.9248888888888888,0.9251388888888888,0.9244444444444444,0.9257777777777778,0.92575,0.9275,0.9266388888888888,0.9276111111111112,0.9285277777777776,0.928,0.9276388888888888,0.9283055555555556,0.9291388888888888,0.9309722222222222,0.9314722222222224,0.9299166666666666,0.9304444444444444,0.9306388888888888,0.9322222222222222,0.9323333333333332,0.9314444444444444,0.9323333333333332,0.9310555555555556,0.933,0.9332777777777778,0.9329722222222222,0.9325555555555556,0.9336388888888888,0.9328055555555556
4,0.702,0.8430277777777778,0.8801388888888889,0.8987222222222222,0.9083055555555556,0.9160277777777778,0.9226111111111112,0.925,0.9267777777777778,0.9276666666666666,0.9288333333333332,0.9280555555555556,0.9295555555555556,0.92975,0.9295833333333332,0.9303611111111112,0.9313888888888888,0.9306111111111112,0.932,0.9306944444444444,0.93175,0.9319722222222222,0.9326388888888888,0.9328611111111113,0.9335833333333332,0.9334166666666668,0.9347222222222222,0.9338055555555556,0.9341666666666668,0.9341666666666668,0.93425,0.9335833333333332,0.9346944444444444,0.9338333333333332,0.9344166666666668,0.9345555555555556,0.9340833333333334,0.9348888888888888,0.9348333333333332,0.9342222222222222
6,0.7149166666666666,0.8426944444444444,0.8834166666666666,0.8996944444444445,0.9114166666666668,0.9208888888888888,0.9258611111111112,0.92775,0.9289444444444444,0.9310833333333334,0.9321666666666668,0.9316666666666666,0.9318055555555556,0.9321388888888889,0.9314722222222224,0.9338333333333332,0.9331944444444444,0.9332777777777778,0.9334722222222224,0.9336388888888888,0.9346388888888888,0.9335277777777776,0.9339444444444444,0.9340833333333334,0.93525,0.9358333333333332,0.9354722222222224,0.9352777777777778,0.9355555555555556,0.9355833333333332,0.9358333333333332,0.9359722222222222,0.93625,0.9357222222222222,0.9368333333333332,0.9361111111111112,0.9360833333333334,0.9369722222222222,0.9370555555555556,0.93725
