SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
-20,0.1030833333333333,0.1034722222222222,0.1093333333333333,0.1051111111111111,0.1035555555555555,0.1033055555555555,0.1058333333333333,0.1078055555555555,0.1081111111111111,0.1071111111111111,0.1042777777777777,0.1084166666666666,0.1071944444444444,0.1079444444444444,0.1088611111111111,0.1058333333333333,0.1085833333333333,0.1065,0.1053611111111111,0.1064722222222222,0.1069166666666666,0.1068888888888889,0.1076388888888889,0.1069166666666666,0.1089444444444444,0.1094722222222222,0.1071388888888889,0.1103055555555555,0.1078611111111111,0.1086388888888888,0.1098888888888888,0.1088333333333333,0.1096388888888888,0.1077777777777777,0.1082777777777777,0.1095277777777777,0.1083611111111111,0.107,0.1094444444444444,0.1084722222222222,0.1095,0.1083333333333333,0.1101666666666666,0.1100277777777777,0.1112222222222222,0.1096666666666666,0.1091111111111111,0.1085277777777777,0.1101944444444444,0.10875,0.1088055555555555,0.1103055555555555,0.11075,0.1104722222222222,0.1111666666666666,0.1106111111111111,0.1105,0.1100833333333333,0.1088333333333333,0.1093611111111111,0.1076944444444444,0.10975,0.1105555555555555,0.10875,0.1120555555555555,0.1129722222222222,0.1108055555555555,0.1096666666666666,0.1099722222222222,0.1097222222222222,0.1087777777777777,0.1105555555555555,0.1104444444444444,0.1101666666666666,0.1091111111111111,0.11075
-18,0.1045277777777777,0.1081388888888889,0.1068888888888889,0.1099722222222222,0.1118333333333333,0.1099166666666666,0.1107777777777777,0.1107222222222222,0.11025,0.109,0.10525,0.11,0.1088055555555555,0.1105277777777777,0.1101666666666666,0.1123888888888888,0.1102777777777777,0.1098611111111111,0.1095277777777777,0.1129444444444444,0.1139444444444444,0.1091388888888888,0.1121944444444444,0.1109722222222222,0.1135833333333333,0.1113055555555555,0.113,0.1133611111111111,0.1106111111111111,0.1139722222222222,0.1125277777777777,0.1129166666666666,0.1139444444444444,0.1123055555555555,0.1108611111111111,0.1140277777777777,0.1124166666666666,0.1143888888888888,0.1138055555555555,0.11375,0.1123611111111111,0.1146944444444444,0.1124722222222222,0.1129166666666666,0.1141111111111111,0.1140277777777777,0.1135555555555555,0.115,0.1155555555555555,0.1152222222222222,0.1133888888888888,0.1135833333333333,0.1154444444444444,0.11375,0.1135833333333333,0.1140833333333333,0.1135555555555555,0.1143611111111111,0.1128055555555555,0.1139166666666666,0.115,0.1153055555555555,0.11275,0.1153611111111111,0.1156388888888888,0.1148611111111111,0.1172222222222222,0.1141944444444444,0.1150555555555555,0.1143333333333333,0.1158055555555555,0.1145,0.1162222222222222,0.1160277777777777,0.1149166666666666,0.11427777777777778
-16,0.1098611111111111,0.1172777777777777,0.1196388888888888,0.1221111111111111,0.1226111111111111,0.1205555555555555,0.1249166666666666,0.1225833333333333,0.1243888888888888,0.12425,0.1220833333333333,0.1225555555555555,0.1220555555555555,0.1237777777777777,0.1208611111111111,0.1216666666666666,0.1216111111111111,0.1265277777777777,0.1233055555555555,0.1253055555555555,0.12725,0.1278888888888888,0.12625,0.12325,0.1285555555555555,0.1270555555555555,0.1301666666666666,0.1249722222222222,0.1286111111111111,0.126,0.1291944444444444,0.1262222222222222,0.12675,0.1271666666666666,0.1267777777777777,0.1266111111111111,0.1282777777777777,0.1259166666666666,0.1275,0.1281666666666666,0.1259166666666666,0.131,0.1260833333333333,0.1282222222222222,0.1265833333333333,0.1292222222222222,0.1282777777777777,0.1304722222222222,0.1314444444444444,0.1286944444444444,0.1307777777777777,0.12975,0.1285277777777777,0.1321388888888889,0.1283611111111111,0.1316388888888889,0.1273611111111111,0.1308055555555555,0.12925,0.1301388888888889,0.1305,0.1319722222222222,0.1308888888888889,0.1279444444444444,0.1272777777777777,0.1328888888888889,0.1313888888888889,0.1298333333333333,0.1318333333333333,0.1314722222222222,0.1314722222222222,0.1326666666666666,0.1301944444444444,0.132,0.1323888888888889,0.13116666666666665
-14,0.1184722222222222,0.1352222222222222,0.1451111111111111,0.1509444444444444,0.1475555555555555,0.1505555555555555,0.1479444444444444,0.1535,0.1501944444444444,0.1504444444444444,0.1517777777777778,0.1490555555555555,0.1541111111111111,0.1517777777777778,0.1526666666666666,0.1556388888888888,0.1551666666666666,0.1595555555555555,0.1536666666666666,0.1614444444444444,0.1570555555555555,0.1583888888888888,0.1546944444444444,0.1596944444444444,0.1644444444444444,0.1614722222222222,0.1638333333333333,0.1602777777777777,0.1615,0.1623888888888889,0.1617777777777777,0.162,0.1618333333333333,0.1638611111111111,0.1626666666666666,0.162,0.1628055555555555,0.16225,0.1650277777777777,0.1603611111111111,0.1606944444444444,0.1631666666666666,0.1599166666666666,0.1635833333333333,0.16325,0.1634166666666666,0.1620555555555555,0.1668888888888889,0.166,0.1668333333333333,0.1652222222222222,0.1659722222222222,0.1659722222222222,0.1680555555555555,0.16725,0.1676944444444444,0.1678611111111111,0.1684444444444444,0.1672222222222222,0.1666111111111111,0.1672777777777777,0.1679166666666666,0.1686111111111111,0.1697222222222222,0.1696944444444444,0.1703333333333333,0.1706944444444444,0.1697222222222222,0.1691388888888889,0.1688888888888889,0.1690555555555555,0.1691944444444444,0.1696666666666666,0.1687777777777777,0.1705555555555555,0.17116666666666666
-12,0.1355555555555555,0.1635277777777777,0.1965833333333333,0.197,0.1971111111111111,0.2030555555555555,0.2065,0.2062777777777777,0.2048888888888889,0.2039722222222222,0.2072777777777777,0.2070555555555555,0.2125833333333333,0.2090833333333333,0.2093611111111111,0.2128611111111111,0.2114444444444444,0.2137777777777778,0.2126944444444444,0.2145833333333333,0.2119722222222222,0.2109722222222222,0.2131666666666666,0.2117222222222222,0.2155555555555555,0.2140277777777778,0.2173611111111111,0.2172777777777777,0.2176388888888888,0.2118611111111111,0.2120277777777778,0.2115555555555555,0.2103888888888888,0.2119444444444444,0.2104722222222222,0.2105277777777777,0.2081944444444444,0.2112777777777778,0.2101111111111111,0.20775,0.2131111111111111,0.2129722222222222,0.211,0.2105277777777777,0.2129444444444444,0.2135277777777778,0.2142777777777778,0.2150277777777778,0.2156944444444444,0.2180277777777777,0.2158611111111111,0.2204166666666666,0.2172777777777777,0.2159444444444444,0.2158888888888888,0.2163333333333333,0.2184722222222222,0.2193888888888888,0.2189166666666666,0.2170833333333333,0.2189444444444444,0.2183333333333333,0.2182777777777777,0.2195,0.2210833333333333,0.22125,0.2185555555555555,0.2216944444444444,0.2219722222222222,0.2229444444444444,0.2215,0.2219166666666666,0.2235555555555555,0.2238888888888889,0.2241944444444444,0.22252777777777777
-10,0.1822222222222222,0.2270277777777777,0.2655277777777777,0.2746944444444444,0.2783888888888889,0.2819722222222222,0.2858333333333333,0.2860555555555555,0.2900277777777778,0.2917777777777778,0.2936666666666667,0.2900277777777778,0.2910277777777778,0.2942777777777778,0.2938611111111111,0.2962222222222222,0.2967777777777777,0.2937222222222222,0.3013333333333333,0.2971111111111111,0.2965277777777778,0.29775,0.3010555555555556,0.3005833333333333,0.3046111111111111,0.3004722222222222,0.3060277777777778,0.3061666666666666,0.3056111111111111,0.3063888888888889,0.3078611111111111,0.3064722222222222,0.3058055555555555,0.3064722222222222,0.30525,0.3061388888888889,0.3023611111111111,0.3017777777777777,0.3036388888888889,0.3037222222222222,0.3008611111111111,0.3016944444444444,0.3050277777777778,0.3059722222222222,0.3039166666666666,0.3038888888888889,0.3048055555555555,0.3052222222222222,0.30525,0.3041944444444444,0.3051666666666666,0.3026388888888889,0.3105555555555555,0.3071388888888889,0.3045555555555556,0.3048888888888889,0.305,0.3071944444444444,0.3090833333333333,0.3060277777777778,0.3048888888888889,0.3074722222222222,0.3044444444444444,0.3065555555555556,0.3049444444444444,0.3089444444444444,0.3079444444444444,0.3074166666666666,0.3094166666666667,0.3094722222222222,0.3071944444444444,0.3105277777777778,0.3084166666666667,0.3074166666666666,0.309,0.31
-8,0.2336111111111111,0.2946666666666667,0.3453055555555555,0.367,0.3714722222222222,0.3736388888888889,0.3815277777777778,0.3816388888888889,0.3825833333333333,0.3914444444444444,0.3928055555555556,0.3936944444444444,0.3953333333333333,0.39325,0.393,0.3946944444444444,0.3931666666666666,0.3924722222222222,0.3988888888888889,0.3989444444444444,0.3965833333333333,0.3998888888888889,0.4004444444444444,0.4023333333333333,0.4103333333333333,0.4055555555555555,0.4090277777777777,0.4125555555555555,0.4116666666666667,0.4174444444444444,0.4190277777777778,0.4218055555555555,0.42275,0.4201111111111111,0.4238055555555555,0.4281111111111111,0.428,0.4267777777777777,0.4293888888888889,0.4297777777777777,0.4276388888888889,0.4284166666666666,0.4316388888888889,0.4297222222222222,0.4303611111111111,0.4333055555555555,0.4335277777777778,0.4352777777777777,0.4377222222222222,0.4340555555555555,0.4364444444444444,0.4363333333333333,0.4360833333333333,0.4365555555555555,0.4353333333333333,0.4377222222222222,0.4348055555555555,0.4352222222222222,0.4376111111111111,0.4392777777777777,0.4373611111111111,0.4334444444444444,0.4373333333333333,0.4368333333333333,0.4305833333333333,0.4393888888888889,0.4381666666666666,0.4373333333333333,0.4394166666666667,0.4367222222222222,0.4390277777777778,0.4405,0.4436666666666666,0.444,0.4388611111111111,0.44
-6,0.2988611111111111,0.3824722222222222,0.4486388888888888,0.473,0.4863055555555555,0.4919722222222222,0.4941388888888889,0.4978888888888889,0.5003333333333333,0.5067777777777778,0.5110833333333333,0.5118611111111111,0.5121111111111111,0.5147777777777778,0.5120833333333333,0.5126666666666667,0.5158333333333334,0.5180833333333333,0.5235,0.5205833333333333,0.5230277777777778,0.5223333333333333,0.5243333333333333,0.5257222222222222,0.5326944444444445,0.5343888888888889,0.5353333333333333,0.5371666666666667,0.536,0.5349444444444444,0.5397222222222222,0.5373333333333333,0.5385,0.5408333333333334,0.5451388888888888,0.5444444444444444,0.5424722222222222,0.5492777777777778,0.5443333333333333,0.5479722222222222,0.5447777777777778,0.5506944444444445,0.5521944444444444,0.5478888888888889,0.5514444444444444,0.5491944444444444,0.5514722222222223,0.5534166666666667,0.5594444444444444,0.5582222222222222,0.5560833333333334,0.5594444444444444,0.5586388888888889,0.5571388888888889,0.56075,0.5601388888888889,0.5584166666666667,0.5618055555555556,0.5583333333333333,0.5615,0.5602222222222222,0.5620833333333334,0.5616388888888889,0.5605555555555556,0.5649444444444445,0.5668055555555556,0.5673333333333334,0.5665277777777777,0.5669444444444445,0.5672777777777778,0.5670833333333334,0.5680555555555555,0.5689722222222222,0.5685555555555556,0.5673888888888889,0.5675833333333333
-4,0.3734444444444444,0.523,0.5566944444444445,0.5767777777777777,0.5908333333333333,0.6015277777777778,0.605,0.6096388888888888,0.6109722222222222,0.6184444444444445,0.6235,0.6211944444444445,0.6272777777777778,0.6316388888888889,0.6301666666666667,0.6330555555555556,0.6362777777777778,0.6404444444444445,0.6386666666666667,0.6434722222222222,0.6479166666666667,0.6448888888888888,0.6499166666666667,0.6486666666666666,0.6608611111111111,0.6588888888888889,0.6607222222222222,0.6577777777777778,0.6620277777777778,0.6619722222222222,0.6679166666666667,0.6676944444444445,0.6693611111111111,0.6685833333333333,0.6695,0.6699444444444445,0.6714722222222222,0.6714166666666667,0.6725,0.6763055555555556,0.67425,0.679,0.6733611111111111,0.6743333333333333,0.6779166666666666,0.6792222222222222,0.6776666666666666,0.6823333333333333,0.6846111111111111,0.6859444444444445,0.6861944444444444,0.6858611111111111,0.68525,0.6853333333333333,0.6875833333333333,0.686,0.6873611111111111,0.6880833333333334,0.6881388888888889,0.6873055555555555,0.6885833333333333,0.6899444444444445,0.6888333333333333,0.6899166666666666,0.69125,0.6906111111111111,0.69325,0.6926388888888889,0.6967222222222222,0.6951111111111111,0.6956666666666667,0.6952777777777778,0.6957777777777778,0.6969166666666666,0.6963611111111111,0.6969166666666666
-2,0.4040833333333333,0.6285277777777778,0.6469444444444444,0.6555,0.6619166666666667,0.6668333333333333,0.6708333333333333,0.67775,0.6839166666666666,0.6875555555555556,0.6966944444444444,0.6986111111111111,0.7018333333333333,0.7091944444444445,0.7130833333333333,0.7206388888888889,0.7261111111111112,0.7301944444444445,0.7336944444444444,0.7355277777777778,0.7378888888888889,0.7417777777777778,0.7391666666666666,0.7459166666666667,0.7557777777777778,0.7586111111111111,0.7583055555555556,0.7609444444444444,0.7636111111111111,0.768,0.7708055555555555,0.7730555555555556,0.7751944444444444,0.7754444444444445,0.7772777777777777,0.7805833333333333,0.7790555555555555,0.7813611111111111,0.78125,0.7858888888888889,0.7843055555555556,0.7851944444444444,0.7877222222222222,0.789,0.78825,0.78975,0.7916944444444445,0.7970555555555555,0.7956666666666666,0.7970277777777778,0.7983888888888889,0.7994722222222223,0.7981944444444444,0.7985,0.7998611111111111,0.7985833333333333,0.8021388888888888,0.7998055555555555,0.8018333333333333,0.8009722222222222,0.7996666666666666,0.8042222222222222,0.8035277777777777,0.804,0.8045277777777777,0.8045277777777777,0.8084722222222223,0.8073333333333333,0.8066666666666666,0.8066666666666666,0.8095,0.8082222222222222,0.80825,0.8090555555555555,0.80825,0.8089166666666666
