SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
-20,0.1030277777777777,0.1030277777777777,0.1033888888888888,0.1025555555555555,0.1022777777777777,0.1039722222222222,0.1029166666666666,0.1035555555555555,0.1044722222222222,0.1069444444444444,0.1054166666666666,0.1068611111111111,0.1046944444444444,0.1056944444444444,0.1046388888888888,0.1040833333333333,0.1028333333333333,0.1061944444444444,0.1050277777777777,0.1022222222222222,0.1045555555555555,0.1051666666666666,0.1066388888888889,0.1064166666666666,0.1057222222222222,0.1069166666666666,0.1059166666666666,0.1069166666666666,0.1048333333333333,0.1054166666666666,0.1053888888888888,0.10425,0.1046388888888888,0.1057222222222222,0.1059722222222222,0.1047777777777777,0.1068333333333333,0.1068888888888889,0.108,0.1069722222222222,0.10625,0.1097777777777777,0.1093888888888888,0.107,0.1072777777777777,0.1089722222222222,0.10675,0.1079444444444444,0.1093611111111111,0.1060833333333333,0.1085277777777777,0.1059166666666666,0.1084722222222222,0.1096388888888888,0.1068888888888889,0.10711111111111112
-18,0.1010555555555555,0.1058333333333333,0.1040555555555555,0.1092222222222222,0.10675,0.1083611111111111,0.1080277777777777,0.1080555555555555,0.1082777777777777,0.1091944444444444,0.1088611111111111,0.1077222222222222,0.1091388888888888,0.1079722222222222,0.1095277777777777,0.1093333333333333,0.1055,0.1094166666666666,0.11025,0.1089166666666666,0.10925,0.1081944444444444,0.1087777777777777,0.1090555555555555,0.1069722222222222,0.1083333333333333,0.108,0.1111388888888888,0.1106666666666666,0.1099722222222222,0.1101388888888888,0.1109444444444444,0.1093055555555555,0.1101111111111111,0.1104722222222222,0.1102222222222222,0.1105833333333333,0.1119444444444444,0.1113055555555555,0.1121111111111111,0.1118333333333333,0.1103055555555555,0.1098055555555555,0.1134722222222222,0.1136388888888888,0.112,0.1116666666666666,0.1111388888888888,0.1107777777777777,0.1115555555555555,0.1125277777777777,0.11225,0.1131111111111111,0.11275,0.1119722222222222,0.11197222222222222
-16,0.1028888888888888,0.1085,0.1128611111111111,0.1147222222222222,0.1166388888888888,0.1153333333333333,0.1186666666666666,0.1165833333333333,0.119,0.1171111111111111,0.1194722222222222,0.1173055555555555,0.1180833333333333,0.1201666666666666,0.1188055555555555,0.1206111111111111,0.11925,0.1159722222222222,0.1210833333333333,0.1195,0.1201111111111111,0.1210833333333333,0.11775,0.1215,0.1184722222222222,0.1203333333333333,0.1210555555555555,0.1201388888888888,0.1181666666666666,0.1195277777777777,0.1203333333333333,0.1186944444444444,0.1197222222222222,0.1206388888888888,0.1214444444444444,0.1228611111111111,0.1205,0.1206944444444444,0.1234166666666666,0.1232777777777777,0.1245833333333333,0.1230277777777777,0.1235555555555555,0.1236666666666666,0.1249444444444444,0.1210555555555555,0.1241666666666666,0.1234444444444444,0.12575,0.1248055555555555,0.1256388888888888,0.1246666666666666,0.1245277777777777,0.1244444444444444,0.1252777777777777,0.12577777777777777
-14,0.1046388888888888,0.1225555555555555,0.1252222222222222,0.1259166666666666,0.1282777777777777,0.1286111111111111,0.1313055555555555,0.1348611111111111,0.1342777777777777,0.1348055555555555,0.13275,0.1345555555555555,0.1372777777777777,0.1423055555555555,0.1456111111111111,0.1461111111111111,0.1466666666666666,0.1472222222222222,0.1473611111111111,0.1467222222222222,0.1499166666666666,0.1528333333333333,0.1506388888888888,0.1493333333333333,0.1480555555555555,0.1499166666666666,0.1526111111111111,0.1490833333333333,0.1517777777777778,0.1494444444444444,0.1511388888888888,0.1513611111111111,0.1483055555555555,0.1511666666666666,0.1532777777777778,0.1515277777777778,0.1535555555555555,0.1546944444444444,0.1542777777777778,0.1553055555555555,0.1553333333333333,0.1568888888888888,0.1564722222222222,0.1561666666666666,0.1565555555555555,0.1565555555555555,0.1585833333333333,0.1555,0.1567222222222222,0.1608611111111111,0.1599166666666666,0.1577777777777777,0.1604166666666666,0.1596944444444444,0.1598333333333333,0.1609722222222222
-12,0.1092222222222222,0.1444166666666666,0.1471388888888889,0.1544166666666666,0.1643611111111111,0.1671388888888889,0.1761388888888889,0.1759722222222222,0.1806388888888888,0.1816944444444444,0.1825277777777778,0.1881111111111111,0.1993611111111111,0.2082222222222222,0.2048888888888889,0.19975,0.2017222222222222,0.2063611111111111,0.2073055555555555,0.2056944444444444,0.2085,0.2123888888888888,0.2094166666666666,0.2102222222222222,0.2092222222222222,0.2131666666666666,0.2130277777777778,0.2137777777777778,0.2166111111111111,0.2154722222222222,0.2148333333333333,0.2188333333333333,0.2164444444444444,0.2186111111111111,0.2227777777777777,0.2225,0.2235555555555555,0.2221666666666666,0.2233888888888889,0.2283055555555555,0.2263888888888889,0.2283055555555555,0.2285277777777777,0.2293611111111111,0.2284444444444444,0.2318055555555555,0.2301111111111111,0.2322222222222222,0.2336944444444444,0.2345,0.2296388888888889,0.2356666666666666,0.2340555555555555,0.2350555555555555,0.2329166666666666,0.23577777777777778
-10,0.1176666666666666,0.1817222222222222,0.2028611111111111,0.2413888888888888,0.2711944444444444,0.2769166666666666,0.2866666666666667,0.2896944444444444,0.2972777777777777,0.2997777777777777,0.29775,0.3034444444444444,0.3076944444444444,0.3030833333333333,0.3031666666666666,0.3000277777777778,0.2945833333333333,0.2965277777777778,0.2979444444444444,0.2999166666666666,0.2988333333333333,0.2978333333333333,0.3030833333333333,0.3023611111111111,0.3051666666666666,0.3023055555555555,0.3089166666666667,0.3118333333333333,0.3082222222222222,0.3084722222222222,0.3132222222222222,0.3136111111111111,0.3109722222222222,0.3165,0.3203055555555555,0.3201111111111111,0.3243055555555555,0.3266944444444444,0.3225,0.3280277777777777,0.3272777777777778,0.3272777777777778,0.3310833333333333,0.3333611111111111,0.3312777777777778,0.3328611111111111,0.3349166666666666,0.3359444444444444,0.3368888888888889,0.3359722222222222,0.3371388888888889,0.3395277777777777,0.3368611111111111,0.3404444444444444,0.33925,0.3411666666666667
-8,0.1208888888888888,0.2323333333333333,0.2591666666666666,0.3375277777777777,0.3672222222222222,0.3847777777777778,0.3953333333333333,0.3965555555555555,0.3998333333333333,0.4015555555555555,0.4021944444444444,0.4024166666666666,0.4013055555555556,0.3974166666666666,0.4104444444444444,0.4182777777777778,0.4202777777777777,0.4194444444444444,0.4214722222222222,0.4237222222222222,0.4214444444444444,0.4231944444444444,0.4189444444444444,0.4236666666666667,0.4219166666666666,0.4261111111111111,0.4245555555555556,0.4275,0.4269722222222222,0.4255277777777778,0.4279444444444444,0.4243611111111111,0.4309722222222222,0.4275833333333333,0.43325,0.4346111111111111,0.4369722222222222,0.4379722222222222,0.4378055555555555,0.4390833333333333,0.4414444444444444,0.444,0.4458055555555555,0.4428333333333333,0.4490833333333333,0.44925,0.45075,0.4496111111111111,0.4489166666666667,0.4508888888888889,0.4555,0.4550833333333333,0.45475,0.4539722222222222,0.4566111111111111,0.45694444444444443
-6,0.1220277777777777,0.2726666666666666,0.3018611111111111,0.4173333333333333,0.44925,0.4724444444444444,0.4835,0.4967777777777777,0.4993888888888889,0.50175,0.5099166666666667,0.5074444444444445,0.50625,0.5086111111111111,0.5287777777777778,0.5398055555555555,0.545,0.5465277777777777,0.5508333333333333,0.5532222222222222,0.5568333333333333,0.5627777777777778,0.5598333333333333,0.5678611111111111,0.5653333333333334,0.5706111111111111,0.5684166666666667,0.5703055555555555,0.5691944444444444,0.5720833333333334,0.5731666666666667,0.5752222222222222,0.5778888888888889,0.5799166666666666,0.5874166666666667,0.5911388888888889,0.5938888888888889,0.5921666666666666,0.5940555555555556,0.5947222222222223,0.5970555555555556,0.604,0.6076666666666667,0.6065833333333334,0.6094166666666667,0.6147222222222222,0.61775,0.6138333333333333,0.6141944444444445,0.6182777777777778,0.6200833333333333,0.6182777777777778,0.6202222222222222,0.6196666666666667,0.6190833333333333,0.6210833333333333
-4,0.1283055555555555,0.3299444444444444,0.3942222222222222,0.5150833333333333,0.5649722222222222,0.5972777777777778,0.6134166666666667,0.6200555555555556,0.6254166666666666,0.6296666666666667,0.639,0.6397777777777778,0.6494444444444445,0.6626666666666666,0.6763611111111111,0.6818333333333333,0.6858055555555556,0.6906944444444445,0.6965,0.69775,0.704,0.7115277777777778,0.7085277777777778,0.7152222222222222,0.7164444444444444,0.7216666666666667,0.7226944444444444,0.7241111111111111,0.7261111111111112,0.7323611111111111,0.7295,0.7358888888888889,0.7354166666666667,0.7393611111111111,0.7548888888888889,0.7607777777777778,0.7569444444444444,0.7593611111111112,0.7636111111111111,0.7635,0.7684722222222222,0.7788333333333334,0.7788888888888889,0.781,0.7821666666666667,0.7906111111111112,0.7910555555555555,0.79,0.7938333333333333,0.7974166666666667,0.7981388888888888,0.7991111111111111,0.7979166666666667,0.79975,0.8011944444444444,0.801
-2,0.1245,0.3595277777777778,0.4795833333333333,0.6028333333333333,0.6731666666666667,0.7061944444444445,0.7218888888888889,0.7323611111111111,0.7394444444444445,0.7467222222222222,0.7534166666666666,0.75725,0.7645833333333333,0.7872222222222223,0.81125,0.8223055555555555,0.82475,0.8298333333333333,0.8337777777777777,0.8364444444444444,0.8389166666666666,0.8426944444444444,0.8439166666666666,0.84875,0.8504166666666667,0.8521388888888889,0.8552777777777778,0.8545555555555555,0.8566388888888888,0.8592222222222222,0.8622222222222222,0.8635277777777778,0.8652222222222222,0.8655277777777778,0.8805833333333334,0.8813611111111112,0.8826388888888889,0.8860555555555556,0.883,0.8879444444444444,0.88975,0.8953611111111112,0.89675,0.8985833333333333,0.8981111111111111,0.9041666666666668,0.9057777777777778,0.9036944444444444,0.9065555555555556,0.90825,0.9092222222222224,0.9086944444444444,0.9092222222222224,0.9092222222222224,0.9103611111111112,0.9112222222222223
