SNR,MCLDNN,MCFormer,PET-CGDNN,AMC-Net,FEA-T,IQFormer,IQFormerLite
-20,0.00337957508834729,0.0010314498964510458,0.003084459253886953,0.0010759362847719569,0.0038295270958406385,0.0019785305995443443,0.0013411230782859327
-18,0.005362420680584026,0.0038240830418691317,0.0012618879154311215,0.0018175456589099115,0.0048842149374853875,0.004521169342351869,0.00238091369016183
-16,0.00966695401871756,0.0013634616891492958,0.003595232182272015,0.0021126273794601167,0.011091413095022826,0.0009193143580347705,0.002276540992138918
-14,0.021443125679081576,0.004363914527118962,0.003365779586102174,0.005042389755308913,0.025858348103981164,0.0013672762867995751,0.004707780203497671
-12,0.0540474135983089,0.007787900159150018,0.003012358802592322,0.008877836010099643,0.05057436081872138,0.01214232725267735,0.013325179798661881
-10,0.09781206114562536,0.00552789642530401,0.007808782448841388,0.008030021793245634,0.09539214386473925,0.012668311296740042,0.00724127827880624
-8,0.14641101535289844,0.012324236510046192,0.006323072828933724,0.009770029284614326,0.14067706567012106,0.007087106838007548,0.012440748459084851
-6,0.21247398860409555,0.010781993734411495,0.006533567172685995,0.012075083390556327,0.20389891115997216,0.012872855808509113,0.014553254695160906
-4,0.28062547698548923,0.014032699906527836,0.006558868042581733,0.007189981455701644,0.27535388467489536,0.008553223888621722,0.012035826149920555
-2,0.33646522232369475,0.013705179475090633,0.0035942662672651623,0.004425933674253278,0.330583282917398,0.005258392762474544,0.005713835547744341
0,0.36268251918478545,0.00894613510591777,0.0030165055205577536,0.001368799149295145,0.3597041174122606,0.0014281398157510443,0.0014488980487099281
2,0.36951228178355444,0.006216465591028798,0.0017084349563269996,0.00177619286990765,0.3680783100932614,0.0008712220025790723,0.0008983008652141068
4,0.3713005277998463,0.004492045438574906,0.00131550581737809,0.0008220063530438502,0.37137629258535665,0.0007696499926012983,0.001156203077125964
6,0.37312768052266265,0.005810789772292442,0.002002949214422417,0.00044487826050125566,0.3733137113519049,0.0008486099745400582,0.00042491829279942814
8,0.3724741722962517,0.004575599535701407,0.0009905806378079438,0.0010051948401512277,0.3718971790771685,0.0004965156369922416,0.001110868028965506
10,0.37279028864169134,0.005447667696669245,0.0007559945620028024,0.0011808659722611443,0.37181302518126563,0.0006937218462755093,0.0006682273398910543
12,0.37223098320950004,0.006071220818107452,0.001113365767990603,0.0017663914880028326,0.37161043576872577,0.001192569587999914,0.0015996961517044158
14,0.3732467552139975,0.005488814383210102,0.0013598917440575257,0.0008304115445568517,0.373172052216609,0.001268474586965721,0.0015462768905413842
16,0.37185846415149826,0.006049965564640319,0.0014026265044947439,0.0012227587206349324,0.371096704228007,0.0012407994734578462,0.0013899440436378116
18,0.3749980203651451,0.006245164796331102,0.0006836381433997514,0.0012477757989496764,0.3745891128586391,0.001996002950342986,0.0013710802715782692
