SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
-20,0.0919696969696969,0.0951515151515151,0.0948484848484848,0.0945454545454545,0.0959090909090909,0.0945454545454545,0.0937878787878787,0.0936363636363636,0.0954545454545454,0.0957575757575757,0.0934848484848484,0.0946969696969697,0.0975757575757575,0.0957575757575757,0.0995454545454545,0.1022727272727272,0.1001515151515151,0.1019696969696969,0.105,0.1056060606060606,0.1103030303030303,0.1093939393939393,0.1171212121212121,0.1216666666666666,0.125,0.1348484848484848,0.1337878787878788,0.1465151515151515,0.1425757575757575,0.14909090909090908
-18,0.0957575757575757,0.0942424242424242,0.0953030303030303,0.0957575757575757,0.0963636363636363,0.0989393939393939,0.0959090909090909,0.0986363636363636,0.1016666666666666,0.0984848484848484,0.0998484848484848,0.1004545454545454,0.1024242424242424,0.1028787878787878,0.1072727272727272,0.103030303030303,0.1045454545454545,0.1063636363636363,0.1087878787878788,0.1146969696969697,0.1156060606060606,0.1215151515151515,0.1253030303030303,0.1269696969696969,0.1333333333333333,0.1356060606060606,0.1474242424242424,0.1478787878787879,0.1551515151515151,0.15575757575757576
-16,0.1004545454545454,0.0995454545454545,0.098030303030303,0.0993939393939394,0.1007575757575757,0.1009090909090909,0.1012121212121212,0.103030303030303,0.1021212121212121,0.1059090909090909,0.1039393939393939,0.1065151515151515,0.1065151515151515,0.1054545454545454,0.1124242424242424,0.1084848484848484,0.1107575757575757,0.1151515151515151,0.1171212121212121,0.124090909090909,0.1289393939393939,0.1289393939393939,0.1374242424242424,0.1419696969696969,0.1463636363636363,0.155,0.1578787878787878,0.1666666666666666,0.166060606060606,0.1715151515151515
-14,0.1165151515151515,0.1204545454545454,0.1159090909090909,0.1162121212121212,0.1203030303030303,0.1224242424242424,0.118030303030303,0.1234848484848484,0.1253030303030303,0.1265151515151515,0.1272727272727272,0.1321212121212121,0.1324242424242424,0.1345454545454545,0.138030303030303,0.1390909090909091,0.1390909090909091,0.1428787878787878,0.1437878787878788,0.153030303030303,0.1613636363636363,0.1566666666666666,0.1715151515151515,0.179090909090909,0.1843939393939394,0.1872727272727272,0.1918181818181818,0.1954545454545454,0.2043939393939394,0.2062121212121212
-12,0.1459090909090909,0.1653030303030303,0.1586363636363636,0.1674242424242424,0.1678787878787878,0.166060606060606,0.1636363636363636,0.1659090909090909,0.1718181818181818,0.173030303030303,0.1775757575757575,0.1725757575757575,0.181060606060606,0.1875757575757575,0.1846969696969697,0.1893939393939394,0.1927272727272727,0.1968181818181818,0.2046969696969697,0.2169696969696969,0.2168181818181818,0.2251515151515151,0.2286363636363636,0.2368181818181818,0.244090909090909,0.246060606060606,0.2618181818181818,0.2657575757575757,0.2657575757575757,0.26590909090909093
-10,0.2127272727272727,0.2437878787878787,0.2603030303030303,0.2645454545454545,0.2642424242424242,0.2657575757575757,0.258030303030303,0.2640909090909091,0.2618181818181818,0.2677272727272727,0.2665151515151515,0.271060606060606,0.2653030303030303,0.2718181818181818,0.2775757575757576,0.2778787878787879,0.2848484848484848,0.283030303030303,0.3007575757575758,0.3124242424242424,0.3143939393939394,0.3131818181818182,0.3193939393939394,0.3263636363636363,0.3389393939393939,0.3381818181818182,0.3466666666666667,0.3490909090909091,0.354090909090909,0.36727272727272725
-8,0.2906060606060606,0.3654545454545455,0.3786363636363636,0.3834848484848485,0.3868181818181818,0.3942424242424242,0.3948484848484848,0.4012121212121212,0.4059090909090909,0.4065151515151515,0.3975757575757576,0.4160606060606061,0.4118181818181818,0.416969696969697,0.4312121212121212,0.421969696969697,0.4256060606060606,0.436060606060606,0.4448484848484848,0.4583333333333333,0.4686363636363636,0.4672727272727273,0.483030303030303,0.4939393939393939,0.5012121212121212,0.4954545454545455,0.5107575757575757,0.5106060606060606,0.508030303030303,0.5165151515151515
-6,0.3728787878787878,0.4763636363636364,0.4974242424242424,0.5115151515151515,0.5171212121212121,0.5233333333333333,0.5316666666666666,0.5406060606060606,0.5478787878787879,0.5483333333333333,0.5493939393939394,0.5498484848484848,0.566969696969697,0.5612121212121212,0.5665151515151515,0.5701515151515152,0.5754545454545454,0.5807575757575758,0.5946969696969697,0.6048484848484849,0.6048484848484849,0.6134848484848485,0.6337878787878788,0.6337878787878788,0.6431818181818182,0.6439393939393939,0.6571212121212121,0.6568181818181819,0.6589393939393939,0.6643939393939394
-4,0.4540909090909091,0.5937878787878788,0.6140909090909091,0.6240909090909091,0.6315151515151515,0.6465151515151515,0.6568181818181819,0.6624242424242425,0.6621212121212121,0.6778787878787879,0.6821212121212121,0.6877272727272727,0.6959090909090909,0.6903030303030303,0.6972727272727273,0.703939393939394,0.7154545454545455,0.718030303030303,0.7407575757575757,0.7418181818181818,0.7515151515151515,0.7527272727272727,0.7565151515151515,0.7728787878787878,0.7692424242424243,0.7759090909090909,0.7830303030303031,0.786969696969697,0.785,0.7851515151515152
-2,0.5206060606060606,0.671060606060606,0.7134848484848485,0.725,0.7460606060606061,0.7587878787878788,0.7628787878787879,0.7713636363636364,0.7840909090909091,0.7904545454545454,0.7907575757575758,0.7986363636363636,0.8021212121212121,0.7975757575757576,0.8078787878787879,0.8093939393939394,0.8127272727272727,0.811060606060606,0.8286363636363636,0.8392424242424242,0.8377272727272728,0.8372727272727273,0.8518181818181818,0.8553030303030303,0.8536363636363636,0.8560606060606061,0.8601515151515151,0.8607575757575757,0.8625757575757576,0.8654545454545455
0,0.576969696969697,0.7501515151515151,0.7896969696969697,0.8057575757575758,0.8057575757575758,0.8222727272727273,0.8274242424242424,0.84,0.8387878787878787,0.8496969696969697,0.8539393939393939,0.8565151515151516,0.8531818181818182,0.8624242424242424,0.8628787878787879,0.8634848484848485,0.8690909090909091,0.8687878787878788,0.8806060606060606,0.8763636363636363,0.8795454545454545,0.883030303030303,0.8887878787878788,0.8946969696969697,0.8901515151515151,0.8927272727272727,0.8884848484848484,0.8946969696969697,0.8966666666666666,0.8939393939393939
2,0.595,0.7696969696969697,0.7990909090909091,0.8148484848484848,0.823030303030303,0.8427272727272728,0.8453030303030303,0.8537878787878788,0.8612121212121212,0.8639393939393939,0.8619696969696969,0.8660606060606061,0.8701515151515151,0.8789393939393939,0.8748484848484849,0.875,0.8756060606060606,0.8783333333333333,0.8881818181818182,0.8910606060606061,0.8951515151515151,0.8921212121212121,0.9042424242424244,0.9003030303030303,0.8966666666666666,0.8987878787878788,0.8995454545454545,0.9028787878787878,0.9059090909090908,0.9030303030303031
4,0.610909090909091,0.7751515151515151,0.8053030303030303,0.826060606060606,0.833030303030303,0.8442424242424242,0.8519696969696969,0.8571212121212122,0.8636363636363636,0.8681818181818182,0.8753030303030302,0.8707575757575757,0.8775757575757576,0.8763636363636363,0.8809090909090909,0.8851515151515151,0.8831818181818182,0.8848484848484849,0.8972727272727272,0.8987878787878788,0.9003030303030303,0.9016666666666666,0.9040909090909092,0.9074242424242424,0.9103030303030304,0.9062121212121212,0.9112121212121213,0.9093939393939394,0.9081818181818182,0.9056060606060606
6,0.6186363636363637,0.7874242424242425,0.8145454545454546,0.83,0.8343939393939394,0.8418181818181818,0.8522727272727273,0.8618181818181818,0.8662121212121212,0.8724242424242424,0.8759090909090909,0.8748484848484849,0.8809090909090909,0.8822727272727273,0.8878787878787879,0.891969696969697,0.8895454545454545,0.8892424242424243,0.9006060606060606,0.9031818181818182,0.8959090909090909,0.9015151515151516,0.9054545454545454,0.9075757575757576,0.9080303030303032,0.9131818181818182,0.9098484848484848,0.9107575757575758,0.9115151515151516,0.9093939393939394
8,0.6225757575757576,0.7887878787878788,0.8224242424242424,0.8307575757575758,0.8363636363636363,0.8416666666666667,0.8537878787878788,0.8640909090909091,0.8656060606060606,0.8701515151515151,0.8803030303030303,0.8765151515151515,0.8775757575757576,0.8821212121212121,0.8880303030303031,0.8857575757575757,0.8886363636363637,0.889090909090909,0.896969696969697,0.8974242424242425,0.8996969696969697,0.9007575757575758,0.9057575757575758,0.9003030303030303,0.9063636363636364,0.9043939393939394,0.9130303030303032,0.9087878787878788,0.91,0.9103030303030303
10,0.6175757575757576,0.7922727272727272,0.8177272727272727,0.8371212121212122,0.8369696969696969,0.8471212121212122,0.8539393939393939,0.866969696969697,0.8693939393939394,0.8768181818181818,0.8763636363636363,0.8771212121212121,0.883030303030303,0.8837878787878788,0.8884848484848484,0.8887878787878788,0.8893939393939394,0.8921212121212121,0.8983333333333333,0.9045454545454544,0.905,0.9031818181818182,0.9062121212121212,0.907121212121212,0.9080303030303032,0.9074242424242424,0.9087878787878788,0.9103030303030304,0.9095454545454544,0.9078787878787878
12,0.6160606060606061,0.7834848484848485,0.8190909090909091,0.8192424242424242,0.8415151515151515,0.8453030303030303,0.8562121212121212,0.8631818181818182,0.8689393939393939,0.8687878787878788,0.8775757575757576,0.8756060606060606,0.8831818181818182,0.8831818181818182,0.8848484848484849,0.8863636363636364,0.8912121212121212,0.8896969696969697,0.9,0.9042424242424244,0.9046969696969696,0.9053030303030304,0.9093939393939394,0.911060606060606,0.9078787878787878,0.91,0.9115151515151516,0.9116666666666666,0.9145454545454546,0.9154545454545454
14,0.6222727272727273,0.7898484848484848,0.8165151515151515,0.8268181818181818,0.8401515151515152,0.8466666666666667,0.8536363636363636,0.8593939393939394,0.8672727272727273,0.8734848484848485,0.8778787878787879,0.8803030303030303,0.884090909090909,0.8804545454545455,0.8868181818181818,0.8862121212121212,0.8865151515151515,0.8896969696969697,0.9012121212121212,0.9003030303030303,0.9042424242424244,0.9016666666666666,0.907121212121212,0.9098484848484848,0.9065151515151516,0.9084848484848485,0.9101515151515152,0.9072727272727272,0.9083333333333332,0.9107575757575758
16,0.6175757575757576,0.7822727272727272,0.8215151515151515,0.8231818181818182,0.833030303030303,0.8462121212121212,0.8533333333333334,0.8622727272727273,0.8687878787878788,0.871969696969697,0.8759090909090909,0.8772727272727273,0.8798484848484849,0.8821212121212121,0.8863636363636364,0.89,0.8912121212121212,0.8922727272727272,0.8995454545454545,0.9003030303030303,0.9027272727272728,0.9037878787878788,0.9083333333333332,0.9077272727272728,0.9075757575757576,0.9087878787878788,0.9124242424242424,0.9153030303030304,0.9142424242424242,0.9106060606060606
18,0.6189393939393939,0.7898484848484848,0.8257575757575758,0.838030303030303,0.8454545454545455,0.8516666666666667,0.8546969696969697,0.868030303030303,0.8675757575757576,0.8742424242424243,0.8743939393939394,0.875,0.88,0.8828787878787879,0.8862121212121212,0.889090909090909,0.8892424242424243,0.8931818181818182,0.8989393939393939,0.8992424242424243,0.9030303030303032,0.9013636363636364,0.9046969696969696,0.9062121212121212,0.9092424242424244,0.9093939393939394,0.91,0.9112121212121213,0.908939393939394,0.9134848484848485
Avg,0.4259015151515151,0.5367045454545455,0.5579166666666666,0.566689393939394,0.5728333333333333,0.580060606060606,0.5839696969696969,0.5910530303030304,0.594780303030303,0.5990151515151515,0.6009015151515151,0.6029848484848485,0.6065833333333334,0.6079318181818182,0.6124848484848485,0.6133712121212122,0.61575,0.617969696969697,0.6275378787878788,0.6323257575757576,0.6350227272727272,0.636,0.6434318181818182,0.6470530303030303,0.6495075757575758,0.6513863636363636,0.6562727272727272,0.658439393939394,0.6595227272727273,0.6613863636363636
