SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
-20,0.0931818181818181,0.0907575757575757,0.093030303030303,0.0921212121212121,0.0904545454545454,0.0936363636363636,0.093030303030303,0.0946969696969697,0.0945454545454545,0.0933333333333333,0.0931818181818181,0.0927272727272727,0.0936363636363636,0.0942424242424242,0.093030303030303,0.0951515151515151,0.0966666666666666,0.0943939393939393,0.0957575757575757,0.0951515151515151,0.0963636363636363,0.0956060606060606,0.0936363636363636,0.0962121212121212,0.095,0.0962121212121212,0.0953030303030303,0.096060606060606,0.0962121212121212,0.0954545454545454,0.094090909090909,0.0942424242424242,0.0951515151515151,0.0943939393939393,0.096060606060606,0.0972727272727272,0.0978787878787878,0.0969696969696969,0.0957575757575757,0.0971212121212121,0.0953030303030303,0.0981818181818181,0.098030303030303,0.0975757575757575,0.0998484848484848,0.0965151515151515,0.0983333333333333,0.098030303030303,0.0981818181818181,0.0975757575757575,0.0987878787878787,0.0996969696969697,0.0984848484848484,0.0995454545454545,0.0969696969696969,0.0972727272727272,0.0984848484848484,0.101060606060606,0.1004545454545454,0.1
-18,0.0883333333333333,0.0924242424242424,0.096060606060606,0.0969696969696969,0.0951515151515151,0.0954545454545454,0.0966666666666666,0.0924242424242424,0.0943939393939393,0.0942424242424242,0.0986363636363636,0.0946969696969697,0.0965151515151515,0.0953030303030303,0.0931818181818181,0.0968181818181818,0.098030303030303,0.0957575757575757,0.0986363636363636,0.0975757575757575,0.0962121212121212,0.0981818181818181,0.0966666666666666,0.0978787878787878,0.0974242424242424,0.0969696969696969,0.0957575757575757,0.0992424242424242,0.0978787878787878,0.0975757575757575,0.1,0.0987878787878787,0.0977272727272727,0.1004545454545454,0.0971212121212121,0.0993939393939394,0.0986363636363636,0.0974242424242424,0.0993939393939394,0.0978787878787878,0.098030303030303,0.1001515151515151,0.1004545454545454,0.0989393939393939,0.1003030303030303,0.0984848484848484,0.0989393939393939,0.1003030303030303,0.0993939393939394,0.1001515151515151,0.0972727272727272,0.1006060606060606,0.0992424242424242,0.0992424242424242,0.0993939393939394,0.1001515151515151,0.1001515151515151,0.0987878787878787,0.1012121212121212,0.09954545454545455
-16,0.0913636363636363,0.0937878787878787,0.0945454545454545,0.0963636363636363,0.0965151515151515,0.0975757575757575,0.0959090909090909,0.0978787878787878,0.0962121212121212,0.0975757575757575,0.0978787878787878,0.0995454545454545,0.0956060606060606,0.0972727272727272,0.0998484848484848,0.0977272727272727,0.099090909090909,0.0989393939393939,0.1006060606060606,0.099090909090909,0.1018181818181818,0.1007575757575757,0.1021212121212121,0.1012121212121212,0.1025757575757575,0.1022727272727272,0.103030303030303,0.1053030303030303,0.1024242424242424,0.1062121212121212,0.105,0.1031818181818181,0.105,0.1062121212121212,0.1057575757575757,0.1066666666666666,0.1031818181818181,0.1042424242424242,0.109090909090909,0.1069696969696969,0.1045454545454545,0.1028787878787878,0.105,0.1078787878787878,0.1071212121212121,0.109090909090909,0.1081818181818181,0.1103030303030303,0.1068181818181818,0.1084848484848484,0.1069696969696969,0.1107575757575757,0.1083333333333333,0.1093939393939393,0.1084848484848484,0.1098484848484848,0.1098484848484848,0.1075757575757575,0.1086363636363636,0.10833333333333334
-14,0.0922727272727272,0.1036363636363636,0.1077272727272727,0.1072727272727272,0.1068181818181818,0.1113636363636363,0.1136363636363636,0.1107575757575757,0.1187878787878787,0.1122727272727272,0.1153030303030303,0.1169696969696969,0.1118181818181818,0.1184848484848484,0.1157575757575757,0.1201515151515151,0.1213636363636363,0.1215151515151515,0.1242424242424242,0.1246969696969697,0.1231818181818181,0.1231818181818181,0.1254545454545454,0.1293939393939394,0.124090909090909,0.1251515151515151,0.1268181818181818,0.1271212121212121,0.1286363636363636,0.128030303030303,0.1304545454545454,0.1287878787878787,0.1295454545454545,0.1321212121212121,0.13,0.1292424242424242,0.1293939393939394,0.1322727272727272,0.1289393939393939,0.1333333333333333,0.1307575757575757,0.1339393939393939,0.133030303030303,0.1336363636363636,0.1372727272727272,0.135,0.1339393939393939,0.1368181818181818,0.1333333333333333,0.1359090909090909,0.1368181818181818,0.1365151515151515,0.1346969696969697,0.1354545454545454,0.1384848484848485,0.1362121212121212,0.1374242424242424,0.1365151515151515,0.1377272727272727,0.13560606060606062
-12,0.0975757575757575,0.1166666666666666,0.1254545454545454,0.1268181818181818,0.1253030303030303,0.131060606060606,0.131060606060606,0.1366666666666666,0.1428787878787878,0.1448484848484848,0.1454545454545454,0.1504545454545454,0.1516666666666666,0.1525757575757576,0.1563636363636363,0.158030303030303,0.1566666666666666,0.1601515151515151,0.1583333333333333,0.1637878787878788,0.1609090909090909,0.163030303030303,0.1669696969696969,0.1645454545454545,0.1693939393939394,0.1642424242424242,0.1677272727272727,0.1687878787878788,0.1701515151515151,0.1653030303030303,0.1696969696969697,0.1736363636363636,0.1742424242424242,0.1781818181818182,0.1696969696969697,0.1737878787878788,0.1728787878787878,0.1734848484848485,0.1715151515151515,0.1775757575757575,0.1725757575757575,0.1725757575757575,0.1737878787878788,0.1778787878787879,0.1807575757575757,0.1772727272727272,0.1795454545454545,0.178030303030303,0.1751515151515151,0.1816666666666666,0.178030303030303,0.1793939393939393,0.1784848484848485,0.1828787878787879,0.1772727272727272,0.1828787878787879,0.1813636363636363,0.1813636363636363,0.181060606060606,0.18484848484848485
-10,0.1021212121212121,0.1584848484848484,0.1772727272727272,0.1866666666666666,0.1898484848484848,0.1922727272727272,0.1862121212121212,0.1892424242424242,0.2068181818181818,0.2156060606060606,0.2222727272727272,0.2336363636363636,0.2409090909090909,0.2324242424242424,0.2428787878787879,0.2431818181818182,0.2363636363636363,0.2448484848484848,0.2409090909090909,0.2327272727272727,0.2431818181818182,0.2386363636363636,0.2496969696969697,0.2466666666666666,0.2443939393939393,0.2462121212121212,0.2465151515151515,0.2507575757575757,0.2462121212121212,0.2572727272727272,0.2537878787878788,0.2433333333333333,0.255,0.2519696969696969,0.2496969696969697,0.2496969696969697,0.2575757575757575,0.2545454545454545,0.2527272727272727,0.255,0.2539393939393939,0.2503030303030303,0.2531818181818182,0.2545454545454545,0.2574242424242424,0.2496969696969697,0.2612121212121212,0.2589393939393939,0.2575757575757575,0.265,0.2636363636363636,0.2598484848484848,0.2592424242424242,0.261060606060606,0.2598484848484848,0.2633333333333333,0.2596969696969697,0.2627272727272727,0.2598484848484848,0.26212121212121214
-8,0.1442424242424242,0.2181818181818181,0.2462121212121212,0.2606060606060606,0.2765151515151515,0.2784848484848485,0.2695454545454545,0.2813636363636363,0.3118181818181818,0.3207575757575757,0.3334848484848485,0.3396969696969697,0.3446969696969697,0.3512121212121212,0.3507575757575757,0.3613636363636364,0.3607575757575758,0.361969696969697,0.3518181818181818,0.3674242424242424,0.3648484848484848,0.3689393939393939,0.3653030303030303,0.3715151515151515,0.3625757575757575,0.3704545454545455,0.3748484848484849,0.3703030303030303,0.3793939393939394,0.3746969696969697,0.3801515151515151,0.3903030303030303,0.3754545454545454,0.3772727272727272,0.3728787878787878,0.3821212121212121,0.3771212121212121,0.3796969696969697,0.3813636363636363,0.3756060606060606,0.3831818181818182,0.3819696969696969,0.3806060606060606,0.3816666666666666,0.3846969696969697,0.3892424242424242,0.3918181818181818,0.3839393939393939,0.3931818181818182,0.3865151515151515,0.3854545454545454,0.3922727272727273,0.3972727272727273,0.3937878787878788,0.3903030303030303,0.403030303030303,0.395,0.3925757575757576,0.393030303030303,0.3984848484848485
-6,0.1689393939393939,0.2857575757575757,0.3445454545454545,0.3784848484848485,0.3943939393939394,0.3809090909090909,0.388030303030303,0.4,0.4277272727272727,0.4439393939393939,0.4598484848484848,0.4618181818181818,0.4801515151515151,0.4774242424242424,0.4789393939393939,0.4951515151515152,0.4890909090909091,0.4919696969696969,0.4957575757575757,0.5018181818181818,0.4983333333333333,0.5060606060606061,0.4993939393939394,0.5010606060606061,0.5136363636363637,0.5122727272727273,0.5143939393939394,0.5289393939393939,0.5293939393939394,0.5230303030303031,0.526060606060606,0.5283333333333333,0.526060606060606,0.5259090909090909,0.5339393939393939,0.5309090909090909,0.5345454545454545,0.5363636363636364,0.5274242424242425,0.5348484848484848,0.5268181818181819,0.5351515151515152,0.5265151515151515,0.5356060606060606,0.5331818181818182,0.5475757575757576,0.5428787878787878,0.5392424242424242,0.5475757575757576,0.5481818181818182,0.5433333333333333,0.5424242424242425,0.553030303030303,0.5492424242424242,0.5546969696969697,0.546969696969697,0.5495454545454546,0.5507575757575758,0.5475757575757576,0.556969696969697
-4,0.1704545454545454,0.3504545454545454,0.4240909090909091,0.4575757575757576,0.4990909090909091,0.5081818181818182,0.5251515151515151,0.5351515151515152,0.5551515151515152,0.5615151515151515,0.5753030303030303,0.5766666666666667,0.5825757575757575,0.5971212121212122,0.5928787878787879,0.6018181818181818,0.6034848484848485,0.6087878787878788,0.6066666666666667,0.6083333333333333,0.6151515151515151,0.615,0.6212121212121212,0.6218181818181818,0.6274242424242424,0.6209090909090909,0.626969696969697,0.6401515151515151,0.6466666666666666,0.6324242424242424,0.6386363636363637,0.6492424242424243,0.6430303030303031,0.6453030303030303,0.644090909090909,0.646969696969697,0.6442424242424243,0.644090909090909,0.6496969696969697,0.6460606060606061,0.6516666666666666,0.6509090909090909,0.6412121212121212,0.6553030303030303,0.6487878787878788,0.6580303030303031,0.6503030303030303,0.6548484848484849,0.6562121212121212,0.6527272727272727,0.6630303030303031,0.6627272727272727,0.6583333333333333,0.6616666666666666,0.6657575757575758,0.6648484848484848,0.6665151515151515,0.6657575757575758,0.6653030303030303,0.6677272727272727
-2,0.1772727272727272,0.3713636363636363,0.4562121212121212,0.5021212121212121,0.5437878787878788,0.5907575757575757,0.6116666666666667,0.6346969696969696,0.6353030303030303,0.65,0.6521212121212121,0.6516666666666666,0.6571212121212121,0.655,0.6637878787878788,0.6663636363636364,0.6631818181818182,0.6733333333333333,0.6683333333333333,0.6781818181818182,0.6833333333333333,0.6803030303030303,0.6866666666666666,0.6886363636363636,0.6895454545454546,0.7015151515151515,0.69,0.706060606060606,0.7104545454545454,0.7160606060606061,0.7162121212121212,0.7174242424242424,0.7116666666666667,0.7168181818181818,0.72,0.7128787878787879,0.7133333333333334,0.7157575757575757,0.7145454545454546,0.7157575757575757,0.7169696969696969,0.7228787878787879,0.7174242424242424,0.7224242424242424,0.7275757575757575,0.7290909090909091,0.7295454545454545,0.7295454545454545,0.7365151515151516,0.7348484848484849,0.7365151515151516,0.7327272727272728,0.7412121212121212,0.7421212121212121,0.7434848484848485,0.7407575757575757,0.7375757575757576,0.7383333333333333,0.7371212121212121,0.7396969696969697
