dataset,variant,seed,overall,low_snr,high_snr,run_dir
2016.10a,conv_k3,1,0.628,0.3891322314049587,0.918,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-conv_k3_seed1
2016.10a,conv_k3,2,0.6305681818181819,0.3873553719008264,0.925,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-conv_k3_seed2
2016.10a,conv_k3,3,0.6338863636363636,0.3947520661157024,0.9246363636363636,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-conv_k3_seed3
2016.10a,conv_k3,4,0.6282727272727273,0.3886363636363636,0.9195,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-conv_k3_seed4
2016.10a,conv_k3,5,0.6315227272727273,0.3948760330578512,0.9186818181818184,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-conv_k3_seed5
2016.10b,conv_k3,1,0.6757125,0.4621515151515151,0.9355333333333334,logs/model_2016.10b_60_1024_0.001_IQFormerLite_lkf-conv_k3_seed1
2016.10b,conv_k3,2,0.6819375,0.4731818181818181,0.9358916666666668,logs/model_2016.10b_60_1024_0.001_IQFormerLite_lkf-conv_k3_seed2
2016.10b,conv_k3,3,0.6801166666666667,0.4703257575757575,0.9352083333333334,logs/model_2016.10b_60_1024_0.001_IQFormerLite_lkf-conv_k3_seed3
2016.10b,conv_k3,4,0.6839166666666666,0.4769469696969697,0.935675,logs/model_2016.10b_60_1024_0.001_IQFormerLite_lkf-conv_k3_seed4
2016.10b,conv_k3,5,0.6827333333333333,0.4746287878787878,0.9358416666666668,logs/model_2016.10b_60_1024_0.001_IQFormerLite_lkf-conv_k3_seed5
2016.10a,conv_k7,1,0.6293181818181818,0.39008264462809916,0.9185909090909092,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-conv_k7_seed1
2016.10a,conv_k7,2,0.6325681818181819,0.3908264462809917,0.9256363636363636,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-conv_k7_seed2
2016.10a,conv_k7,3,0.6295681818181819,0.3875206611570247,0.9229545454545454,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-conv_k7_seed3
2016.10a,conv_k7,4,0.6323636363636363,0.39384297520661155,0.9216818181818182,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-conv_k7_seed4
2016.10a,conv_k7,5,0.6318409090909091,0.3933884297520661,0.921409090909091,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-conv_k7_seed5
2016.10a,conv_k15,1,0.6305,0.38876033057851234,0.9234090909090907,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-conv_k15_seed1
2016.10a,conv_k15,2,0.6342045454545454,0.3951652892561983,0.9238181818181819,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-conv_k15_seed2
2016.10a,conv_k15,3,0.6335227272727273,0.3931818181818182,0.9250454545454547,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-conv_k15_seed3
2016.10a,conv_k15,4,0.6331363636363636,0.39033057851239666,0.9273636363636364,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-conv_k15_seed4
2016.10a,conv_k15,5,0.6349772727272728,0.39314049586776856,0.9281363636363636,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-conv_k15_seed5
2016.10a,conv_k51,1,0.6329090909090909,0.38942148760330575,0.9284090909090909,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-conv_k51_seed1
