SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
-20,0.0933333333333333,0.0933333333333333,0.0928787878787878,0.0913636363636363,0.0933333333333333,0.0939393939393939,0.0948484848484848,0.0915151515151515,0.0946969696969697,0.0922727272727272,0.0936363636363636,0.0943939393939393,0.0919696969696969,0.095,0.096060606060606,0.096060606060606,0.0948484848484848,0.0953030303030303,0.0981818181818181,0.0963636363636363,0.0959090909090909,0.0996969696969697,0.0969696969696969,0.0995454545454545,0.0981818181818181,0.0981818181818181,0.1015151515151515,0.1034848484848484,0.1019696969696969,0.1065151515151515,0.1066666666666666,0.1089393939393939,0.1113636363636363,0.113030303030303,0.1093939393939393,0.1134848484848484,0.1168181818181818,0.1165151515151515,0.1186363636363636,0.1189393939393939,0.1190909090909091,0.1201515151515151,0.12287878787878788
-18,0.0946969696969697,0.0959090909090909,0.0963636363636363,0.0956060606060606,0.0962121212121212,0.0951515151515151,0.0974242424242424,0.096060606060606,0.0963636363636363,0.0953030303030303,0.0977272727272727,0.095,0.0984848484848484,0.0963636363636363,0.1,0.0983333333333333,0.1004545454545454,0.0975757575757575,0.0987878787878787,0.098030303030303,0.1001515151515151,0.0996969696969697,0.1018181818181818,0.1001515151515151,0.103030303030303,0.1046969696969696,0.1021212121212121,0.1059090909090909,0.1057575757575757,0.1089393939393939,0.1106060606060606,0.1116666666666666,0.1134848484848484,0.1154545454545454,0.1190909090909091,0.1218181818181818,0.1242424242424242,0.1206060606060606,0.1265151515151515,0.1290909090909091,0.1296969696969697,0.1284848484848484,0.12878787878787878
-16,0.0951515151515151,0.0962121212121212,0.0953030303030303,0.0953030303030303,0.0996969696969697,0.0968181818181818,0.1009090909090909,0.1003030303030303,0.1012121212121212,0.106060606060606,0.1009090909090909,0.1006060606060606,0.1043939393939394,0.1045454545454545,0.1022727272727272,0.1015151515151515,0.1037878787878787,0.1036363636363636,0.103030303030303,0.1072727272727272,0.1056060606060606,0.1072727272727272,0.1084848484848484,0.106060606060606,0.1087878787878788,0.1098484848484848,0.1118181818181818,0.1168181818181818,0.1145454545454545,0.1157575757575757,0.1187878787878787,0.1203030303030303,0.1263636363636363,0.128030303030303,0.1281818181818181,0.1356060606060606,0.1362121212121212,0.1393939393939394,0.1374242424242424,0.1442424242424242,0.1416666666666666,0.1428787878787878,0.14181818181818182
-14,0.1142424242424242,0.1221212121212121,0.1237878787878788,0.1215151515151515,0.1296969696969697,0.1269696969696969,0.1281818181818181,0.1351515151515151,0.1283333333333333,0.1375757575757575,0.1343939393939394,0.1353030303030303,0.1363636363636363,0.1368181818181818,0.1393939393939394,0.1377272727272727,0.1401515151515151,0.1406060606060606,0.1413636363636363,0.1354545454545454,0.1419696969696969,0.1390909090909091,0.1424242424242424,0.1386363636363636,0.1445454545454545,0.148030303030303,0.1462121212121212,0.1466666666666666,0.1516666666666666,0.1524242424242424,0.1557575757575757,0.1587878787878787,0.1627272727272727,0.1671212121212121,0.1672727272727272,0.1746969696969696,0.1787878787878788,0.1804545454545454,0.1801515151515151,0.1813636363636363,0.1804545454545454,0.1857575757575757,0.18227272727272728
-12,0.1525757575757576,0.1653030303030303,0.1759090909090909,0.1771212121212121,0.1856060606060606,0.1769696969696969,0.1783333333333333,0.1724242424242424,0.1759090909090909,0.1813636363636363,0.1743939393939394,0.1804545454545454,0.1828787878787879,0.1871212121212121,0.1895454545454545,0.1853030303030303,0.1834848484848484,0.184090909090909,0.1934848484848484,0.1872727272727272,0.1887878787878787,0.19,0.1921212121212121,0.195,0.2056060606060606,0.2003030303030303,0.2057575757575757,0.2104545454545454,0.2121212121212121,0.2107575757575757,0.2169696969696969,0.2216666666666666,0.2253030303030303,0.2262121212121212,0.2366666666666666,0.2396969696969697,0.2413636363636363,0.243030303030303,0.246060606060606,0.2448484848484848,0.2453030303030303,0.2503030303030303,0.24848484848484848
-10,0.2253030303030303,0.2534848484848485,0.2581818181818182,0.2633333333333333,0.2693939393939394,0.2618181818181818,0.2607575757575757,0.2540909090909091,0.253030303030303,0.256060606060606,0.2533333333333333,0.2621212121212121,0.2581818181818182,0.2534848484848485,0.2540909090909091,0.2571212121212121,0.2625757575757576,0.2654545454545454,0.2737878787878788,0.2684848484848485,0.2712121212121212,0.2733333333333333,0.2783333333333333,0.273030303030303,0.2822727272727273,0.2886363636363636,0.2959090909090909,0.2963636363636364,0.3031818181818181,0.3054545454545455,0.3133333333333333,0.3183333333333333,0.3231818181818182,0.3234848484848485,0.3372727272727273,0.3412121212121212,0.3422727272727273,0.3481818181818182,0.3543939393939394,0.351969696969697,0.361969696969697,0.3627272727272727,0.3607575757575758
-8,0.3313636363636363,0.3674242424242424,0.3754545454545454,0.3863636363636363,0.3892424242424242,0.3943939393939394,0.3978787878787879,0.3975757575757576,0.4006060606060606,0.3945454545454545,0.4009090909090909,0.4034848484848485,0.401969696969697,0.4003030303030303,0.4116666666666667,0.3998484848484848,0.4074242424242424,0.4056060606060606,0.4072727272727273,0.4216666666666667,0.4186363636363636,0.4307575757575758,0.4253030303030303,0.4268181818181818,0.4416666666666666,0.4513636363636363,0.4512121212121212,0.4592424242424242,0.4590909090909091,0.4621212121212121,0.4848484848484848,0.4892424242424242,0.488030303030303,0.4845454545454545,0.501969696969697,0.5054545454545455,0.516969696969697,0.5198484848484849,0.5189393939393939,0.5236363636363637,0.5262121212121212,0.5266666666666666,0.5356060606060606
-6,0.456060606060606,0.5106060606060606,0.526969696969697,0.5353030303030303,0.5315151515151515,0.5456060606060606,0.5571212121212121,0.5698484848484848,0.5733333333333334,0.5687878787878788,0.576060606060606,0.5834848484848485,0.59,0.5959090909090909,0.598030303030303,0.5936363636363636,0.5957575757575757,0.6021212121212122,0.6021212121212122,0.6037878787878788,0.6131818181818182,0.6163636363636363,0.6122727272727273,0.6239393939393939,0.6392424242424243,0.6433333333333333,0.6415151515151515,0.6537878787878788,0.6475757575757576,0.6643939393939394,0.6712121212121213,0.6778787878787879,0.686060606060606,0.6892424242424242,0.6915151515151515,0.6972727272727273,0.7015151515151515,0.6996969696969697,0.7109090909090909,0.7110606060606061,0.7122727272727273,0.7172727272727273,0.7140909090909091
-4,0.5671212121212121,0.6362121212121212,0.6471212121212121,0.6631818181818182,0.6718181818181819,0.6683333333333333,0.6812121212121212,0.6965151515151515,0.7037878787878787,0.7169696969696969,0.723939393939394,0.7233333333333334,0.7218181818181818,0.7321212121212122,0.7272727272727273,0.7298484848484849,0.7475757575757576,0.7381818181818182,0.7416666666666667,0.7460606060606061,0.748030303030303,0.7515151515151515,0.7554545454545455,0.7601515151515151,0.7789393939393939,0.7831818181818182,0.7825757575757576,0.7901515151515152,0.7928787878787878,0.7909090909090909,0.8071212121212121,0.808030303030303,0.8109090909090909,0.81,0.8246969696969697,0.8251515151515152,0.825,0.8263636363636364,0.8318181818181818,0.8321212121212122,0.8342424242424242,0.8301515151515152,0.8362121212121212
-2,0.6396969696969697,0.7286363636363636,0.7446969696969697,0.7560606060606061,0.7680303030303031,0.7712121212121212,0.7946969696969697,0.803939393939394,0.8127272727272727,0.8178787878787879,0.8234848484848485,0.8225757575757576,0.8263636363636364,0.8322727272727273,0.8318181818181818,0.8309090909090909,0.8427272727272728,0.8445454545454546,0.8451515151515151,0.8463636363636363,0.8478787878787879,0.8528787878787879,0.8524242424242424,0.8512121212121212,0.8671212121212121,0.8677272727272727,0.8674242424242424,0.8740909090909091,0.8698484848484849,0.8727272727272727,0.8789393939393939,0.885,0.8853030303030303,0.8865151515151515,0.896969696969697,0.8916666666666667,0.8909090909090909,0.8934848484848484,0.8998484848484849,0.8983333333333333,0.896969696969697,0.8956060606060606,0.8989393939393939
