SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
-20,0.0943939393939393,0.095,0.0928787878787878,0.0916666666666666,0.0912121212121212,0.0927272727272727,0.0942424242424242,0.0939393939393939,0.093030303030303,0.0928787878787878,0.0931818181818181,0.0931818181818181,0.0954545454545454,0.0931818181818181,0.096060606060606,0.094090909090909,0.0928787878787878,0.0921212121212121,0.096060606060606,0.0959090909090909,0.0969696969696969,0.0966666666666666,0.0975757575757575,0.0978787878787878,0.0995454545454545,0.1012121212121212,0.099090909090909,0.1007575757575757,0.1025757575757575,0.103030303030303,0.1004545454545454,0.1037878787878787,0.1018181818181818,0.1009090909090909,0.1031818181818181,0.1046969696969696,0.1056060606060606,0.1054545454545454,0.1042424242424242,0.10575757575757576
-18,0.0931818181818181,0.0957575757575757,0.0937878787878787,0.0931818181818181,0.0953030303030303,0.0965151515151515,0.096060606060606,0.0933333333333333,0.0983333333333333,0.0987878787878787,0.0978787878787878,0.0962121212121212,0.0969696969696969,0.0977272727272727,0.0983333333333333,0.099090909090909,0.0966666666666666,0.0987878787878787,0.1006060606060606,0.0974242424242424,0.0986363636363636,0.0978787878787878,0.0992424242424242,0.0986363636363636,0.101060606060606,0.1040909090909091,0.1033333333333333,0.1046969696969696,0.1022727272727272,0.1051515151515151,0.106060606060606,0.1046969696969696,0.1081818181818181,0.1048484848484848,0.106060606060606,0.1084848484848484,0.1089393939393939,0.1068181818181818,0.1066666666666666,0.10848484848484849
-16,0.0931818181818181,0.0965151515151515,0.0943939393939393,0.0969696969696969,0.1003030303030303,0.1006060606060606,0.1016666666666666,0.0974242424242424,0.1021212121212121,0.0998484848484848,0.1031818181818181,0.1024242424242424,0.1040909090909091,0.1004545454545454,0.103030303030303,0.1036363636363636,0.1037878787878787,0.1039393939393939,0.1046969696969696,0.1068181818181818,0.1081818181818181,0.1071212121212121,0.109090909090909,0.1081818181818181,0.1136363636363636,0.114090909090909,0.1125757575757575,0.1133333333333333,0.1189393939393939,0.1196969696969696,0.1190909090909091,0.1186363636363636,0.1209090909090909,0.1207575757575757,0.1231818181818181,0.1227272727272727,0.1209090909090909,0.123030303030303,0.1224242424242424,0.12712121212121213
-14,0.1065151515151515,0.1216666666666666,0.1209090909090909,0.1298484848484848,0.1287878787878787,0.1325757575757575,0.1289393939393939,0.1296969696969697,0.1339393939393939,0.1333333333333333,0.1354545454545454,0.1374242424242424,0.1340909090909091,0.1336363636363636,0.1390909090909091,0.1381818181818181,0.1348484848484848,0.1390909090909091,0.1346969696969697,0.1389393939393939,0.1412121212121212,0.1418181818181818,0.1415151515151515,0.1456060606060606,0.1492424242424242,0.1507575757575757,0.1487878787878787,0.1498484848484848,0.1568181818181818,0.1563636363636363,0.1539393939393939,0.158030303030303,0.1624242424242424,0.1595454545454545,0.1628787878787878,0.1609090909090909,0.1621212121212121,0.1621212121212121,0.1636363636363636,0.1618181818181818
-12,0.1336363636363636,0.168030303030303,0.1728787878787878,0.1798484848484848,0.1803030303030303,0.1783333333333333,0.1695454545454545,0.1707575757575757,0.1771212121212121,0.1787878787878788,0.1822727272727272,0.1842424242424242,0.1828787878787879,0.183030303030303,0.1889393939393939,0.1889393939393939,0.1889393939393939,0.1845454545454545,0.1918181818181818,0.1983333333333333,0.1925757575757575,0.2006060606060606,0.1986363636363636,0.1971212121212121,0.2018181818181818,0.2031818181818181,0.201060606060606,0.2068181818181818,0.2112121212121212,0.2093939393939393,0.2095454545454545,0.2116666666666666,0.2128787878787879,0.213030303030303,0.2151515151515151,0.2168181818181818,0.2198484848484848,0.2204545454545454,0.2148484848484848,0.21818181818181817
-10,0.2189393939393939,0.245,0.2572727272727272,0.2671212121212121,0.2628787878787879,0.2663636363636363,0.2606060606060606,0.2612121212121212,0.2512121212121212,0.2504545454545454,0.2539393939393939,0.2578787878787879,0.2562121212121212,0.2636363636363636,0.2654545454545454,0.2621212121212121,0.2628787878787879,0.2622727272727272,0.2703030303030303,0.283030303030303,0.2804545454545454,0.2881818181818182,0.2896969696969697,0.2884848484848485,0.2953030303030303,0.2978787878787878,0.2987878787878787,0.3,0.3087878787878788,0.3127272727272727,0.3118181818181818,0.3192424242424242,0.3290909090909091,0.3234848484848485,0.325,0.3233333333333333,0.3254545454545454,0.3272727272727272,0.3265151515151515,0.3256060606060606
-8,0.3316666666666666,0.3559090909090909,0.3713636363636363,0.3804545454545454,0.3913636363636363,0.3928787878787879,0.3909090909090909,0.3892424242424242,0.3971212121212121,0.3943939393939394,0.3966666666666666,0.4022727272727273,0.4018181818181818,0.4012121212121212,0.4028787878787879,0.4116666666666667,0.4077272727272727,0.4218181818181818,0.4136363636363636,0.4240909090909091,0.4295454545454545,0.4313636363636363,0.4357575757575757,0.4389393939393939,0.4437878787878788,0.4489393939393939,0.4512121212121212,0.4592424242424242,0.4592424242424242,0.4683333333333333,0.4704545454545454,0.4754545454545454,0.4772727272727273,0.476969696969697,0.4816666666666667,0.4801515151515151,0.4821212121212121,0.4887878787878787,0.49,0.4866666666666667
-6,0.4574242424242424,0.5028787878787879,0.5207575757575758,0.5246969696969697,0.5333333333333333,0.5401515151515152,0.5577272727272727,0.5575757575757576,0.5716666666666667,0.5734848484848485,0.5766666666666667,0.5860606060606061,0.5896969696969697,0.5946969696969697,0.595,0.5933333333333334,0.5962121212121212,0.6019696969696969,0.6051515151515151,0.6190909090909091,0.6209090909090909,0.6233333333333333,0.6231818181818182,0.628030303030303,0.6386363636363637,0.6398484848484849,0.6495454545454545,0.6421212121212121,0.6540909090909091,0.6584848484848485,0.6625757575757576,0.6590909090909091,0.6607575757575758,0.6696969696969697,0.6684848484848485,0.6777272727272727,0.6771212121212121,0.6731818181818182,0.6795454545454546,0.6734848484848485
-4,0.5666666666666667,0.6374242424242424,0.651969696969697,0.6593939393939394,0.6687878787878788,0.6692424242424242,0.6872727272727273,0.696969696969697,0.7096969696969697,0.7075757575757575,0.7183333333333334,0.7225757575757575,0.7248484848484849,0.7348484848484849,0.7386363636363636,0.7442424242424243,0.7453030303030304,0.7507575757575757,0.7490909090909091,0.7680303030303031,0.7666666666666667,0.7724242424242425,0.7692424242424243,0.7733333333333333,0.7906060606060606,0.7884848484848485,0.7898484848484848,0.7898484848484848,0.7934848484848485,0.7981818181818182,0.7978787878787879,0.801969696969697,0.8045454545454546,0.8104545454545454,0.8068181818181818,0.8078787878787879,0.8068181818181818,0.8124242424242424,0.8092424242424242,0.8134848484848485
-2,0.6465151515151515,0.7312121212121212,0.7506060606060606,0.7613636363636364,0.7753030303030303,0.7790909090909091,0.7875757575757576,0.8051515151515152,0.8177272727272727,0.8151515151515152,0.8218181818181818,0.8268181818181818,0.8307575757575758,0.8371212121212122,0.8368181818181818,0.8448484848484848,0.8445454545454546,0.8477272727272728,0.8510606060606061,0.8546969696969697,0.8648484848484849,0.8665151515151515,0.8598484848484849,0.8671212121212121,0.8733333333333333,0.8733333333333333,0.8787878787878788,0.8763636363636363,0.883030303030303,0.8842424242424243,0.8831818181818182,0.883030303030303,0.8884848484848484,0.8878787878787879,0.8868181818181818,0.8884848484848484,0.889090909090909,0.886969696969697,0.8875757575757576,0.8913636363636364
