SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
-20,0.0957575757575757,0.0936363636363636,0.0912121212121212,0.0924242424242424,0.0954545454545454,0.0936363636363636,0.0928787878787878,0.0933333333333333,0.0942424242424242,0.0939393939393939,0.0931818181818181,0.0957575757575757,0.0946969696969697,0.0942424242424242,0.0956060606060606,0.0954545454545454,0.0965151515151515,0.0939393939393939,0.0956060606060606,0.0945454545454545,0.0957575757575757,0.0948484848484848,0.0972727272727272,0.0966666666666666,0.0968181818181818,0.0965151515151515,0.0966666666666666,0.0981818181818181,0.0963636363636363,0.0987878787878787,0.1022727272727272,0.1018181818181818,0.1042424242424242,0.1034848484848484,0.1009090909090909,0.1074242424242424,0.1078787878787878,0.1093939393939393,0.1133333333333333,0.1125757575757575,0.1159090909090909
-18,0.0912121212121212,0.0969696969696969,0.0943939393939393,0.0956060606060606,0.096060606060606,0.0972727272727272,0.0956060606060606,0.099090909090909,0.0975757575757575,0.0978787878787878,0.0969696969696969,0.0975757575757575,0.0986363636363636,0.0953030303030303,0.0968181818181818,0.0986363636363636,0.1003030303030303,0.0972727272727272,0.1,0.0977272727272727,0.1027272727272727,0.098030303030303,0.101060606060606,0.0996969696969697,0.103030303030303,0.0995454545454545,0.1003030303030303,0.0983333333333333,0.1003030303030303,0.1016666666666666,0.1028787878787878,0.1051515151515151,0.1068181818181818,0.1083333333333333,0.1095454545454545,0.1151515151515151,0.1131818181818181,0.116060606060606,0.1137878787878787,0.1207575757575757,0.12015151515151515
-16,0.091060606060606,0.0962121212121212,0.0974242424242424,0.0992424242424242,0.0989393939393939,0.1004545454545454,0.1033333333333333,0.1028787878787878,0.1,0.1015151515151515,0.1024242424242424,0.1013636363636363,0.1031818181818181,0.1024242424242424,0.103030303030303,0.1033333333333333,0.1051515151515151,0.1048484848484848,0.1056060606060606,0.1033333333333333,0.1059090909090909,0.1051515151515151,0.1062121212121212,0.1083333333333333,0.1077272727272727,0.108030303030303,0.1093939393939393,0.1081818181818181,0.108030303030303,0.1131818181818181,0.1163636363636363,0.1157575757575757,0.1175757575757575,0.121060606060606,0.1207575757575757,0.1242424242424242,0.1281818181818181,0.1313636363636363,0.1342424242424242,0.1378787878787878,0.13712121212121212
-14,0.1045454545454545,0.1207575757575757,0.1254545454545454,0.1225757575757575,0.1301515151515151,0.1321212121212121,0.1293939393939394,0.1306060606060606,0.1313636363636363,0.1348484848484848,0.1327272727272727,0.1343939393939394,0.1333333333333333,0.1375757575757575,0.1356060606060606,0.1316666666666666,0.1374242424242424,0.1362121212121212,0.1383333333333333,0.1375757575757575,0.1378787878787878,0.1363636363636363,0.1409090909090909,0.1428787878787878,0.1446969696969696,0.1428787878787878,0.1419696969696969,0.1454545454545454,0.1427272727272727,0.1433333333333333,0.1518181818181818,0.1521212121212121,0.1562121212121212,0.1554545454545454,0.1619696969696969,0.1687878787878788,0.1663636363636363,0.1684848484848485,0.1722727272727272,0.1751515151515151,0.1762121212121212
-12,0.1425757575757575,0.1674242424242424,0.1771212121212121,0.1804545454545454,0.1789393939393939,0.1792424242424242,0.1781818181818182,0.1707575757575757,0.1719696969696969,0.1698484848484848,0.1786363636363636,0.1796969696969697,0.1775757575757575,0.1789393939393939,0.1872727272727272,0.1784848484848485,0.1837878787878787,0.1842424242424242,0.1846969696969697,0.1903030303030303,0.1804545454545454,0.1903030303030303,0.1896969696969697,0.1928787878787878,0.1921212121212121,0.1948484848484848,0.191060606060606,0.1940909090909091,0.1993939393939394,0.1984848484848485,0.2025757575757575,0.205,0.2107575757575757,0.2143939393939394,0.2159090909090909,0.2265151515151515,0.2224242424242424,0.2271212121212121,0.2313636363636363,0.2348484848484848,0.2403030303030303
-10,0.2257575757575757,0.2596969696969697,0.2648484848484848,0.2665151515151515,0.2665151515151515,0.2722727272727273,0.2668181818181818,0.2621212121212121,0.2671212121212121,0.2636363636363636,0.2563636363636363,0.2598484848484848,0.2512121212121212,0.2615151515151515,0.2607575757575757,0.2546969696969697,0.2536363636363636,0.2639393939393939,0.2636363636363636,0.2681818181818182,0.265,0.2709090909090909,0.2728787878787879,0.2789393939393939,0.2774242424242424,0.2834848484848485,0.2784848484848485,0.2836363636363636,0.2857575757575757,0.288030303030303,0.3001515151515151,0.3068181818181818,0.3071212121212121,0.3146969696969697,0.3157575757575757,0.3268181818181818,0.3348484848484848,0.3427272727272727,0.346060606060606,0.3574242424242424,0.3607575757575758
-8,0.3206060606060606,0.3678787878787878,0.3659090909090909,0.3887878787878788,0.3907575757575757,0.3927272727272727,0.3915151515151515,0.3975757575757576,0.4036363636363636,0.3981818181818182,0.4084848484848485,0.406060606060606,0.4063636363636363,0.4048484848484848,0.4033333333333333,0.4075757575757576,0.4104545454545454,0.41,0.4101515151515151,0.4139393939393939,0.4216666666666667,0.4186363636363636,0.4240909090909091,0.4251515151515151,0.4275757575757575,0.4257575757575758,0.4301515151515152,0.4321212121212121,0.4357575757575757,0.4409090909090909,0.4563636363636363,0.4709090909090909,0.4645454545454545,0.4787878787878787,0.4771212121212121,0.4915151515151515,0.4974242424242424,0.5034848484848485,0.5024242424242424,0.5142424242424243,0.5259090909090909
-6,0.443030303030303,0.5065151515151515,0.5203030303030303,0.5262121212121212,0.5298484848484849,0.536969696969697,0.5384848484848485,0.5515151515151515,0.5615151515151515,0.5753030303030303,0.5766666666666667,0.5825757575757575,0.5901515151515152,0.5915151515151515,0.5924242424242424,0.6013636363636363,0.6015151515151516,0.6043939393939394,0.6042424242424242,0.6028787878787879,0.6078787878787879,0.615909090909091,0.6174242424242424,0.6216666666666667,0.6162121212121212,0.616969696969697,0.6172727272727273,0.6262121212121212,0.6304545454545455,0.6312121212121212,0.6522727272727272,0.6553030303030303,0.6613636363636364,0.6613636363636364,0.6715151515151515,0.6859090909090909,0.6846969696969697,0.693030303030303,0.6966666666666667,0.7025757575757576,0.7146969696969697
-4,0.5498484848484848,0.6215151515151515,0.641969696969697,0.6478787878787878,0.6530303030303031,0.6590909090909091,0.6718181818181819,0.6868181818181818,0.6987878787878787,0.7069696969696969,0.7118181818181818,0.7209090909090909,0.7234848484848485,0.7275757575757575,0.7318181818181818,0.7310606060606061,0.735909090909091,0.7395454545454545,0.7471212121212121,0.7403030303030304,0.7436363636363637,0.7512121212121212,0.7518181818181818,0.7493939393939394,0.7546969696969696,0.761969696969697,0.761969696969697,0.7663636363636364,0.7616666666666667,0.7681818181818182,0.7836363636363637,0.7901515151515152,0.7930303030303031,0.7925757575757576,0.7962121212121213,0.81,0.813939393939394,0.8134848484848485,0.8187878787878788,0.826969696969697,0.8303030303030303
-2,0.6365151515151515,0.7127272727272728,0.743030303030303,0.7510606060606061,0.7586363636363637,0.7653030303030303,0.7812121212121212,0.7883333333333333,0.8107575757575758,0.8121212121212121,0.8215151515151515,0.823030303030303,0.8304545454545454,0.8340909090909091,0.8363636363636363,0.8398484848484848,0.8371212121212122,0.8374242424242424,0.8503030303030303,0.8490909090909091,0.848030303030303,0.8490909090909091,0.8537878787878788,0.855909090909091,0.8595454545454545,0.8607575757575757,0.8633333333333333,0.8636363636363636,0.8645454545454545,0.8624242424242424,0.876969696969697,0.8774242424242424,0.8803030303030303,0.8763636363636363,0.8798484848484849,0.8875757575757576,0.8893939393939394,0.8936363636363637,0.8942424242424243,0.895,0.8945454545454545
