SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
-20,0.0906060606060606,0.093030303030303,0.0936363636363636,0.0921212121212121,0.095,0.0915151515151515,0.095,0.09,0.0931818181818181,0.0928787878787878,0.0934848484848484,0.0925757575757575,0.0934848484848484,0.0951515151515151,0.095,0.0942424242424242,0.0963636363636363,0.0954545454545454,0.0948484848484848,0.0946969696969697,0.0962121212121212,0.0953030303030303,0.096060606060606,0.0986363636363636,0.0968181818181818,0.0975757575757575,0.0951515151515151,0.1019696969696969,0.0981818181818181,0.1001515151515151,0.1004545454545454,0.1033333333333333,0.1046969696969696,0.1059090909090909,0.1095454545454545,0.1112121212121212,0.1122727272727272,0.11621212121212121
-18,0.0934848484848484,0.0962121212121212,0.0975757575757575,0.096060606060606,0.0987878787878787,0.098030303030303,0.099090909090909,0.099090909090909,0.0995454545454545,0.0968181818181818,0.0975757575757575,0.0969696969696969,0.0969696969696969,0.098030303030303,0.1019696969696969,0.0996969696969697,0.0968181818181818,0.0971212121212121,0.0996969696969697,0.1001515151515151,0.101060606060606,0.1015151515151515,0.1016666666666666,0.1022727272727272,0.1019696969696969,0.1012121212121212,0.1021212121212121,0.1051515151515151,0.1034848484848484,0.1040909090909091,0.1075757575757575,0.1059090909090909,0.1072727272727272,0.1106060606060606,0.1127272727272727,0.1127272727272727,0.1178787878787878,0.1203030303030303
-16,0.094090909090909,0.0933333333333333,0.0983333333333333,0.0981818181818181,0.098030303030303,0.0989393939393939,0.1037878787878787,0.1025757575757575,0.103030303030303,0.1028787878787878,0.1027272727272727,0.0992424242424242,0.1013636363636363,0.1028787878787878,0.1013636363636363,0.1034848484848484,0.1036363636363636,0.1054545454545454,0.1045454545454545,0.1062121212121212,0.1037878787878787,0.1042424242424242,0.1078787878787878,0.1084848484848484,0.109090909090909,0.1063636363636363,0.1089393939393939,0.1106060606060606,0.1124242424242424,0.1151515151515151,0.1151515151515151,0.1201515151515151,0.1212121212121212,0.1236363636363636,0.126060606060606,0.1256060606060606,0.1290909090909091,0.13166666666666665
-14,0.1075757575757575,0.1186363636363636,0.1271212121212121,0.1245454545454545,0.1313636363636363,0.1292424242424242,0.1266666666666666,0.1275757575757575,0.1296969696969697,0.1356060606060606,0.1331818181818181,0.1374242424242424,0.1356060606060606,0.138030303030303,0.1377272727272727,0.1336363636363636,0.1395454545454545,0.1375757575757575,0.1381818181818181,0.1412121212121212,0.138030303030303,0.1428787878787878,0.1403030303030303,0.1462121212121212,0.1443939393939394,0.141060606060606,0.15,0.154090909090909,0.1543939393939394,0.1548484848484848,0.1572727272727273,0.1572727272727273,0.1640909090909091,0.1689393939393939,0.1733333333333333,0.1722727272727272,0.1778787878787879,0.18
-12,0.1372727272727272,0.1659090909090909,0.1748484848484848,0.1743939393939394,0.1713636363636363,0.1727272727272727,0.178030303030303,0.1727272727272727,0.1763636363636363,0.1798484848484848,0.179090909090909,0.1828787878787879,0.1842424242424242,0.1839393939393939,0.1815151515151515,0.1854545454545454,0.1857575757575757,0.1824242424242424,0.1866666666666666,0.1928787878787878,0.1836363636363636,0.1884848484848484,0.19,0.1815151515151515,0.1893939393939394,0.1918181818181818,0.1896969696969697,0.2025757575757575,0.2018181818181818,0.2046969696969697,0.2042424242424242,0.206060606060606,0.2162121212121212,0.2172727272727272,0.2222727272727272,0.2271212121212121,0.2290909090909091,0.23787878787878788
-10,0.2251515151515151,0.245,0.2575757575757575,0.2586363636363636,0.2566666666666666,0.2628787878787879,0.2622727272727272,0.2669696969696969,0.2574242424242424,0.2607575757575757,0.2578787878787879,0.2598484848484848,0.2636363636363636,0.2653030303030303,0.2595454545454545,0.2603030303030303,0.2718181818181818,0.2728787878787879,0.273030303030303,0.2754545454545454,0.2809090909090909,0.2796969696969697,0.2804545454545454,0.2759090909090909,0.288030303030303,0.286969696969697,0.2913636363636364,0.3033333333333333,0.3068181818181818,0.3096969696969697,0.3119696969696969,0.3212121212121212,0.3218181818181818,0.3290909090909091,0.3324242424242424,0.3445454545454545,0.3518181818181818,0.3546969696969697
-8,0.326060606060606,0.3593939393939394,0.3639393939393939,0.3795454545454545,0.3893939393939394,0.3881818181818182,0.3901515151515151,0.3912121212121212,0.3925757575757576,0.398030303030303,0.3948484848484848,0.3981818181818182,0.406060606060606,0.4028787878787879,0.4056060606060606,0.4040909090909091,0.4040909090909091,0.4198484848484848,0.4145454545454545,0.4178787878787879,0.4189393939393939,0.4251515151515151,0.4263636363636364,0.431060606060606,0.4325757575757575,0.4403030303030303,0.436060606060606,0.4468181818181818,0.4586363636363636,0.4640909090909091,0.4703030303030303,0.471060606060606,0.4848484848484848,0.4915151515151515,0.4922727272727272,0.4916666666666666,0.5106060606060606,0.5096969696969696
-6,0.4495454545454545,0.506969696969697,0.5127272727272727,0.5284848484848484,0.5421212121212121,0.5407575757575758,0.558030303030303,0.5627272727272727,0.5704545454545454,0.5745454545454546,0.5833333333333334,0.5871212121212122,0.588030303030303,0.5843939393939394,0.5942424242424242,0.5984848484848485,0.5951515151515151,0.5981818181818181,0.6033333333333334,0.6116666666666667,0.6074242424242424,0.6127272727272727,0.6174242424242424,0.6212121212121212,0.6189393939393939,0.63,0.6227272727272727,0.6507575757575758,0.6539393939393939,0.6601515151515152,0.6633333333333333,0.6584848484848485,0.6837878787878788,0.6892424242424242,0.6918181818181818,0.6904545454545454,0.7016666666666667,0.7090909090909091
-4,0.5624242424242424,0.6278787878787879,0.6580303030303031,0.6533333333333333,0.6743939393939394,0.683030303030303,0.6859090909090909,0.7006060606060606,0.7045454545454546,0.7121212121212122,0.7227272727272728,0.7292424242424242,0.7304545454545455,0.7407575757575757,0.7378787878787879,0.7466666666666667,0.7439393939393939,0.75,0.7533333333333333,0.7568181818181818,0.7592424242424243,0.7557575757575757,0.7628787878787879,0.7577272727272727,0.7628787878787879,0.774090909090909,0.7737878787878788,0.7887878787878788,0.7883333333333333,0.7924242424242425,0.8016666666666666,0.7987878787878788,0.8146969696969697,0.8157575757575758,0.8181818181818182,0.8156060606060606,0.828939393939394,0.8322727272727273
-2,0.6289393939393939,0.7143939393939394,0.7487878787878788,0.7603030303030303,0.7737878787878788,0.7845454545454545,0.7928787878787878,0.8151515151515152,0.8201515151515152,0.8171212121212121,0.823030303030303,0.8312121212121212,0.833939393939394,0.8407575757575757,0.8440909090909091,0.8462121212121212,0.8498484848484849,0.8537878787878788,0.8587878787878788,0.8498484848484849,0.8577272727272728,0.8574242424242424,0.8590909090909091,0.8590909090909091,0.8706060606060606,0.8681818181818182,0.8716666666666667,0.8803030303030303,0.88,0.8857575757575757,0.8857575757575757,0.883030303030303,0.8901515151515151,0.8906060606060606,0.8986363636363637,0.8909090909090909,0.9027272727272728,0.9028787878787878
