SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
-20,0.0918181818181818,0.0962121212121212,0.0934848484848484,0.0948484848484848,0.0933333333333333,0.0962121212121212,0.0933333333333333,0.0946969696969697,0.0931818181818181,0.0953030303030303,0.0942424242424242,0.0939393939393939,0.0957575757575757,0.0966666666666666,0.0945454545454545,0.0936363636363636,0.0954545454545454,0.0931818181818181,0.0978787878787878,0.0924242424242424,0.0954545454545454,0.0971212121212121,0.0978787878787878,0.0993939393939394,0.0959090909090909,0.1,0.0983333333333333,0.1003030303030303,0.0996969696969697,0.1022727272727272,0.1040909090909091,0.1066666666666666,0.1054545454545454,0.11,0.1068181818181818,0.1116666666666666,0.11136363636363636
-18,0.0931818181818181,0.0953030303030303,0.0928787878787878,0.095,0.0956060606060606,0.0969696969696969,0.0959090909090909,0.0969696969696969,0.0963636363636363,0.0966666666666666,0.0963636363636363,0.0968181818181818,0.0983333333333333,0.099090909090909,0.0978787878787878,0.0974242424242424,0.1015151515151515,0.0981818181818181,0.1,0.1,0.099090909090909,0.0974242424242424,0.0981818181818181,0.0992424242424242,0.1018181818181818,0.1016666666666666,0.103030303030303,0.1053030303030303,0.1051515151515151,0.1075757575757575,0.1062121212121212,0.1092424242424242,0.1113636363636363,0.1131818181818181,0.1163636363636363,0.1153030303030303,0.11863636363636364
-16,0.0942424242424242,0.1004545454545454,0.0963636363636363,0.0969696969696969,0.0959090909090909,0.1018181818181818,0.0987878787878787,0.0987878787878787,0.1031818181818181,0.1053030303030303,0.1006060606060606,0.105,0.1024242424242424,0.1046969696969696,0.1056060606060606,0.1063636363636363,0.1039393939393939,0.1063636363636363,0.1046969696969696,0.1039393939393939,0.1031818181818181,0.1040909090909091,0.1084848484848484,0.1093939393939393,0.1125757575757575,0.1121212121212121,0.1122727272727272,0.1159090909090909,0.1171212121212121,0.1195454545454545,0.1156060606060606,0.1253030303030303,0.1248484848484848,0.1253030303030303,0.1278787878787878,0.1346969696969697,0.1337878787878788
-14,0.11,0.1187878787878787,0.1259090909090909,0.1286363636363636,0.1271212121212121,0.1307575757575757,0.1265151515151515,0.1296969696969697,0.1328787878787878,0.1287878787878787,0.1368181818181818,0.1371212121212121,0.1345454545454545,0.1371212121212121,0.1333333333333333,0.1375757575757575,0.1393939393939394,0.1393939393939394,0.1384848484848485,0.1396969696969697,0.1396969696969697,0.1378787878787878,0.1434848484848485,0.145,0.1425757575757575,0.1484848484848485,0.1507575757575757,0.1554545454545454,0.1521212121212121,0.1554545454545454,0.1516666666666666,0.1583333333333333,0.163030303030303,0.1616666666666666,0.1666666666666666,0.1659090909090909,0.17227272727272727
-12,0.1487878787878787,0.1757575757575757,0.1743939393939394,0.1751515151515151,0.1768181818181818,0.1786363636363636,0.1737878787878788,0.1696969696969697,0.1704545454545454,0.1777272727272727,0.1792424242424242,0.176060606060606,0.1786363636363636,0.1815151515151515,0.1796969696969697,0.1848484848484848,0.1868181818181818,0.1825757575757575,0.1892424242424242,0.1833333333333333,0.1886363636363636,0.1919696969696969,0.1945454545454545,0.1872727272727272,0.1972727272727272,0.1931818181818181,0.2027272727272727,0.1992424242424242,0.2033333333333333,0.2059090909090909,0.2095454545454545,0.2156060606060606,0.223030303030303,0.2239393939393939,0.2275757575757575,0.2368181818181818,0.23606060606060605
-10,0.2146969696969697,0.2465151515151515,0.2569696969696969,0.2648484848484848,0.2681818181818182,0.2672727272727273,0.2637878787878788,0.2627272727272727,0.2568181818181818,0.2571212121212121,0.2586363636363636,0.2537878787878788,0.2596969696969697,0.2677272727272727,0.2636363636363636,0.2725757575757576,0.2654545454545454,0.2686363636363636,0.2759090909090909,0.2731818181818182,0.2783333333333333,0.2713636363636363,0.2768181818181818,0.2833333333333333,0.2801515151515151,0.29,0.2974242424242424,0.2983333333333333,0.306060606060606,0.3036363636363636,0.3096969696969697,0.3239393939393939,0.3251515151515151,0.3322727272727273,0.3359090909090909,0.3434848484848485,0.34575757575757576
-8,0.323030303030303,0.3610606060606061,0.3706060606060606,0.3739393939393939,0.3778787878787878,0.3933333333333333,0.3992424242424242,0.3909090909090909,0.3915151515151515,0.3990909090909091,0.4025757575757576,0.3915151515151515,0.4083333333333333,0.4037878787878788,0.4083333333333333,0.4068181818181818,0.4042424242424242,0.406969696969697,0.4089393939393939,0.414090909090909,0.4165151515151515,0.4215151515151515,0.4218181818181818,0.4339393939393939,0.4333333333333333,0.4486363636363636,0.4504545454545454,0.4563636363636363,0.461060606060606,0.4683333333333333,0.4666666666666667,0.4825757575757576,0.493030303030303,0.4945454545454545,0.503030303030303,0.5175757575757576,0.5186363636363637
-6,0.4540909090909091,0.4974242424242424,0.5103030303030303,0.5280303030303031,0.5316666666666666,0.5404545454545454,0.5433333333333333,0.5622727272727273,0.5715151515151515,0.5722727272727273,0.5725757575757576,0.581060606060606,0.5845454545454546,0.5912121212121212,0.5924242424242424,0.5916666666666667,0.5996969696969697,0.5957575757575757,0.6046969696969697,0.6040909090909091,0.6125757575757576,0.6084848484848485,0.6187878787878788,0.6215151515151515,0.6168181818181818,0.6415151515151515,0.641969696969697,0.6442424242424243,0.6554545454545454,0.6568181818181819,0.6628787878787878,0.6757575757575758,0.6853030303030303,0.6871212121212121,0.6971212121212121,0.7046969696969697,0.7169696969696969
-4,0.5609090909090909,0.6216666666666667,0.6539393939393939,0.6554545454545454,0.6616666666666666,0.6692424242424242,0.6868181818181818,0.6995454545454546,0.7034848484848485,0.7157575757575757,0.7196969696969697,0.7257575757575757,0.7301515151515151,0.7351515151515151,0.7474242424242424,0.7465151515151515,0.7493939393939394,0.7504545454545455,0.7493939393939394,0.753030303030303,0.7656060606060606,0.769090909090909,0.764090909090909,0.7657575757575757,0.7712121212121212,0.7931818181818182,0.7925757575757576,0.7984848484848485,0.8003030303030303,0.8031818181818182,0.8087878787878788,0.8215151515151515,0.8318181818181818,0.8296969696969697,0.823030303030303,0.8421212121212122,0.8409090909090909
-2,0.6334848484848485,0.7215151515151516,0.7487878787878788,0.7643939393939394,0.7774242424242425,0.7868181818181819,0.8022727272727272,0.8033333333333333,0.8201515151515152,0.8243939393939393,0.8286363636363636,0.8333333333333334,0.8333333333333334,0.8396969696969697,0.8428787878787879,0.8448484848484848,0.8459090909090909,0.8524242424242424,0.8540909090909091,0.8589393939393939,0.8548484848484849,0.8596969696969697,0.8610606060606061,0.8665151515151515,0.8648484848484849,0.8783333333333333,0.8766666666666667,0.8812121212121212,0.8809090909090909,0.8836363636363637,0.8822727272727273,0.8924242424242425,0.8924242424242425,0.8945454545454545,0.8930303030303031,0.9030303030303032,0.9039393939393939
