SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
-20,0.0927272727272727,0.0913636363636363,0.0924242424242424,0.094090909090909,0.0934848484848484,0.0937878787878787,0.0943939393939393,0.0936363636363636,0.0951515151515151,0.0943939393939393,0.0951515151515151,0.095,0.096060606060606,0.0953030303030303,0.0953030303030303,0.0957575757575757,0.0948484848484848,0.0933333333333333,0.0965151515151515,0.0993939393939394,0.096060606060606,0.0977272727272727,0.0966666666666666,0.0968181818181818,0.1018181818181818,0.1018181818181818,0.1001515151515151,0.1025757575757575,0.1043939393939394,0.1048484848484848,0.1077272727272727,0.1069696969696969,0.1083333333333333,0.1124242424242424,0.1113636363636363,0.1137878787878787,0.1156060606060606,0.1137878787878787,0.1193939393939394,0.1163636363636363,0.1177272727272727,0.11954545454545455
-18,0.0924242424242424,0.0939393939393939,0.0989393939393939,0.0963636363636363,0.0956060606060606,0.096060606060606,0.096060606060606,0.0963636363636363,0.0969696969696969,0.0977272727272727,0.0968181818181818,0.0963636363636363,0.0996969696969697,0.0969696969696969,0.0981818181818181,0.0989393939393939,0.0992424242424242,0.099090909090909,0.0966666666666666,0.1,0.1001515151515151,0.0977272727272727,0.1007575757575757,0.1028787878787878,0.106060606060606,0.1039393939393939,0.1040909090909091,0.1071212121212121,0.1103030303030303,0.1086363636363636,0.1146969696969697,0.1125757575757575,0.1162121212121212,0.1192424242424242,0.1168181818181818,0.1218181818181818,0.1201515151515151,0.1227272727272727,0.1221212121212121,0.1265151515151515,0.1251515151515151,0.12651515151515152
-16,0.0901515151515151,0.0953030303030303,0.0957575757575757,0.0966666666666666,0.0986363636363636,0.0983333333333333,0.0983333333333333,0.0992424242424242,0.0981818181818181,0.0989393939393939,0.0996969696969697,0.0978787878787878,0.1016666666666666,0.1006060606060606,0.103030303030303,0.1007575757575757,0.1068181818181818,0.1048484848484848,0.1039393939393939,0.1036363636363636,0.1068181818181818,0.1072727272727272,0.1081818181818181,0.1116666666666666,0.106060606060606,0.1136363636363636,0.1172727272727272,0.116060606060606,0.1215151515151515,0.1212121212121212,0.1209090909090909,0.123030303030303,0.1324242424242424,0.1293939393939394,0.1325757575757575,0.1333333333333333,0.136060606060606,0.1357575757575757,0.1353030303030303,0.1393939393939394,0.1393939393939394,0.1390909090909091
-14,0.1036363636363636,0.1195454545454545,0.1239393939393939,0.1204545454545454,0.1222727272727272,0.1286363636363636,0.1257575757575757,0.1298484848484848,0.1283333333333333,0.1284848484848484,0.1324242424242424,0.1328787878787878,0.1365151515151515,0.1312121212121212,0.1362121212121212,0.1337878787878788,0.141060606060606,0.138030303030303,0.1357575757575757,0.1386363636363636,0.1433333333333333,0.1415151515151515,0.1431818181818182,0.1475757575757575,0.1471212121212121,0.1501515151515151,0.1515151515151515,0.1524242424242424,0.1583333333333333,0.1642424242424242,0.1657575757575757,0.161060606060606,0.1718181818181818,0.1715151515151515,0.1692424242424242,0.1756060606060606,0.1774242424242424,0.1768181818181818,0.1806060606060606,0.1813636363636363,0.1839393939393939,0.18303030303030304
-12,0.1313636363636363,0.1695454545454545,0.1766666666666666,0.1718181818181818,0.1746969696969696,0.1769696969696969,0.1816666666666666,0.181060606060606,0.1798484848484848,0.1804545454545454,0.1813636363636363,0.1769696969696969,0.1763636363636363,0.1746969696969696,0.1824242424242424,0.1793939393939393,0.1774242424242424,0.1825757575757575,0.1825757575757575,0.1834848484848484,0.1889393939393939,0.1868181818181818,0.1883333333333333,0.1943939393939394,0.2024242424242424,0.1966666666666666,0.2022727272727272,0.2053030303030303,0.213030303030303,0.2109090909090909,0.2178787878787878,0.2156060606060606,0.225,0.2301515151515151,0.2290909090909091,0.2269696969696969,0.2336363636363636,0.2343939393939394,0.2353030303030303,0.2396969696969697,0.2357575757575757,0.24303030303030304
-10,0.1977272727272727,0.255,0.2515151515151515,0.2590909090909091,0.2743939393939394,0.2678787878787879,0.2706060606060606,0.2716666666666666,0.2728787878787879,0.2809090909090909,0.2751515151515151,0.2793939393939394,0.2766666666666666,0.2781818181818182,0.28,0.2781818181818182,0.2781818181818182,0.2815151515151515,0.2775757575757576,0.2807575757575757,0.2842424242424242,0.2875757575757576,0.2866666666666667,0.2910606060606061,0.3048484848484848,0.3069696969696969,0.3069696969696969,0.3112121212121212,0.32,0.3301515151515151,0.3309090909090909,0.3287878787878788,0.3440909090909091,0.338030303030303,0.3390909090909091,0.346060606060606,0.3440909090909091,0.3457575757575757,0.3512121212121212,0.3556060606060606,0.3542424242424242,0.3527272727272727
-8,0.2995454545454545,0.3653030303030303,0.3684848484848484,0.3721212121212121,0.386060606060606,0.3819696969696969,0.3890909090909091,0.391060606060606,0.3943939393939394,0.3962121212121212,0.4046969696969697,0.411969696969697,0.4206060606060606,0.4233333333333333,0.4237878787878787,0.4313636363636363,0.4339393939393939,0.423030303030303,0.4301515151515152,0.4340909090909091,0.4312121212121212,0.433030303030303,0.4337878787878788,0.4433333333333333,0.4537878787878788,0.4668181818181818,0.4592424242424242,0.4712121212121212,0.4768181818181818,0.4795454545454545,0.4848484848484848,0.4856060606060606,0.4927272727272727,0.493030303030303,0.5053030303030303,0.4972727272727272,0.5056060606060606,0.5065151515151515,0.5107575757575757,0.5089393939393939,0.5086363636363637,0.5148484848484849
-6,0.4374242424242424,0.5066666666666667,0.5221212121212121,0.531060606060606,0.5304545454545454,0.5337878787878788,0.5456060606060606,0.5578787878787879,0.5509090909090909,0.5571212121212121,0.5646969696969697,0.5696969696969697,0.5821212121212122,0.5819696969696969,0.5860606060606061,0.5927272727272728,0.600909090909091,0.6054545454545455,0.6087878787878788,0.6134848484848485,0.6124242424242424,0.6177272727272727,0.6177272727272727,0.6374242424242424,0.6334848484848485,0.6437878787878788,0.6380303030303031,0.6515151515151515,0.6637878787878788,0.661969696969697,0.6631818181818182,0.6718181818181819,0.673030303030303,0.6837878787878788,0.6831818181818182,0.685,0.6909090909090909,0.6886363636363636,0.6981818181818182,0.6872727272727273,0.6986363636363636,0.698030303030303
-4,0.5496969696969697,0.6272727272727273,0.6395454545454545,0.651969696969697,0.6531818181818182,0.6662121212121213,0.6698484848484848,0.6804545454545454,0.6809090909090909,0.6884848484848485,0.698939393939394,0.7065151515151515,0.708030303030303,0.7121212121212122,0.7236363636363636,0.7339393939393939,0.7340909090909091,0.738030303030303,0.7421212121212121,0.7483333333333333,0.7568181818181818,0.7527272727272727,0.7571212121212121,0.77,0.7757575757575758,0.7813636363636364,0.7809090909090909,0.7854545454545454,0.7956060606060606,0.8001515151515152,0.808030303030303,0.8066666666666666,0.8084848484848485,0.813939393939394,0.8134848484848485,0.8178787878787879,0.8201515151515152,0.8233333333333334,0.826060606060606,0.8166666666666667,0.823030303030303,0.8257575757575758
-2,0.61,0.6892424242424242,0.7027272727272728,0.7292424242424242,0.7477272727272727,0.7625757575757576,0.7793939393939394,0.7816666666666666,0.7840909090909091,0.7856060606060606,0.7996969696969697,0.8078787878787879,0.8140909090909091,0.8168181818181818,0.8315151515151515,0.8340909090909091,0.8396969696969697,0.8440909090909091,0.8413636363636363,0.8510606060606061,0.8516666666666667,0.8574242424242424,0.855909090909091,0.8660606060606061,0.868030303030303,0.8743939393939394,0.8718181818181818,0.8771212121212121,0.8810606060606061,0.8813636363636363,0.8831818181818182,0.8848484848484849,0.8913636363636364,0.89,0.8898484848484849,0.8893939393939394,0.8956060606060606,0.8906060606060606,0.8925757575757576,0.8933333333333333,0.8954545454545455,0.8959090909090909
0,0.6362121212121212,0.7246969696969697,0.735909090909091,0.7745454545454545,0.7995454545454546,0.8087878787878788,0.825,0.826060606060606,0.8287878787878787,0.8424242424242424,0.8546969696969697,0.8590909090909091,0.8690909090909091,0.8801515151515151,0.885,0.8925757575757576,0.8963636363636364,0.8974242424242425,0.8996969696969697,0.901818181818182,0.9043939393939394,0.901818181818182,0.905,0.9103030303030304,0.915,0.916060606060606,0.9148484848484848,0.9127272727272728,0.9175757575757576,0.916969696969697,0.9165151515151516,0.9180303030303032,0.9203030303030304,0.922121212121212,0.9204545454545454,0.9225757575757576,0.9224242424242424,0.921818181818182,0.921818181818182,0.9216666666666666,0.918939393939394,0.9225757575757576
2,0.6372727272727273,0.7298484848484849,0.753030303030303,0.7918181818181819,0.8204545454545454,0.8274242424242424,0.8365151515151515,0.8416666666666667,0.8481818181818181,0.8603030303030303,0.8622727272727273,0.8742424242424243,0.8839393939393939,0.8915151515151515,0.9030303030303032,0.9045454545454544,0.9056060606060606,0.9083333333333332,0.911060606060606,0.9159090909090908,0.9130303030303032,0.9113636363636364,0.9212121212121211,0.9231818181818182,0.9231818181818182,0.9212121212121211,0.921818181818182,0.9212121212121211,0.9231818181818182,0.9233333333333332,0.9253030303030304,0.922121212121212,0.9236363636363636,0.9256060606060608,0.9253030303030304,0.9251515151515152,0.9245454545454546,0.9227272727272728,0.9272727272727272,0.9233333333333332,0.9242424242424242,0.9246969696969697
4,0.6334848484848485,0.7343939393939394,0.7643939393939394,0.7930303030303031,0.826969696969697,0.8342424242424242,0.8316666666666667,0.8393939393939394,0.8463636363636363,0.8610606060606061,0.865909090909091,0.8812121212121212,0.8871212121212121,0.8937878787878788,0.9051515151515152,0.9131818181818182,0.9074242424242424,0.9115151515151516,0.9157575757575758,0.9162121212121213,0.9196969696969696,0.9178787878787878,0.9215151515151516,0.921969696969697,0.922121212121212,0.9253030303030304,0.921818181818182,0.9245454545454546,0.928030303030303,0.9277272727272728,0.928030303030303,0.9268181818181818,0.9272727272727272,0.928030303030303,0.9268181818181818,0.9245454545454546,0.9259090909090908,0.928030303030303,0.9263636363636364,0.9268181818181818,0.9265151515151516,0.9262121212121213
6,0.6472727272727272,0.7404545454545455,0.769090909090909,0.8106060606060606,0.8296969696969697,0.8421212121212122,0.8459090909090909,0.8519696969696969,0.8607575757575757,0.8653030303030304,0.8678787878787879,0.8846969696969696,0.8928787878787878,0.8925757575757576,0.903939393939394,0.9104545454545454,0.9131818181818182,0.9159090909090908,0.9166666666666666,0.917121212121212,0.9195454545454546,0.9224242424242424,0.9206060606060606,0.9242424242424242,0.9262121212121212,0.9233333333333332,0.9253030303030304,0.9231818181818182,0.9298484848484848,0.9274242424242424,0.9254545454545454,0.9272727272727272,0.9275757575757576,0.9298484848484848,0.927121212121212,0.9245454545454546,0.9256060606060608,0.9253030303030304,0.927121212121212,0.9262121212121212,0.9281818181818182,0.9257575757575758
