SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
-20,0.0921212121212121,0.0933333333333333,0.094090909090909,0.0912121212121212,0.0925757575757575,0.0927272727272727,0.096060606060606,0.0951515151515151,0.0956060606060606,0.0954545454545454,0.0925757575757575,0.0943939393939393,0.0936363636363636,0.094090909090909,0.0965151515151515,0.0978787878787878,0.0942424242424242,0.0953030303030303,0.0987878787878787,0.0978787878787878,0.098030303030303,0.0995454545454545,0.0981818181818181,0.0983333333333333,0.1006060606060606,0.1042424242424242,0.1016666666666666,0.1045454545454545,0.1057575757575757,0.1045454545454545,0.1066666666666666,0.1115151515151515,0.1087878787878788,0.1142424242424242,0.1190909090909091,0.1153030303030303
-18,0.0922727272727272,0.0957575757575757,0.096060606060606,0.0942424242424242,0.0963636363636363,0.0972727272727272,0.0972727272727272,0.0957575757575757,0.096060606060606,0.0984848484848484,0.099090909090909,0.098030303030303,0.0981818181818181,0.096060606060606,0.1004545454545454,0.0993939393939394,0.1009090909090909,0.0983333333333333,0.1003030303030303,0.1025757575757575,0.1001515151515151,0.1028787878787878,0.1001515151515151,0.1043939393939394,0.1046969696969696,0.1051515151515151,0.1054545454545454,0.1065151515151515,0.108030303030303,0.1103030303030303,0.1128787878787878,0.1136363636363636,0.1136363636363636,0.1115151515151515,0.1189393939393939,0.12166666666666667
-16,0.094090909090909,0.0927272727272727,0.0993939393939394,0.0984848484848484,0.0977272727272727,0.0969696969696969,0.0978787878787878,0.099090909090909,0.1003030303030303,0.1007575757575757,0.1009090909090909,0.1013636363636363,0.1,0.1028787878787878,0.1015151515151515,0.0986363636363636,0.1021212121212121,0.1033333333333333,0.1045454545454545,0.1037878787878787,0.1003030303030303,0.106060606060606,0.1057575757575757,0.109090909090909,0.1081818181818181,0.1101515151515151,0.1106060606060606,0.1131818181818181,0.1131818181818181,0.1186363636363636,0.1178787878787878,0.1245454545454545,0.123030303030303,0.1236363636363636,0.1271212121212121,0.13606060606060605
-14,0.1122727272727272,0.1212121212121212,0.1251515151515151,0.1269696969696969,0.1246969696969697,0.1283333333333333,0.1275757575757575,0.1286363636363636,0.1292424242424242,0.1342424242424242,0.1351515151515151,0.1318181818181818,0.1404545454545454,0.1392424242424242,0.1406060606060606,0.1374242424242424,0.1457575757575757,0.1389393939393939,0.1412121212121212,0.1416666666666666,0.1422727272727272,0.1437878787878788,0.1436363636363636,0.1425757575757575,0.1478787878787879,0.1477272727272727,0.1539393939393939,0.1545454545454545,0.1525757575757576,0.1556060606060606,0.1603030303030303,0.1593939393939394,0.1678787878787878,0.1696969696969697,0.1706060606060606,0.17272727272727273
-12,0.1496969696969697,0.1763636363636363,0.1848484848484848,0.1843939393939394,0.1706060606060606,0.1757575757575757,0.1795454545454545,0.1713636363636363,0.1713636363636363,0.1768181818181818,0.173030303030303,0.1759090909090909,0.1771212121212121,0.1731818181818182,0.1786363636363636,0.179090909090909,0.1803030303030303,0.1825757575757575,0.1877272727272727,0.1845454545454545,0.1863636363636363,0.1895454545454545,0.1898484848484848,0.1895454545454545,0.1857575757575757,0.2007575757575757,0.1966666666666666,0.2033333333333333,0.2028787878787878,0.211060606060606,0.2151515151515151,0.2183333333333333,0.2165151515151515,0.2219696969696969,0.2328787878787878,0.2340909090909091
-10,0.225,0.2577272727272727,0.2587878787878788,0.2656060606060606,0.2707575757575757,0.2715151515151515,0.2754545454545454,0.2715151515151515,0.2672727272727273,0.2603030303030303,0.2678787878787879,0.2613636363636363,0.2643939393939394,0.2595454545454545,0.2689393939393939,0.2569696969696969,0.2665151515151515,0.2613636363636363,0.2709090909090909,0.2857575757575757,0.2839393939393939,0.2798484848484848,0.288030303030303,0.2836363636363636,0.2868181818181818,0.2943939393939394,0.3092424242424242,0.313030303030303,0.3146969696969697,0.3143939393939394,0.3246969696969697,0.3281818181818182,0.3306060606060606,0.3384848484848485,0.3465151515151515,0.3481818181818182
-8,0.3228787878787879,0.359090909090909,0.3654545454545455,0.3759090909090909,0.3887878787878788,0.3987878787878788,0.3977272727272727,0.3959090909090909,0.406060606060606,0.401060606060606,0.4066666666666667,0.4092424242424242,0.4203030303030303,0.4118181818181818,0.4118181818181818,0.4172727272727273,0.4178787878787879,0.4116666666666667,0.4089393939393939,0.42,0.4256060606060606,0.4289393939393939,0.4275757575757575,0.4307575757575758,0.4378787878787878,0.4522727272727272,0.4521212121212121,0.4609090909090909,0.4607575757575757,0.4681818181818182,0.4806060606060606,0.4924242424242424,0.4907575757575758,0.4977272727272727,0.5042424242424243,0.5040909090909091
-6,0.4442424242424242,0.5060606060606061,0.5307575757575758,0.5328787878787878,0.5351515151515152,0.5451515151515152,0.543939393939394,0.5554545454545454,0.568030303030303,0.5636363636363636,0.5804545454545454,0.581060606060606,0.5848484848484848,0.5913636363636363,0.5890909090909091,0.5963636363636363,0.5856060606060606,0.6019696969696969,0.6027272727272728,0.6012121212121212,0.6086363636363636,0.6092424242424243,0.616969696969697,0.6193939393939394,0.6260606060606061,0.6334848484848485,0.6346969696969696,0.6401515151515151,0.6459090909090909,0.6483333333333333,0.6637878787878788,0.6603030303030303,0.6681818181818182,0.6684848484848485,0.6804545454545454,0.6846969696969697
-4,0.5578787878787879,0.6193939393939394,0.6428787878787878,0.6543939393939394,0.6563636363636364,0.6683333333333333,0.675,0.6837878787878788,0.6966666666666667,0.7003030303030303,0.7071212121212122,0.7225757575757575,0.72,0.7296969696969697,0.7248484848484849,0.7318181818181818,0.730909090909091,0.7459090909090909,0.7465151515151515,0.7465151515151515,0.7466666666666667,0.7542424242424243,0.7434848484848485,0.7556060606060606,0.7556060606060606,0.7754545454545455,0.7795454545454545,0.7804545454545454,0.7798484848484849,0.776969696969697,0.7996969696969697,0.7977272727272727,0.8001515151515152,0.796969696969697,0.8136363636363636,0.815
-2,0.616969696969697,0.6890909090909091,0.7190909090909091,0.7465151515151515,0.7527272727272727,0.7634848484848484,0.7713636363636364,0.776060606060606,0.7971212121212121,0.8001515151515152,0.8077272727272727,0.8192424242424242,0.8192424242424242,0.8224242424242424,0.8265151515151515,0.8316666666666667,0.8375757575757575,0.8419696969696969,0.8395454545454546,0.8369696969696969,0.8490909090909091,0.8413636363636363,0.8481818181818181,0.8465151515151516,0.8504545454545455,0.8616666666666667,0.8610606060606061,0.8643939393939394,0.8689393939393939,0.8695454545454545,0.8762121212121212,0.8768181818181818,0.8766666666666667,0.8842424242424243,0.8871212121212121,0.8872727272727273
