SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
-20,0.0921212121212121,0.0937878787878787,0.0953030303030303,0.0934848484848484,0.0954545454545454,0.093030303030303,0.0939393939393939,0.0933333333333333,0.0956060606060606,0.0939393939393939,0.0956060606060606,0.0937878787878787,0.095,0.094090909090909,0.095,0.095,0.0936363636363636,0.094090909090909,0.0956060606060606,0.0953030303030303,0.0945454545454545,0.0956060606060606,0.0984848484848484,0.0963636363636363,0.099090909090909,0.1016666666666666,0.1018181818181818,0.0998484848484848,0.1022727272727272,0.1018181818181818,0.10666666666666667
-18,0.0942424242424242,0.096060606060606,0.095,0.0963636363636363,0.0966666666666666,0.0978787878787878,0.0981818181818181,0.0975757575757575,0.0959090909090909,0.0978787878787878,0.0995454545454545,0.0969696969696969,0.0978787878787878,0.0966666666666666,0.0963636363636363,0.0969696969696969,0.0992424242424242,0.0998484848484848,0.1001515151515151,0.1001515151515151,0.0992424242424242,0.1013636363636363,0.0993939393939394,0.1009090909090909,0.1004545454545454,0.1040909090909091,0.1048484848484848,0.1033333333333333,0.1101515151515151,0.1087878787878788,0.10939393939393939
-16,0.0937878787878787,0.098030303030303,0.1001515151515151,0.099090909090909,0.1012121212121212,0.1012121212121212,0.0996969696969697,0.1009090909090909,0.1031818181818181,0.1040909090909091,0.1004545454545454,0.1033333333333333,0.1012121212121212,0.1025757575757575,0.1037878787878787,0.1031818181818181,0.1042424242424242,0.1040909090909091,0.1048484848484848,0.1066666666666666,0.108030303030303,0.1024242424242424,0.1071212121212121,0.1062121212121212,0.1083333333333333,0.1127272727272727,0.1121212121212121,0.1153030303030303,0.1183333333333333,0.1178787878787878,0.11696969696969697
-14,0.1107575757575757,0.1253030303030303,0.1281818181818181,0.1216666666666666,0.131060606060606,0.1262121212121212,0.1269696969696969,0.1293939393939394,0.1371212121212121,0.1366666666666666,0.1327272727272727,0.1345454545454545,0.1303030303030303,0.1327272727272727,0.1334848484848484,0.1369696969696969,0.1365151515151515,0.1381818181818181,0.1353030303030303,0.143030303030303,0.1393939393939394,0.1427272727272727,0.1419696969696969,0.1443939393939394,0.1442424242424242,0.1516666666666666,0.1478787878787879,0.154090909090909,0.1578787878787878,0.1572727272727273,0.16818181818181818
-12,0.1412121212121212,0.1719696969696969,0.1725757575757575,0.17,0.1675757575757575,0.1704545454545454,0.1742424242424242,0.1751515151515151,0.1809090909090909,0.1803030303030303,0.1771212121212121,0.1812121212121212,0.1786363636363636,0.1866666666666666,0.1898484848484848,0.1822727272727272,0.1833333333333333,0.1857575757575757,0.1842424242424242,0.1939393939393939,0.1912121212121212,0.1919696969696969,0.1853030303030303,0.1945454545454545,0.1921212121212121,0.2063636363636363,0.1998484848484848,0.2040909090909091,0.208030303030303,0.2084848484848485,0.21696969696969698
-10,0.2236363636363636,0.255,0.2569696969696969,0.2593939393939394,0.2621212121212121,0.2619696969696969,0.2653030303030303,0.2584848484848485,0.2572727272727272,0.2613636363636363,0.2648484848484848,0.2637878787878788,0.2653030303030303,0.2603030303030303,0.2715151515151515,0.2703030303030303,0.2745454545454545,0.2786363636363636,0.2806060606060606,0.2766666666666666,0.281969696969697,0.2796969696969697,0.281969696969697,0.2862121212121212,0.2910606060606061,0.2963636363636364,0.3003030303030303,0.3027272727272727,0.3156060606060606,0.318030303030303,0.32227272727272727
-8,0.3119696969696969,0.3553030303030303,0.3727272727272727,0.3884848484848485,0.3839393939393939,0.3977272727272727,0.388030303030303,0.3956060606060606,0.4013636363636363,0.3939393939393939,0.3992424242424242,0.4007575757575757,0.4001515151515151,0.406060606060606,0.401969696969697,0.4048484848484848,0.415,0.405,0.4151515151515151,0.4178787878787879,0.4172727272727273,0.4307575757575758,0.4253030303030303,0.4195454545454545,0.4281818181818181,0.4419696969696969,0.4627272727272727,0.4609090909090909,0.461060606060606,0.4703030303030303,0.48318181818181816
-6,0.4422727272727272,0.5012121212121212,0.5048484848484849,0.5257575757575758,0.5378787878787878,0.556969696969697,0.5595454545454546,0.5707575757575758,0.5737878787878787,0.5696969696969697,0.576060606060606,0.5803030303030303,0.5881818181818181,0.5892424242424242,0.5856060606060606,0.5951515151515151,0.6003030303030303,0.5966666666666667,0.6021212121212122,0.6087878787878788,0.6112121212121212,0.6137878787878788,0.6128787878787879,0.616969696969697,0.6210606060606061,0.6395454545454545,0.6404545454545455,0.6472727272727272,0.6471212121212121,0.6507575757575758,0.6677272727272727
-4,0.5534848484848485,0.631969696969697,0.6353030303030303,0.6562121212121212,0.6680303030303031,0.6721212121212121,0.6881818181818182,0.6890909090909091,0.6931818181818182,0.7025757575757576,0.6993939393939393,0.7143939393939394,0.7131818181818181,0.7213636363636363,0.7216666666666667,0.7321212121212122,0.7313636363636363,0.7342424242424243,0.7324242424242424,0.7374242424242424,0.7418181818181818,0.7387878787878788,0.7451515151515151,0.7507575757575757,0.7512121212121212,0.7624242424242424,0.7659090909090909,0.769090909090909,0.771969696969697,0.7743939393939394,0.7846969696969697
-2,0.6377272727272727,0.7127272727272728,0.73,0.7540909090909091,0.769090909090909,0.7757575757575758,0.7883333333333333,0.7927272727272727,0.7954545454545454,0.8066666666666666,0.8090909090909091,0.8104545454545454,0.8113636363636364,0.8157575757575758,0.8146969696969697,0.818939393939394,0.8215151515151515,0.8254545454545454,0.8296969696969697,0.8293939393939394,0.8343939393939394,0.8407575757575757,0.8348484848484848,0.8404545454545455,0.8463636363636363,0.8556060606060606,0.8534848484848485,0.8528787878787879,0.8587878787878788,0.8578787878787879,0.8684848484848485
0,0.6934848484848485,0.7792424242424243,0.8001515151515152,0.8151515151515152,0.8363636363636363,0.8522727272727273,0.8557575757575757,0.8592424242424243,0.8622727272727273,0.8724242424242424,0.8757575757575757,0.8789393939393939,0.8778787878787879,0.8772727272727273,0.8783333333333333,0.881969696969697,0.8812121212121212,0.8892424242424243,0.8886363636363637,0.8881818181818182,0.8909090909090909,0.8933333333333333,0.895,0.8960606060606061,0.8963636363636364,0.9062121212121212,0.9045454545454544,0.9040909090909092,0.9063636363636364,0.911060606060606,0.9106060606060606
2,0.7031818181818181,0.8040909090909091,0.8312121212121212,0.8419696969696969,0.8663636363636363,0.8816666666666667,0.8768181818181818,0.8906060606060606,0.8951515151515151,0.8951515151515151,0.8934848484848484,0.8971212121212121,0.8987878787878788,0.9024242424242424,0.9063636363636364,0.906060606060606,0.9098484848484848,0.9083333333333332,0.91,0.911060606060606,0.9183333333333332,0.9163636363636364,0.9156060606060606,0.9133333333333332,0.9131818181818182,0.9207575757575758,0.921060606060606,0.9192424242424242,0.9196969696969696,0.9233333333333332,0.9242424242424242
4,0.7128787878787879,0.8134848484848485,0.8428787878787879,0.853030303030303,0.8731818181818182,0.8871212121212121,0.895,0.9031818181818182,0.901818181818182,0.906969696969697,0.9084848484848485,0.9098484848484848,0.9134848484848485,0.9137878787878788,0.9153030303030304,0.9156060606060606,0.9172727272727272,0.9162121212121213,0.918939393939394,0.9177272727272728,0.9227272727272728,0.9192424242424242,0.92,0.9213636363636364,0.92,0.9246969696969696,0.9233333333333332,0.921969696969697,0.923939393939394,0.9253030303030304,0.9263636363636364
6,0.7215151515151516,0.8304545454545454,0.8477272727272728,0.8604545454545455,0.8787878787878788,0.8933333333333333,0.8986363636363637,0.907121212121212,0.9083333333333332,0.9103030303030304,0.91,0.9125757575757576,0.9143939393939394,0.916818181818182,0.9195454545454546,0.9157575757575758,0.9177272727272728,0.9186363636363636,0.9212121212121211,0.9215151515151516,0.921969696969697,0.9215151515151516,0.9240909090909092,0.9237878787878788,0.9227272727272728,0.9281818181818182,0.9265151515151516,0.9257575757575758,0.923939393939394,0.9263636363636364,0.9259090909090909
8,0.7213636363636363,0.8259090909090909,0.8451515151515151,0.863030303030303,0.8804545454545455,0.8954545454545455,0.8998484848484849,0.9027272727272728,0.9030303030303032,0.906969696969697,0.911818181818182,0.911969696969697,0.9101515151515152,0.9122727272727272,0.913939393939394,0.9172727272727272,0.9183333333333332,0.9165151515151516,0.9215151515151516,0.9183333333333332,0.9209090909090908,0.9192424242424242,0.922121212121212,0.922121212121212,0.923030303030303,0.926060606060606,0.927121212121212,0.9254545454545454,0.9237878787878788,0.925,0.9253030303030303
10,0.7327272727272728,0.8243939393939393,0.8451515151515151,0.8643939393939394,0.8834848484848485,0.8956060606060606,0.9030303030303032,0.911060606060606,0.9086363636363636,0.9115151515151516,0.9133333333333332,0.9159090909090908,0.9122727272727272,0.9137878787878788,0.9175757575757576,0.921818181818182,0.92,0.9175757575757576,0.9180303030303032,0.9162121212121213,0.9204545454545454,0.922878787878788,0.9227272727272728,0.922121212121212,0.9243939393939394,0.9237878787878788,0.9265151515151516,0.9287878787878788,0.925,0.9275757575757576,0.9283333333333333
12,0.7218181818181818,0.823939393939394,0.8425757575757575,0.8563636363636363,0.8781818181818182,0.8839393939393939,0.8975757575757576,0.9003030303030303,0.9036363636363636,0.9065151515151516,0.9116666666666666,0.9077272727272728,0.9165151515151516,0.9130303030303032,0.9133333333333332,0.9183333333333332,0.9184848484848483,0.9186363636363636,0.921060606060606,0.9212121212121211,0.9231818181818182,0.9243939393939394,0.9212121212121211,0.922878787878788,0.9253030303030304,0.926969696969697,0.928030303030303,0.928030303030303,0.9277272727272728,0.927121212121212,0.928939393939394
