SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-20,0.0912121212121212,0.0948484848484848,0.0934848484848484,0.0948484848484848,0.0953030303030303,0.0928787878787878,0.0953030303030303,0.095,0.0936363636363636,0.0946969696969697,0.093030303030303,0.0934848484848484,0.096060606060606,0.0927272727272727,0.0943939393939393,0.094090909090909,0.0942424242424242,0.0959090909090909,0.0974242424242424,0.0971212121212121,0.0963636363636363,0.098030303030303,0.0975757575757575,0.1001515151515151,0.1004545454545454,0.1006060606060606,0.1034848484848484,0.1037878787878787,0.1063636363636363,0.1095454545454545,0.108030303030303,0.11136363636363636
-18,0.0968181818181818,0.0995454545454545,0.0954545454545454,0.0966666666666666,0.0946969696969697,0.0974242424242424,0.0962121212121212,0.0993939393939394,0.0983333333333333,0.0984848484848484,0.0965151515151515,0.0989393939393939,0.0989393939393939,0.0993939393939394,0.0975757575757575,0.0998484848484848,0.0989393939393939,0.0995454545454545,0.0992424242424242,0.1027272727272727,0.1025757575757575,0.1039393939393939,0.1027272727272727,0.1066666666666666,0.1093939393939393,0.106060606060606,0.1057575757575757,0.1096969696969697,0.1125757575757575,0.1121212121212121,0.1143939393939394,0.11575757575757575
-16,0.0946969696969697,0.0948484848484848,0.0992424242424242,0.0992424242424242,0.1012121212121212,0.1015151515151515,0.1045454545454545,0.1024242424242424,0.1019696969696969,0.101060606060606,0.1034848484848484,0.1012121212121212,0.1051515151515151,0.1034848484848484,0.1046969696969696,0.1077272727272727,0.1040909090909091,0.1096969696969697,0.105,0.1054545454545454,0.1092424242424242,0.11,0.1122727272727272,0.1121212121212121,0.115,0.1162121212121212,0.1213636363636363,0.1234848484848484,0.1265151515151515,0.1257575757575757,0.1312121212121212,0.12984848484848485
-14,0.1154545454545454,0.1243939393939393,0.1243939393939393,0.1289393939393939,0.1322727272727272,0.133030303030303,0.1303030303030303,0.1327272727272727,0.1336363636363636,0.1295454545454545,0.1312121212121212,0.1342424242424242,0.1351515151515151,0.1340909090909091,0.1328787878787878,0.1383333333333333,0.1404545454545454,0.1372727272727272,0.1386363636363636,0.1366666666666666,0.1472727272727272,0.1456060606060606,0.1465151515151515,0.1493939393939393,0.1507575757575757,0.1512121212121212,0.1643939393939394,0.163030303030303,0.1648484848484848,0.1616666666666666,0.1719696969696969,0.17727272727272728
-12,0.1463636363636363,0.1762121212121212,0.1698484848484848,0.1757575757575757,0.1692424242424242,0.1786363636363636,0.1751515151515151,0.1775757575757575,0.1781818181818182,0.181060606060606,0.1825757575757575,0.1801515151515151,0.1815151515151515,0.1819696969696969,0.1848484848484848,0.1887878787878787,0.1875757575757575,0.183030303030303,0.1871212121212121,0.1939393939393939,0.2015151515151515,0.2,0.2001515151515151,0.1987878787878788,0.2040909090909091,0.209090909090909,0.2107575757575757,0.2189393939393939,0.2181818181818181,0.2177272727272727,0.2240909090909091,0.22757575757575757
-10,0.2339393939393939,0.2531818181818182,0.2577272727272727,0.2584848484848485,0.2628787878787879,0.2603030303030303,0.2574242424242424,0.2618181818181818,0.2713636363636363,0.2666666666666666,0.2692424242424242,0.2621212121212121,0.2648484848484848,0.2759090909090909,0.2786363636363636,0.2737878787878788,0.2801515151515151,0.2728787878787879,0.2839393939393939,0.2845454545454545,0.2892424242424242,0.2965151515151515,0.3040909090909091,0.2986363636363636,0.3018181818181818,0.3122727272727272,0.3234848484848485,0.3198484848484848,0.3281818181818182,0.3318181818181818,0.3445454545454545,0.3456060606060606
-8,0.316060606060606,0.3496969696969697,0.3774242424242424,0.3816666666666666,0.3927272727272727,0.3915151515151515,0.3940909090909091,0.3987878787878788,0.4086363636363636,0.395,0.4037878787878788,0.4065151515151515,0.411969696969697,0.4134848484848485,0.414090909090909,0.4098484848484848,0.4189393939393939,0.4277272727272727,0.4283333333333333,0.4296969696969697,0.4362121212121212,0.4468181818181818,0.4536363636363636,0.4546969696969697,0.4590909090909091,0.4633333333333333,0.4774242424242424,0.4883333333333333,0.4921212121212121,0.4896969696969697,0.5092424242424243,0.5089393939393939
-6,0.4403030303030303,0.5056060606060606,0.5242424242424243,0.5356060606060606,0.5492424242424242,0.5622727272727273,0.5636363636363636,0.5753030303030303,0.5790909090909091,0.5840909090909091,0.5877272727272728,0.5916666666666667,0.595,0.5965151515151516,0.6,0.6066666666666667,0.6095454545454545,0.6098484848484849,0.6196969696969697,0.615909090909091,0.6392424242424243,0.6363636363636364,0.6468181818181818,0.6439393939393939,0.6463636363636364,0.6566666666666666,0.6718181818181819,0.6757575757575758,0.6834848484848485,0.6863636363636364,0.7012121212121212,0.698030303030303
-4,0.5657575757575758,0.6312121212121212,0.6525757575757576,0.6615151515151515,0.676060606060606,0.685,0.6972727272727273,0.7133333333333334,0.7196969696969697,0.7245454545454545,0.7251515151515151,0.7348484848484849,0.7366666666666667,0.7475757575757576,0.7504545454545455,0.7556060606060606,0.7543939393939394,0.7586363636363637,0.7656060606060606,0.7672727272727272,0.7906060606060606,0.7912121212121213,0.7898484848484848,0.7966666666666666,0.7977272727272727,0.7987878787878788,0.8174242424242424,0.8227272727272728,0.8236363636363636,0.8257575757575758,0.8374242424242424,0.8357575757575758
-2,0.6428787878787878,0.723939393939394,0.759090909090909,0.7768181818181819,0.7886363636363637,0.8006060606060607,0.8175757575757576,0.8256060606060606,0.8257575757575758,0.8372727272727273,0.8415151515151515,0.8469696969696969,0.8484848484848485,0.8542424242424242,0.8551515151515151,0.8483333333333334,0.8595454545454545,0.8631818181818182,0.8633333333333333,0.8637878787878788,0.873030303030303,0.8766666666666667,0.8777272727272727,0.8822727272727273,0.8766666666666667,0.8833333333333333,0.8878787878787879,0.8896969696969697,0.8906060606060606,0.8960606060606061,0.896969696969697,0.895
0,0.6904545454545454,0.7743939393939394,0.8090909090909091,0.8298484848484848,0.8466666666666667,0.8653030303030304,0.8790909090909091,0.8859090909090909,0.8828787878787879,0.8862121212121212,0.8934848484848484,0.8916666666666667,0.8971212121212121,0.8989393939393939,0.9001515151515151,0.8995454545454545,0.901969696969697,0.9036363636363636,0.9045454545454544,0.9090909090909092,0.9127272727272728,0.9145454545454546,0.9154545454545454,0.915,0.9128787878787878,0.9166666666666666,0.9184848484848483,0.9177272727272728,0.9196969696969696,0.9187878787878788,0.921060606060606,0.9178787878787878
2,0.698939393939394,0.7931818181818182,0.8337878787878787,0.8421212121212122,0.866969696969697,0.8804545454545455,0.8874242424242424,0.8939393939393939,0.8996969696969697,0.903939393939394,0.9074242424242424,0.9081818181818182,0.9066666666666666,0.9128787878787878,0.9142424242424242,0.9137878787878788,0.9142424242424242,0.9159090909090908,0.9156060606060606,0.9206060606060606,0.9243939393939394,0.9237878787878788,0.9231818181818182,0.9253030303030304,0.9233333333333332,0.9231818181818182,0.9245454545454546,0.926060606060606,0.9245454545454546,0.9242424242424242,0.9265151515151516,0.9266666666666666
4,0.7062121212121212,0.7963636363636364,0.8415151515151515,0.8566666666666667,0.8728787878787879,0.8872727272727273,0.8989393939393939,0.9040909090909092,0.9072727272727272,0.903939393939394,0.9127272727272728,0.9156060606060606,0.9140909090909092,0.9157575757575758,0.9165151515151516,0.9213636363636364,0.9174242424242424,0.92,0.92,0.92,0.9262121212121212,0.9266666666666666,0.9259090909090908,0.9245454545454546,0.9265151515151516,0.9245454545454546,0.9263636363636364,0.9265151515151516,0.927121212121212,0.928939393939394,0.9293939393939394,0.9274242424242424
