SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
-20,0.0912121212121212,0.0916666666666666,0.0925757575757575,0.0922727272727272,0.0915151515151515,0.094090909090909,0.0936363636363636,0.0918181818181818,0.0942424242424242,0.0953030303030303,0.094090909090909,0.0936363636363636,0.0937878787878787,0.0937878787878787,0.0939393939393939,0.096060606060606,0.0943939393939393,0.0963636363636363,0.0945454545454545,0.0959090909090909,0.0975757575757575,0.0962121212121212,0.0977272727272727,0.0962121212121212,0.0981818181818181,0.0995454545454545,0.1019696969696969,0.1012121212121212,0.1036363636363636,0.1043939393939394,0.1062121212121212,0.1051515151515151,0.1062121212121212,0.1074242424242424,0.1115151515151515,0.1124242424242424,0.1107575757575757,0.1134848484848484,0.11348484848484848
-18,0.0971212121212121,0.096060606060606,0.0963636363636363,0.0978787878787878,0.0977272727272727,0.096060606060606,0.096060606060606,0.0954545454545454,0.0968181818181818,0.0978787878787878,0.0986363636363636,0.0977272727272727,0.1,0.0972727272727272,0.0974242424242424,0.099090909090909,0.1001515151515151,0.0995454545454545,0.1028787878787878,0.0993939393939394,0.0978787878787878,0.0992424242424242,0.1015151515151515,0.0986363636363636,0.1006060606060606,0.1012121212121212,0.106060606060606,0.1045454545454545,0.103030303030303,0.1103030303030303,0.1107575757575757,0.1098484848484848,0.1086363636363636,0.1134848484848484,0.1146969696969697,0.114090909090909,0.1198484848484848,0.1190909090909091,0.11833333333333333
-16,0.0959090909090909,0.099090909090909,0.0969696969696969,0.0995454545454545,0.0986363636363636,0.1,0.1001515151515151,0.0998484848484848,0.1025757575757575,0.1042424242424242,0.1009090909090909,0.1006060606060606,0.1034848484848484,0.1022727272727272,0.1066666666666666,0.1037878787878787,0.1074242424242424,0.105,0.1056060606060606,0.1074242424242424,0.1042424242424242,0.1054545454545454,0.1065151515151515,0.1056060606060606,0.1101515151515151,0.1118181818181818,0.1142424242424242,0.1133333333333333,0.1122727272727272,0.1157575757575757,0.1172727272727272,0.1216666666666666,0.1224242424242424,0.1246969696969697,0.1295454545454545,0.1304545454545454,0.128030303030303,0.1348484848484848,0.1353030303030303
-14,0.109090909090909,0.1195454545454545,0.1233333333333333,0.1254545454545454,0.1286363636363636,0.1290909090909091,0.1303030303030303,0.1283333333333333,0.1319696969696969,0.1295454545454545,0.1312121212121212,0.1307575757575757,0.1316666666666666,0.1333333333333333,0.1369696969696969,0.1353030303030303,0.1381818181818181,0.1383333333333333,0.1371212121212121,0.1369696969696969,0.1377272727272727,0.1390909090909091,0.1419696969696969,0.1425757575757575,0.1486363636363636,0.1533333333333333,0.1466666666666666,0.1528787878787879,0.1503030303030303,0.1603030303030303,0.1601515151515151,0.1634848484848484,0.1681818181818181,0.1712121212121212,0.1751515151515151,0.1756060606060606,0.1737878787878788,0.173030303030303,0.18045454545454545
-12,0.145,0.1663636363636363,0.1654545454545454,0.1625757575757575,0.165,0.165,0.1712121212121212,0.1716666666666666,0.1728787878787878,0.1784848484848485,0.179090909090909,0.1777272727272727,0.1793939393939393,0.1783333333333333,0.1796969696969697,0.1804545454545454,0.1872727272727272,0.1818181818181818,0.1869696969696969,0.185,0.186060606060606,0.1845454545454545,0.1848484848484848,0.1895454545454545,0.1993939393939394,0.1972727272727272,0.198030303030303,0.1984848484848485,0.2084848484848485,0.2112121212121212,0.2207575757575757,0.2236363636363636,0.2265151515151515,0.2324242424242424,0.2421212121212121,0.2336363636363636,0.2374242424242424,0.2454545454545454,0.24606060606060606
-10,0.2236363636363636,0.261060606060606,0.2665151515151515,0.26,0.2515151515151515,0.2551515151515151,0.2481818181818181,0.2474242424242424,0.2539393939393939,0.2612121212121212,0.2569696969696969,0.2634848484848485,0.258030303030303,0.2536363636363636,0.2628787878787879,0.2562121212121212,0.2703030303030303,0.2669696969696969,0.2734848484848485,0.2792424242424242,0.2775757575757576,0.2815151515151515,0.2795454545454545,0.2845454545454545,0.2978787878787878,0.2983333333333333,0.3101515151515152,0.3128787878787878,0.3162121212121212,0.3256060606060606,0.3324242424242424,0.3392424242424242,0.3378787878787879,0.3481818181818182,0.3512121212121212,0.3572727272727273,0.3548484848484848,0.3586363636363636,0.36333333333333334
-8,0.3092424242424242,0.3527272727272727,0.3656060606060606,0.3703030303030303,0.3798484848484848,0.3892424242424242,0.3909090909090909,0.3831818181818182,0.3886363636363636,0.4009090909090909,0.3945454545454545,0.4007575757575757,0.4016666666666666,0.4003030303030303,0.4062121212121212,0.4109090909090909,0.4062121212121212,0.4053030303030303,0.4142424242424242,0.4121212121212121,0.4213636363636364,0.4283333333333333,0.4283333333333333,0.4295454545454545,0.4506060606060606,0.4543939393939394,0.458030303030303,0.4618181818181818,0.4639393939393939,0.4795454545454545,0.4818181818181818,0.4918181818181818,0.4939393939393939,0.5046969696969696,0.503030303030303,0.5139393939393939,0.5134848484848484,0.5318181818181819,0.526060606060606
-6,0.4295454545454545,0.4768181818181818,0.5007575757575757,0.5168181818181818,0.5293939393939394,0.5436363636363636,0.5507575757575758,0.5653030303030303,0.5675757575757576,0.5724242424242424,0.5725757575757576,0.5813636363636364,0.5845454545454546,0.5804545454545454,0.5922727272727273,0.5895454545454546,0.5881818181818181,0.5953030303030303,0.598030303030303,0.5957575757575757,0.5975757575757575,0.6036363636363636,0.6048484848484849,0.6131818181818182,0.6342424242424243,0.6365151515151515,0.6324242424242424,0.6365151515151515,0.6434848484848484,0.6556060606060606,0.6613636363636364,0.6672727272727272,0.6745454545454546,0.6886363636363636,0.6887878787878788,0.6936363636363636,0.6913636363636364,0.701060606060606,0.7012121212121212
-4,0.5359090909090909,0.6119696969696969,0.628030303030303,0.6495454545454545,0.6613636363636364,0.6786363636363636,0.6903030303030303,0.6963636363636364,0.7092424242424242,0.7031818181818181,0.7125757575757575,0.7196969696969697,0.7209090909090909,0.725,0.7331818181818182,0.7313636363636363,0.74,0.7390909090909091,0.7431818181818182,0.7474242424242424,0.7454545454545455,0.746969696969697,0.7504545454545455,0.7621212121212121,0.7686363636363637,0.7787878787878788,0.7742424242424243,0.7851515151515152,0.7843939393939394,0.8018181818181818,0.8025757575757576,0.8042424242424242,0.8098484848484848,0.8095454545454546,0.8192424242424242,0.8243939393939393,0.8207575757575758,0.8198484848484848,0.8254545454545454
-2,0.6256060606060606,0.7127272727272728,0.7287878787878788,0.7528787878787879,0.7643939393939394,0.78,0.7846969696969697,0.7948484848484848,0.8004545454545454,0.8107575757575758,0.8107575757575758,0.82,0.8218181818181818,0.8277272727272728,0.8272727272727273,0.8342424242424242,0.8333333333333334,0.8401515151515152,0.8384848484848485,0.8475757575757575,0.8390909090909091,0.843939393939394,0.8560606060606061,0.855909090909091,0.865909090909091,0.865909090909091,0.8690909090909091,0.8740909090909091,0.8648484848484849,0.8807575757575757,0.88,0.8839393939393939,0.885,0.8856060606060606,0.8857575757575757,0.8872727272727273,0.8896969696969697,0.8951515151515151,0.8937878787878788
0,0.6833333333333333,0.7846969696969697,0.8033333333333333,0.8192424242424242,0.8368181818181818,0.8592424242424243,0.8672727272727273,0.8678787878787879,0.8774242424242424,0.8792424242424243,0.8816666666666667,0.8857575757575757,0.8868181818181818,0.8863636363636364,0.8877272727272727,0.8896969696969697,0.894090909090909,0.8930303030303031,0.895,0.8972727272727272,0.8948484848484849,0.902121212121212,0.9007575757575758,0.9022727272727272,0.9057575757575758,0.9078787878787878,0.9053030303030304,0.9115151515151516,0.91,0.9133333333333332,0.912121212121212,0.9125757575757576,0.9140909090909092,0.9177272727272728,0.9153030303030304,0.9127272727272728,0.9159090909090908,0.9156060606060606,0.9157575757575758
2,0.705,0.8107575757575758,0.8245454545454546,0.8425757575757575,0.8668181818181818,0.8821212121212121,0.8918181818181818,0.891969696969697,0.8986363636363637,0.8992424242424243,0.9016666666666666,0.902121212121212,0.9016666666666666,0.906060606060606,0.906818181818182,0.9087878787878788,0.912121212121212,0.9113636363636364,0.9142424242424242,0.9134848484848485,0.912121212121212,0.9156060606060606,0.9192424242424242,0.9162121212121213,0.9234848484848484,0.9227272727272728,0.921969696969697,0.9231818181818182,0.9237878787878788,0.9233333333333332,0.9259090909090908,0.9257575757575758,0.9256060606060608,0.927121212121212,0.921969696969697,0.9251515151515152,0.9253030303030304,0.9243939393939394,0.9248484848484848
