SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
-20,0.0901515151515151,0.0927272727272727,0.0937878787878787,0.0928787878787878,0.09,0.0915151515151515,0.0927272727272727,0.0933333333333333,0.0945454545454545,0.096060606060606,0.094090909090909,0.0933333333333333,0.0943939393939393,0.095,0.0943939393939393,0.096060606060606,0.0945454545454545,0.0969696969696969,0.0989393939393939,0.0995454545454545,0.0969696969696969,0.1,0.1007575757575757,0.1009090909090909,0.1016666666666666,0.1027272727272727,0.1021212121212121,0.1031818181818181,0.1036363636363636,0.1034848484848484,0.1031818181818181,0.101060606060606,0.10363636363636364
-18,0.0913636363636363,0.0936363636363636,0.0951515151515151,0.0974242424242424,0.0975757575757575,0.0977272727272727,0.0974242424242424,0.0987878787878787,0.0974242424242424,0.0978787878787878,0.0993939393939394,0.0977272727272727,0.0996969696969697,0.0987878787878787,0.0986363636363636,0.099090909090909,0.1003030303030303,0.1015151515151515,0.1009090909090909,0.1009090909090909,0.1018181818181818,0.101060606060606,0.1016666666666666,0.1024242424242424,0.1051515151515151,0.1024242424242424,0.1062121212121212,0.1062121212121212,0.1042424242424242,0.1074242424242424,0.108030303030303,0.1063636363636363,0.10954545454545454
-16,0.0969696969696969,0.0972727272727272,0.0975757575757575,0.1004545454545454,0.0998484848484848,0.0998484848484848,0.1022727272727272,0.1006060606060606,0.1022727272727272,0.1027272727272727,0.1062121212121212,0.1043939393939394,0.1048484848484848,0.1057575757575757,0.1022727272727272,0.106060606060606,0.1048484848484848,0.1096969696969697,0.1069696969696969,0.1096969696969697,0.1113636363636363,0.1115151515151515,0.1134848484848484,0.113030303030303,0.1127272727272727,0.1142424242424242,0.1148484848484848,0.12,0.1201515151515151,0.1189393939393939,0.1174242424242424,0.1209090909090909,0.12166666666666667
-14,0.1156060606060606,0.1189393939393939,0.1186363636363636,0.1248484848484848,0.1274242424242424,0.1246969696969697,0.1287878787878787,0.1272727272727272,0.126060606060606,0.1292424242424242,0.1324242424242424,0.1325757575757575,0.1321212121212121,0.1283333333333333,0.1339393939393939,0.133030303030303,0.1356060606060606,0.1393939393939394,0.1418181818181818,0.1387878787878788,0.1456060606060606,0.1393939393939394,0.1474242424242424,0.1493939393939393,0.149090909090909,0.1506060606060606,0.1543939393939394,0.1559090909090909,0.1572727272727273,0.158030303030303,0.1643939393939394,0.1606060606060606,0.16
-12,0.1478787878787879,0.1595454545454545,0.1734848484848485,0.1734848484848485,0.1681818181818181,0.1684848484848485,0.1739393939393939,0.17,0.1695454545454545,0.1745454545454545,0.1768181818181818,0.1803030303030303,0.176060606060606,0.1812121212121212,0.1883333333333333,0.186060606060606,0.1833333333333333,0.1921212121212121,0.1936363636363636,0.1939393939393939,0.1966666666666666,0.191060606060606,0.1983333333333333,0.2001515151515151,0.2016666666666666,0.2003030303030303,0.2087878787878788,0.2077272727272727,0.2139393939393939,0.2107575757575757,0.2127272727272727,0.215,0.21409090909090908
-10,0.2190909090909091,0.2481818181818181,0.265,0.258030303030303,0.2543939393939394,0.258030303030303,0.2539393939393939,0.2548484848484848,0.2453030303030303,0.2518181818181818,0.2489393939393939,0.2528787878787878,0.256060606060606,0.249090909090909,0.2534848484848485,0.2569696969696969,0.2651515151515151,0.2657575757575757,0.2681818181818182,0.2796969696969697,0.2818181818181818,0.2806060606060606,0.2901515151515151,0.2956060606060606,0.3010606060606061,0.3037878787878788,0.3162121212121212,0.3125757575757575,0.3162121212121212,0.3162121212121212,0.3166666666666666,0.3225757575757575,0.32484848484848483
-8,0.3040909090909091,0.3577272727272727,0.3624242424242424,0.3718181818181818,0.3787878787878788,0.385,0.3836363636363636,0.3837878787878788,0.3859090909090909,0.3939393939393939,0.3872727272727272,0.4025757575757576,0.395,0.396969696969697,0.3971212121212121,0.3963636363636363,0.4022727272727273,0.41,0.4275757575757575,0.4195454545454545,0.4262121212121212,0.4389393939393939,0.4448484848484848,0.4474242424242424,0.4493939393939394,0.4527272727272727,0.455,0.4696969696969697,0.4715151515151515,0.4763636363636364,0.4754545454545454,0.4804545454545454,0.4825757575757576
-6,0.4287878787878788,0.5001515151515151,0.5098484848484849,0.5192424242424243,0.5359090909090909,0.551060606060606,0.555,0.5621212121212121,0.5704545454545454,0.573939393939394,0.5812121212121212,0.5869696969696969,0.5833333333333334,0.5836363636363636,0.5909090909090909,0.5957575757575757,0.5951515151515151,0.6054545454545455,0.6153030303030304,0.6184848484848485,0.6204545454545455,0.6218181818181818,0.6307575757575757,0.6334848484848485,0.6386363636363637,0.6460606060606061,0.6536363636363637,0.6583333333333333,0.6580303030303031,0.6639393939393939,0.6701515151515152,0.6663636363636364,0.6674242424242425
-4,0.5586363636363636,0.6242424242424243,0.6486363636363637,0.6439393939393939,0.6622727272727272,0.6759090909090909,0.6778787878787879,0.6871212121212121,0.7009090909090909,0.7069696969696969,0.713939393939394,0.7266666666666667,0.7198484848484848,0.7257575757575757,0.7324242424242424,0.7395454545454545,0.7454545454545455,0.7586363636363637,0.7645454545454545,0.761969696969697,0.7686363636363637,0.7668181818181818,0.776969696969697,0.7812121212121212,0.7857575757575758,0.7903030303030303,0.7996969696969697,0.8077272727272727,0.801969696969697,0.801060606060606,0.808030303030303,0.8090909090909091,0.8095454545454546
-2,0.641969696969697,0.7084848484848485,0.7325757575757575,0.7512121212121212,0.7704545454545455,0.79,0.7975757575757576,0.8112121212121212,0.8127272727272727,0.826060606060606,0.8313636363636364,0.8375757575757575,0.8368181818181818,0.8437878787878788,0.8415151515151515,0.850909090909091,0.8540909090909091,0.8627272727272727,0.8634848484848485,0.8703030303030304,0.8687878787878788,0.8666666666666667,0.8748484848484849,0.8839393939393939,0.8807575757575757,0.8831818181818182,0.8851515151515151,0.8857575757575757,0.8872727272727273,0.8887878787878788,0.8925757575757576,0.8913636363636364,0.8930303030303031
