SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
-20,0.0925757575757575,0.0925757575757575,0.095,0.094090909090909,0.0937878787878787,0.0946969696969697,0.094090909090909,0.0953030303030303,0.0921212121212121,0.0936363636363636,0.0951515151515151,0.0945454545454545,0.096060606060606,0.095,0.0951515151515151,0.0951515151515151,0.0943939393939393,0.0983333333333333,0.0975757575757575,0.0978787878787878,0.1,0.0975757575757575,0.1009090909090909,0.1006060606060606,0.1025757575757575,0.1013636363636363,0.1072727272727272,0.1062121212121212,0.1048484848484848,0.1081818181818181,0.109090909090909,0.1104545454545454,0.1101515151515151,0.11196969696969697
-18,0.0931818181818181,0.0951515151515151,0.0946969696969697,0.0956060606060606,0.0971212121212121,0.0969696969696969,0.0974242424242424,0.0943939393939393,0.099090909090909,0.099090909090909,0.0974242424242424,0.0971212121212121,0.0983333333333333,0.099090909090909,0.0962121212121212,0.1001515151515151,0.099090909090909,0.0984848484848484,0.1009090909090909,0.1001515151515151,0.1001515151515151,0.1003030303030303,0.1033333333333333,0.1048484848484848,0.1074242424242424,0.1066666666666666,0.1072727272727272,0.1081818181818181,0.1103030303030303,0.111060606060606,0.1103030303030303,0.1134848484848484,0.1116666666666666,0.11196969696969697
-16,0.0963636363636363,0.094090909090909,0.1003030303030303,0.0998484848484848,0.0981818181818181,0.1028787878787878,0.0992424242424242,0.1012121212121212,0.1004545454545454,0.1040909090909091,0.1015151515151515,0.1006060606060606,0.1015151515151515,0.1024242424242424,0.1012121212121212,0.1009090909090909,0.1063636363636363,0.1046969696969696,0.1086363636363636,0.109090909090909,0.1089393939393939,0.1074242424242424,0.1083333333333333,0.1119696969696969,0.1133333333333333,0.114090909090909,0.1159090909090909,0.1183333333333333,0.1195454545454545,0.1203030303030303,0.1198484848484848,0.1245454545454545,0.1203030303030303,0.12166666666666667
-14,0.1113636363636363,0.1239393939393939,0.126060606060606,0.1265151515151515,0.1263636363636363,0.1289393939393939,0.1342424242424242,0.1313636363636363,0.1316666666666666,0.1354545454545454,0.1369696969696969,0.1366666666666666,0.1353030303030303,0.1371212121212121,0.1331818181818181,0.1368181818181818,0.1395454545454545,0.1416666666666666,0.1425757575757575,0.1453030303030303,0.1440909090909091,0.146060606060606,0.1442424242424242,0.1519696969696969,0.1569696969696969,0.155,0.1546969696969697,0.1584848484848484,0.1633333333333333,0.1645454545454545,0.163030303030303,0.1712121212121212,0.1674242424242424,0.17
-12,0.1336363636363636,0.1689393939393939,0.1689393939393939,0.1643939393939394,0.1659090909090909,0.1707575757575757,0.1715151515151515,0.1784848484848485,0.1804545454545454,0.1798484848484848,0.1798484848484848,0.1859090909090909,0.1892424242424242,0.1812121212121212,0.1866666666666666,0.1857575757575757,0.193030303030303,0.1872727272727272,0.1939393939393939,0.1959090909090909,0.1995454545454545,0.1966666666666666,0.1995454545454545,0.2068181818181818,0.2084848484848485,0.2054545454545454,0.2096969696969697,0.2134848484848484,0.2206060606060606,0.2116666666666666,0.2193939393939394,0.2237878787878787,0.2263636363636363,0.2265151515151515
-10,0.209090909090909,0.246060606060606,0.2562121212121212,0.2434848484848485,0.2484848484848484,0.2412121212121212,0.2463636363636363,0.2498484848484848,0.2553030303030303,0.2521212121212121,0.2622727272727272,0.266060606060606,0.2586363636363636,0.2692424242424242,0.266060606060606,0.2712121212121212,0.2725757575757576,0.2740909090909091,0.2866666666666667,0.2878787878787879,0.2859090909090909,0.2960606060606061,0.2960606060606061,0.3036363636363636,0.3124242424242424,0.3133333333333333,0.3162121212121212,0.326060606060606,0.3246969696969697,0.3240909090909091,0.3321212121212121,0.3377272727272727,0.3372727272727273,0.3390909090909091
-8,0.3057575757575758,0.3536363636363636,0.3587878787878787,0.3771212121212121,0.3821212121212121,0.3737878787878788,0.3854545454545454,0.3831818181818182,0.3933333333333333,0.3831818181818182,0.3912121212121212,0.4007575757575757,0.3931818181818182,0.4045454545454545,0.4001515151515151,0.4087878787878788,0.4021212121212121,0.4166666666666667,0.4259090909090909,0.4298484848484848,0.4348484848484849,0.4365151515151515,0.445,0.4548484848484848,0.4609090909090909,0.4659090909090909,0.466969696969697,0.4837878787878787,0.4739393939393939,0.4825757575757576,0.4884848484848484,0.4916666666666666,0.5009090909090909,0.4990909090909091
-6,0.4381818181818182,0.4868181818181818,0.5022727272727273,0.5284848484848484,0.5416666666666666,0.5525757575757576,0.5495454545454546,0.5662121212121212,0.5737878787878787,0.5751515151515152,0.5857575757575758,0.5824242424242424,0.5906060606060606,0.5916666666666667,0.5990909090909091,0.5945454545454546,0.6039393939393939,0.6,0.6134848484848485,0.6268181818181818,0.6263636363636363,0.6222727272727273,0.6310606060606061,0.645,0.651060606060606,0.6474242424242425,0.6522727272727272,0.6609090909090909,0.6674242424242425,0.6743939393939394,0.6713636363636364,0.671969696969697,0.6827272727272727,0.6843939393939394
-4,0.5433333333333333,0.6113636363636363,0.6336363636363637,0.656969696969697,0.6715151515151515,0.6815151515151515,0.7,0.6990909090909091,0.7059090909090909,0.7184848484848485,0.7265151515151516,0.7221212121212122,0.7307575757575757,0.730909090909091,0.7321212121212122,0.743030303030303,0.7348484848484849,0.7413636363636363,0.76,0.765,0.7731818181818182,0.7716666666666666,0.7772727272727272,0.7862121212121213,0.7893939393939394,0.791060606060606,0.7937878787878788,0.8028787878787879,0.8056060606060607,0.8107575757575758,0.8084848484848485,0.8148484848484848,0.8148484848484848,0.8183333333333334
-2,0.6186363636363637,0.7112121212121212,0.7442424242424243,0.7633333333333333,0.7774242424242425,0.7904545454545454,0.7972727272727272,0.8037878787878788,0.808939393939394,0.8106060606060606,0.8243939393939393,0.8265151515151515,0.8307575757575758,0.8292424242424242,0.8345454545454546,0.8374242424242424,0.8421212121212122,0.8406060606060606,0.8531818181818182,0.8595454545454545,0.8571212121212122,0.8625757575757576,0.8639393939393939,0.8709090909090909,0.8696969696969697,0.8728787878787879,0.8772727272727273,0.8789393939393939,0.8807575757575757,0.8825757575757576,0.886969696969697,0.8893939393939394,0.885,0.8857575757575757
