SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
-20,0.1054722222222222,0.1066388888888889,0.1063888888888889,0.1064444444444444,0.1075833333333333,0.1049722222222222,0.1061111111111111,0.1061388888888889,0.1045833333333333,0.1091666666666666,0.1056944444444444,0.1073888888888889,0.1075277777777777,0.1079166666666666,0.1071666666666666,0.1074444444444444,0.1075555555555555,0.1076944444444444,0.1091388888888888,0.1108055555555555,0.1113333333333333,0.1127222222222222,0.1151111111111111,0.1156666666666666,0.1181666666666666,0.11852777777777777
-18,0.1084166666666666,0.1083333333333333,0.1092777777777777,0.1119722222222222,0.1105555555555555,0.1111388888888888,0.1116111111111111,0.1094444444444444,0.1119444444444444,0.1122222222222222,0.1131666666666666,0.1148055555555555,0.1116666666666666,0.1139722222222222,0.1129722222222222,0.1156388888888888,0.1146944444444444,0.1138888888888888,0.1154166666666666,0.1167222222222222,0.1183888888888888,0.1203888888888888,0.1211388888888889,0.1235555555555555,0.1218333333333333,0.12638888888888888
-16,0.1183888888888888,0.1212777777777777,0.1198611111111111,0.1251388888888888,0.1236111111111111,0.12575,0.1225555555555555,0.1213611111111111,0.1264444444444444,0.1254722222222222,0.1254166666666666,0.1240833333333333,0.1257777777777777,0.1253611111111111,0.1250555555555555,0.12725,0.1274444444444444,0.1298333333333333,0.1279444444444444,0.1291944444444444,0.1323333333333333,0.1329166666666666,0.1385555555555555,0.1383333333333333,0.1437222222222222,0.14322222222222222
-14,0.1417222222222222,0.1508611111111111,0.15175,0.1525,0.1550833333333333,0.1566944444444444,0.1602222222222222,0.1601111111111111,0.1626388888888889,0.1613055555555555,0.1607777777777777,0.1605,0.1618333333333333,0.1629444444444444,0.1652777777777777,0.1656944444444444,0.1651388888888889,0.1651388888888889,0.16825,0.1661944444444444,0.1734444444444444,0.1745,0.1758888888888889,0.1774166666666666,0.18225,0.18072222222222223
-12,0.1963055555555555,0.2068611111111111,0.2116666666666666,0.2181111111111111,0.2140833333333333,0.21725,0.2165833333333333,0.2153888888888888,0.2182777777777777,0.2197222222222222,0.21475,0.2167222222222222,0.2194722222222222,0.2200555555555555,0.21925,0.2179166666666666,0.2224722222222222,0.2204444444444444,0.2294722222222222,0.2238333333333333,0.23125,0.2360833333333333,0.2356666666666666,0.2363333333333333,0.2430277777777778,0.2423611111111111
-10,0.2928333333333333,0.2928888888888888,0.2922777777777778,0.2948888888888888,0.3039722222222222,0.3029722222222222,0.3055555555555556,0.30625,0.3099444444444444,0.3082777777777777,0.3129722222222222,0.3096111111111111,0.3117777777777777,0.3141666666666666,0.3147777777777777,0.3157222222222222,0.31525,0.3183055555555555,0.3188055555555555,0.3219166666666667,0.3291388888888888,0.3335,0.3328055555555556,0.3361388888888889,0.3412222222222222,0.34619444444444447
-8,0.3714166666666667,0.4013055555555556,0.405,0.4048611111111111,0.4094722222222222,0.4166111111111111,0.4199722222222222,0.4195555555555555,0.4221111111111111,0.4255,0.4330277777777778,0.4301111111111111,0.4337777777777777,0.4353888888888889,0.4332777777777777,0.4392777777777777,0.4395833333333333,0.442,0.4403888888888889,0.4470555555555555,0.4523888888888889,0.4593333333333333,0.4616388888888889,0.46425,0.4694166666666666,0.4751666666666667
-6,0.4763055555555555,0.5392222222222223,0.5607777777777778,0.5668888888888889,0.5686944444444444,0.5753611111111111,0.5783888888888888,0.5787222222222222,0.5838333333333333,0.5836111111111111,0.5909444444444445,0.5937222222222223,0.5975555555555555,0.5972222222222222,0.5978611111111111,0.6018888888888889,0.6044166666666667,0.6061666666666666,0.60975,0.6083888888888889,0.6203888888888889,0.6262222222222222,0.6289444444444444,0.6330277777777777,0.6406666666666667,0.6411666666666667
-4,0.6039722222222222,0.6788888888888889,0.70875,0.7191666666666666,0.7264444444444444,0.7309722222222222,0.7361111111111112,0.7391388888888889,0.74325,0.7427222222222222,0.7473611111111111,0.7498055555555555,0.7492777777777778,0.7555833333333334,0.7564166666666666,0.7591944444444444,0.7615555555555555,0.7623055555555556,0.7658888888888888,0.7676111111111111,0.7789166666666667,0.7806666666666666,0.7830277777777778,0.7865277777777778,0.7936388888888889,0.7951944444444444
-2,0.71325,0.7963888888888889,0.8259722222222222,0.8392777777777778,0.8451111111111111,0.84925,0.8545555555555555,0.8554444444444445,0.8589444444444444,0.8596111111111111,0.8626666666666667,0.8632222222222222,0.8674166666666666,0.8682222222222222,0.8662777777777778,0.8694166666666666,0.8713055555555556,0.86975,0.8721944444444445,0.8728611111111111,0.8806111111111111,0.8830277777777777,0.8823055555555556,0.8838611111111111,0.8877222222222222,0.8900555555555556
0,0.7710833333333333,0.8643611111111111,0.8888333333333334,0.8985555555555556,0.9049722222222222,0.9080277777777778,0.9083888888888888,0.9103333333333332,0.9116111111111111,0.9131666666666668,0.9123611111111112,0.9130277777777778,0.9148611111111112,0.9148888888888888,0.9149444444444444,0.91675,0.9164722222222222,0.9160833333333334,0.9170277777777778,0.9166111111111112,0.9205555555555556,0.9211111111111112,0.9209444444444445,0.9211666666666668,0.9237222222222222,0.9235833333333333
2,0.7919166666666667,0.8834444444444445,0.9106666666666666,0.9162222222222224,0.9198611111111112,0.9226944444444444,0.9226944444444444,0.9243888888888888,0.9245833333333332,0.9263055555555556,0.9263888888888888,0.9250277777777778,0.9271666666666668,0.9274722222222224,0.9273333333333332,0.9286944444444444,0.9274444444444444,0.9275555555555556,0.9283333333333332,0.9282222222222222,0.9313333333333332,0.93025,0.9305555555555556,0.9305277777777776,0.9312222222222222,0.9319722222222222
4,0.797,0.8915277777777778,0.9163333333333332,0.9218333333333332,0.9248611111111112,0.9276944444444444,0.9271666666666668,0.9283055555555556,0.929,0.9295833333333332,0.9303888888888888,0.9305555555555556,0.9301666666666668,0.9305277777777776,0.9316944444444444,0.9317777777777778,0.9319166666666666,0.9322777777777778,0.9320833333333334,0.9311666666666668,0.9326388888888888,0.9334166666666668,0.9329444444444444,0.9328888888888888,0.9335833333333332,0.9334722222222223
