SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
-20,0.1058611111111111,0.1066111111111111,0.1062222222222222,0.1047222222222222,0.1068611111111111,0.1063611111111111,0.1068611111111111,0.1076666666666666,0.1065555555555555,0.1058333333333333,0.1083333333333333,0.1078333333333333,0.1086111111111111,0.1082777777777777,0.1084722222222222,0.1098888888888888,0.11125,0.1115,0.1118888888888888,0.1126944444444444,0.1158055555555555,0.1176111111111111,0.1176111111111111,0.119,0.1213611111111111,0.1213611111111111,0.1236944444444444,0.1238888888888889,0.1271666666666666,0.1256111111111111,0.12644444444444444
-18,0.1056666666666666,0.1109166666666666,0.1128888888888888,0.1092777777777777,0.1115833333333333,0.1103333333333333,0.11125,0.1131388888888888,0.1090833333333333,0.10975,0.1136388888888888,0.11275,0.1124166666666666,0.1138055555555555,0.1146666666666666,0.1145833333333333,0.1143055555555555,0.1170833333333333,0.1176944444444444,0.11825,0.1184444444444444,0.1211944444444444,0.1206944444444444,0.123,0.1262222222222222,0.1283333333333333,0.1291111111111111,0.12825,0.1294722222222222,0.1318055555555555,0.13241666666666665
-16,0.1196388888888888,0.1211666666666666,0.1203888888888888,0.1193888888888888,0.1242777777777777,0.1245277777777777,0.1230833333333333,0.1258055555555555,0.1242222222222222,0.1237777777777777,0.1263888888888888,0.1256111111111111,0.1251111111111111,0.1240555555555555,0.1277777777777777,0.1273333333333333,0.1276111111111111,0.1319722222222222,0.1339722222222222,0.1353055555555555,0.1343611111111111,0.1362222222222222,0.1401666666666666,0.1421666666666666,0.1421388888888889,0.1438055555555555,0.1486388888888888,0.1473333333333333,0.1494166666666666,0.1504722222222222,0.1513611111111111
-14,0.1421388888888889,0.1532777777777778,0.1573888888888888,0.1584722222222222,0.16225,0.1640555555555555,0.15975,0.1601388888888889,0.1613055555555555,0.1635833333333333,0.1613611111111111,0.1640833333333333,0.1658888888888889,0.1645833333333333,0.1656388888888889,0.1623888888888889,0.1660555555555555,0.1696666666666666,0.17375,0.1740555555555555,0.1736666666666666,0.1746111111111111,0.1801944444444444,0.1802777777777778,0.1825277777777778,0.1840555555555555,0.1888055555555555,0.1856944444444444,0.1883333333333333,0.1913055555555555,0.1931388888888889
-12,0.1934722222222222,0.2078055555555555,0.2130555555555555,0.2123888888888888,0.2123888888888888,0.2171666666666666,0.2134444444444444,0.2138333333333333,0.2164166666666666,0.2157222222222222,0.2185555555555555,0.2201111111111111,0.2214722222222222,0.2192222222222222,0.2203611111111111,0.2245555555555555,0.2235833333333333,0.2316666666666666,0.2318055555555555,0.2314722222222222,0.2343611111111111,0.2319166666666666,0.2423333333333333,0.2424444444444444,0.2424444444444444,0.2441111111111111,0.2491388888888888,0.2483055555555555,0.2478055555555555,0.2505277777777778,0.2554444444444444
-10,0.28,0.2898333333333333,0.2914166666666666,0.2925833333333333,0.3020833333333333,0.29925,0.2992222222222222,0.2998333333333333,0.3050833333333333,0.3059444444444444,0.3090277777777778,0.3088888888888889,0.3113611111111111,0.3100555555555555,0.3124166666666667,0.3149722222222222,0.3154166666666667,0.3251666666666666,0.3290277777777777,0.3301666666666666,0.3330277777777777,0.3346111111111111,0.3439166666666666,0.3409166666666666,0.3476666666666667,0.3460833333333333,0.3525,0.3549166666666666,0.3566388888888889,0.3591666666666667,0.36188888888888887
-8,0.3695,0.3975,0.3945,0.4040555555555555,0.4091388888888889,0.4111944444444444,0.4210833333333333,0.4225833333333333,0.4246111111111111,0.42475,0.4299166666666666,0.4295555555555556,0.4343333333333333,0.4348611111111111,0.4372777777777777,0.4380555555555555,0.4426666666666666,0.4544444444444444,0.4539166666666667,0.4603055555555556,0.4611666666666666,0.4629444444444444,0.4721111111111111,0.4778055555555555,0.4796944444444444,0.4798333333333333,0.4863888888888888,0.4880555555555556,0.4885277777777778,0.4930555555555556,0.49483333333333335
-6,0.4950555555555556,0.5350833333333334,0.5542222222222222,0.5626666666666666,0.5658888888888889,0.5713333333333334,0.5761388888888889,0.5804444444444444,0.5836111111111111,0.58675,0.5906944444444444,0.5952777777777778,0.5958611111111111,0.598,0.60075,0.6035555555555555,0.6080833333333333,0.6199722222222223,0.6240833333333333,0.6250833333333333,0.6276666666666667,0.6330555555555556,0.6403611111111112,0.6436111111111111,0.64625,0.6474722222222222,0.6545,0.6556944444444445,0.6585277777777778,0.65825,0.6616388888888889
-4,0.6195833333333334,0.6772222222222222,0.7076666666666667,0.7192777777777778,0.7277222222222223,0.7305555555555555,0.7368888888888889,0.7428611111111111,0.74275,0.7458611111111111,0.7498055555555555,0.7531666666666667,0.7515277777777778,0.7556388888888889,0.7575277777777778,0.7614444444444445,0.7634166666666666,0.7762222222222223,0.7776388888888889,0.7805,0.7837222222222222,0.7843611111111111,0.7933611111111111,0.7956666666666666,0.7960555555555555,0.7966666666666666,0.8014722222222223,0.8059444444444445,0.8070277777777778,0.8060555555555555,0.8089722222222222
-2,0.7144166666666667,0.7904444444444444,0.8229166666666666,0.8376666666666667,0.8428333333333333,0.8478333333333333,0.8522222222222222,0.8569722222222222,0.8556666666666667,0.8611111111111112,0.8621111111111112,0.8631111111111112,0.8669166666666667,0.8670277777777777,0.87075,0.8706666666666667,0.8703888888888889,0.8793333333333333,0.8809166666666667,0.8830555555555556,0.8822777777777778,0.8817777777777778,0.8880555555555556,0.8886666666666667,0.8901111111111111,0.8902777777777777,0.8915833333333333,0.8940833333333333,0.8928888888888888,0.8949444444444444,0.895
0,0.7776111111111111,0.85425,0.8881111111111111,0.8989722222222222,0.9039722222222222,0.906,0.9081666666666668,0.91125,0.9115555555555556,0.9129166666666668,0.9133333333333332,0.9149722222222222,0.9143611111111112,0.9162222222222224,0.9166111111111112,0.9166111111111112,0.9170277777777778,0.9208611111111112,0.9205,0.9216111111111112,0.9208888888888888,0.9212222222222224,0.9236388888888888,0.9229722222222222,0.9227222222222222,0.9233055555555556,0.9249444444444443,0.9253888888888888,0.9239722222222222,0.9240555555555556,0.9262222222222222
