SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
-20,0.1038888888888888,0.1054444444444444,0.1050833333333333,0.1045277777777777,0.10375,0.1061388888888889,0.1068611111111111,0.106,0.1058333333333333,0.1054444444444444,0.1049444444444444,0.1086388888888888,0.10725,0.1072222222222222,0.1081944444444444,0.1090555555555555,0.1079722222222222,0.1093611111111111,0.1098611111111111,0.1139722222222222,0.11,0.1129722222222222,0.1158055555555555,0.1171666666666666,0.1189444444444444,0.1205555555555555,0.1249722222222222,0.1263333333333333,0.12775,0.12775,0.1311944444444444,0.1311666666666666,0.1342777777777777,0.1352777777777777,0.1353888888888889
-18,0.1078055555555555,0.1066944444444444,0.108,0.1101666666666666,0.1114166666666666,0.1111944444444444,0.1136111111111111,0.1135555555555555,0.11275,0.1120277777777777,0.1130277777777777,0.1146666666666666,0.1133888888888888,0.1112222222222222,0.1110833333333333,0.1133055555555555,0.1167777777777777,0.1153333333333333,0.1146666666666666,0.1169444444444444,0.1169166666666666,0.1190277777777777,0.1218888888888889,0.1245277777777777,0.1249444444444444,0.1265833333333333,0.13075,0.1324444444444444,0.1343055555555555,0.1348611111111111,0.1396944444444444,0.1388888888888889,0.1421111111111111,0.1406666666666666,0.1416388888888889
-16,0.1158888888888888,0.12275,0.1226666666666666,0.1249722222222222,0.1241388888888888,0.1246111111111111,0.12575,0.1253611111111111,0.1256666666666666,0.1256944444444444,0.1265277777777777,0.1271944444444444,0.125,0.1264722222222222,0.1272777777777777,0.1275833333333333,0.1278333333333333,0.1305,0.1310555555555555,0.1308611111111111,0.1328055555555555,0.1328333333333333,0.1398611111111111,0.13875,0.1404722222222222,0.14325,0.1495,0.1498888888888888,0.1532222222222222,0.1534166666666666,0.1563333333333333,0.1599722222222222,0.1578055555555555,0.1589166666666666,0.16344444444444445
-14,0.1413055555555555,0.1532777777777778,0.1541111111111111,0.15725,0.1592222222222222,0.1586111111111111,0.1601111111111111,0.1616944444444444,0.1649166666666666,0.1642777777777777,0.1642222222222222,0.1624444444444444,0.1677222222222222,0.1660833333333333,0.1651388888888889,0.1657777777777777,0.1675,0.1663333333333333,0.1689444444444444,0.1698611111111111,0.1717222222222222,0.1690555555555555,0.1763055555555555,0.1784166666666666,0.1801944444444444,0.1831388888888888,0.1876666666666666,0.1910277777777777,0.1936388888888889,0.1931666666666666,0.2004444444444444,0.1986111111111111,0.1995277777777777,0.2015,0.20391666666666666
-12,0.1946944444444444,0.2091666666666666,0.2118055555555555,0.2188055555555555,0.2200555555555555,0.2203055555555555,0.2204722222222222,0.2230833333333333,0.2185,0.2170277777777777,0.2212777777777777,0.2205833333333333,0.2224166666666666,0.22325,0.2224166666666666,0.2259166666666666,0.2267777777777777,0.2264444444444444,0.2283333333333333,0.2306111111111111,0.2276388888888889,0.2306666666666666,0.2374166666666666,0.2396666666666666,0.2428055555555555,0.2426944444444444,0.2509166666666667,0.2524166666666667,0.2536111111111111,0.2530833333333333,0.2573888888888889,0.2606944444444444,0.2604444444444444,0.2628888888888889,0.2643611111111111
-10,0.2828055555555555,0.2954722222222222,0.2918888888888888,0.2960555555555555,0.3059166666666666,0.3085833333333333,0.3107777777777777,0.3107222222222222,0.3119722222222222,0.3142777777777777,0.3192777777777777,0.31775,0.3180555555555555,0.3214722222222222,0.3198611111111111,0.3251666666666666,0.3266666666666666,0.3307222222222222,0.33025,0.3316388888888888,0.3331944444444444,0.3341388888888889,0.3422222222222222,0.3501388888888889,0.3488055555555555,0.3533611111111111,0.3633055555555555,0.36075,0.3646944444444444,0.3658333333333333,0.3746388888888889,0.3745555555555555,0.3746666666666666,0.3763888888888889,0.37727777777777777
-8,0.3668888888888889,0.3922222222222222,0.4091111111111111,0.4192777777777778,0.4211944444444444,0.4241944444444444,0.4331111111111111,0.4353055555555555,0.4367777777777777,0.43925,0.4423055555555555,0.4405277777777778,0.44825,0.4520833333333333,0.4496666666666666,0.4523611111111111,0.4542777777777778,0.4589722222222222,0.4593611111111111,0.4618888888888889,0.4636944444444444,0.4686666666666667,0.4788333333333333,0.4847777777777777,0.4866388888888889,0.4901944444444444,0.4959722222222222,0.5016944444444444,0.5049444444444444,0.5044166666666666,0.5128888888888888,0.5112777777777778,0.5155,0.5150277777777778,0.5198333333333334
-6,0.4846111111111111,0.5246944444444445,0.5670277777777778,0.5776944444444444,0.5782222222222222,0.5831944444444445,0.5885,0.5911111111111111,0.5969166666666667,0.5996388888888889,0.6023888888888889,0.6074722222222222,0.6100555555555556,0.6099166666666667,0.6127777777777778,0.6130277777777777,0.6193888888888889,0.6202777777777778,0.6220555555555556,0.6241111111111111,0.6314166666666666,0.6322777777777778,0.6465555555555556,0.6490833333333333,0.6542777777777777,0.6554166666666666,0.6641944444444444,0.6674444444444444,0.6701111111111111,0.6748055555555555,0.6794166666666667,0.6831388888888889,0.6821944444444444,0.6819166666666666,0.6914444444444444
-4,0.6085277777777778,0.6679444444444445,0.7135555555555556,0.7349444444444444,0.7448333333333333,0.75225,0.7574166666666666,0.7599444444444444,0.7653055555555556,0.76875,0.7723333333333333,0.7749444444444444,0.7804166666666666,0.7823333333333333,0.7866944444444445,0.7880555555555555,0.7899166666666667,0.7915277777777778,0.7930555555555555,0.7971111111111111,0.7968888888888889,0.8015555555555556,0.8116666666666666,0.8165555555555556,0.8173888888888889,0.8211666666666667,0.8304444444444444,0.8328333333333333,0.8311388888888889,0.8358611111111112,0.8401944444444445,0.8396666666666667,0.8413333333333334,0.8437222222222223,0.8473888888888889
-2,0.6881388888888889,0.7772222222222223,0.8396944444444444,0.8583333333333333,0.8686388888888888,0.8724444444444445,0.8758055555555555,0.8774722222222222,0.8809444444444444,0.8819166666666667,0.8846666666666667,0.8873055555555556,0.8880277777777777,0.8904444444444445,0.8915277777777778,0.8911666666666667,0.8921111111111111,0.8928888888888888,0.8951944444444444,0.8953611111111112,0.8962222222222223,0.8968888888888888,0.9028055555555556,0.9037777777777778,0.9041111111111112,0.9043611111111112,0.9093888888888888,0.9105,0.9100555555555556,0.9109166666666668,0.9127222222222222,0.9133333333333332,0.9134722222222222,0.9139722222222222,0.91425
