SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
-20,0.1029444444444444,0.1037777777777777,0.1056388888888889,0.1078333333333333,0.1038888888888888,0.1039722222222222,0.1058333333333333,0.1085833333333333,0.1062777777777777,0.1074166666666666,0.1079166666666666,0.1056111111111111,0.1075,0.106,0.1073055555555555,0.1086111111111111,0.1098611111111111,0.1105833333333333,0.1094722222222222,0.1095,0.1127222222222222,0.1141944444444444,0.1125,0.1133333333333333,0.1153888888888888,0.1165,0.1161111111111111,0.1185833333333333,0.1192777777777777,0.1173888888888888,0.1211666666666666,0.11925,0.11955555555555555
-18,0.1079444444444444,0.1090833333333333,0.1097777777777777,0.1096666666666666,0.1094166666666666,0.1121944444444444,0.1118333333333333,0.1106666666666666,0.1135,0.1123333333333333,0.1118611111111111,0.1125833333333333,0.1130277777777777,0.11375,0.10975,0.1132777777777777,0.1156111111111111,0.1163888888888888,0.1172222222222222,0.1175,0.1194166666666666,0.1198611111111111,0.1194722222222222,0.1211111111111111,0.1226944444444444,0.12325,0.123,0.1232777777777777,0.1241388888888888,0.1266666666666666,0.1277777777777777,0.1263055555555555,0.12594444444444444
-16,0.1178055555555555,0.11975,0.12225,0.1246388888888888,0.1264166666666666,0.1254722222222222,0.1256666666666666,0.127,0.1245277777777777,0.1260277777777777,0.1268055555555555,0.1278055555555555,0.125,0.1257777777777777,0.1288888888888889,0.1301388888888889,0.1303611111111111,0.1305555555555555,0.1315277777777777,0.1321944444444444,0.1367222222222222,0.1353888888888889,0.1348055555555555,0.1360833333333333,0.1400833333333333,0.1406388888888889,0.1414166666666666,0.1437777777777777,0.1443611111111111,0.1418055555555555,0.1441111111111111,0.14225,0.1425
-14,0.1405,0.1538611111111111,0.157,0.1578611111111111,0.1610277777777777,0.1635555555555555,0.1609722222222222,0.1617222222222222,0.1597777777777777,0.1610555555555555,0.1625555555555555,0.1614166666666666,0.1639444444444444,0.1627222222222222,0.1642222222222222,0.1664444444444444,0.16975,0.1681111111111111,0.1728611111111111,0.1700277777777777,0.1743888888888889,0.17325,0.1755555555555555,0.1790277777777777,0.1786111111111111,0.1798611111111111,0.1794166666666666,0.1821111111111111,0.1835,0.1850833333333333,0.1851666666666666,0.18475,0.18494444444444444
-12,0.1963611111111111,0.2149444444444444,0.21075,0.2138055555555555,0.21675,0.2157777777777778,0.2154166666666666,0.2122777777777778,0.2195,0.2150833333333333,0.2189444444444444,0.2199444444444444,0.2191666666666666,0.2238055555555555,0.2187222222222222,0.222,0.2271111111111111,0.2254166666666666,0.2246388888888889,0.2246111111111111,0.2286666666666666,0.2319722222222222,0.2319166666666666,0.2331111111111111,0.2348611111111111,0.2381944444444444,0.2399166666666666,0.2400555555555555,0.2406666666666666,0.2397777777777777,0.2449444444444444,0.2389722222222222,0.2421111111111111
-10,0.2803055555555555,0.2994166666666666,0.2928888888888888,0.2955833333333333,0.3006666666666667,0.3046111111111111,0.3066944444444444,0.30725,0.3110277777777778,0.3105833333333333,0.3126666666666666,0.3143333333333333,0.3149722222222222,0.3143333333333333,0.3154166666666667,0.3229444444444444,0.3250833333333333,0.3266111111111111,0.3230277777777778,0.3315833333333333,0.3319444444444444,0.3309722222222222,0.3341944444444444,0.3355277777777777,0.3375,0.3414444444444444,0.341,0.3409444444444444,0.3439444444444444,0.34175,0.3445833333333333,0.3412222222222222,0.34455555555555556
-8,0.3616111111111111,0.3934166666666667,0.4080555555555555,0.4087222222222222,0.4153611111111111,0.4172222222222222,0.4236388888888889,0.4265555555555556,0.4248611111111111,0.4280833333333333,0.4317777777777777,0.4301388888888889,0.4335833333333333,0.4368888888888889,0.4388611111111111,0.451,0.4510277777777778,0.4518611111111111,0.4529166666666667,0.4546388888888888,0.4602222222222222,0.4600277777777777,0.4624166666666666,0.4649166666666666,0.47075,0.4688888888888889,0.4724444444444444,0.4738055555555555,0.4758611111111111,0.4775833333333333,0.47475,0.4787222222222222,0.479
-6,0.4721111111111111,0.5118611111111111,0.5412777777777777,0.5599166666666666,0.5601944444444444,0.5628055555555556,0.5648888888888889,0.5696388888888889,0.5731666666666667,0.5792222222222222,0.5778611111111112,0.5821111111111111,0.5859722222222222,0.5846666666666667,0.5880833333333333,0.59575,0.6013055555555555,0.6038888888888889,0.6035555555555555,0.603,0.6130555555555556,0.6140277777777777,0.6185277777777778,0.6206944444444444,0.6258888888888889,0.6275,0.6275,0.6305277777777778,0.6328055555555555,0.6324444444444445,0.6340555555555556,0.6331944444444444,0.6348888888888888
-4,0.6024444444444444,0.6501944444444444,0.6883055555555555,0.7100555555555556,0.72075,0.7279722222222222,0.7324444444444445,0.7344444444444445,0.7389444444444444,0.7410555555555556,0.7421666666666666,0.7436111111111111,0.7483611111111111,0.7483888888888889,0.7505833333333334,0.7625,0.7656666666666667,0.7653055555555556,0.7701111111111111,0.7701111111111111,0.7771388888888889,0.7788055555555555,0.7779166666666667,0.7808055555555555,0.7871111111111111,0.7876944444444445,0.7874444444444444,0.7907222222222222,0.7917777777777778,0.7951388888888888,0.7928888888888889,0.7946388888888889,0.7955555555555556
-2,0.6913333333333334,0.7639166666666667,0.8103333333333333,0.8386944444444444,0.8456111111111111,0.8489166666666667,0.85475,0.8585555555555555,0.8616388888888888,0.8648333333333333,0.8640833333333333,0.8645277777777778,0.8668888888888889,0.8678888888888889,0.8695833333333334,0.8783888888888889,0.8806111111111111,0.8803611111111111,0.8799722222222223,0.8810833333333333,0.8856944444444445,0.8845833333333334,0.8868611111111111,0.8868333333333334,0.8888611111111111,0.891,0.8906111111111111,0.8906944444444445,0.8924444444444445,0.8926666666666667,0.8933611111111112,0.8928055555555555,0.8929722222222222
0,0.7425277777777778,0.824,0.8752222222222222,0.8989444444444444,0.9049166666666668,0.9081944444444444,0.9108333333333334,0.9115277777777778,0.9123888888888888,0.9131111111111112,0.9136388888888888,0.9149722222222222,0.9152222222222224,0.91725,0.9169166666666668,0.9201944444444444,0.92075,0.9201388888888888,0.9202777777777778,0.9220555555555556,0.9233888888888888,0.9223055555555556,0.9229444444444443,0.9236666666666666,0.9239444444444443,0.9246388888888888,0.9250277777777778,0.9244722222222224,0.9258055555555555,0.9263055555555556,0.9258888888888888,0.9256666666666666,0.9261666666666667
2,0.7574722222222222,0.8410555555555556,0.8950833333333333,0.9142222222222224,0.9195555555555556,0.9216111111111112,0.9250833333333334,0.925,0.9254444444444444,0.92625,0.9250833333333334,0.9266111111111112,0.9272777777777778,0.9270555555555556,0.9288055555555556,0.9298333333333332,0.9289166666666666,0.9294444444444444,0.9301111111111112,0.9296666666666666,0.9306944444444444,0.9308611111111113,0.9302222222222222,0.9310555555555556,0.932,0.9324166666666668,0.9328333333333332,0.9330833333333334,0.9325,0.9329722222222222,0.9332777777777778,0.9326388888888888,0.9328333333333333
4,0.7665833333333333,0.8402222222222222,0.8991666666666667,0.9186388888888888,0.9238333333333332,0.9280277777777778,0.9281388888888888,0.9274722222222224,0.9275,0.9290833333333334,0.9303888888888888,0.9299166666666666,0.9291388888888888,0.9309444444444444,0.93125,0.9321388888888889,0.9325,0.9323055555555556,0.9327777777777778,0.9318611111111113,0.9342777777777778,0.93325,0.9336111111111112,0.9334166666666668,0.9341388888888889,0.9340277777777778,0.9344444444444444,0.9345,0.9342777777777778,0.9347222222222222,0.9348333333333332,0.93425,0.9350277777777778
6,0.7676111111111111,0.8428055555555556,0.8996388888888889,0.9202222222222224,0.9254166666666668,0.9283611111111112,0.9301388888888888,0.9302777777777778,0.9303055555555556,0.9320277777777778,0.93175,0.9331111111111112,0.9319444444444444,0.9331388888888889,0.9331666666666668,0.9338611111111113,0.9334166666666668,0.9345833333333332,0.9339444444444444,0.9335555555555556,0.9349444444444444,0.9349444444444444,0.9351944444444444,0.9351666666666668,0.9366388888888888,0.9363055555555556,0.9361111111111112,0.9365277777777776,0.9362222222222222,0.9356944444444444,0.9357222222222222,0.9359444444444444,0.9360277777777778
8,0.7728611111111111,0.8436388888888889,0.9023055555555556,0.923,0.9260555555555556,0.9293333333333332,0.9315555555555556,0.9326388888888888,0.9323611111111112,0.9331944444444444,0.9327777777777778,0.9337222222222222,0.9336111111111112,0.9339722222222222,0.9343888888888888,0.9350277777777778,0.9362777777777778,0.9358611111111113,0.9364722222222224,0.9351111111111112,0.9357222222222222,0.9355555555555556,0.9372777777777778,0.9368055555555556,0.9357777777777778,0.9373055555555556,0.9369444444444444,0.9366944444444444,0.9370277777777778,0.9374166666666668,0.9370555555555556,0.9377222222222222,0.9368888888888889
10,0.7735833333333333,0.8455555555555555,0.9036388888888888,0.9225,0.9278055555555556,0.9308888888888888,0.9321111111111112,0.9323888888888888,0.9335277777777776,0.9348333333333332,0.9331111111111112,0.9343333333333332,0.9339444444444444,0.9363055555555556,0.9344166666666668,0.93775,0.9375,0.9368333333333332,0.9365555555555556,0.9361666666666668,0.9380833333333334,0.93825,0.9378888888888888,0.9379722222222222,0.9385555555555556,0.9389166666666666,0.9380555555555556,0.9386111111111112,0.9380277777777778,0.9385833333333332,0.9378611111111111,0.9386111111111112,0.9387222222222222
12,0.7716111111111111,0.84525,0.9023888888888888,0.9218611111111112,0.9266388888888888,0.9295277777777776,0.9316944444444444,0.9321666666666668,0.9319444444444444,0.9342222222222222,0.934,0.9336666666666666,0.9341388888888889,0.9347777777777778,0.9340555555555556,0.9368055555555556,0.9361111111111112,0.9366944444444444,0.9370555555555556,0.9365,0.9373888888888888,0.9372777777777778,0.9368055555555556,0.9366111111111112,0.9379166666666666,0.9383055555555556,0.9380277777777778,0.9373611111111112,0.9375833333333332,0.9379166666666666,0.9373333333333334,0.9373611111111112,0.9381111111111111
14,0.7733611111111112,0.846,0.9033055555555556,0.9231944444444444,0.9260277777777778,0.9294722222222224,0.9311388888888888,0.9325277777777776,0.934,0.9321666666666668,0.9328055555555556,0.9345,0.9345555555555556,0.9345833333333332,0.9338888888888888,0.9376388888888888,0.9366388888888888,0.9370277777777778,0.9375833333333332,0.9373888888888888,0.9376944444444444,0.9378055555555556,0.9385555555555556,0.9393055555555556,0.9381111111111112,0.9384166666666668,0.9394444444444444,0.9392777777777778,0.94,0.9386666666666666,0.9396944444444444,0.9400555555555556,0.9383333333333334
16,0.7719166666666667,0.8463055555555555,0.9006944444444445,0.9235,0.9262777777777778,0.9289444444444444,0.9314166666666668,0.9319166666666666,0.9320277777777778,0.93325,0.9330555555555556,0.9332777777777778,0.9330833333333334,0.9345555555555556,0.934,0.9349444444444444,0.93625,0.9365555555555556,0.936,0.93625,0.9365277777777776,0.9366666666666666,0.9359166666666666,0.9363055555555556,0.9378055555555556,0.9365555555555556,0.9365833333333332,0.9376666666666666,0.9378333333333332,0.9386388888888888,0.9372777777777778,0.9371111111111112,0.9376111111111111
18,0.7700555555555556,0.845,0.9023333333333332,0.921,0.9260277777777778,0.9293333333333332,0.9303611111111112,0.9309722222222222,0.9315,0.9319722222222222,0.9318611111111113,0.9321944444444444,0.9324166666666668,0.9331666666666668,0.9342777777777778,0.9347222222222222,0.9356666666666666,0.9354166666666668,0.9361388888888889,0.9354444444444444,0.9359166666666666,0.93675,0.9375277777777776,0.9374722222222224,0.9376666666666666,0.9386944444444444,0.9372777777777778,0.9385833333333332,0.9384166666666668,0.9393888888888888,0.93875,0.9374444444444444,0.9386388888888889
Avg,0.5370472222222222,0.5870027777777778,0.6215027777777777,0.6356930555555556,0.6396319444444445,0.6423097222222223,0.6442305555555555,0.6451791666666666,0.6462111111111111,0.6472902777777778,0.6477555555555555,0.6484194444444444,0.6491875,0.6499986111111111,0.6503291666666666,0.6541986111111111,0.6555208333333333,0.6556972222222223,0.6561111111111111,0.6564125,0.6592305555555555,0.6593375,0.6600055555555555,0.6609611111111111,0.6627152777777777,0.6635277777777778,0.6636805555555556,0.6645638888888888,0.6653236111111112,0.6655305555555555,0.666025,0.6654458333333333,0.6660194444444445
