SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
-20,0.1044166666666666,0.1028888888888888,0.1066111111111111,0.1052222222222222,0.1051666666666666,0.1052777777777777,0.1046388888888888,0.10725,0.1070277777777777,0.1069444444444444,0.1080277777777777,0.1055555555555555,0.1081111111111111,0.1067777777777777,0.1105,0.10875,0.1096944444444444,0.11025,0.1127222222222222,0.1113888888888888,0.1097777777777777,0.1134722222222222,0.1135833333333333,0.11525,0.11544444444444445
-18,0.1074166666666666,0.1114166666666666,0.1114444444444444,0.1080555555555555,0.1115833333333333,0.1129166666666666,0.11025,0.1105277777777777,0.1113611111111111,0.114,0.114,0.1154722222222222,0.1123888888888888,0.1129444444444444,0.1126666666666666,0.1148611111111111,0.1126944444444444,0.1183611111111111,0.11625,0.1163611111111111,0.1163888888888888,0.1195277777777777,0.1184166666666666,0.1205555555555555,0.12047222222222222
-16,0.1170833333333333,0.1224166666666666,0.1244444444444444,0.12475,0.1253888888888888,0.1240555555555555,0.1254166666666666,0.1278333333333333,0.1267777777777777,0.1272222222222222,0.1235833333333333,0.1263055555555555,0.1290555555555555,0.1297777777777777,0.1277222222222222,0.1298333333333333,0.1273611111111111,0.1292777777777777,0.1309444444444444,0.1325277777777777,0.1326388888888889,0.1326388888888889,0.1364166666666666,0.1344166666666666,0.13822222222222222
-14,0.136,0.1515833333333333,0.1596666666666666,0.1598333333333333,0.1623333333333333,0.1604166666666666,0.1615277777777777,0.1631666666666666,0.1655833333333333,0.1631111111111111,0.1626388888888889,0.1641666666666666,0.1663333333333333,0.1670555555555555,0.1676666666666666,0.1691388888888889,0.1691388888888889,0.1685277777777777,0.1675,0.1728333333333333,0.1722777777777777,0.1754444444444444,0.1717777777777777,0.1755,0.17541666666666667
-12,0.1938055555555555,0.2092777777777777,0.2153611111111111,0.2125277777777778,0.2153333333333333,0.2129722222222222,0.2136666666666666,0.2156388888888888,0.2213888888888888,0.2149444444444444,0.2188611111111111,0.2206388888888888,0.21525,0.2202777777777777,0.2208888888888888,0.22575,0.2236111111111111,0.2245,0.2265833333333333,0.2247777777777777,0.2264166666666666,0.2298611111111111,0.2315,0.2344166666666666,0.23527777777777778
-10,0.2826666666666667,0.2984722222222222,0.2920277777777778,0.30125,0.3042222222222222,0.3048333333333333,0.3086944444444444,0.3100833333333333,0.3115833333333333,0.3111944444444444,0.3096111111111111,0.3144722222222222,0.3132222222222222,0.3140277777777778,0.3163888888888889,0.3179444444444444,0.3213055555555555,0.3219444444444444,0.3243888888888889,0.3294722222222222,0.3263611111111111,0.3308888888888889,0.3302222222222222,0.3292777777777778,0.3359722222222222
-8,0.3755833333333333,0.4062222222222222,0.4086944444444444,0.41925,0.4212777777777777,0.4284166666666666,0.43225,0.4336111111111111,0.4321388888888889,0.4396666666666666,0.4383888888888889,0.4408611111111111,0.4410555555555555,0.4465277777777778,0.4495833333333333,0.4468611111111111,0.44975,0.45,0.4537222222222222,0.4543055555555556,0.4598333333333333,0.4630277777777777,0.4643055555555556,0.4662777777777778,0.47130555555555553
-6,0.4931111111111111,0.5379444444444444,0.5658333333333333,0.5748055555555556,0.5764444444444444,0.5841666666666666,0.5868611111111111,0.5848888888888889,0.5916111111111111,0.5957222222222223,0.5964722222222222,0.5980277777777778,0.6013055555555555,0.6065555555555555,0.6064444444444445,0.6080555555555556,0.6105833333333334,0.6151388888888889,0.618,0.6210277777777777,0.6223333333333333,0.6231111111111111,0.6288333333333334,0.6292777777777778,0.6340833333333333
-4,0.609,0.679,0.7111666666666666,0.7306944444444444,0.73675,0.7405833333333334,0.74575,0.7494444444444445,0.7531666666666667,0.7568888888888889,0.7580555555555556,0.7624166666666666,0.7678333333333334,0.7665555555555555,0.7689444444444444,0.7718333333333334,0.7736944444444445,0.7773611111111111,0.7788611111111111,0.7802222222222223,0.7841388888888889,0.7829722222222222,0.7867222222222222,0.7908888888888889,0.7903888888888889
-2,0.6914166666666667,0.7836944444444445,0.8304166666666667,0.8440555555555556,0.8514166666666667,0.8567222222222223,0.8591944444444445,0.8616944444444444,0.8658611111111111,0.8679444444444444,0.8706944444444444,0.8715,0.8739444444444444,0.8743333333333333,0.8763888888888889,0.8783888888888889,0.8777777777777778,0.8806944444444444,0.8817222222222222,0.8827222222222222,0.8843611111111112,0.8847777777777778,0.8855555555555555,0.8876388888888889,0.8895555555555555
0,0.7351388888888889,0.8390555555555556,0.8886111111111111,0.8994722222222222,0.9033611111111112,0.9075833333333332,0.9103333333333332,0.9120277777777778,0.9113888888888888,0.9132222222222224,0.9140833333333334,0.9155555555555556,0.9155,0.9179722222222222,0.9171944444444444,0.9174166666666668,0.9191111111111112,0.9181388888888888,0.9190555555555556,0.9185,0.92025,0.9195555555555556,0.9206111111111112,0.9206666666666666,0.92175
2,0.7540555555555556,0.8609444444444444,0.9076944444444444,0.9176388888888888,0.9196111111111112,0.9213888888888888,0.9238611111111112,0.9251388888888888,0.9261666666666668,0.9258333333333332,0.9253611111111112,0.927,0.9275277777777776,0.9285833333333332,0.9286666666666666,0.9287777777777778,0.9290833333333334,0.92825,0.9278333333333332,0.9277777777777778,0.9289444444444444,0.9289722222222222,0.9296111111111112,0.9303333333333332,0.9295277777777777
4,0.7548611111111111,0.8684722222222222,0.9135277777777778,0.9226944444444444,0.9251111111111112,0.9265555555555556,0.9281388888888888,0.9290833333333334,0.9298888888888888,0.9305555555555556,0.9300833333333334,0.9300277777777778,0.93025,0.931,0.9306944444444444,0.9318333333333332,0.9301111111111112,0.932,0.9321944444444444,0.9314166666666668,0.9318611111111113,0.9328611111111113,0.9319722222222222,0.9340277777777778,0.93325
6,0.7602777777777778,0.8707222222222222,0.9148333333333334,0.9254722222222224,0.9283888888888888,0.9299444444444444,0.9297222222222222,0.9309722222222222,0.9319722222222222,0.9328055555555556,0.9325,0.932,0.93275,0.9326388888888888,0.9346111111111112,0.9334722222222224,0.9336944444444444,0.93325,0.9340833333333334,0.9335,0.9338611111111113,0.9348333333333332,0.9348333333333332,0.9343055555555556,0.9340277777777778
8,0.7608611111111111,0.8725555555555555,0.9177222222222222,0.9248333333333332,0.9281388888888888,0.9296388888888888,0.9305277777777776,0.9323333333333332,0.9313333333333332,0.9324444444444444,0.9330833333333334,0.9331944444444444,0.9338055555555556,0.9341111111111112,0.9340833333333334,0.9343611111111112,0.9350555555555556,0.9341944444444444,0.9349444444444444,0.9347777777777778,0.9344722222222224,0.9348888888888888,0.9356944444444444,0.9348611111111113,0.9345555555555556
10,0.7611111111111111,0.8726111111111111,0.9183055555555556,0.9271111111111112,0.9299444444444444,0.93,0.9320277777777778,0.9326388888888888,0.93425,0.9344444444444444,0.9346666666666666,0.9350555555555556,0.9346944444444444,0.9351388888888889,0.9347777777777778,0.9351111111111112,0.9368333333333332,0.9369444444444444,0.9374722222222224,0.9364166666666668,0.9368055555555556,0.9375555555555556,0.9361388888888889,0.9373888888888888,0.9371388888888889
12,0.7581388888888889,0.8730833333333333,0.9175833333333332,0.9253888888888888,0.9285277777777776,0.9304722222222224,0.9322777777777778,0.9328611111111113,0.9325277777777776,0.9335,0.9340277777777778,0.9351111111111112,0.9345833333333332,0.93475,0.934,0.9351111111111112,0.9360277777777778,0.9353888888888888,0.9343611111111112,0.9356111111111112,0.9364166666666668,0.9353055555555556,0.9361944444444444,0.9351666666666668,0.9355555555555556
14,0.7593611111111112,0.8723888888888889,0.9193055555555556,0.9261944444444444,0.9286666666666666,0.9297777777777778,0.9323888888888888,0.932,0.93225,0.9335555555555556,0.9348055555555556,0.9335833333333332,0.9343055555555556,0.9345,0.9344166666666668,0.9346944444444444,0.9345277777777776,0.9364444444444444,0.9349722222222222,0.9352777777777778,0.9363611111111112,0.9367777777777778,0.9380555555555556,0.9366388888888888,0.9365
16,0.7601666666666667,0.8749722222222223,0.9192222222222224,0.9261666666666668,0.9281388888888888,0.9292777777777778,0.9304722222222224,0.9319722222222222,0.9326666666666666,0.9329166666666666,0.9330555555555556,0.9338055555555556,0.9325555555555556,0.9335555555555556,0.9331388888888889,0.9341666666666668,0.9348888888888888,0.9344444444444444,0.9348888888888888,0.9343611111111112,0.9345833333333332,0.9350833333333334,0.9345833333333332,0.9345,0.9353611111111111
18,0.7566666666666667,0.8732777777777778,0.9163055555555556,0.9251944444444444,0.9276944444444444,0.9294444444444444,0.9308333333333332,0.9319166666666666,0.9314166666666668,0.9328611111111113,0.9335,0.9328333333333332,0.9337222222222222,0.9346388888888888,0.9348333333333332,0.9365,0.9363333333333334,0.9341111111111112,0.9354166666666668,0.9346944444444444,0.9356666666666666,0.9349444444444444,0.9357222222222222,0.9350277777777778,0.9350555555555555
