SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
-20,0.1034444444444444,0.1084166666666666,0.1065833333333333,0.1080555555555555,0.1051388888888888,0.1098055555555555,0.1083611111111111,0.1091388888888888,0.1053888888888888,0.107,0.1067222222222222,0.1093055555555555,0.10875,0.1081111111111111,0.1083888888888889,0.1114444444444444,0.1109444444444444,0.1116944444444444,0.11325,0.1128055555555555,0.1149444444444444,0.1176111111111111,0.1153333333333333,0.1195277777777777,0.1207777777777777,0.1220555555555555,0.1236111111111111,0.1264722222222222,0.1250833333333333,0.1255
-18,0.1081111111111111,0.1100277777777777,0.1091388888888888,0.1100277777777777,0.1082777777777777,0.1097222222222222,0.1138055555555555,0.1121944444444444,0.1121944444444444,0.114,0.1110833333333333,0.11475,0.1147777777777777,0.1148888888888888,0.1141944444444444,0.1119444444444444,0.1155277777777777,0.119,0.1175555555555555,0.1196666666666666,0.1214444444444444,0.1228611111111111,0.1221388888888889,0.1252777777777777,0.1287222222222222,0.1295833333333333,0.1287222222222222,0.1322222222222222,0.1318611111111111,0.13616666666666666
-16,0.1175833333333333,0.1201388888888888,0.1237222222222222,0.1224166666666666,0.12375,0.12325,0.1248611111111111,0.1256388888888888,0.1250277777777777,0.1275833333333333,0.1239166666666666,0.1258611111111111,0.1272222222222222,0.1288611111111111,0.1268888888888888,0.1270833333333333,0.1296666666666666,0.1309722222222222,0.1305833333333333,0.1345,0.1362222222222222,0.1388611111111111,0.1385277777777777,0.1412777777777777,0.1429722222222222,0.1446666666666666,0.1471111111111111,0.1490833333333333,0.1499444444444444,0.1505277777777778
-14,0.1436666666666666,0.1544166666666666,0.1551111111111111,0.1575277777777777,0.1581388888888888,0.1580555555555555,0.1611944444444444,0.1585833333333333,0.16025,0.1588888888888888,0.1587222222222222,0.1617222222222222,0.1611944444444444,0.1634722222222222,0.1613333333333333,0.1628055555555555,0.1680833333333333,0.1686944444444444,0.1686111111111111,0.1708611111111111,0.1720277777777777,0.1724166666666666,0.1732222222222222,0.1792222222222222,0.1788888888888888,0.1815,0.1815,0.1836666666666666,0.1891111111111111,0.19
-12,0.1930833333333333,0.2109444444444444,0.2160555555555555,0.217,0.2166666666666666,0.2126111111111111,0.2155,0.21475,0.2170555555555555,0.2186666666666666,0.2190833333333333,0.2186944444444444,0.2185833333333333,0.2204166666666666,0.2241666666666666,0.2248333333333333,0.2285277777777777,0.231,0.2289166666666666,0.2310833333333333,0.2312777777777777,0.235,0.2359166666666666,0.2425277777777778,0.2451944444444444,0.2454722222222222,0.2483611111111111,0.2502777777777777,0.2536944444444444,0.2534166666666667
-10,0.27875,0.2829166666666666,0.2937222222222222,0.3033333333333333,0.3005277777777778,0.3066111111111111,0.3096388888888889,0.3113888888888889,0.3082777777777777,0.3093611111111111,0.314,0.3148055555555555,0.3158333333333333,0.3157222222222222,0.3186388888888889,0.3196388888888888,0.3200555555555555,0.3299722222222222,0.3312222222222222,0.3335,0.3368888888888889,0.3393888888888889,0.3398055555555556,0.3459166666666666,0.3521666666666667,0.3536111111111111,0.3528611111111111,0.3586944444444444,0.3606111111111111,0.36141666666666666
-8,0.3699722222222222,0.3914166666666667,0.3943888888888889,0.3968611111111111,0.403,0.4111388888888889,0.4113333333333333,0.4159722222222222,0.4187777777777778,0.42475,0.4257777777777777,0.4252777777777777,0.4311111111111111,0.4339166666666667,0.4348055555555555,0.4363611111111111,0.4399722222222222,0.4473888888888889,0.4554166666666667,0.4553888888888889,0.4607222222222222,0.4621111111111111,0.4635555555555555,0.475,0.4761111111111111,0.4795833333333333,0.4839444444444444,0.4892222222222222,0.4916388888888889,0.49344444444444446
-6,0.4772222222222222,0.5314722222222222,0.5479166666666667,0.5495833333333333,0.5592777777777778,0.5572777777777778,0.5630277777777778,0.5711666666666667,0.5704166666666667,0.5770555555555555,0.5821111111111111,0.5821111111111111,0.5887777777777777,0.5888611111111111,0.5956111111111111,0.5943055555555555,0.5976944444444444,0.6109166666666667,0.6161388888888889,0.6219444444444444,0.62025,0.6240555555555556,0.6269166666666667,0.6416111111111111,0.6419166666666667,0.6452222222222223,0.6467777777777778,0.6554722222222222,0.6565,0.6569166666666667
-4,0.6064166666666667,0.6762222222222222,0.7038055555555556,0.7116666666666667,0.7207777777777777,0.725,0.7343611111111111,0.7373611111111111,0.7398888888888889,0.7474166666666666,0.7461666666666666,0.7492777777777778,0.7514166666666666,0.7550277777777777,0.7588888888888888,0.7603333333333333,0.7661388888888889,0.7790555555555555,0.7805277777777778,0.7818611111111111,0.7858888888888889,0.7864722222222222,0.7891944444444444,0.7996944444444445,0.8015,0.8038055555555556,0.8030555555555555,0.8102222222222222,0.81225,0.8136666666666666
-2,0.7094722222222222,0.8013611111111111,0.8272222222222222,0.8394166666666667,0.8490555555555556,0.8545277777777778,0.8594166666666667,0.8598888888888889,0.8630277777777777,0.8624444444444445,0.8664722222222222,0.8710555555555556,0.8710833333333333,0.8705,0.8724444444444445,0.8740833333333333,0.8768611111111111,0.8846388888888889,0.8843888888888889,0.8865,0.8863333333333333,0.8872777777777778,0.8900555555555556,0.89475,0.8953611111111112,0.8953333333333333,0.8963611111111112,0.9,0.9018333333333334,0.9019166666666667
