SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-20,0.10475,0.1043888888888888,0.1073611111111111,0.1053611111111111,0.10475,0.1071388888888889,0.1081111111111111,0.1056388888888889,0.1052222222222222,0.1069722222222222,0.1068888888888889,0.1072777777777777,0.1089444444444444,0.1083611111111111,0.1098611111111111,0.1088055555555555,0.1099444444444444,0.1112222222222222,0.1130277777777777,0.1125833333333333,0.1113333333333333,0.1149444444444444,0.1164166666666666,0.1167777777777777,0.1179444444444444,0.1203333333333333,0.1207777777777777,0.1230833333333333,0.1244444444444444,0.1254166666666666,0.1280277777777777,0.12708333333333333
-18,0.1079444444444444,0.1101388888888888,0.1105277777777777,0.1106666666666666,0.1116944444444444,0.1122222222222222,0.1123055555555555,0.1108611111111111,0.1119444444444444,0.1126666666666666,0.1136388888888888,0.1111111111111111,0.1128055555555555,0.1139166666666666,0.11375,0.1135555555555555,0.11375,0.1141388888888888,0.1166388888888888,0.1183611111111111,0.11875,0.1215277777777777,0.1219166666666666,0.122,0.1260277777777777,0.1257777777777777,0.1292777777777777,0.1296944444444444,0.1335,0.1332222222222222,0.1365,0.13819444444444445
-16,0.1181666666666666,0.1216666666666666,0.1231944444444444,0.1249166666666666,0.1267222222222222,0.1246666666666666,0.1263333333333333,0.1246666666666666,0.1249444444444444,0.1258333333333333,0.1278333333333333,0.1287777777777777,0.1276666666666666,0.13,0.1280277777777777,0.1289722222222222,0.1315833333333333,0.1298611111111111,0.1324444444444444,0.1329722222222222,0.1318888888888889,0.13625,0.1374166666666666,0.1384444444444444,0.1429166666666666,0.1454166666666666,0.14575,0.1483333333333333,0.1505555555555555,0.1526111111111111,0.1520277777777778,0.15341666666666667
-14,0.1388055555555555,0.15025,0.1562222222222222,0.1601944444444444,0.1565277777777777,0.1606944444444444,0.1614444444444444,0.1603611111111111,0.1616944444444444,0.1604444444444444,0.1618888888888889,0.1587222222222222,0.1630833333333333,0.1621944444444444,0.1641111111111111,0.1631666666666666,0.1645833333333333,0.1654444444444444,0.1668333333333333,0.1707777777777777,0.1718611111111111,0.173,0.1781111111111111,0.1759444444444444,0.1801388888888888,0.1827222222222222,0.1873055555555555,0.1883611111111111,0.1914444444444444,0.1921944444444444,0.1957222222222222,0.19752777777777777
-12,0.1963888888888889,0.2038055555555555,0.2136111111111111,0.2140833333333333,0.2151944444444444,0.2150277777777778,0.2121666666666666,0.2199166666666666,0.2174444444444444,0.2204166666666666,0.2184722222222222,0.2205555555555555,0.2225833333333333,0.2234166666666666,0.2236944444444444,0.2233333333333333,0.2254166666666666,0.2290555555555555,0.2265,0.2294444444444444,0.2292777777777777,0.2354444444444444,0.2381111111111111,0.2385555555555555,0.2410833333333333,0.2410277777777777,0.2515277777777778,0.2515,0.2538611111111111,0.2528611111111111,0.2584722222222222,0.2575
-10,0.2765,0.2873055555555555,0.2945,0.2991666666666667,0.3077222222222222,0.3027777777777777,0.3055,0.3083333333333333,0.3105,0.3105277777777778,0.3141944444444444,0.3181111111111111,0.3180555555555555,0.31625,0.3214166666666667,0.3214166666666667,0.3236388888888888,0.3234722222222222,0.3293888888888889,0.3296388888888888,0.3315833333333333,0.3424444444444444,0.3426111111111111,0.3452777777777778,0.3493888888888889,0.3518611111111111,0.3558611111111111,0.359,0.3600555555555556,0.361,0.36775,0.3706388888888889
-8,0.357,0.3915277777777777,0.3936666666666666,0.3993055555555556,0.4045277777777777,0.4114444444444444,0.4119444444444444,0.4190277777777778,0.4229722222222222,0.4231666666666667,0.4246666666666667,0.4278611111111111,0.4312777777777777,0.4315277777777778,0.4380555555555555,0.43675,0.4419722222222222,0.4415833333333333,0.4480555555555555,0.4459166666666667,0.45125,0.4629722222222222,0.4655277777777777,0.4669722222222222,0.4726666666666667,0.4743888888888889,0.4823888888888888,0.4859444444444444,0.4860833333333333,0.4874166666666666,0.4933611111111111,0.49577777777777776
-6,0.4718611111111111,0.5301111111111111,0.5496111111111112,0.5562222222222222,0.5615833333333333,0.5686944444444444,0.5733333333333334,0.5720277777777778,0.5748333333333333,0.5768888888888889,0.5838611111111112,0.587,0.5872222222222222,0.5933333333333334,0.5965833333333334,0.5966944444444444,0.5997222222222223,0.6062222222222222,0.606,0.60525,0.6116111111111111,0.6253888888888889,0.63075,0.6355833333333333,0.6388055555555555,0.6387222222222222,0.6498888888888888,0.65375,0.6550277777777778,0.6599722222222222,0.6647222222222222,0.6687777777777778
-4,0.6120833333333333,0.67875,0.70275,0.7152777777777778,0.7261944444444445,0.7301111111111112,0.7380277777777777,0.7415,0.7445555555555555,0.7488333333333334,0.7526944444444444,0.7529166666666667,0.7583055555555556,0.7594722222222222,0.7636388888888889,0.7703055555555556,0.7664166666666666,0.76875,0.7775,0.7734166666666666,0.7788333333333334,0.7890833333333334,0.797,0.7971388888888888,0.8013611111111111,0.7996944444444445,0.8111944444444444,0.8133055555555555,0.81675,0.8167777777777778,0.8224166666666667,0.8263611111111111
-2,0.72175,0.8028611111111111,0.8282222222222222,0.8428888888888889,0.848,0.8550833333333333,0.8575833333333334,0.8593888888888889,0.8642777777777778,0.8678888888888889,0.8689722222222223,0.8696388888888889,0.8716388888888889,0.8733333333333333,0.8748888888888889,0.8769166666666667,0.8798055555555555,0.8814444444444445,0.8821111111111111,0.8820833333333333,0.8833611111111112,0.8908333333333334,0.8936666666666667,0.89475,0.8941111111111111,0.8961388888888889,0.9013888888888888,0.9006111111111111,0.9016111111111113,0.9015,0.9053611111111112,0.9068888888888889
