dataset,variant,seed,overall,low_snr,high_snr,run_dir
2016.10a,none,1,0.6299772727272728,0.38909090909090904,0.9221818181818181,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-none_seed1
2016.10a,none,2,0.6284090909090909,0.39004132231404964,0.9176363636363636,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-none_seed2
2016.10a,none,3,0.63175,0.3907851239669421,0.9240454545454545,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-none_seed3
2016.10a,none,4,0.6288181818181818,0.39004132231404953,0.9183636363636364,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-none_seed4
2016.10a,none,5,0.629,0.3905785123966943,0.9181363636363636,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-none_seed5
2016.10a,conv,1,0.6333409090909091,0.392685950413223,0.9253181818181819,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-conv_seed1
2016.10a,conv,2,0.6305,0.38685950413223136,0.9263636363636362,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-conv_seed2
2016.10a,conv,3,0.6396363636363637,0.39785123966942143,0.9335909090909091,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-conv_seed3
2016.10a,conv,4,0.6313409090909091,0.3903719008264463,0.9232272727272728,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-conv_seed4
2016.10a,conv,5,0.63325,0.39190082644628094,0.9257272727272727,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-conv_seed5
2016.10a,base_only,1,0.6324772727272727,0.39161157024793386,0.9246818181818183,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-base_only_seed1
2016.10a,base_only,2,0.6318863636363636,0.3967768595041321,0.9179090909090908,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-base_only_seed2
2016.10a,base_only,3,0.6309318181818182,0.393595041322314,0.919590909090909,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-base_only_seed3
2016.10a,base_only,4,0.6317954545454545,0.3930578512396694,0.9211818181818181,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-base_only_seed4
2016.10a,base_only,5,0.63275,0.3945041322314049,0.9227727272727272,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-base_only_seed5
2016.10a,rbf_only,1,0.6289772727272728,0.3887603305785124,0.9193181818181818,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-rbf_only_seed1
2016.10a,rbf_only,2,0.6332954545454546,0.3954958677685951,0.9217272727272727,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-rbf_only_seed2
2016.10a,rbf_only,3,0.6315,0.3940495867768595,0.9195909090909092,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-rbf_only_seed3
2016.10a,rbf_only,4,0.6304545454545455,0.38644628099173556,0.9259090909090908,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-rbf_only_seed4
2016.10a,rbf_only,5,0.6330454545454546,0.3918595041322313,0.9259090909090908,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-rbf_only_seed5
2016.10a,bspline,1,0.6210227272727272,0.3850826446280991,0.9075909090909093,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-bspline_seed1
2016.10a,bspline,2,0.6215909090909091,0.3817768595041322,0.9118636363636364,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-bspline_seed2
2016.10a,bspline,3,0.6208636363636364,0.3826859504132231,0.9097727272727273,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-bspline_seed3
2016.10a,bspline,4,0.62025,0.3840082644628099,0.9063636363636365,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-bspline_seed4
2016.10a,bspline,5,0.6210681818181818,0.37938016528925617,0.9128181818181819,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-bspline_seed5
2016.10a,full,1,0.6305,0.3907024793388429,0.9208636363636364,results/table2_5seed_20260626/iqformer_vs_lite/raw_runs/2016.10a/IQFormerLite/seed1
2016.10a,full,2,0.6309318181818182,0.39008264462809916,0.9226818181818182,results/table2_5seed_20260626/iqformer_vs_lite/raw_runs/2016.10a/IQFormerLite/seed2
2016.10a,full,3,0.6324090909090909,0.38818181818181813,0.9286363636363637,results/table2_5seed_20260626/iqformer_vs_lite/raw_runs/2016.10a/IQFormerLite/seed3
2016.10a,full,4,0.6354318181818182,0.3942148760330578,0.9276818181818183,results/table2_5seed_20260626/iqformer_vs_lite/raw_runs/2016.10a/IQFormerLite/seed4
2016.10a,full,5,0.6297954545454545,0.3922314049586776,0.9182272727272727,results/table2_5seed_20260626/iqformer_vs_lite/raw_runs/2016.10a/IQFormerLite/seed5
2016.10b,conv,1,0.6516333333333333,0.4179242424242424,0.9358333333333333,logs/model_2016.10b_60_1024_0.001_IQFormerLite_lkf-conv_seed1
2016.10b,conv,2,0.65155,0.41805303030303026,0.9352333333333334,logs/model_2016.10b_60_1024_0.001_IQFormerLite_lkf-conv_seed2
2016.10b,conv,3,0.6520791666666667,0.41833333333333333,0.93635,logs/model_2016.10b_60_1024_0.001_IQFormerLite_lkf-conv_seed3
2016.10b,conv,4,0.652625,0.4199621212121212,0.935675,logs/model_2016.10b_60_1024_0.001_IQFormerLite_lkf-conv_seed4
2016.10b,conv,5,0.6511,0.4168030303030303,0.9359583333333333,logs/model_2016.10b_60_1024_0.001_IQFormerLite_lkf-conv_seed5
2016.10b,rbf_only,1,0.6552791666666666,0.42307575757575755,0.9375416666666666,logs/model_2016.10b_60_1024_0.001_IQFormerLite_lkf-rbf_only_seed1
2016.10b,rbf_only,2,0.6562458333333333,0.42437121212121204,0.9381666666666666,logs/model_2016.10b_60_1024_0.001_IQFormerLite_lkf-rbf_only_seed2
2016.10b,rbf_only,3,0.654625,0.42183333333333334,0.9377583333333332,logs/model_2016.10b_60_1024_0.001_IQFormerLite_lkf-rbf_only_seed3
2016.10b,rbf_only,4,0.6569625,0.425689393939394,0.9383916666666664,logs/model_2016.10b_60_1024_0.001_IQFormerLite_lkf-rbf_only_seed4
2016.10b,rbf_only,5,0.6560583333333333,0.4244090909090908,0.9375833333333332,logs/model_2016.10b_60_1024_0.001_IQFormerLite_lkf-rbf_only_seed5
2016.10b,full,1,0.6544625,0.42171969696969697,0.93735,results/table2_5seed_20260626/iqformer_vs_lite/raw_runs/2016.10b/IQFormerLite/seed1
2016.10b,full,2,0.6542458333333333,0.4214242424242424,0.9372416666666668,results/table2_5seed_20260626/iqformer_vs_lite/raw_runs/2016.10b/IQFormerLite/seed2
2016.10b,full,3,0.6572,0.42597727272727276,0.9384333333333335,results/table2_5seed_20260626/iqformer_vs_lite/raw_runs/2016.10b/IQFormerLite/seed3
2016.10b,full,4,0.653975,0.4207954545454546,0.9373666666666665,results/table2_5seed_20260626/iqformer_vs_lite/raw_runs/2016.10b/IQFormerLite/seed4
2016.10b,full,5,0.6557375,0.424,0.9373166666666666,results/table2_5seed_20260626/iqformer_vs_lite/raw_runs/2016.10b/IQFormerLite/seed5
