SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
-20,0.0946969696969697,0.0946969696969697,0.0928787878787878,0.093030303030303,0.0969696969696969,0.093030303030303,0.0951515151515151,0.0945454545454545,0.0931818181818181,0.0951515151515151,0.095,0.0953030303030303,0.0954545454545454,0.0951515151515151,0.0954545454545454,0.0966666666666666,0.0968181818181818,0.0968181818181818,0.094090909090909,0.0963636363636363,0.0969696969696969,0.098030303030303,0.0977272727272727,0.0981818181818181,0.0998484848484848,0.099090909090909,0.0992424242424242,0.1018181818181818,0.1036363636363636,0.1033333333333333,0.1072727272727272,0.1098484848484848,0.1107575757575757,0.1112121212121212,0.1121212121212121,0.1146969696969697,0.1187878787878787,0.11803030303030303
-18,0.0942424242424242,0.0954545454545454,0.0971212121212121,0.0969696969696969,0.0943939393939393,0.0963636363636363,0.0948484848484848,0.0972727272727272,0.0972727272727272,0.0965151515151515,0.0963636363636363,0.0986363636363636,0.0987878787878787,0.0975757575757575,0.0996969696969697,0.0968181818181818,0.0974242424242424,0.0993939393939394,0.0989393939393939,0.1003030303030303,0.0975757575757575,0.1022727272727272,0.0995454545454545,0.1043939393939394,0.1024242424242424,0.1021212121212121,0.1042424242424242,0.1072727272727272,0.1083333333333333,0.1083333333333333,0.1092424242424242,0.1109090909090909,0.1131818181818181,0.1151515151515151,0.1137878787878787,0.1196969696969696,0.123030303030303,0.12015151515151515
-16,0.0965151515151515,0.0974242424242424,0.0975757575757575,0.0963636363636363,0.095,0.0995454545454545,0.0989393939393939,0.0987878787878787,0.098030303030303,0.1001515151515151,0.1006060606060606,0.1027272727272727,0.1024242424242424,0.103030303030303,0.1012121212121212,0.1021212121212121,0.1015151515151515,0.1034848484848484,0.0983333333333333,0.1034848484848484,0.1045454545454545,0.1068181818181818,0.1036363636363636,0.1071212121212121,0.1072727272727272,0.1066666666666666,0.1106060606060606,0.1112121212121212,0.1162121212121212,0.1153030303030303,0.1187878787878787,0.124090909090909,0.1271212121212121,0.1265151515151515,0.1287878787878787,0.1366666666666666,0.1353030303030303,0.13454545454545455
-14,0.1136363636363636,0.1192424242424242,0.124090909090909,0.1263636363636363,0.1259090909090909,0.1307575757575757,0.1296969696969697,0.1296969696969697,0.1275757575757575,0.1354545454545454,0.1301515151515151,0.1324242424242424,0.1328787878787878,0.1315151515151515,0.1313636363636363,0.1343939393939394,0.1363636363636363,0.1378787878787878,0.1356060606060606,0.1386363636363636,0.1440909090909091,0.1422727272727272,0.1412121212121212,0.1424242424242424,0.1456060606060606,0.1478787878787879,0.1512121212121212,0.1504545454545454,0.1556060606060606,0.1587878787878787,0.1574242424242424,0.1695454545454545,0.1692424242424242,0.1774242424242424,0.1728787878787878,0.1807575757575757,0.1816666666666666,0.18772727272727271
-12,0.1436363636363636,0.1609090909090909,0.1648484848484848,0.1769696969696969,0.1692424242424242,0.1818181818181818,0.1769696969696969,0.1769696969696969,0.1756060606060606,0.1763636363636363,0.1768181818181818,0.1739393939393939,0.1781818181818182,0.1751515151515151,0.1765151515151515,0.1777272727272727,0.1816666666666666,0.1845454545454545,0.1824242424242424,0.1831818181818182,0.1868181818181818,0.1928787878787878,0.1951515151515151,0.1906060606060606,0.1986363636363636,0.2015151515151515,0.1996969696969697,0.2034848484848485,0.2101515151515151,0.2145454545454545,0.2142424242424242,0.225,0.23,0.2271212121212121,0.2301515151515151,0.2406060606060606,0.2413636363636363,0.24303030303030304
-10,0.2162121212121212,0.2462121212121212,0.248030303030303,0.2621212121212121,0.2543939393939394,0.2554545454545454,0.258030303030303,0.2551515151515151,0.2583333333333333,0.2707575757575757,0.2742424242424242,0.2718181818181818,0.2677272727272727,0.2724242424242424,0.2709090909090909,0.2687878787878788,0.2763636363636363,0.2748484848484848,0.281969696969697,0.2728787878787879,0.2777272727272727,0.2833333333333333,0.2839393939393939,0.2877272727272727,0.289090909090909,0.2893939393939393,0.2953030303030303,0.3119696969696969,0.3136363636363636,0.3146969696969697,0.323030303030303,0.3327272727272727,0.3384848484848485,0.3427272727272727,0.3515151515151515,0.3657575757575758,0.36,0.35954545454545456
-8,0.3081818181818181,0.3553030303030303,0.365,0.3704545454545455,0.3846969696969697,0.3778787878787878,0.3765151515151515,0.386060606060606,0.3918181818181818,0.3974242424242424,0.4059090909090909,0.4065151515151515,0.4124242424242424,0.406060606060606,0.4172727272727273,0.4187878787878787,0.4127272727272727,0.4181818181818181,0.4251515151515151,0.4134848484848485,0.4227272727272727,0.4209090909090909,0.4353030303030303,0.4354545454545454,0.4387878787878788,0.446060606060606,0.4484848484848485,0.4590909090909091,0.4718181818181818,0.471060606060606,0.4709090909090909,0.4875757575757575,0.4968181818181818,0.5028787878787879,0.4998484848484849,0.5087878787878788,0.524090909090909,0.5263636363636364
-6,0.4224242424242424,0.4893939393939394,0.5175757575757576,0.5196969696969697,0.5265151515151515,0.5266666666666666,0.541969696969697,0.5543939393939394,0.5568181818181818,0.558939393939394,0.5637878787878788,0.5663636363636364,0.5824242424242424,0.5856060606060606,0.5886363636363636,0.5946969696969697,0.5995454545454545,0.6078787878787879,0.6063636363636363,0.6125757575757576,0.6103030303030303,0.6237878787878788,0.6237878787878788,0.6281818181818182,0.6287878787878788,0.6372727272727273,0.6339393939393939,0.6593939393939394,0.6642424242424242,0.6725757575757576,0.6734848484848485,0.688030303030303,0.6942424242424242,0.6904545454545454,0.7009090909090909,0.7145454545454546,0.7160606060606061,0.72
-4,0.5306060606060606,0.5942424242424242,0.615,0.6353030303030303,0.6495454545454545,0.656060606060606,0.6740909090909091,0.6825757575757576,0.6865151515151515,0.6942424242424242,0.6893939393939394,0.7062121212121212,0.7251515151515151,0.7245454545454545,0.7269696969696969,0.7331818181818182,0.7416666666666667,0.7448484848484849,0.7534848484848485,0.7534848484848485,0.7565151515151515,0.7646969696969697,0.7607575757575757,0.7734848484848484,0.781060606060606,0.7696969696969697,0.7834848484848485,0.801969696969697,0.8004545454545454,0.8116666666666666,0.8163636363636364,0.826060606060606,0.8346969696969697,0.83,0.8237878787878787,0.8387878787878787,0.8422727272727273,0.8424242424242424
-2,0.5919696969696969,0.6792424242424242,0.7086363636363636,0.7246969696969697,0.7342424242424243,0.7586363636363637,0.7772727272727272,0.7707575757575758,0.7840909090909091,0.791060606060606,0.8016666666666666,0.8146969696969697,0.8284848484848485,0.8328787878787879,0.8384848484848485,0.8425757575757575,0.8457575757575757,0.8513636363636363,0.8521212121212122,0.8553030303030303,0.8615151515151516,0.8622727272727273,0.8645454545454545,0.8615151515151516,0.8648484848484849,0.8684848484848485,0.8712121212121212,0.8793939393939394,0.8887878787878788,0.8874242424242424,0.8872727272727273,0.8960606060606061,0.8972727272727272,0.8989393939393939,0.8962121212121212,0.8987878787878788,0.901818181818182,0.9
