SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
-20,0.0904545454545454,0.0928787878787878,0.0948484848484848,0.093030303030303,0.0936363636363636,0.0945454545454545,0.0966666666666666,0.0931818181818181,0.094090909090909,0.0971212121212121,0.0945454545454545,0.0943939393939393,0.0975757575757575,0.0948484848484848,0.095,0.0971212121212121,0.0986363636363636,0.0983333333333333,0.0975757575757575,0.0995454545454545,0.0969696969696969,0.1006060606060606,0.0971212121212121,0.099090909090909,0.099090909090909,0.0996969696969697,0.1027272727272727,0.1040909090909091,0.1037878787878787,0.1009090909090909,0.1115151515151515,0.111060606060606,0.1142424242424242,0.116060606060606,0.1190909090909091,0.1253030303030303,0.123030303030303,0.1281818181818181,0.1366666666666666,0.1377272727272727,0.13893939393939395
-18,0.0912121212121212,0.0962121212121212,0.096060606060606,0.094090909090909,0.0928787878787878,0.0937878787878787,0.0963636363636363,0.0954545454545454,0.0956060606060606,0.0946969696969697,0.0965151515151515,0.0977272727272727,0.0948484848484848,0.0968181818181818,0.1,0.0995454545454545,0.1006060606060606,0.103030303030303,0.1007575757575757,0.0989393939393939,0.1022727272727272,0.1021212121212121,0.1043939393939394,0.1048484848484848,0.1012121212121212,0.1053030303030303,0.105,0.106060606060606,0.108030303030303,0.109090909090909,0.1154545454545454,0.1127272727272727,0.1156060606060606,0.1196969696969696,0.1254545454545454,0.1283333333333333,0.133030303030303,0.1334848484848484,0.1406060606060606,0.1431818181818182,0.1412121212121212
-16,0.0983333333333333,0.0996969696969697,0.0971212121212121,0.0978787878787878,0.0977272727272727,0.1007575757575757,0.1009090909090909,0.0998484848484848,0.101060606060606,0.103030303030303,0.1039393939393939,0.1003030303030303,0.1042424242424242,0.1053030303030303,0.1016666666666666,0.1056060606060606,0.1018181818181818,0.1062121212121212,0.1054545454545454,0.1051515151515151,0.1065151515151515,0.1098484848484848,0.1093939393939393,0.1083333333333333,0.1128787878787878,0.1122727272727272,0.1139393939393939,0.1124242424242424,0.1177272727272727,0.1151515151515151,0.1213636363636363,0.1243939393939393,0.1293939393939394,0.131060606060606,0.1368181818181818,0.1390909090909091,0.14,0.1439393939393939,0.1513636363636363,0.1562121212121212,0.1559090909090909
-14,0.1092424242424242,0.1186363636363636,0.1242424242424242,0.1242424242424242,0.1233333333333333,0.1248484848484848,0.1272727272727272,0.1265151515151515,0.1306060606060606,0.1284848484848484,0.1322727272727272,0.1396969696969697,0.1318181818181818,0.1356060606060606,0.1395454545454545,0.1396969696969697,0.136060606060606,0.1374242424242424,0.1428787878787878,0.1395454545454545,0.1422727272727272,0.1442424242424242,0.1448484848484848,0.1434848484848485,0.1475757575757575,0.154090909090909,0.1524242424242424,0.1492424242424242,0.1543939393939394,0.1575757575757575,0.1606060606060606,0.1646969696969697,0.1736363636363636,0.1769696969696969,0.1846969696969697,0.1933333333333333,0.1934848484848484,0.1990909090909091,0.2092424242424242,0.2081818181818182,0.21136363636363636
-12,0.1515151515151515,0.1634848484848484,0.1709090909090909,0.1827272727272727,0.173030303030303,0.1786363636363636,0.1819696969696969,0.1877272727272727,0.1825757575757575,0.1801515151515151,0.1784848484848485,0.1778787878787879,0.1771212121212121,0.1801515151515151,0.181060606060606,0.184090909090909,0.1874242424242424,0.1915151515151515,0.193030303030303,0.1921212121212121,0.1962121212121212,0.1919696969696969,0.1965151515151515,0.1981818181818181,0.1978787878787878,0.2039393939393939,0.2019696969696969,0.2078787878787878,0.2066666666666666,0.209090909090909,0.2203030303030303,0.2246969696969697,0.2307575757575757,0.2333333333333333,0.2424242424242424,0.2475757575757576,0.2542424242424242,0.2568181818181818,0.2684848484848485,0.2707575757575757,0.2718181818181818
-10,0.2124242424242424,0.2442424242424242,0.2527272727272727,0.2540909090909091,0.263030303030303,0.26,0.2689393939393939,0.2746969696969697,0.2716666666666666,0.2672727272727273,0.2740909090909091,0.2731818181818182,0.2689393939393939,0.2707575757575757,0.2674242424242424,0.2693939393939394,0.2703030303030303,0.2751515151515151,0.2793939393939394,0.2845454545454545,0.2839393939393939,0.2928787878787879,0.2915151515151515,0.2951515151515151,0.2962121212121212,0.2963636363636364,0.2946969696969697,0.3075757575757575,0.3106060606060606,0.3084848484848485,0.3246969696969697,0.34,0.3418181818181818,0.3407575757575757,0.3657575757575758,0.3672727272727272,0.3639393939393939,0.3724242424242424,0.3904545454545454,0.393030303030303,0.39545454545454545
-8,0.3001515151515151,0.3543939393939394,0.3606060606060606,0.3656060606060606,0.3775757575757575,0.3819696969696969,0.3909090909090909,0.393030303030303,0.3925757575757576,0.4018181818181818,0.408030303030303,0.3996969696969697,0.4042424242424242,0.4212121212121212,0.4104545454545454,0.419090909090909,0.4187878787878787,0.4231818181818181,0.4210606060606061,0.4245454545454545,0.4324242424242424,0.4324242424242424,0.436060606060606,0.4384848484848485,0.4425757575757575,0.4471212121212121,0.4493939393939394,0.4566666666666666,0.4554545454545454,0.4566666666666666,0.4842424242424242,0.4909090909090909,0.4959090909090909,0.508030303030303,0.5177272727272727,0.5218181818181818,0.5304545454545454,0.536060606060606,0.5484848484848485,0.5509090909090909,0.5509090909090909
-6,0.4284848484848484,0.4939393939393939,0.5109090909090909,0.521969696969697,0.525,0.5292424242424243,0.5418181818181819,0.5448484848484848,0.545,0.5533333333333333,0.5634848484848485,0.5642424242424242,0.58,0.583939393939394,0.5866666666666667,0.5977272727272728,0.5984848484848485,0.6031818181818182,0.6077272727272728,0.6181818181818182,0.6196969696969697,0.6239393939393939,0.6192424242424243,0.6327272727272727,0.6337878787878788,0.6378787878787879,0.6412121212121212,0.6421212121212121,0.6540909090909091,0.6586363636363637,0.6748484848484848,0.69,0.7003030303030303,0.6948484848484848,0.7122727272727273,0.7254545454545455,0.7272727272727273,0.7212121212121212,0.7428787878787879,0.7462121212121212,0.7496969696969698
-4,0.5353030303030303,0.6056060606060606,0.6325757575757576,0.6418181818181818,0.6506060606060606,0.656060606060606,0.6725757575757576,0.6736363636363636,0.6731818181818182,0.6843939393939394,0.6972727272727273,0.7022727272727273,0.7162121212121212,0.7277272727272728,0.7353030303030303,0.7319696969696969,0.7515151515151515,0.7531818181818182,0.7584848484848485,0.7565151515151515,0.7622727272727273,0.7668181818181818,0.7696969696969697,0.7772727272727272,0.7793939393939394,0.7837878787878788,0.7836363636363637,0.7880303030303031,0.7937878787878788,0.7966666666666666,0.8248484848484848,0.8218181818181818,0.8234848484848485,0.8271212121212121,0.8445454545454546,0.85,0.8515151515151516,0.8539393939393939,0.8593939393939394,0.8566666666666667,0.8619696969696969
-2,0.6001515151515151,0.6856060606060606,0.7198484848484848,0.730909090909091,0.745,0.7536363636363637,0.7578787878787879,0.7724242424242425,0.7766666666666666,0.7868181818181819,0.8081818181818182,0.8095454545454546,0.8190909090909091,0.8322727272727273,0.8372727272727273,0.843030303030303,0.8522727272727273,0.858030303030303,0.8572727272727273,0.8581818181818182,0.8618181818181818,0.8633333333333333,0.8683333333333333,0.8701515151515151,0.873030303030303,0.8795454545454545,0.8731818181818182,0.8727272727272727,0.8771212121212121,0.884090909090909,0.8916666666666667,0.8939393939393939,0.8907575757575757,0.8943939393939394,0.8996969696969697,0.8996969696969697,0.9024242424242424,0.901060606060606,0.9036363636363636,0.9040909090909092,0.9059090909090909
0,0.6386363636363637,0.7301515151515151,0.764090909090909,0.7821212121212121,0.7839393939393939,0.8075757575757576,0.8166666666666667,0.8213636363636364,0.8309090909090909,0.8295454545454546,0.8371212121212122,0.8556060606060606,0.866969696969697,0.8784848484848485,0.8901515151515151,0.886969696969697,0.8951515151515151,0.8989393939393939,0.9059090909090908,0.903939393939394,0.906060606060606,0.9027272727272728,0.9092424242424244,0.9095454545454544,0.9095454545454544,0.9136363636363636,0.9092424242424244,0.9090909090909092,0.9140909090909092,0.9093939393939394,0.9183333333333332,0.9181818181818182,0.9162121212121213,0.9156060606060606,0.9201515151515152,0.9177272727272728,0.9196969696969696,0.9172727272727272,0.9203030303030304,0.921818181818182,0.9195454545454546
2,0.6474242424242425,0.7427272727272727,0.7843939393939394,0.7972727272727272,0.8045454545454546,0.8187878787878788,0.8316666666666667,0.8304545454545454,0.8360606060606061,0.8393939393939394,0.8445454545454546,0.860909090909091,0.8836363636363637,0.8928787878787878,0.8972727272727272,0.9015151515151516,0.908939393939394,0.9095454545454544,0.9090909090909092,0.9128787878787878,0.9151515151515152,0.9142424242424242,0.9163636363636364,0.9153030303030304,0.9181818181818182,0.92,0.9196969696969696,0.9163636363636364,0.9184848484848483,0.9184848484848483,0.9231818181818182,0.9227272727272728,0.9227272727272728,0.921969696969697,0.9246969696969696,0.9256060606060608,0.921818181818182,0.9240909090909092,0.9263636363636364,0.9236363636363636,0.923030303030303
4,0.65,0.7536363636363637,0.795,0.8062121212121212,0.8133333333333334,0.8275757575757576,0.8362121212121212,0.8413636363636363,0.8409090909090909,0.8418181818181818,0.8524242424242424,0.8684848484848485,0.8866666666666667,0.9003030303030303,0.9057575757575758,0.9036363636363636,0.9145454545454546,0.911969696969697,0.9116666666666666,0.9128787878787878,0.9186363636363636,0.9181818181818182,0.9203030303030304,0.921060606060606,0.9174242424242424,0.9251515151515152,0.922121212121212,0.9213636363636364,0.9186363636363636,0.922121212121212,0.9290909090909092,0.9240909090909092,0.925,0.9257575757575758,0.9292424242424242,0.9277272727272728,0.9257575757575758,0.9251515151515152,0.9275757575757576,0.9262121212121212,0.9243939393939394
6,0.6654545454545454,0.7563636363636363,0.7934848484848485,0.8007575757575758,0.8166666666666667,0.8333333333333334,0.8362121212121212,0.835,0.8434848484848485,0.85,0.8553030303030303,0.8713636363636363,0.8893939393939394,0.8957575757575758,0.9065151515151516,0.9084848484848485,0.9133333333333332,0.915,0.9151515151515152,0.9156060606060606,0.918939393939394,0.9190909090909092,0.9216666666666666,0.9196969696969696,0.9224242424242424,0.9212121212121211,0.9225757575757576,0.9262121212121212,0.9275757575757576,0.9198484848484848,0.9262121212121212,0.925,0.9266666666666666,0.9251515151515152,0.9259090909090908,0.928030303030303,0.9274242424242424,0.9281818181818182,0.9242424242424242,0.9283333333333332,0.9268181818181818
8,0.6525757575757576,0.7621212121212121,0.7959090909090909,0.806969696969697,0.8218181818181818,0.8316666666666667,0.8336363636363636,0.8386363636363636,0.8477272727272728,0.8472727272727273,0.8584848484848485,0.8733333333333333,0.8903030303030303,0.9022727272727272,0.9065151515151516,0.9077272727272728,0.913939393939394,0.9146969696969696,0.9163636363636364,0.9180303030303032,0.9195454545454546,0.921060606060606,0.9216666666666666,0.9243939393939394,0.9195454545454546,0.921969696969697,0.9222727272727272,0.9215151515151516,0.9222727272727272,0.9213636363636364,0.9246969696969696,0.925,0.9251515151515152,0.9231818181818182,0.9265151515151516,0.926060606060606,0.9284848484848484,0.9275757575757576,0.9293939393939394,0.9272727272727272,0.9274242424242424
10,0.6636363636363637,0.7618181818181818,0.7966666666666666,0.8045454545454546,0.8212121212121212,0.8287878787878787,0.8378787878787879,0.8415151515151515,0.8463636363636363,0.8510606060606061,0.8578787878787879,0.8733333333333333,0.8927272727272727,0.9016666666666666,0.9062121212121212,0.9087878787878788,0.912121212121212,0.9140909090909092,0.917121212121212,0.9177272727272728,0.9166666666666666,0.9215151515151516,0.9207575757575758,0.9192424242424242,0.92,0.921060606060606,0.9234848484848484,0.921818181818182,0.9253030303030304,0.9233333333333332,0.922121212121212,0.9242424242424242,0.9254545454545454,0.9263636363636364,0.923030303030303,0.9266666666666666,0.9259090909090908,0.9246969696969696,0.9234848484848484,0.9263636363636364,0.926969696969697
12,0.6659090909090909,0.77,0.8001515151515152,0.8115151515151515,0.8206060606060606,0.8354545454545454,0.8419696969696969,0.8454545454545455,0.8503030303030303,0.8486363636363636,0.853030303030303,0.8695454545454545,0.8856060606060606,0.899090909090909,0.9077272727272728,0.9090909090909092,0.9116666666666666,0.9163636363636364,0.9174242424242424,0.9190909090909092,0.916818181818182,0.921818181818182,0.9180303030303032,0.9216666666666666,0.9253030303030304,0.9246969696969696,0.9240909090909092,0.9245454545454546,0.9224242424242424,0.9243939393939394,0.9266666666666666,0.926060606060606,0.926060606060606,0.9253030303030304,0.928030303030303,0.9283333333333332,0.9284848484848484,0.9245454545454546,0.928939393939394,0.9287878787878788,0.9268181818181818
