SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
-20,0.0922727272727272,0.0924242424242424,0.095,0.0903030303030303,0.0913636363636363,0.0942424242424242,0.0931818181818181,0.0951515151515151,0.0939393939393939,0.0925757575757575,0.0936363636363636,0.0925757575757575,0.0954545454545454,0.0933333333333333,0.0962121212121212,0.0954545454545454,0.0942424242424242,0.0968181818181818,0.0963636363636363,0.0965151515151515,0.0975757575757575,0.0981818181818181,0.0972727272727272,0.1028787878787878,0.1004545454545454,0.1006060606060606,0.1033333333333333,0.1077272727272727,0.1086363636363636,0.1071212121212121,0.1113636363636363,0.1143939393939394,0.116060606060606,0.1159090909090909
-18,0.0934848484848484,0.095,0.0951515151515151,0.0946969696969697,0.0966666666666666,0.0972727272727272,0.0977272727272727,0.098030303030303,0.1003030303030303,0.0987878787878787,0.1001515151515151,0.0998484848484848,0.0989393939393939,0.1009090909090909,0.0987878787878787,0.0971212121212121,0.1004545454545454,0.1003030303030303,0.1003030303030303,0.1,0.1019696969696969,0.1,0.1001515151515151,0.105,0.1025757575757575,0.1065151515151515,0.1093939393939393,0.1077272727272727,0.11,0.1131818181818181,0.1153030303030303,0.1163636363636363,0.1196969696969696,0.11742424242424243
-16,0.094090909090909,0.0987878787878787,0.0993939393939394,0.0971212121212121,0.0946969696969697,0.1022727272727272,0.1012121212121212,0.1028787878787878,0.1018181818181818,0.1015151515151515,0.1063636363636363,0.1019696969696969,0.1007575757575757,0.1024242424242424,0.1016666666666666,0.1046969696969696,0.1036363636363636,0.1059090909090909,0.1046969696969696,0.1072727272727272,0.1045454545454545,0.1066666666666666,0.1066666666666666,0.1089393939393939,0.1119696969696969,0.1131818181818181,0.1165151515151515,0.1183333333333333,0.1213636363636363,0.1239393939393939,0.1245454545454545,0.1313636363636363,0.1307575757575757,0.13318181818181818
-14,0.1106060606060606,0.118030303030303,0.1293939393939394,0.1271212121212121,0.1271212121212121,0.1328787878787878,0.1322727272727272,0.1327272727272727,0.1333333333333333,0.1343939393939394,0.1342424242424242,0.1315151515151515,0.1353030303030303,0.1348484848484848,0.1381818181818181,0.1368181818181818,0.1392424242424242,0.1421212121212121,0.1398484848484848,0.1386363636363636,0.1434848484848485,0.1416666666666666,0.1448484848484848,0.1471212121212121,0.1534848484848484,0.1539393939393939,0.1543939393939394,0.1615151515151515,0.1639393939393939,0.1701515151515151,0.1681818181818181,0.1759090909090909,0.1772727272727272,0.18333333333333332
-12,0.1384848484848485,0.1640909090909091,0.1678787878787878,0.1768181818181818,0.1786363636363636,0.1792424242424242,0.1740909090909091,0.1753030303030303,0.1748484848484848,0.1781818181818182,0.1778787878787879,0.1772727272727272,0.1789393939393939,0.1833333333333333,0.1837878787878787,0.1851515151515151,0.1881818181818181,0.1927272727272727,0.1881818181818181,0.1943939393939394,0.1925757575757575,0.1954545454545454,0.1962121212121212,0.2019696969696969,0.2074242424242424,0.2059090909090909,0.2068181818181818,0.2190909090909091,0.2168181818181818,0.2269696969696969,0.2254545454545454,0.2306060606060606,0.2392424242424242,0.23863636363636365
-10,0.2169696969696969,0.2448484848484848,0.2465151515151515,0.2543939393939394,0.2554545454545454,0.2525757575757575,0.2565151515151515,0.2566666666666666,0.2621212121212121,0.2695454545454545,0.2654545454545454,0.2687878787878788,0.2704545454545454,0.2693939393939394,0.2656060606060606,0.2656060606060606,0.2684848484848485,0.2787878787878788,0.2725757575757576,0.2783333333333333,0.2796969696969697,0.2840909090909091,0.2825757575757576,0.2983333333333333,0.2963636363636364,0.3039393939393939,0.3087878787878788,0.3174242424242424,0.3224242424242424,0.3319696969696969,0.3324242424242424,0.3336363636363636,0.3506060606060606,0.3503030303030303
-8,0.3162121212121212,0.3577272727272727,0.3662121212121212,0.373030303030303,0.3666666666666666,0.388030303030303,0.3924242424242424,0.395,0.4013636363636363,0.4016666666666666,0.4090909090909091,0.4093939393939394,0.416969696969697,0.4134848484848485,0.4122727272727273,0.4154545454545454,0.4271212121212121,0.4206060606060606,0.4275757575757575,0.4325757575757575,0.4325757575757575,0.4328787878787878,0.4342424242424242,0.4581818181818182,0.4627272727272727,0.4616666666666666,0.4722727272727273,0.4765151515151515,0.4984848484848485,0.4989393939393939,0.5081818181818182,0.5013636363636363,0.5210606060606061,0.5195454545454545
-6,0.4422727272727272,0.505,0.5122727272727273,0.5216666666666666,0.5301515151515152,0.5495454545454546,0.5545454545454546,0.5633333333333334,0.5586363636363636,0.5672727272727273,0.5759090909090909,0.5872727272727273,0.5874242424242424,0.5910606060606061,0.6077272727272728,0.6063636363636363,0.6024242424242424,0.6066666666666667,0.6171212121212121,0.615909090909091,0.6246969696969698,0.6189393939393939,0.6233333333333333,0.6546969696969697,0.6531818181818182,0.66,0.6536363636363637,0.6589393939393939,0.6803030303030303,0.688939393939394,0.6904545454545454,0.6913636363636364,0.7074242424242424,0.7107575757575758
-4,0.5421212121212121,0.6287878787878788,0.6375757575757576,0.6545454545454545,0.6622727272727272,0.6621212121212121,0.6759090909090909,0.6787878787878788,0.6831818181818182,0.6996969696969697,0.7096969696969697,0.7128787878787879,0.7253030303030303,0.7263636363636363,0.7490909090909091,0.7366666666666667,0.7412121212121212,0.7528787878787879,0.7575757575757576,0.7542424242424243,0.7624242424242424,0.769090909090909,0.7707575757575758,0.7881818181818182,0.8024242424242424,0.7963636363636364,0.8025757575757576,0.8059090909090909,0.8190909090909091,0.8237878787878787,0.8218181818181818,0.8237878787878787,0.8322727272727273,0.8375757575757575
-2,0.6031818181818182,0.6948484848484848,0.7077272727272728,0.7378787878787879,0.7490909090909091,0.7586363636363637,0.7672727272727272,0.7793939393939394,0.7813636363636364,0.7953030303030303,0.8063636363636364,0.813030303030303,0.823030303030303,0.8272727272727273,0.8342424242424242,0.8384848484848485,0.8386363636363636,0.8422727272727273,0.8469696969696969,0.8519696969696969,0.858030303030303,0.8577272727272728,0.8566666666666667,0.8721212121212121,0.8772727272727273,0.8789393939393939,0.8772727272727273,0.8787878787878788,0.8904545454545455,0.8960606060606061,0.8968181818181818,0.8937878787878788,0.8975757575757576,0.9025757575757576
