SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
-20,0.0936363636363636,0.0931818181818181,0.0951515151515151,0.0913636363636363,0.0918181818181818,0.0957575757575757,0.0946969696969697,0.095,0.0931818181818181,0.0963636363636363,0.0962121212121212,0.0969696969696969,0.0957575757575757,0.0956060606060606,0.0963636363636363,0.0953030303030303,0.0972727272727272,0.0978787878787878,0.0965151515151515,0.0992424242424242,0.0951515151515151,0.0977272727272727,0.0983333333333333,0.1004545454545454,0.1006060606060606,0.1001515151515151,0.103030303030303,0.1042424242424242,0.1068181818181818,0.1056060606060606,0.1062121212121212,0.1089393939393939,0.1086363636363636,0.1075757575757575,0.1118181818181818,0.111060606060606,0.1143939393939394,0.115,0.11393939393939394
-18,0.0968181818181818,0.099090909090909,0.0962121212121212,0.0954545454545454,0.0969696969696969,0.0933333333333333,0.096060606060606,0.0972727272727272,0.0954545454545454,0.098030303030303,0.0959090909090909,0.0974242424242424,0.0943939393939393,0.0996969696969697,0.0986363636363636,0.1001515151515151,0.0987878787878787,0.0965151515151515,0.1001515151515151,0.0986363636363636,0.0996969696969697,0.0987878787878787,0.1048484848484848,0.1033333333333333,0.106060606060606,0.1031818181818181,0.108030303030303,0.1116666666666666,0.1106060606060606,0.1101515151515151,0.1116666666666666,0.1156060606060606,0.12,0.1154545454545454,0.1195454545454545,0.1204545454545454,0.1231818181818181,0.1224242424242424,0.12515151515151515
-16,0.0981818181818181,0.0969696969696969,0.0995454545454545,0.0975757575757575,0.0957575757575757,0.0989393939393939,0.0966666666666666,0.1003030303030303,0.0998484848484848,0.1016666666666666,0.101060606060606,0.1036363636363636,0.1024242424242424,0.1036363636363636,0.1054545454545454,0.1048484848484848,0.1043939393939394,0.1043939393939394,0.1057575757575757,0.1072727272727272,0.1087878787878788,0.1074242424242424,0.1112121212121212,0.1128787878787878,0.1154545454545454,0.1159090909090909,0.1174242424242424,0.1183333333333333,0.1231818181818181,0.1207575757575757,0.1278787878787878,0.1263636363636363,0.1281818181818181,0.1356060606060606,0.1307575757575757,0.1340909090909091,0.1371212121212121,0.1413636363636363,0.13984848484848486
-14,0.1118181818181818,0.1177272727272727,0.1219696969696969,0.1177272727272727,0.1251515151515151,0.1259090909090909,0.1234848484848484,0.1228787878787878,0.1289393939393939,0.1295454545454545,0.1307575757575757,0.131060606060606,0.1359090909090909,0.1371212121212121,0.1395454545454545,0.1406060606060606,0.1387878787878788,0.1401515151515151,0.1389393939393939,0.1443939393939394,0.1427272727272727,0.1451515151515151,0.1483333333333333,0.1577272727272727,0.1515151515151515,0.1519696969696969,0.1590909090909091,0.1628787878787878,0.1674242424242424,0.1666666666666666,0.1696969696969697,0.1721212121212121,0.1734848484848485,0.1753030303030303,0.1821212121212121,0.1809090909090909,0.1786363636363636,0.1883333333333333,0.18727272727272729
-12,0.1440909090909091,0.1651515151515151,0.1772727272727272,0.1645454545454545,0.1775757575757575,0.1801515151515151,0.1754545454545454,0.1818181818181818,0.1766666666666666,0.1739393939393939,0.1759090909090909,0.1766666666666666,0.1783333333333333,0.1798484848484848,0.1854545454545454,0.1853030303030303,0.1807575757575757,0.1887878787878787,0.1837878787878787,0.1871212121212121,0.1890909090909091,0.1907575757575757,0.1984848484848485,0.2025757575757575,0.2040909090909091,0.2043939393939394,0.2112121212121212,0.2146969696969697,0.2162121212121212,0.2186363636363636,0.2257575757575757,0.2303030303030303,0.2340909090909091,0.2378787878787878,0.2324242424242424,0.2396969696969697,0.2472727272727272,0.243030303030303,0.25136363636363634
-10,0.2156060606060606,0.2478787878787878,0.2584848484848485,0.2559090909090909,0.2589393939393939,0.2677272727272727,0.2648484848484848,0.2640909090909091,0.2643939393939394,0.2687878787878788,0.2654545454545454,0.2663636363636363,0.27,0.2715151515151515,0.2833333333333333,0.271060606060606,0.2748484848484848,0.275,0.2787878787878788,0.2786363636363636,0.2881818181818182,0.2874242424242424,0.2971212121212121,0.3042424242424242,0.3071212121212121,0.3118181818181818,0.3168181818181818,0.3283333333333333,0.3306060606060606,0.3368181818181818,0.3351515151515151,0.3462121212121212,0.346060606060606,0.3506060606060606,0.3498484848484848,0.3659090909090909,0.3646969696969697,0.375,0.3671212121212121
-8,0.3274242424242424,0.3663636363636364,0.3731818181818181,0.3795454545454545,0.3678787878787878,0.3827272727272727,0.3843939393939394,0.3828787878787879,0.3918181818181818,0.4036363636363636,0.4104545454545454,0.4084848484848485,0.4081818181818182,0.4156060606060606,0.4127272727272727,0.4183333333333333,0.4254545454545455,0.4196969696969697,0.4233333333333333,0.4325757575757575,0.4371212121212121,0.4328787878787878,0.4498484848484848,0.4565151515151515,0.4640909090909091,0.4640909090909091,0.4746969696969697,0.4884848484848484,0.49,0.4972727272727272,0.5015151515151515,0.5110606060606061,0.521969696969697,0.5115151515151515,0.5151515151515151,0.5307575757575758,0.5356060606060606,0.5368181818181819,0.5304545454545454
-6,0.4434848484848485,0.4990909090909091,0.5087878787878788,0.5228787878787878,0.5268181818181819,0.5283333333333333,0.5412121212121213,0.5484848484848485,0.5606060606060606,0.5637878787878788,0.5742424242424242,0.581060606060606,0.5875757575757575,0.5978787878787879,0.5906060606060606,0.5996969696969697,0.6033333333333334,0.605,0.6090909090909091,0.6262121212121212,0.6218181818181818,0.6236363636363637,0.6433333333333333,0.6437878787878788,0.6428787878787878,0.6556060606060606,0.6551515151515152,0.678030303030303,0.6763636363636364,0.6859090909090909,0.691060606060606,0.6963636363636364,0.7027272727272728,0.7090909090909091,0.7071212121212122,0.7175757575757575,0.7178787878787879,0.7193939393939394,0.72
-4,0.5392424242424242,0.616969696969697,0.63,0.6513636363636364,0.6662121212121213,0.6734848484848485,0.6763636363636364,0.686060606060606,0.696969696969697,0.7063636363636364,0.7198484848484848,0.7263636363636363,0.7316666666666667,0.7413636363636363,0.748030303030303,0.753030303030303,0.7609090909090909,0.759090909090909,0.7634848484848484,0.77,0.7724242424242425,0.774090909090909,0.7943939393939394,0.8009090909090909,0.801969696969697,0.806969696969697,0.8078787878787879,0.8268181818181818,0.8234848484848485,0.83,0.8334848484848485,0.8360606060606061,0.8403030303030303,0.8409090909090909,0.8421212121212122,0.850909090909091,0.8507575757575757,0.8506060606060606,0.8540909090909091
-2,0.6057575757575757,0.6940909090909091,0.7121212121212122,0.7395454545454545,0.7559090909090909,0.7724242424242425,0.7777272727272727,0.7774242424242425,0.7975757575757576,0.8184848484848485,0.821969696969697,0.8366666666666667,0.8412121212121212,0.8453030303030303,0.8493939393939394,0.8562121212121212,0.8601515151515151,0.8627272727272727,0.8634848484848485,0.8668181818181818,0.8672727272727273,0.8704545454545455,0.8798484848484849,0.883030303030303,0.8812121212121212,0.8859090909090909,0.884090909090909,0.8878787878787879,0.891969696969697,0.8945454545454545,0.8922727272727272,0.8992424242424243,0.8965151515151515,0.8963636363636364,0.8983333333333333,0.902121212121212,0.9040909090909092,0.9015151515151516,0.901969696969697
0,0.6454545454545455,0.740909090909091,0.7624242424242424,0.7884848484848485,0.8096969696969697,0.8146969696969697,0.8257575757575758,0.8353030303030303,0.8446969696969697,0.8616666666666667,0.8766666666666667,0.8806060606060606,0.8845454545454545,0.894090909090909,0.8960606060606061,0.8984848484848484,0.8989393939393939,0.9003030303030303,0.9057575757575758,0.9056060606060606,0.9077272727272728,0.9107575757575758,0.9127272727272728,0.916060606060606,0.9124242424242424,0.9177272727272728,0.916818181818182,0.9198484848484848,0.9180303030303032,0.9213636363636364,0.9201515151515152,0.9206060606060606,0.9213636363636364,0.9206060606060606,0.9183333333333332,0.9227272727272728,0.9236363636363636,0.922878787878788,0.9221212121212121
2,0.6507575757575758,0.7563636363636363,0.7813636363636364,0.8040909090909091,0.8272727272727273,0.8265151515151515,0.8390909090909091,0.8418181818181818,0.8534848484848485,0.883030303030303,0.8874242424242424,0.8993939393939394,0.9009090909090908,0.9025757575757576,0.9062121212121212,0.9077272727272728,0.9125757575757576,0.9122727272727272,0.9162121212121213,0.9224242424242424,0.9165151515151516,0.9196969696969696,0.922878787878788,0.9248484848484848,0.9240909090909092,0.923030303030303,0.922878787878788,0.926969696969697,0.9245454545454546,0.926060606060606,0.923939393939394,0.926969696969697,0.9268181818181818,0.927121212121212,0.9287878787878788,0.9290909090909092,0.926969696969697,0.9287878787878788,0.9275757575757576
4,0.6625757575757576,0.7598484848484849,0.7893939393939394,0.816969696969697,0.8346969696969697,0.8353030303030303,0.843939393939394,0.8442424242424242,0.8613636363636363,0.885,0.8975757575757576,0.9031818181818182,0.9057575757575758,0.9101515151515152,0.9133333333333332,0.9165151515151516,0.9163636363636364,0.9177272727272728,0.917121212121212,0.9224242424242424,0.9196969696969696,0.9181818181818182,0.9251515151515152,0.923939393939394,0.9225757575757576,0.9242424242424242,0.927121212121212,0.9268181818181818,0.9281818181818182,0.9274242424242424,0.9266666666666666,0.9274242424242424,0.9275757575757576,0.9256060606060608,0.9275757575757576,0.927878787878788,0.926969696969697,0.9277272727272728,0.9271212121212121
6,0.6595454545454545,0.7642424242424243,0.7859090909090909,0.8177272727272727,0.8324242424242424,0.8393939393939394,0.8454545454545455,0.8545454545454545,0.8648484848484849,0.8845454545454545,0.8981818181818182,0.9016666666666666,0.9074242424242424,0.9096969696969696,0.9103030303030304,0.9186363636363636,0.915,0.9159090909090908,0.9186363636363636,0.9198484848484848,0.9225757575757576,0.9224242424242424,0.9225757575757576,0.9254545454545454,0.9262121212121212,0.9265151515151516,0.9254545454545454,0.9275757575757576,0.9263636363636364,0.9275757575757576,0.9265151515151516,0.928030303030303,0.9268181818181818,0.9263636363636364,0.9268181818181818,0.9272727272727272,0.927878787878788,0.9277272727272728,0.926969696969697
8,0.6654545454545454,0.7628787878787879,0.7942424242424242,0.8145454545454546,0.8342424242424242,0.8368181818181818,0.8410606060606061,0.8495454545454545,0.8742424242424243,0.8898484848484849,0.8989393939393939,0.9063636363636364,0.9087878787878788,0.911060606060606,0.9106060606060606,0.9163636363636364,0.9175757575757576,0.9183333333333332,0.9198484848484848,0.9207575757575758,0.9198484848484848,0.9209090909090908,0.9246969696969696,0.9227272727272728,0.9259090909090908,0.928030303030303,0.9248484848484848,0.928030303030303,0.9286363636363636,0.9284848484848484,0.9286363636363636,0.9293939393939394,0.927121212121212,0.9263636363636364,0.9275757575757576,0.9301515151515152,0.9275757575757576,0.9293939393939394,0.9287878787878788
10,0.6657575757575758,0.7709090909090909,0.7995454545454546,0.8206060606060606,0.8383333333333334,0.8413636363636363,0.8437878787878788,0.8474242424242424,0.8687878787878788,0.8845454545454545,0.8971212121212121,0.899090909090909,0.9030303030303032,0.9103030303030304,0.915,0.917121212121212,0.9203030303030304,0.9165151515151516,0.9192424242424242,0.921969696969697,0.922121212121212,0.9234848484848484,0.9236363636363636,0.9272727272727272,0.9263636363636364,0.9242424242424242,0.9231818181818182,0.9259090909090908,0.9243939393939394,0.9263636363636364,0.926060606060606,0.927878787878788,0.9268181818181818,0.9263636363636364,0.9275757575757576,0.9251515151515152,0.9274242424242424,0.9298484848484848,0.9257575757575758
12,0.6612121212121213,0.7559090909090909,0.7965151515151515,0.821060606060606,0.8363636363636363,0.8418181818181818,0.8442424242424242,0.8522727272727273,0.8660606060606061,0.8872727272727273,0.896969696969697,0.9009090909090908,0.9115151515151516,0.9092424242424244,0.9122727272727272,0.911818181818182,0.9206060606060606,0.9183333333333332,0.9172727272727272,0.9222727272727272,0.9227272727272728,0.9231818181818182,0.926969696969697,0.9265151515151516,0.9283333333333332,0.927878787878788,0.9266666666666666,0.927878787878788,0.9277272727272728,0.9281818181818182,0.9298484848484848,0.9296969696969696,0.9287878787878788,0.9292424242424242,0.9275757575757576,0.9301515151515152,0.9263636363636364,0.928030303030303,0.9298484848484848
14,0.6684848484848485,0.7604545454545455,0.7912121212121213,0.8254545454545454,0.8363636363636363,0.8404545454545455,0.8425757575757575,0.8415151515151515,0.8634848484848485,0.8860606060606061,0.8931818181818182,0.9034848484848484,0.9025757575757576,0.9086363636363636,0.9109090909090908,0.9145454545454546,0.9159090909090908,0.9175757575757576,0.921969696969697,0.9190909090909092,0.9236363636363636,0.9242424242424242,0.9263636363636364,0.927121212121212,0.9259090909090908,0.9248484848484848,0.9259090909090908,0.9266666666666666,0.928030303030303,0.9287878787878788,0.9268181818181818,0.928030303030303,0.927121212121212,0.9262121212121212,0.9283333333333332,0.927121212121212,0.926060606060606,0.928939393939394,0.926060606060606
16,0.6634848484848485,0.7596969696969696,0.7859090909090909,0.8142424242424242,0.826060606060606,0.8360606060606061,0.8398484848484848,0.8477272727272728,0.8675757575757576,0.881969696969697,0.8977272727272727,0.8962121212121212,0.9072727272727272,0.906969696969697,0.9098484848484848,0.912121212121212,0.9166666666666666,0.9184848484848483,0.9165151515151516,0.9215151515151516,0.9156060606060606,0.9203030303030304,0.9237878787878788,0.9196969696969696,0.9233333333333332,0.9236363636363636,0.9193939393939394,0.9254545454545454,0.9251515151515152,0.9240909090909092,0.9275757575757576,0.9259090909090908,0.9248484848484848,0.9245454545454546,0.925,0.9256060606060608,0.9265151515151516,0.927121212121212,0.9259090909090909
18,0.6674242424242425,0.7627272727272727,0.7866666666666666,0.8207575757575758,0.8365151515151515,0.8363636363636363,0.8404545454545455,0.8512121212121212,0.8704545454545455,0.8859090909090909,0.8959090909090909,0.9040909090909092,0.9036363636363636,0.9096969696969696,0.9115151515151516,0.9146969696969696,0.9146969696969696,0.9177272727272728,0.9201515151515152,0.9166666666666666,0.9215151515151516,0.9212121212121211,0.9248484848484848,0.9263636363636364,0.9246969696969696,0.9262121212121212,0.9277272727272728,0.9268181818181818,0.9254545454545454,0.9265151515151516,0.9246969696969696,0.926060606060606,0.928030303030303,0.9263636363636364,0.9262121212121212,0.928939393939394,0.9283333333333332,0.9283333333333332,0.9259090909090909
Avg,0.464310606060606,0.5295227272727273,0.5472954545454546,0.5629924242424242,0.57375,0.5783787878787878,0.5818560606060607,0.5860909090909091,0.5970227272727273,0.6095227272727273,0.6165757575757576,0.6209848484848485,0.6240454545454546,0.628,0.630280303030303,0.6326287878787878,0.6346666666666667,0.6351212121212121,0.6368030303030303,0.6401742424242425,0.6407121212121212,0.6416363636363637,0.647969696969697,0.6502727272727272,0.6507424242424242,0.6523181818181818,0.6538712121212121,0.6591666666666667,0.6596590909090909,0.6615606060606061,0.662780303030303,0.6656136363636364,0.6668636363636363,0.6669545454545455,0.6676515151515151,0.6713787878787879,0.6720681818181818,0.6736136363636364,0.6728636363636363
