SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
-20,0.0907575757575757,0.0934848484848484,0.0934848484848484,0.0943939393939393,0.0951515151515151,0.0993939393939394,0.0992424242424242,0.1016666666666666,0.1003030303030303,0.1036363636363636,0.1025757575757575,0.1065151515151515,0.1036363636363636,0.1057575757575757,0.1089393939393939,0.1087878787878788,0.1142424242424242,0.1137878787878787,0.1168181818181818,0.1166666666666666,0.1198484848484848,0.1212121212121212,0.1207575757575757,0.1254545454545454,0.1334848484848484,0.1334848484848484,0.1334848484848484,0.1396969696969697,0.1403030303030303,0.1437878787878788
-18,0.0925757575757575,0.0951515151515151,0.0968181818181818,0.0974242424242424,0.0986363636363636,0.0981818181818181,0.1009090909090909,0.0995454545454545,0.1016666666666666,0.1033333333333333,0.1045454545454545,0.1053030303030303,0.105,0.1051515151515151,0.1068181818181818,0.1122727272727272,0.1165151515151515,0.1206060606060606,0.1222727272727272,0.1203030303030303,0.1213636363636363,0.1242424242424242,0.1274242424242424,0.1292424242424242,0.1363636363636363,0.1406060606060606,0.1434848484848485,0.146060606060606,0.1472727272727272,0.15227272727272728
-16,0.093030303030303,0.0953030303030303,0.0981818181818181,0.099090909090909,0.1021212121212121,0.1001515151515151,0.1056060606060606,0.1072727272727272,0.1037878787878787,0.1128787878787878,0.1116666666666666,0.1124242424242424,0.1112121212121212,0.1183333333333333,0.118030303030303,0.121060606060606,0.1271212121212121,0.1283333333333333,0.1348484848484848,0.135,0.1343939393939394,0.1384848484848485,0.1413636363636363,0.1413636363636363,0.1495454545454545,0.155,0.1515151515151515,0.1554545454545454,0.1653030303030303,0.1637878787878788
-14,0.1089393939393939,0.1209090909090909,0.125,0.1272727272727272,0.1325757575757575,0.1368181818181818,0.1390909090909091,0.1466666666666666,0.1436363636363636,0.1427272727272727,0.1440909090909091,0.1471212121212121,0.1512121212121212,0.1509090909090909,0.155,0.1563636363636363,0.1596969696969697,0.175,0.1654545454545454,0.1772727272727272,0.1728787878787878,0.1754545454545454,0.1796969696969697,0.1815151515151515,0.1922727272727272,0.1956060606060606,0.2027272727272727,0.1984848484848485,0.2075757575757575,0.21106060606060606
-12,0.1440909090909091,0.1713636363636363,0.1756060606060606,0.1845454545454545,0.1898484848484848,0.1925757575757575,0.1924242424242424,0.196060606060606,0.1977272727272727,0.1965151515151515,0.1913636363636363,0.1909090909090909,0.193030303030303,0.1978787878787878,0.191060606060606,0.1992424242424242,0.2096969696969697,0.2196969696969697,0.2233333333333333,0.2262121212121212,0.2287878787878788,0.233030303030303,0.238030303030303,0.2401515151515151,0.2506060606060606,0.2527272727272727,0.2607575757575757,0.256060606060606,0.2645454545454545,0.26484848484848483
-10,0.223030303030303,0.251060606060606,0.2671212121212121,0.2709090909090909,0.2745454545454545,0.2787878787878788,0.2806060606060606,0.293030303030303,0.2884848484848485,0.2984848484848484,0.2912121212121212,0.3043939393939394,0.2960606060606061,0.2903030303030303,0.2945454545454545,0.3018181818181818,0.3113636363636363,0.3166666666666666,0.3190909090909091,0.3228787878787879,0.3253030303030303,0.3293939393939394,0.3375757575757576,0.3406060606060606,0.3563636363636364,0.3534848484848484,0.3543939393939394,0.365,0.3792424242424242,0.3803030303030303
-8,0.3262121212121212,0.3813636363636363,0.3806060606060606,0.3887878787878788,0.3895454545454545,0.3940909090909091,0.4018181818181818,0.4033333333333333,0.4157575757575757,0.4266666666666667,0.4315151515151515,0.4395454545454546,0.4433333333333333,0.4481818181818182,0.4531818181818182,0.4559090909090909,0.4671212121212121,0.4774242424242424,0.4793939393939394,0.4789393939393939,0.4913636363636364,0.4881818181818181,0.496060606060606,0.5084848484848485,0.5207575757575758,0.5322727272727272,0.526969696969697,0.5325757575757576,0.5375757575757576,0.5431818181818182
-6,0.4316666666666666,0.508030303030303,0.5354545454545454,0.5404545454545454,0.5471212121212121,0.5471212121212121,0.558030303030303,0.5646969696969697,0.566060606060606,0.5675757575757576,0.5877272727272728,0.6,0.598030303030303,0.6098484848484849,0.6177272727272727,0.6142424242424243,0.6410606060606061,0.6434848484848484,0.6477272727272727,0.6537878787878788,0.6616666666666666,0.6633333333333333,0.6712121212121213,0.6709090909090909,0.6842424242424242,0.6921212121212121,0.6924242424242424,0.7004545454545454,0.7084848484848485,0.7090909090909091
-4,0.5330303030303031,0.6160606060606061,0.6466666666666666,0.6654545454545454,0.6589393939393939,0.6678787878787878,0.6825757575757576,0.6833333333333333,0.6934848484848485,0.6983333333333334,0.7116666666666667,0.723030303030303,0.7331818181818182,0.7396969696969697,0.7463636363636363,0.7462121212121212,0.7701515151515151,0.7743939393939394,0.7762121212121212,0.7768181818181819,0.7798484848484849,0.785,0.7912121212121213,0.7909090909090909,0.8016666666666666,0.8045454545454546,0.808939393939394,0.8101515151515152,0.811969696969697,0.82
-2,0.5957575757575757,0.688939393939394,0.7146969696969697,0.7362121212121212,0.7472727272727273,0.7528787878787879,0.7603030303030303,0.7784848484848484,0.7821212121212121,0.7877272727272727,0.8077272727272727,0.8113636363636364,0.823030303030303,0.8259090909090909,0.8409090909090909,0.8471212121212122,0.8586363636363636,0.8613636363636363,0.8646969696969697,0.8674242424242424,0.8754545454545455,0.8743939393939394,0.8757575757575757,0.8740909090909091,0.8857575757575757,0.8839393939393939,0.8865151515151515,0.8912121212121212,0.8907575757575757,0.8972727272727272
