SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
-20,0.093030303030303,0.0945454545454545,0.0918181818181818,0.0962121212121212,0.0942424242424242,0.0921212121212121,0.0977272727272727,0.0953030303030303,0.0986363636363636,0.0993939393939394,0.1016666666666666,0.0992424242424242,0.103030303030303,0.1033333333333333,0.1036363636363636,0.1089393939393939,0.1078787878787878,0.1106060606060606,0.1127272727272727,0.1107575757575757,0.1157575757575757,0.1253030303030303,0.125,0.1328787878787878,0.131060606060606,0.1351515151515151,0.1401515151515151,0.1409090909090909,0.1446969696969696,0.1528787878787879,0.1566666666666666,0.1537878787878787,0.158030303030303,0.16045454545454546
-18,0.0937878787878787,0.093030303030303,0.0965151515151515,0.0984848484848484,0.0953030303030303,0.098030303030303,0.1006060606060606,0.1022727272727272,0.1009090909090909,0.1019696969696969,0.1046969696969696,0.1054545454545454,0.1077272727272727,0.1087878787878788,0.1068181818181818,0.1075757575757575,0.1133333333333333,0.1154545454545454,0.116060606060606,0.1157575757575757,0.1187878787878787,0.124090909090909,0.131060606060606,0.1325757575757575,0.1356060606060606,0.1434848484848485,0.1513636363636363,0.149090909090909,0.155,0.1613636363636363,0.1581818181818181,0.1598484848484848,0.1598484848484848,0.16772727272727272
-16,0.0954545454545454,0.0975757575757575,0.099090909090909,0.103030303030303,0.1031818181818181,0.1068181818181818,0.1081818181818181,0.1062121212121212,0.1089393939393939,0.1093939393939393,0.1087878787878788,0.1134848484848484,0.1177272727272727,0.1151515151515151,0.1228787878787878,0.1248484848484848,0.1243939393939393,0.1225757575757575,0.1266666666666666,0.128030303030303,0.1339393939393939,0.1393939393939394,0.1431818181818182,0.1448484848484848,0.1536363636363636,0.158030303030303,0.1683333333333333,0.1643939393939394,0.1707575757575757,0.1789393939393939,0.1801515151515151,0.1806060606060606,0.1815151515151515,0.18818181818181817
-14,0.1048484848484848,0.1219696969696969,0.1266666666666666,0.1319696969696969,0.1342424242424242,0.1331818181818181,0.1406060606060606,0.1351515151515151,0.1443939393939394,0.1383333333333333,0.1448484848484848,0.1451515151515151,0.1503030303030303,0.155,0.1531818181818181,0.1595454545454545,0.1593939393939394,0.1659090909090909,0.1663636363636363,0.1651515151515151,0.1651515151515151,0.178030303030303,0.1866666666666666,0.1854545454545454,0.1943939393939394,0.2015151515151515,0.2063636363636363,0.205,0.2116666666666666,0.2137878787878787,0.2175757575757576,0.2216666666666666,0.2222727272727272,0.2293939393939394
-12,0.1377272727272727,0.1789393939393939,0.1812121212121212,0.1921212121212121,0.1846969696969697,0.1927272727272727,0.1987878787878788,0.1990909090909091,0.1995454545454545,0.1915151515151515,0.1981818181818181,0.1963636363636363,0.1993939393939394,0.2004545454545454,0.2034848484848485,0.2139393939393939,0.2066666666666666,0.2128787878787879,0.2143939393939394,0.2218181818181818,0.2254545454545454,0.2407575757575757,0.2381818181818182,0.2489393939393939,0.2512121212121212,0.2596969696969697,0.2613636363636363,0.2686363636363636,0.2689393939393939,0.2824242424242424,0.2843939393939394,0.2834848484848485,0.2872727272727273,0.28893939393939394
-10,0.2148484848484848,0.2606060606060606,0.271969696969697,0.2742424242424242,0.2739393939393939,0.2851515151515151,0.285,0.2934848484848484,0.2984848484848484,0.2960606060606061,0.2996969696969697,0.2998484848484848,0.3025757575757575,0.2993939393939394,0.2959090909090909,0.3075757575757575,0.3087878787878788,0.3018181818181818,0.3145454545454546,0.3177272727272727,0.3227272727272727,0.3403030303030303,0.3384848484848485,0.3454545454545454,0.3484848484848485,0.3695454545454545,0.3715151515151515,0.3763636363636363,0.3771212121212121,0.3872727272727272,0.3822727272727272,0.3853030303030303,0.3992424242424242,0.40424242424242424
-8,0.3165151515151515,0.3693939393939394,0.3845454545454545,0.3953030303030303,0.3965151515151515,0.4037878787878788,0.398030303030303,0.4090909090909091,0.42,0.4292424242424242,0.438030303030303,0.4315151515151515,0.4348484848484849,0.4363636363636363,0.4528787878787879,0.45,0.4492424242424242,0.4468181818181818,0.4545454545454545,0.4589393939393939,0.4636363636363636,0.4801515151515151,0.4904545454545455,0.481969696969697,0.4954545454545455,0.5137878787878788,0.516969696969697,0.516969696969697,0.5265151515151515,0.5283333333333333,0.5357575757575758,0.5339393939393939,0.5413636363636364,0.5448484848484848
-6,0.4516666666666666,0.5137878787878788,0.5212121212121212,0.5251515151515151,0.5422727272727272,0.546969696969697,0.5446969696969697,0.5540909090909091,0.5628787878787879,0.5692424242424242,0.5724242424242424,0.5827272727272728,0.5886363636363636,0.5921212121212122,0.6006060606060606,0.5998484848484849,0.6140909090909091,0.6140909090909091,0.625,0.6307575757575757,0.6289393939393939,0.6466666666666666,0.6577272727272727,0.6686363636363636,0.6615151515151515,0.6843939393939394,0.6895454545454546,0.6895454545454546,0.693939393939394,0.7024242424242424,0.7040909090909091,0.7018181818181818,0.708030303030303,0.7104545454545454
-4,0.5472727272727272,0.6253030303030302,0.6410606060606061,0.6498484848484849,0.6659090909090909,0.6751515151515152,0.6704545454545454,0.6872727272727273,0.6915151515151515,0.6940909090909091,0.7143939393939394,0.7186363636363636,0.7284848484848485,0.7325757575757575,0.7363636363636363,0.7374242424242424,0.7540909090909091,0.7565151515151515,0.7581818181818182,0.7559090909090909,0.765,0.7824242424242425,0.7789393939393939,0.7927272727272727,0.7978787878787879,0.8104545454545454,0.8118181818181818,0.8165151515151515,0.8154545454545454,0.8222727272727273,0.8278787878787879,0.8293939393939394,0.8337878787878787,0.8353030303030303
-2,0.6086363636363636,0.6925757575757576,0.7059090909090909,0.7284848484848485,0.7416666666666667,0.758030303030303,0.7654545454545455,0.785,0.785,0.803030303030303,0.808030303030303,0.8171212121212121,0.8245454545454546,0.8307575757575758,0.8293939393939394,0.84,0.8440909090909091,0.8460606060606061,0.8457575757575757,0.8519696969696969,0.8572727272727273,0.8715151515151515,0.8721212121212121,0.8754545454545455,0.8772727272727273,0.8824242424242424,0.8775757575757576,0.8860606060606061,0.8883333333333333,0.895,0.8954545454545455,0.8945454545454545,0.8922727272727272,0.899090909090909
