SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
-20,0.0927272727272727,0.0924242424242424,0.0939393939393939,0.0948484848484848,0.0942424242424242,0.0939393939393939,0.0978787878787878,0.0969696969696969,0.1,0.0998484848484848,0.0993939393939394,0.1021212121212121,0.1056060606060606,0.1045454545454545,0.1033333333333333,0.1065151515151515,0.11,0.1166666666666666,0.1122727272727272,0.1196969696969696,0.1225757575757575,0.1228787878787878,0.1266666666666666,0.1315151515151515,0.1316666666666666,0.1362121212121212,0.1424242424242424,0.1415151515151515,0.1368181818181818,0.1437878787878788,0.148030303030303,0.1466666666666666,0.1486363636363636,0.1484848484848485,0.1466666666666666,0.1546969696969697
-18,0.093030303030303,0.0933333333333333,0.0954545454545454,0.0983333333333333,0.0983333333333333,0.1009090909090909,0.0978787878787878,0.101060606060606,0.0992424242424242,0.101060606060606,0.1063636363636363,0.1040909090909091,0.106060606060606,0.1040909090909091,0.1077272727272727,0.1072727272727272,0.1068181818181818,0.1171212121212121,0.1215151515151515,0.1218181818181818,0.1245454545454545,0.1251515151515151,0.1327272727272727,0.1363636363636363,0.1390909090909091,0.1387878787878788,0.1421212121212121,0.1481818181818182,0.1442424242424242,0.1525757575757576,0.1545454545454545,0.148030303030303,0.1545454545454545,0.1531818181818181,0.156060606060606,0.15484848484848485
-16,0.093030303030303,0.0948484848484848,0.1006060606060606,0.0995454545454545,0.1,0.106060606060606,0.1039393939393939,0.1062121212121212,0.1104545454545454,0.1089393939393939,0.1131818181818181,0.1093939393939393,0.1168181818181818,0.1171212121212121,0.1153030303030303,0.1213636363636363,0.1201515151515151,0.1272727272727272,0.1304545454545454,0.1363636363636363,0.1374242424242424,0.1381818181818181,0.1472727272727272,0.1527272727272727,0.1542424242424242,0.1548484848484848,0.1625757575757575,0.1621212121212121,0.1645454545454545,0.1598484848484848,0.1663636363636363,0.1669696969696969,0.1698484848484848,0.1665151515151515,0.1662121212121212,0.17181818181818181
-14,0.1062121212121212,0.1209090909090909,0.1251515151515151,0.1274242424242424,0.1359090909090909,0.1312121212121212,0.1357575757575757,0.1395454545454545,0.1375757575757575,0.1415151515151515,0.1446969696969696,0.1465151515151515,0.1539393939393939,0.151060606060606,0.1556060606060606,0.156060606060606,0.1578787878787878,0.1745454545454545,0.1725757575757575,0.1742424242424242,0.1753030303030303,0.1822727272727272,0.1851515151515151,0.1934848484848484,0.193030303030303,0.1972727272727272,0.2024242424242424,0.2104545454545454,0.2054545454545454,0.209090909090909,0.209090909090909,0.2043939393939394,0.2089393939393939,0.2169696969696969,0.2156060606060606,0.21818181818181817
-12,0.1456060606060606,0.1736363636363636,0.1813636363636363,0.1834848484848484,0.1877272727272727,0.1892424242424242,0.1928787878787878,0.1898484848484848,0.1895454545454545,0.1940909090909091,0.1893939393939394,0.1942424242424242,0.1996969696969697,0.2036363636363636,0.1993939393939394,0.2062121212121212,0.2059090909090909,0.221060606060606,0.2254545454545454,0.2256060606060606,0.2251515151515151,0.2309090909090909,0.2419696969696969,0.244090909090909,0.2484848484848484,0.2557575757575757,0.2639393939393939,0.2613636363636363,0.2619696969696969,0.2663636363636363,0.27,0.2728787878787879,0.2709090909090909,0.2742424242424242,0.2727272727272727,0.27166666666666667
-10,0.2221212121212121,0.258030303030303,0.2542424242424242,0.2627272727272727,0.2713636363636363,0.2737878787878788,0.2725757575757576,0.2757575757575757,0.2828787878787879,0.2878787878787879,0.2910606060606061,0.2893939393939393,0.29,0.294090909090909,0.291969696969697,0.2954545454545454,0.3021212121212121,0.3122727272727272,0.3139393939393939,0.3174242424242424,0.3289393939393939,0.3240909090909091,0.3333333333333333,0.3356060606060606,0.3456060606060606,0.3489393939393939,0.3487878787878788,0.3618181818181818,0.3606060606060606,0.3637878787878787,0.3662121212121212,0.3709090909090909,0.3768181818181818,0.3733333333333333,0.3706060606060606,0.37424242424242427
-8,0.3296969696969697,0.3709090909090909,0.3853030303030303,0.3851515151515151,0.39,0.4059090909090909,0.4027272727272727,0.4083333333333333,0.425,0.4290909090909091,0.4351515151515152,0.4372727272727272,0.4443939393939394,0.4453030303030303,0.445,0.4533333333333333,0.46,0.4725757575757576,0.4746969696969697,0.473030303030303,0.4739393939393939,0.4851515151515151,0.5012121212121212,0.4996969696969697,0.5086363636363637,0.5092424242424243,0.5193939393939394,0.5215151515151515,0.5207575757575758,0.524090909090909,0.5293939393939394,0.5277272727272727,0.5336363636363637,0.5333333333333333,0.5316666666666666,0.5418181818181819
-6,0.4424242424242424,0.5198484848484849,0.531060606060606,0.5518181818181818,0.5571212121212121,0.553939393939394,0.5703030303030303,0.585,0.5824242424242424,0.5828787878787879,0.5972727272727273,0.6007575757575757,0.6166666666666667,0.6160606060606061,0.6212121212121212,0.6234848484848485,0.6303030303030303,0.6506060606060606,0.6562121212121212,0.6624242424242425,0.6565151515151515,0.6577272727272727,0.678939393939394,0.678030303030303,0.6857575757575758,0.6837878787878788,0.6928787878787879,0.7009090909090909,0.6983333333333334,0.7009090909090909,0.7043939393939394,0.7092424242424242,0.7110606060606061,0.7042424242424242,0.706060606060606,0.7095454545454546
-4,0.5387878787878788,0.6322727272727273,0.6457575757575758,0.6639393939393939,0.6604545454545454,0.6690909090909091,0.6890909090909091,0.6901515151515152,0.693030303030303,0.7077272727272728,0.7184848484848485,0.7278787878787879,0.7318181818181818,0.7404545454545455,0.7475757575757576,0.74,0.7496969696969698,0.7739393939393939,0.7804545454545454,0.7798484848484849,0.7753030303030303,0.7924242424242425,0.7983333333333333,0.8018181818181818,0.7986363636363636,0.7998484848484848,0.8092424242424242,0.8040909090909091,0.8101515151515152,0.8148484848484848,0.8195454545454546,0.8201515151515152,0.8206060606060606,0.8162121212121212,0.8172727272727273,0.8178787878787879
-2,0.6103030303030303,0.6983333333333334,0.7272727272727273,0.7434848484848485,0.7559090909090909,0.7592424242424243,0.7737878787878788,0.781969696969697,0.7945454545454546,0.8021212121212121,0.8107575757575758,0.8106060606060606,0.823939393939394,0.8284848484848485,0.8224242424242424,0.8342424242424242,0.8431818181818181,0.855,0.8583333333333333,0.8643939393939394,0.863030303030303,0.8627272727272727,0.8724242424242424,0.8727272727272727,0.8748484848484849,0.8757575757575757,0.8813636363636363,0.8851515151515151,0.8881818181818182,0.8812121212121212,0.8895454545454545,0.8874242424242424,0.8872727272727273,0.8942424242424243,0.89,0.889090909090909
