SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-20,0.0924242424242424,0.0919696969696969,0.0909090909090909,0.0922727272727272,0.0921212121212121,0.096060606060606,0.0922727272727272,0.093030303030303,0.0945454545454545,0.0936363636363636,0.0948484848484848,0.0937878787878787,0.0936363636363636,0.094090909090909,0.0954545454545454,0.095,0.0945454545454545,0.0969696969696969,0.0968181818181818,0.0965151515151515,0.095,0.0968181818181818,0.0971212121212121,0.0983333333333333,0.099090909090909,0.1013636363636363,0.0998484848484848,0.1003030303030303,0.1015151515151515,0.1013636363636363,0.1033333333333333,0.10348484848484849
-18,0.095,0.0965151515151515,0.0974242424242424,0.0962121212121212,0.0963636363636363,0.0971212121212121,0.0977272727272727,0.0957575757575757,0.098030303030303,0.0984848484848484,0.0978787878787878,0.0987878787878787,0.0963636363636363,0.0987878787878787,0.0978787878787878,0.0998484848484848,0.1004545454545454,0.0978787878787878,0.0989393939393939,0.1009090909090909,0.1012121212121212,0.1022727272727272,0.1021212121212121,0.103030303030303,0.1013636363636363,0.1028787878787878,0.1018181818181818,0.1043939393939394,0.1072727272727272,0.108030303030303,0.1046969696969696,0.10954545454545454
-16,0.0918181818181818,0.0946969696969697,0.0953030303030303,0.0981818181818181,0.0953030303030303,0.098030303030303,0.0963636363636363,0.099090909090909,0.1013636363636363,0.1018181818181818,0.1018181818181818,0.1028787878787878,0.1043939393939394,0.1012121212121212,0.1033333333333333,0.1042424242424242,0.1045454545454545,0.1022727272727272,0.1054545454545454,0.1043939393939394,0.1065151515151515,0.1075757575757575,0.1087878787878788,0.108030303030303,0.1095454545454545,0.1078787878787878,0.1112121212121212,0.1116666666666666,0.1142424242424242,0.1134848484848484,0.1146969696969697,0.11803030303030303
-14,0.1063636363636363,0.118030303030303,0.1196969696969696,0.1266666666666666,0.1274242424242424,0.1304545454545454,0.1301515151515151,0.1303030303030303,0.1393939393939394,0.1343939393939394,0.1351515151515151,0.13,0.1359090909090909,0.1351515151515151,0.1404545454545454,0.1383333333333333,0.1421212121212121,0.1404545454545454,0.143030303030303,0.1456060606060606,0.1456060606060606,0.1477272727272727,0.1474242424242424,0.148030303030303,0.1533333333333333,0.15,0.151060606060606,0.1557575757575757,0.1598484848484848,0.1586363636363636,0.1606060606060606,0.16166666666666665
-12,0.141060606060606,0.1690909090909091,0.1716666666666666,0.18,0.1769696969696969,0.186060606060606,0.1828787878787879,0.185,0.1856060606060606,0.1846969696969697,0.1769696969696969,0.1765151515151515,0.1863636363636363,0.1807575757575757,0.1925757575757575,0.1834848484848484,0.1912121212121212,0.1874242424242424,0.1927272727272727,0.1925757575757575,0.1939393939393939,0.1972727272727272,0.1975757575757575,0.1953030303030303,0.195,0.1992424242424242,0.1986363636363636,0.2089393939393939,0.2084848484848485,0.2093939393939393,0.2101515151515151,0.2156060606060606
-10,0.2178787878787878,0.2627272727272727,0.2563636363636363,0.2601515151515151,0.268030303030303,0.2753030303030303,0.2689393939393939,0.2789393939393939,0.2745454545454545,0.2756060606060606,0.2703030303030303,0.2771212121212121,0.27,0.2654545454545454,0.2651515151515151,0.2666666666666666,0.2765151515151515,0.2698484848484848,0.2739393939393939,0.2793939393939394,0.2827272727272727,0.2895454545454545,0.2834848484848485,0.2892424242424242,0.2945454545454545,0.298030303030303,0.2896969696969697,0.3084848484848485,0.3078787878787878,0.3125757575757575,0.3053030303030303,0.32
-8,0.3177272727272727,0.3648484848484848,0.3701515151515152,0.3772727272727272,0.3883333333333333,0.3921212121212121,0.3906060606060606,0.3978787878787879,0.4,0.4090909090909091,0.4081818181818182,0.4046969696969697,0.41,0.4083333333333333,0.4045454545454545,0.419090909090909,0.4115151515151515,0.4171212121212121,0.4266666666666667,0.4212121212121212,0.4383333333333333,0.4301515151515152,0.435,0.4443939393939394,0.4375757575757575,0.4518181818181818,0.4498484848484848,0.455,0.4613636363636363,0.4651515151515151,0.4675757575757576,0.4813636363636364
-6,0.4565151515151515,0.5098484848484849,0.5207575757575758,0.5246969696969697,0.548939393939394,0.5416666666666666,0.5524242424242424,0.5584848484848485,0.5637878787878788,0.5586363636363636,0.5742424242424242,0.571060606060606,0.5824242424242424,0.5910606060606061,0.5959090909090909,0.6092424242424243,0.593939393939394,0.6086363636363636,0.6166666666666667,0.6162121212121212,0.6225757575757576,0.6265151515151515,0.626969696969697,0.6336363636363637,0.6262121212121212,0.6346969696969696,0.6337878787878788,0.6548484848484849,0.6551515151515152,0.6622727272727272,0.6584848484848485,0.6757575757575758
-4,0.5775757575757576,0.6342424242424243,0.6413636363636364,0.6668181818181819,0.6693939393939394,0.6793939393939394,0.6857575757575758,0.6871212121212121,0.6851515151515152,0.6937878787878788,0.7031818181818181,0.7154545454545455,0.7195454545454546,0.7256060606060606,0.7333333333333333,0.7316666666666667,0.738030303030303,0.7418181818181818,0.758030303030303,0.7559090909090909,0.7612121212121212,0.765,0.7730303030303031,0.7686363636363637,0.7725757575757576,0.7684848484848484,0.7821212121212121,0.7837878787878788,0.796969696969697,0.7968181818181819,0.8003030303030303,0.8077272727272727
-2,0.6228787878787879,0.696060606060606,0.7227272727272728,0.748030303030303,0.7645454545454545,0.7668181818181818,0.7737878787878788,0.7792424242424243,0.7846969696969697,0.7975757575757576,0.803939393939394,0.8222727272727273,0.8242424242424242,0.8224242424242424,0.83,0.8327272727272728,0.8422727272727273,0.8422727272727273,0.8504545454545455,0.855909090909091,0.8527272727272728,0.8619696969696969,0.8624242424242424,0.8593939393939394,0.8637878787878788,0.860909090909091,0.8692424242424243,0.8709090909090909,0.873030303030303,0.8740909090909091,0.8759090909090909,0.88
0,0.6539393939393939,0.738030303030303,0.7734848484848484,0.8077272727272727,0.8107575757575758,0.8206060606060606,0.826060606060606,0.8277272727272728,0.8363636363636363,0.850909090909091,0.8624242424242424,0.8681818181818182,0.8734848484848485,0.8812121212121212,0.8813636363636363,0.8895454545454545,0.8912121212121212,0.8930303030303031,0.8992424242424243,0.9048484848484848,0.9043939393939394,0.906060606060606,0.9046969696969696,0.9048484848484848,0.9077272727272728,0.906818181818182,0.9116666666666666,0.9151515151515152,0.9142424242424242,0.9151515151515152,0.9181818181818182,0.9171212121212121
2,0.6686363636363636,0.7595454545454545,0.8054545454545454,0.823939393939394,0.8319696969696969,0.8395454545454546,0.8437878787878788,0.8462121212121212,0.8503030303030303,0.8643939393939394,0.8760606060606061,0.8922727272727272,0.8945454545454545,0.9,0.9033333333333332,0.9042424242424244,0.9062121212121212,0.911060606060606,0.9136363636363636,0.9187878787878788,0.9195454545454546,0.9204545454545454,0.9183333333333332,0.9206060606060606,0.9186363636363636,0.9207575757575758,0.9203030303030304,0.923030303030303,0.9225757575757576,0.922121212121212,0.9227272727272728,0.9256060606060607
4,0.666060606060606,0.765,0.8095454545454546,0.8312121212121212,0.8415151515151515,0.838030303030303,0.8478787878787879,0.8490909090909091,0.8531818181818182,0.8754545454545455,0.8856060606060606,0.901060606060606,0.8981818181818182,0.906818181818182,0.9063636363636364,0.9116666666666666,0.9112121212121213,0.9156060606060606,0.9206060606060606,0.9242424242424242,0.9216666666666666,0.9233333333333332,0.9237878787878788,0.9248484848484848,0.9272727272727272,0.922878787878788,0.9234848484848484,0.9257575757575758,0.9281818181818182,0.9237878787878788,0.9275757575757576,0.9281818181818182
6,0.6756060606060607,0.7686363636363637,0.823030303030303,0.8396969696969697,0.8465151515151516,0.8536363636363636,0.8563636363636363,0.8542424242424242,0.8631818181818182,0.8806060606060606,0.8887878787878788,0.8998484848484849,0.903939393939394,0.9066666666666666,0.91,0.9131818181818182,0.915,0.9165151515151516,0.9216666666666666,0.9243939393939394,0.9253030303030304,0.9233333333333332,0.927121212121212,0.9263636363636364,0.9265151515151516,0.923939393939394,0.9253030303030304,0.9272727272727272,0.9293939393939394,0.9295454545454546,0.9295454545454546,0.9301515151515152
8,0.6675757575757576,0.7589393939393939,0.8107575757575758,0.8359090909090909,0.8434848484848485,0.8481818181818181,0.8525757575757575,0.858030303030303,0.8637878787878788,0.8775757575757576,0.8909090909090909,0.901969696969697,0.9053030303030304,0.908939393939394,0.9124242424242424,0.9175757575757576,0.915,0.9195454545454546,0.9246969696969696,0.9243939393939394,0.926969696969697,0.9240909090909092,0.925,0.927121212121212,0.9287878787878788,0.9292424242424242,0.9293939393939394,0.93,0.9251515151515152,0.9272727272727272,0.9295454545454546,0.925
10,0.6775757575757576,0.7666666666666667,0.8192424242424242,0.8425757575757575,0.8396969696969697,0.8481818181818181,0.8498484848484849,0.8531818181818182,0.8557575757575757,0.8783333333333333,0.8931818181818182,0.9015151515151516,0.9098484848484848,0.9084848484848485,0.9104545454545454,0.917121212121212,0.9159090909090908,0.9146969696969696,0.921818181818182,0.925,0.9231818181818182,0.922878787878788,0.928939393939394,0.9272727272727272,0.9254545454545454,0.9240909090909092,0.928030303030303,0.926969696969697,0.928030303030303,0.9283333333333332,0.928939393939394,0.9290909090909091
12,0.6721212121212121,0.7748484848484849,0.8166666666666667,0.838030303030303,0.8407575757575757,0.8466666666666667,0.850909090909091,0.850909090909091,0.8571212121212122,0.8712121212121212,0.8886363636363637,0.8974242424242425,0.899090909090909,0.9066666666666666,0.9092424242424244,0.911060606060606,0.9106060606060606,0.9198484848484848,0.9227272727272728,0.9240909090909092,0.921969696969697,0.9265151515151516,0.926969696969697,0.926969696969697,0.9225757575757576,0.9246969696969696,0.9306060606060608,0.9306060606060608,0.928030303030303,0.9313636363636364,0.9298484848484848,0.9315151515151515
14,0.6759090909090909,0.769090909090909,0.815,0.8298484848484848,0.8366666666666667,0.8378787878787879,0.8542424242424242,0.8528787878787879,0.8578787878787879,0.8766666666666667,0.8886363636363637,0.896969696969697,0.9080303030303032,0.9090909090909092,0.9087878787878788,0.916818181818182,0.9156060606060606,0.9172727272727272,0.9233333333333332,0.9225757575757576,0.9248484848484848,0.9245454545454546,0.9227272727272728,0.9266666666666666,0.9242424242424242,0.921818181818182,0.9243939393939394,0.9253030303030304,0.9262121212121212,0.9303030303030304,0.9306060606060608,0.9266666666666666
16,0.6657575757575758,0.7689393939393939,0.8153030303030303,0.8336363636363636,0.8365151515151515,0.8404545454545455,0.8460606060606061,0.8416666666666667,0.8537878787878788,0.8707575757575757,0.8865151515151515,0.9,0.902121212121212,0.9075757575757576,0.906818181818182,0.9096969696969696,0.9136363636363636,0.9137878787878788,0.9196969696969696,0.9225757575757576,0.9222727272727272,0.9248484848484848,0.9240909090909092,0.9248484848484848,0.9216666666666666,0.9212121212121211,0.9227272727272728,0.9257575757575758,0.923939393939394,0.9233333333333332,0.9257575757575758,0.9218181818181819
18,0.6737878787878788,0.7651515151515151,0.8207575757575758,0.8387878787878787,0.84,0.848030303030303,0.8543939393939394,0.8589393939393939,0.8596969696969697,0.8722727272727273,0.8875757575757576,0.8993939393939394,0.9033333333333332,0.907121212121212,0.9113636363636364,0.9112121212121213,0.9140909090909092,0.9178787878787878,0.9207575757575758,0.9212121212121211,0.922878787878788,0.9233333333333332,0.9274242424242424,0.927121212121212,0.9225757575757576,0.9253030303030304,0.9213636363636364,0.9262121212121212,0.9262121212121212,0.9248484848484848,0.9265151515151516,0.9275757575757576
Avg,0.470810606060606,0.5336439393939394,0.559780303030303,0.5745833333333333,0.5797651515151515,0.5842121212121212,0.5876515151515151,0.5898863636363636,0.5939090909090909,0.6032954545454545,0.6107424242424242,0.617560606060606,0.6210378787878787,0.6232727272727273,0.6259393939393939,0.6291212121212121,0.6301818181818182,0.6321969696969697,0.6375454545454545,0.6390378787878788,0.6406439393939394,0.6422121212121212,0.6431515151515151,0.6442348484848485,0.6439242424242424,0.6448030303030303,0.6462272727272728,0.6505075757575758,0.6518863636363637,0.6528939393939394,0.6535151515151515,0.6567954545454545
