SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
-20,0.0942424242424242,0.094090909090909,0.0936363636363636,0.0939393939393939,0.0954545454545454,0.0956060606060606,0.0962121212121212,0.0965151515151515,0.0954545454545454,0.0965151515151515,0.0951515151515151,0.0937878787878787,0.0937878787878787,0.0933333333333333,0.0956060606060606,0.0957575757575757,0.0936363636363636,0.094090909090909,0.0962121212121212,0.0959090909090909,0.0974242424242424,0.1007575757575757,0.0993939393939394,0.1015151515151515,0.1015151515151515,0.1016666666666666,0.101060606060606,0.1024242424242424,0.1040909090909091,0.1036363636363636,0.1068181818181818,0.1051515151515151,0.1051515151515151,0.1068181818181818,0.1115151515151515,0.1131818181818181,0.109090909090909,0.1142424242424242,0.11272727272727273
-18,0.0928787878787878,0.0978787878787878,0.0956060606060606,0.0934848484848484,0.0953030303030303,0.096060606060606,0.0975757575757575,0.0948484848484848,0.0965151515151515,0.0965151515151515,0.0962121212121212,0.0959090909090909,0.0957575757575757,0.099090909090909,0.0971212121212121,0.0975757575757575,0.0971212121212121,0.0978787878787878,0.0986363636363636,0.0978787878787878,0.1021212121212121,0.1028787878787878,0.0996969696969697,0.1018181818181818,0.1039393939393939,0.1021212121212121,0.1013636363636363,0.1071212121212121,0.1065151515151515,0.1081818181818181,0.1092424242424242,0.1103030303030303,0.1093939393939393,0.1139393939393939,0.1162121212121212,0.1157575757575757,0.1163636363636363,0.1187878787878787,0.1159090909090909
-16,0.096060606060606,0.0962121212121212,0.098030303030303,0.0972727272727272,0.0984848484848484,0.099090909090909,0.0981818181818181,0.1013636363636363,0.103030303030303,0.1033333333333333,0.1018181818181818,0.0989393939393939,0.103030303030303,0.1072727272727272,0.1037878787878787,0.1033333333333333,0.1013636363636363,0.1001515151515151,0.1025757575757575,0.1054545454545454,0.1045454545454545,0.1075757575757575,0.1065151515151515,0.1089393939393939,0.11,0.1137878787878787,0.1124242424242424,0.1128787878787878,0.1128787878787878,0.114090909090909,0.1192424242424242,0.1192424242424242,0.1215151515151515,0.1236363636363636,0.1231818181818181,0.1266666666666666,0.1307575757575757,0.1295454545454545,0.13333333333333333
-14,0.108030303030303,0.1169696969696969,0.1245454545454545,0.1254545454545454,0.126060606060606,0.1316666666666666,0.1295454545454545,0.1333333333333333,0.1309090909090909,0.1395454545454545,0.1334848484848484,0.1387878787878788,0.1395454545454545,0.1368181818181818,0.1383333333333333,0.1378787878787878,0.1392424242424242,0.1395454545454545,0.136060606060606,0.143030303030303,0.1431818181818182,0.1472727272727272,0.1481818181818182,0.148030303030303,0.1521212121212121,0.1531818181818181,0.1601515151515151,0.1568181818181818,0.1574242424242424,0.1598484848484848,0.1656060606060606,0.1587878787878787,0.1678787878787878,0.1683333333333333,0.1736363636363636,0.1796969696969697,0.1745454545454545,0.1793939393939393,0.1796969696969697
-12,0.136060606060606,0.1618181818181818,0.1754545454545454,0.1825757575757575,0.1786363636363636,0.1803030303030303,0.1731818181818182,0.175,0.1793939393939393,0.1739393939393939,0.1719696969696969,0.1783333333333333,0.1816666666666666,0.1827272727272727,0.1807575757575757,0.1853030303030303,0.185,0.1859090909090909,0.1843939393939394,0.1843939393939394,0.1871212121212121,0.1972727272727272,0.1931818181818181,0.1983333333333333,0.2018181818181818,0.1992424242424242,0.2056060606060606,0.2048484848484848,0.206060606060606,0.208030303030303,0.2134848484848484,0.213030303030303,0.2189393939393939,0.223030303030303,0.2289393939393939,0.2301515151515151,0.2269696969696969,0.2315151515151515,0.23393939393939395
-10,0.2119696969696969,0.2563636363636363,0.266060606060606,0.2722727272727273,0.2706060606060606,0.271060606060606,0.2659090909090909,0.271060606060606,0.2709090909090909,0.265,0.2634848484848485,0.2701515151515151,0.2713636363636363,0.2666666666666666,0.2695454545454545,0.2666666666666666,0.2722727272727273,0.2740909090909091,0.2696969696969697,0.2807575757575757,0.2754545454545454,0.2836363636363636,0.2831818181818182,0.2954545454545454,0.2983333333333333,0.2948484848484848,0.2998484848484848,0.3,0.3036363636363636,0.3103030303030303,0.3171212121212121,0.3216666666666666,0.3327272727272727,0.3277272727272727,0.333030303030303,0.3363636363636363,0.3443939393939394,0.3512121212121212,0.3487878787878788
-8,0.3169696969696969,0.3646969696969697,0.3692424242424242,0.3783333333333333,0.3903030303030303,0.3836363636363636,0.3959090909090909,0.3995454545454545,0.403030303030303,0.4,0.4048484848484848,0.4098484848484848,0.4075757575757576,0.411969696969697,0.408030303030303,0.4096969696969696,0.4124242424242424,0.4133333333333333,0.4174242424242424,0.4206060606060606,0.4189393939393939,0.4306060606060606,0.436060606060606,0.4419696969696969,0.4395454545454546,0.4527272727272727,0.4513636363636363,0.4524242424242424,0.4554545454545454,0.4651515151515151,0.4727272727272727,0.4822727272727273,0.4763636363636364,0.4813636363636364,0.4922727272727272,0.4954545454545455,0.4981818181818181,0.5037878787878788,0.5042424242424243
-6,0.4466666666666666,0.5056060606060606,0.5056060606060606,0.516969696969697,0.5316666666666666,0.5368181818181819,0.5471212121212121,0.5471212121212121,0.5465151515151515,0.5645454545454546,0.5663636363636364,0.5703030303030303,0.576060606060606,0.5803030303030303,0.5886363636363636,0.5893939393939394,0.5924242424242424,0.5907575757575757,0.5986363636363636,0.5971212121212122,0.5978787878787879,0.6190909090909091,0.6278787878787879,0.6215151515151515,0.6257575757575757,0.6293939393939394,0.6339393939393939,0.635,0.6443939393939394,0.6503030303030303,0.6637878787878788,0.6675757575757576,0.6628787878787878,0.671969696969697,0.6784848484848485,0.6745454545454546,0.6828787878787879,0.683030303030303,0.6896969696969697
-4,0.5595454545454546,0.6187878787878788,0.6460606060606061,0.6568181818181819,0.6681818181818182,0.6656060606060606,0.6722727272727272,0.68,0.6896969696969697,0.6904545454545454,0.6963636363636364,0.706060606060606,0.7151515151515152,0.7165151515151515,0.7215151515151516,0.7298484848484849,0.7271212121212122,0.7298484848484849,0.7413636363636363,0.7362121212121212,0.7424242424242424,0.765,0.7636363636363637,0.7659090909090909,0.7674242424242425,0.7713636363636364,0.7806060606060606,0.7743939393939394,0.7701515151515151,0.7837878787878788,0.7875757575757576,0.798939393939394,0.7948484848484848,0.7981818181818182,0.8078787878787879,0.8092424242424242,0.8104545454545454,0.8118181818181818,0.8196969696969697
-2,0.6201515151515151,0.7016666666666667,0.7407575757575757,0.751969696969697,0.7637878787878788,0.7662121212121212,0.7742424242424243,0.7845454545454545,0.7866666666666666,0.7957575757575758,0.798939393939394,0.8127272727272727,0.8127272727272727,0.8233333333333334,0.8259090909090909,0.835,0.8290909090909091,0.83,0.8404545454545455,0.8327272727272728,0.8412121212121212,0.8540909090909091,0.8574242424242424,0.8560606060606061,0.8615151515151516,0.8634848484848485,0.866969696969697,0.8612121212121212,0.8615151515151516,0.8624242424242424,0.8709090909090909,0.8815151515151515,0.8696969696969697,0.8763636363636363,0.8771212121212121,0.8845454545454545,0.884090909090909,0.8798484848484849,0.8895454545454545
