SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
-20,0.0919696969696969,0.0909090909090909,0.0936363636363636,0.0939393939393939,0.0933333333333333,0.0945454545454545,0.0937878787878787,0.0939393939393939,0.0937878787878787,0.0957575757575757,0.0937878787878787,0.0951515151515151,0.0956060606060606,0.094090909090909,0.0943939393939393,0.0948484848484848,0.096060606060606,0.0956060606060606,0.0965151515151515,0.0953030303030303,0.1001515151515151,0.0969696969696969,0.0972727272727272,0.0959090909090909,0.1,0.0989393939393939,0.0978787878787878,0.1034848484848484,0.1006060606060606,0.1025757575757575,0.1022727272727272,0.1054545454545454,0.1048484848484848,0.1087878787878788,0.11,0.1113636363636363,0.10909090909090909
-18,0.0957575757575757,0.0948484848484848,0.0963636363636363,0.0953030303030303,0.0983333333333333,0.0953030303030303,0.0977272727272727,0.0963636363636363,0.0986363636363636,0.0977272727272727,0.0963636363636363,0.0972727272727272,0.0998484848484848,0.098030303030303,0.0992424242424242,0.101060606060606,0.0998484848484848,0.1012121212121212,0.0993939393939394,0.0998484848484848,0.1004545454545454,0.1,0.1007575757575757,0.1025757575757575,0.1019696969696969,0.1042424242424242,0.1037878787878787,0.1042424242424242,0.1066666666666666,0.1071212121212121,0.111060606060606,0.1128787878787878,0.1109090909090909,0.1131818181818181,0.1172727272727272,0.1169696969696969,0.11393939393939394
-16,0.0925757575757575,0.098030303030303,0.0951515151515151,0.099090909090909,0.0981818181818181,0.0984848484848484,0.0998484848484848,0.1037878787878787,0.0987878787878787,0.101060606060606,0.1027272727272727,0.1039393939393939,0.1031818181818181,0.1009090909090909,0.1021212121212121,0.1069696969696969,0.1031818181818181,0.1040909090909091,0.106060606060606,0.1039393939393939,0.105,0.1025757575757575,0.1054545454545454,0.1075757575757575,0.1071212121212121,0.1096969696969697,0.11,0.111060606060606,0.1165151515151515,0.1128787878787878,0.1172727272727272,0.1184848484848484,0.1204545454545454,0.1204545454545454,0.126060606060606,0.1234848484848484,0.1293939393939394
-14,0.1077272727272727,0.1203030303030303,0.1253030303030303,0.1269696969696969,0.1253030303030303,0.1327272727272727,0.1293939393939394,0.1318181818181818,0.1303030303030303,0.1307575757575757,0.1387878787878788,0.1365151515151515,0.1377272727272727,0.1415151515151515,0.1390909090909091,0.138030303030303,0.1445454545454545,0.14,0.1443939393939394,0.1396969696969697,0.1396969696969697,0.1434848484848485,0.1462121212121212,0.1456060606060606,0.1421212121212121,0.1493939393939393,0.1492424242424242,0.1513636363636363,0.151060606060606,0.1536363636363636,0.1559090909090909,0.1596969696969697,0.1612121212121212,0.1674242424242424,0.17,0.1718181818181818,0.16863636363636364
-12,0.1372727272727272,0.17,0.1787878787878788,0.1769696969696969,0.1813636363636363,0.1901515151515151,0.1868181818181818,0.1772727272727272,0.1786363636363636,0.1781818181818182,0.1739393939393939,0.1746969696969696,0.1743939393939394,0.1825757575757575,0.1801515151515151,0.184090909090909,0.1895454545454545,0.19,0.1845454545454545,0.1904545454545454,0.1901515151515151,0.1921212121212121,0.1948484848484848,0.1928787878787878,0.1977272727272727,0.2040909090909091,0.2045454545454545,0.2033333333333333,0.2059090909090909,0.2045454545454545,0.2107575757575757,0.2139393939393939,0.2193939393939394,0.2169696969696969,0.2256060606060606,0.2265151515151515,0.2253030303030303
-10,0.2171212121212121,0.2487878787878787,0.2624242424242424,0.2646969696969697,0.2646969696969697,0.2646969696969697,0.2642424242424242,0.2713636363636363,0.2678787878787879,0.2659090909090909,0.2671212121212121,0.2701515151515151,0.2728787878787879,0.2736363636363636,0.2757575757575757,0.2733333333333333,0.2712121212121212,0.2748484848484848,0.2762121212121212,0.2778787878787879,0.2813636363636363,0.2833333333333333,0.2856060606060606,0.2840909090909091,0.2898484848484848,0.2995454545454545,0.3046969696969697,0.2963636363636364,0.3098484848484849,0.3063636363636363,0.3218181818181818,0.323030303030303,0.3269696969696969,0.3336363636363636,0.3393939393939394,0.343030303030303,0.3446969696969697
-8,0.3090909090909091,0.3671212121212121,0.3709090909090909,0.3743939393939394,0.3724242424242424,0.3846969696969697,0.3898484848484848,0.4003030303030303,0.4075757575757576,0.4121212121212121,0.4115151515151515,0.4157575757575757,0.411969696969697,0.415,0.4193939393939394,0.4168181818181818,0.4154545454545454,0.4236363636363636,0.4260606060606061,0.4277272727272727,0.4203030303030303,0.4237878787878787,0.4268181818181818,0.4303030303030303,0.4404545454545454,0.4492424242424242,0.4503030303030303,0.4596969696969697,0.4606060606060606,0.4625757575757576,0.4772727272727273,0.4796969696969697,0.4866666666666667,0.4843939393939394,0.4959090909090909,0.5033333333333333,0.5001515151515151
-6,0.4459090909090909,0.5037878787878788,0.5201515151515151,0.5237878787878788,0.5340909090909091,0.5357575757575758,0.5375757575757576,0.5518181818181818,0.5521212121212121,0.5577272727272727,0.5703030303030303,0.5786363636363636,0.5816666666666667,0.5798484848484848,0.5872727272727273,0.5909090909090909,0.5998484848484849,0.603030303030303,0.5987878787878788,0.6074242424242424,0.6016666666666667,0.6154545454545455,0.615909090909091,0.6192424242424243,0.6175757575757576,0.6351515151515151,0.6392424242424243,0.6465151515151515,0.6460606060606061,0.6524242424242425,0.6665151515151515,0.6633333333333333,0.6709090909090909,0.673939393939394,0.6818181818181818,0.6871212121212121,0.6893939393939394
-4,0.5512121212121213,0.6228787878787879,0.6375757575757576,0.6486363636363637,0.66,0.671969696969697,0.6698484848484848,0.6816666666666666,0.6907575757575758,0.7015151515151515,0.7043939393939394,0.7109090909090909,0.7159090909090909,0.7284848484848485,0.7416666666666667,0.7422727272727273,0.743030303030303,0.745,0.7518181818181818,0.7593939393939394,0.7589393939393939,0.7612121212121212,0.7659090909090909,0.7630303030303031,0.769090909090909,0.7836363636363637,0.7846969696969697,0.7903030303030303,0.7918181818181819,0.8022727272727272,0.8056060606060607,0.8151515151515152,0.8148484848484848,0.8112121212121212,0.8222727272727273,0.826060606060606,0.8254545454545454
-2,0.6119696969696969,0.6895454545454546,0.7257575757575757,0.7443939393939394,0.7593939393939394,0.7654545454545455,0.7718181818181818,0.7774242424242425,0.7931818181818182,0.8075757575757576,0.8127272727272727,0.8193939393939393,0.8286363636363636,0.8337878787878787,0.8437878787878788,0.8445454545454546,0.8460606060606061,0.8454545454545455,0.8490909090909091,0.8577272727272728,0.855909090909091,0.8592424242424243,0.8583333333333333,0.8628787878787879,0.8657575757575757,0.8709090909090909,0.8771212121212121,0.8759090909090909,0.8759090909090909,0.881969696969697,0.889090909090909,0.8878787878787879,0.8889393939393939,0.8918181818181818,0.8951515151515151,0.8981818181818182,0.8960606060606061
