SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
-20,0.0934848484848484,0.0933333333333333,0.0916666666666666,0.0931818181818181,0.096060606060606,0.095,0.0977272727272727,0.0939393939393939,0.0939393939393939,0.094090909090909,0.0945454545454545,0.0953030303030303,0.0954545454545454,0.0984848484848484,0.0957575757575757,0.095,0.095,0.0951515151515151,0.0966666666666666,0.098030303030303,0.0974242424242424,0.0975757575757575,0.0974242424242424,0.0992424242424242,0.0983333333333333,0.0986363636363636,0.0993939393939394,0.1,0.1,0.101060606060606,0.1036363636363636,0.1034848484848484,0.106060606060606,0.106060606060606,0.1087878787878788,0.1096969696969697,0.1092424242424242,0.1151515151515151,0.1174242424242424,0.1184848484848484,0.1178787878787878,0.12,0.1215151515151515,0.1218181818181818,0.123030303030303,0.1206060606060606
-18,0.0936363636363636,0.0963636363636363,0.0963636363636363,0.0959090909090909,0.0953030303030303,0.0948484848484848,0.0959090909090909,0.0953030303030303,0.0971212121212121,0.0969696969696969,0.099090909090909,0.0984848484848484,0.0966666666666666,0.0981818181818181,0.0998484848484848,0.098030303030303,0.0992424242424242,0.1012121212121212,0.0996969696969697,0.1009090909090909,0.1004545454545454,0.0987878787878787,0.101060606060606,0.1039393939393939,0.1012121212121212,0.1028787878787878,0.1019696969696969,0.1043939393939394,0.1019696969696969,0.103030303030303,0.105,0.1109090909090909,0.1096969696969697,0.108030303030303,0.1122727272727272,0.1162121212121212,0.1146969696969697,0.1137878787878787,0.1213636363636363,0.1213636363636363,0.1203030303030303,0.1251515151515151,0.1265151515151515,0.1239393939393939,0.1277272727272727,0.12833333333333333
-16,0.0922727272727272,0.0956060606060606,0.0966666666666666,0.0984848484848484,0.0978787878787878,0.0987878787878787,0.0993939393939394,0.1024242424242424,0.1003030303030303,0.1013636363636363,0.1022727272727272,0.1024242424242424,0.1024242424242424,0.1053030303030303,0.1019696969696969,0.1024242424242424,0.1051515151515151,0.1065151515151515,0.1069696969696969,0.1054545454545454,0.1068181818181818,0.1078787878787878,0.106060606060606,0.1069696969696969,0.1075757575757575,0.1071212121212121,0.1083333333333333,0.1116666666666666,0.1127272727272727,0.1116666666666666,0.1175757575757575,0.1195454545454545,0.1172727272727272,0.1222727272727272,0.1231818181818181,0.1248484848484848,0.1295454545454545,0.1281818181818181,0.1366666666666666,0.1354545454545454,0.1383333333333333,0.1404545454545454,0.1440909090909091,0.146060606060606,0.146060606060606,0.14727272727272728
-14,0.109090909090909,0.1195454545454545,0.1216666666666666,0.1246969696969697,0.1243939393939393,0.1283333333333333,0.1324242424242424,0.1315151515151515,0.1340909090909091,0.1374242424242424,0.1392424242424242,0.1412121212121212,0.1412121212121212,0.1424242424242424,0.1422727272727272,0.1384848484848485,0.141060606060606,0.1389393939393939,0.1377272727272727,0.1409090909090909,0.1398484848484848,0.1407575757575757,0.1454545454545454,0.1454545454545454,0.1472727272727272,0.1440909090909091,0.1477272727272727,0.1486363636363636,0.1506060606060606,0.1546969696969697,0.1537878787878787,0.1665151515151515,0.1609090909090909,0.1656060606060606,0.1719696969696969,0.1768181818181818,0.176060606060606,0.1796969696969697,0.1865151515151515,0.1887878787878787,0.1901515151515151,0.1948484848484848,0.1934848484848484,0.1946969696969697,0.1974242424242424,0.19757575757575757
-12,0.141060606060606,0.1651515151515151,0.1587878787878787,0.1621212121212121,0.173030303030303,0.1672727272727272,0.1719696969696969,0.1781818181818182,0.1778787878787879,0.1719696969696969,0.1757575757575757,0.1783333333333333,0.179090909090909,0.1822727272727272,0.1809090909090909,0.183030303030303,0.1886363636363636,0.179090909090909,0.183030303030303,0.1933333333333333,0.1866666666666666,0.1866666666666666,0.1895454545454545,0.1936363636363636,0.1936363636363636,0.1916666666666666,0.2,0.1968181818181818,0.1989393939393939,0.2012121212121212,0.2096969696969697,0.215,0.2171212121212121,0.2112121212121212,0.2236363636363636,0.2268181818181818,0.2306060606060606,0.2342424242424242,0.2433333333333333,0.2448484848484848,0.2421212121212121,0.2486363636363636,0.2498484848484848,0.2546969696969697,0.2575757575757575,0.25181818181818183
-10,0.2115151515151515,0.2487878787878787,0.2463636363636363,0.2506060606060606,0.2487878787878787,0.2536363636363636,0.2486363636363636,0.2540909090909091,0.2613636363636363,0.2586363636363636,0.2689393939393939,0.2672727272727273,0.271060606060606,0.2736363636363636,0.2753030303030303,0.2737878787878788,0.2742424242424242,0.2707575757575757,0.2724242424242424,0.2806060606060606,0.2742424242424242,0.2736363636363636,0.2806060606060606,0.2851515151515151,0.2787878787878788,0.2878787878787879,0.2824242424242424,0.2884848484848485,0.2936363636363636,0.2910606060606061,0.3051515151515152,0.3187878787878788,0.3157575757575757,0.3122727272727272,0.3378787878787879,0.3331818181818182,0.3377272727272727,0.3418181818181818,0.3524242424242424,0.3572727272727273,0.3509090909090909,0.3621212121212121,0.3675757575757575,0.3696969696969697,0.3696969696969697,0.37712121212121213
-8,0.3133333333333333,0.3656060606060606,0.3725757575757575,0.38,0.3840909090909091,0.3857575757575757,0.3907575757575757,0.3984848484848485,0.3951515151515151,0.3992424242424242,0.406060606060606,0.4145454545454545,0.4062121212121212,0.4086363636363636,0.4189393939393939,0.4125757575757576,0.4178787878787879,0.4153030303030303,0.419090909090909,0.4209090909090909,0.4233333333333333,0.4271212121212121,0.4263636363636364,0.4268181818181818,0.4271212121212121,0.4384848484848485,0.4345454545454545,0.4412121212121212,0.4440909090909091,0.4474242424242424,0.4601515151515151,0.4627272727272727,0.4716666666666667,0.4772727272727273,0.4877272727272727,0.4957575757575757,0.5027272727272727,0.5028787878787879,0.5103030303030303,0.515,0.5216666666666666,0.5231818181818182,0.5295454545454545,0.5337878787878788,0.5306060606060606,0.5386363636363637
-6,0.4575757575757576,0.5162121212121212,0.5306060606060606,0.5384848484848485,0.5453030303030303,0.55,0.5559090909090909,0.56,0.5678787878787879,0.5751515151515152,0.565,0.5683333333333334,0.5745454545454546,0.5845454545454546,0.58,0.5833333333333334,0.5854545454545454,0.5986363636363636,0.5933333333333334,0.5956060606060606,0.6072727272727273,0.605909090909091,0.6112121212121212,0.6134848484848485,0.6131818181818182,0.625,0.623030303030303,0.6298484848484849,0.6272727272727273,0.6331818181818182,0.6503030303030303,0.6536363636363637,0.6493939393939394,0.6692424242424242,0.6822727272727273,0.6778787878787879,0.6840909090909091,0.6945454545454546,0.6974242424242424,0.6962121212121212,0.7012121212121212,0.7066666666666667,0.7174242424242424,0.7104545454545454,0.713030303030303,0.7201515151515151
-4,0.5568181818181818,0.6360606060606061,0.6457575757575758,0.6584848484848485,0.6743939393939394,0.6765151515151515,0.6809090909090909,0.6825757575757576,0.6904545454545454,0.6909090909090909,0.6984848484848485,0.6990909090909091,0.7053030303030303,0.7101515151515152,0.7175757575757575,0.7187878787878788,0.7242424242424242,0.7342424242424243,0.7392424242424243,0.740909090909091,0.7456060606060606,0.7456060606060606,0.7527272727272727,0.7516666666666667,0.7568181818181818,0.7610606060606061,0.7643939393939394,0.7612121212121212,0.7662121212121212,0.771969696969697,0.7930303030303031,0.7906060606060606,0.795,0.7895454545454546,0.8053030303030303,0.8072727272727273,0.8098484848484848,0.808030303030303,0.8196969696969697,0.8186363636363636,0.8242424242424242,0.8221212121212121,0.821060606060606,0.8206060606060606,0.8283333333333334,0.8322727272727273
-2,0.6410606060606061,0.6933333333333334,0.7253030303030303,0.7486363636363637,0.7574242424242424,0.769090909090909,0.7677272727272727,0.78,0.7883333333333333,0.7901515151515152,0.7903030303030303,0.7953030303030303,0.8009090909090909,0.8048484848484848,0.8162121212121212,0.8215151515151515,0.8268181818181818,0.8287878787878787,0.8287878787878787,0.8425757575757575,0.8386363636363636,0.8501515151515151,0.8493939393939394,0.8565151515151516,0.8521212121212122,0.8551515151515151,0.8589393939393939,0.8607575757575757,0.8624242424242424,0.8637878787878788,0.875,0.871969696969697,0.8736363636363637,0.8771212121212121,0.8877272727272727,0.8837878787878788,0.8913636363636364,0.8868181818181818,0.8962121212121212,0.8983333333333333,0.8915151515151515,0.8942424242424243,0.8971212121212121,0.8977272727272727,0.8960606060606061,0.8959090909090909
