SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
-20,0.093030303030303,0.0924242424242424,0.0918181818181818,0.0942424242424242,0.0937878787878787,0.0962121212121212,0.0931818181818181,0.0934848484848484,0.0953030303030303,0.0959090909090909,0.0942424242424242,0.095,0.0981818181818181,0.0931818181818181,0.0939393939393939,0.0936363636363636,0.0945454545454545,0.0953030303030303,0.0972727272727272,0.0959090909090909,0.0959090909090909,0.0993939393939394,0.096060606060606,0.0965151515151515,0.0996969696969697,0.098030303030303,0.0963636363636363,0.0987878787878787,0.101060606060606,0.0986363636363636,0.1034848484848484,0.1022727272727272,0.1028787878787878,0.1019696969696969,0.1040909090909091,0.1086363636363636,0.108030303030303,0.1089393939393939,0.1074242424242424,0.109090909090909,0.11212121212121212
-18,0.0954545454545454,0.0931818181818181,0.0956060606060606,0.0962121212121212,0.096060606060606,0.0957575757575757,0.0971212121212121,0.0975757575757575,0.0981818181818181,0.0977272727272727,0.0984848484848484,0.0987878787878787,0.0993939393939394,0.099090909090909,0.1034848484848484,0.0993939393939394,0.0998484848484848,0.0993939393939394,0.0993939393939394,0.0968181818181818,0.0996969696969697,0.0986363636363636,0.1,0.1016666666666666,0.1013636363636363,0.1019696969696969,0.1013636363636363,0.1045454545454545,0.1036363636363636,0.1025757575757575,0.103030303030303,0.1072727272727272,0.1059090909090909,0.1062121212121212,0.11,0.1092424242424242,0.1109090909090909,0.1133333333333333,0.1107575757575757,0.1156060606060606,0.11757575757575757
-16,0.0951515151515151,0.0993939393939394,0.0951515151515151,0.0989393939393939,0.0995454545454545,0.0993939393939394,0.1001515151515151,0.1012121212121212,0.1022727272727272,0.1037878787878787,0.1066666666666666,0.1043939393939394,0.1016666666666666,0.1033333333333333,0.1001515151515151,0.1009090909090909,0.1043939393939394,0.1018181818181818,0.101060606060606,0.1018181818181818,0.103030303030303,0.1071212121212121,0.1048484848484848,0.1046969696969696,0.1051515151515151,0.1078787878787878,0.1098484848484848,0.1121212121212121,0.1162121212121212,0.116060606060606,0.1146969696969697,0.1169696969696969,0.114090909090909,0.1206060606060606,0.1189393939393939,0.1243939393939393,0.128030303030303,0.1281818181818181,0.1286363636363636,0.1271212121212121,0.1318181818181818
-14,0.1066666666666666,0.1207575757575757,0.1266666666666666,0.1275757575757575,0.1325757575757575,0.128030303030303,0.1333333333333333,0.1295454545454545,0.1343939393939394,0.1306060606060606,0.135,0.1424242424242424,0.1372727272727272,0.1375757575757575,0.1357575757575757,0.1378787878787878,0.1398484848484848,0.1322727272727272,0.1384848484848485,0.1407575757575757,0.1403030303030303,0.1403030303030303,0.1416666666666666,0.1386363636363636,0.1419696969696969,0.1412121212121212,0.145,0.145,0.1496969696969697,0.1563636363636363,0.1554545454545454,0.1489393939393939,0.1531818181818181,0.1589393939393939,0.1656060606060606,0.165,0.1634848484848484,0.1719696969696969,0.1727272727272727,0.1719696969696969,0.17681818181818182
-12,0.143030303030303,0.1668181818181818,0.1713636363636363,0.1739393939393939,0.1746969696969696,0.1724242424242424,0.1713636363636363,0.1696969696969697,0.1692424242424242,0.1734848484848485,0.1687878787878788,0.175,0.1806060606060606,0.1771212121212121,0.1812121212121212,0.1806060606060606,0.1798484848484848,0.1856060606060606,0.1834848484848484,0.1834848484848484,0.1892424242424242,0.186060606060606,0.1881818181818181,0.1874242424242424,0.1875757575757575,0.1918181818181818,0.1922727272727272,0.198030303030303,0.2012121212121212,0.2042424242424242,0.2006060606060606,0.2109090909090909,0.2054545454545454,0.2169696969696969,0.218030303030303,0.2204545454545454,0.22,0.2293939393939394,0.2298484848484848,0.236060606060606,0.2296969696969697
-10,0.2221212121212121,0.2528787878787878,0.2525757575757575,0.2545454545454545,0.2592424242424242,0.2616666666666666,0.263030303030303,0.2681818181818182,0.2587878787878788,0.2598484848484848,0.263030303030303,0.2596969696969697,0.2578787878787879,0.2601515151515151,0.2659090909090909,0.2696969696969697,0.2659090909090909,0.2689393939393939,0.2759090909090909,0.2696969696969697,0.2795454545454545,0.2709090909090909,0.2778787878787879,0.2833333333333333,0.2759090909090909,0.2854545454545454,0.2839393939393939,0.2990909090909091,0.3034848484848484,0.3056060606060606,0.3018181818181818,0.3087878787878788,0.313030303030303,0.3253030303030303,0.3278787878787879,0.3307575757575757,0.3292424242424242,0.3427272727272727,0.3451515151515151,0.3433333333333333,0.3437878787878788
-8,0.3265151515151515,0.3698484848484848,0.3754545454545454,0.3707575757575757,0.3753030303030303,0.3903030303030303,0.3943939393939394,0.4027272727272727,0.406969696969697,0.4018181818181818,0.413030303030303,0.4028787878787879,0.4096969696969696,0.4075757575757576,0.4109090909090909,0.4027272727272727,0.4133333333333333,0.4089393939393939,0.4156060606060606,0.4168181818181818,0.4192424242424242,0.4210606060606061,0.425,0.4218181818181818,0.4289393939393939,0.4257575757575758,0.4265151515151515,0.4445454545454545,0.4445454545454545,0.4515151515151515,0.4559090909090909,0.4569696969696969,0.458030303030303,0.4725757575757576,0.4727272727272727,0.479090909090909,0.4903030303030303,0.4940909090909091,0.5025757575757576,0.5009090909090909,0.5016666666666667
-6,0.4486363636363636,0.5056060606060606,0.5157575757575757,0.5289393939393939,0.5348484848484848,0.5415151515151515,0.5468181818181819,0.5584848484848485,0.5662121212121212,0.5746969696969697,0.5716666666666667,0.5842424242424242,0.5787878787878787,0.5819696969696969,0.5848484848484848,0.5854545454545454,0.5934848484848485,0.5890909090909091,0.5978787878787879,0.6078787878787879,0.5931818181818181,0.6056060606060606,0.6043939393939394,0.6036363636363636,0.6163636363636363,0.6224242424242424,0.6215151515151515,0.6386363636363637,0.6324242424242424,0.6495454545454545,0.64,0.6456060606060606,0.6539393939393939,0.6624242424242425,0.6607575757575758,0.67,0.6728787878787879,0.6796969696969697,0.688030303030303,0.6872727272727273,0.6846969696969697
-4,0.566969696969697,0.6216666666666667,0.6509090909090909,0.6568181818181819,0.6645454545454546,0.6678787878787878,0.671060606060606,0.6824242424242424,0.691969696969697,0.6981818181818182,0.7113636363636363,0.7157575757575757,0.7154545454545455,0.718030303030303,0.7248484848484849,0.7319696969696969,0.7307575757575757,0.7392424242424243,0.7503030303030302,0.7398484848484849,0.7489393939393939,0.7493939393939394,0.7521212121212121,0.7474242424242424,0.7604545454545455,0.7566666666666667,0.7596969696969696,0.7789393939393939,0.78,0.7813636363636364,0.7854545454545454,0.7868181818181819,0.7925757575757576,0.8122727272727273,0.8106060606060606,0.8101515151515152,0.811969696969697,0.8248484848484848,0.823939393939394,0.8251515151515152,0.8203030303030303
-2,0.6222727272727273,0.7027272727272728,0.7396969696969697,0.746969696969697,0.7575757575757576,0.7709090909090909,0.7822727272727272,0.7901515151515152,0.8024242424242424,0.8068181818181818,0.8221212121212121,0.8248484848484848,0.8253030303030303,0.8271212121212121,0.8318181818181818,0.8356060606060606,0.8369696969696969,0.8440909090909091,0.8416666666666667,0.8398484848484848,0.8484848484848485,0.8478787878787879,0.8475757575757575,0.8504545454545455,0.8510606060606061,0.8554545454545455,0.8587878787878788,0.866969696969697,0.8709090909090909,0.8710606060606061,0.8712121212121212,0.8703030303030304,0.8745454545454545,0.8809090909090909,0.8865151515151515,0.8837878787878788,0.886969696969697,0.8901515151515151,0.89,0.8943939393939394,0.8934848484848484
