SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
-20,0.0936363636363636,0.0934848484848484,0.0925757575757575,0.09,0.0939393939393939,0.0948484848484848,0.0954545454545454,0.095,0.0942424242424242,0.096060606060606,0.0957575757575757,0.093030303030303,0.0963636363636363,0.0978787878787878,0.0957575757575757,0.0963636363636363,0.0965151515151515,0.0954545454545454,0.0984848484848484,0.0977272727272727,0.0974242424242424,0.0998484848484848,0.1001515151515151,0.1062121212121212,0.1098484848484848,0.1133333333333333,0.1192424242424242,0.1239393939393939,0.12757575757575756
-18,0.0934848484848484,0.0956060606060606,0.0959090909090909,0.0959090909090909,0.0951515151515151,0.0984848484848484,0.0969696969696969,0.0965151515151515,0.0984848484848484,0.0987878787878787,0.0971212121212121,0.0986363636363636,0.1,0.0987878787878787,0.0983333333333333,0.0995454545454545,0.1001515151515151,0.0992424242424242,0.1003030303030303,0.1027272727272727,0.1034848484848484,0.1056060606060606,0.1048484848484848,0.1075757575757575,0.111060606060606,0.1178787878787878,0.1183333333333333,0.1274242424242424,0.1321212121212121
-16,0.0936363636363636,0.0975757575757575,0.0975757575757575,0.0954545454545454,0.1028787878787878,0.0989393939393939,0.0995454545454545,0.1019696969696969,0.0995454545454545,0.1037878787878787,0.1021212121212121,0.1016666666666666,0.103030303030303,0.1040909090909091,0.1053030303030303,0.1066666666666666,0.1039393939393939,0.1065151515151515,0.1042424242424242,0.1086363636363636,0.109090909090909,0.1101515151515151,0.1093939393939393,0.1162121212121212,0.1239393939393939,0.1277272727272727,0.1316666666666666,0.1448484848484848,0.14681818181818182
-14,0.1018181818181818,0.1137878787878787,0.1186363636363636,0.123030303030303,0.1278787878787878,0.1257575757575757,0.1324242424242424,0.1327272727272727,0.1324242424242424,0.1290909090909091,0.1368181818181818,0.1375757575757575,0.1365151515151515,0.1368181818181818,0.1418181818181818,0.145,0.1422727272727272,0.1457575757575757,0.1503030303030303,0.1484848484848485,0.1446969696969696,0.1533333333333333,0.1516666666666666,0.1624242424242424,0.1713636363636363,0.1771212121212121,0.1777272727272727,0.1896969696969697,0.2018181818181818
-12,0.1206060606060606,0.1489393939393939,0.1701515151515151,0.184090909090909,0.1853030303030303,0.1804545454545454,0.1898484848484848,0.1824242424242424,0.1786363636363636,0.1786363636363636,0.176060606060606,0.1781818181818182,0.1803030303030303,0.1803030303030303,0.1845454545454545,0.1874242424242424,0.188030303030303,0.1907575757575757,0.196060606060606,0.1983333333333333,0.2004545454545454,0.2003030303030303,0.2039393939393939,0.2204545454545454,0.2225757575757575,0.2303030303030303,0.2307575757575757,0.2468181818181818,0.26166666666666666
-10,0.1889393939393939,0.2563636363636363,0.2672727272727273,0.2657575757575757,0.2627272727272727,0.2706060606060606,0.2671212121212121,0.2713636363636363,0.2683333333333333,0.2698484848484848,0.2734848484848485,0.2695454545454545,0.2786363636363636,0.2731818181818182,0.271060606060606,0.2834848484848485,0.2837878787878788,0.2896969696969697,0.2936363636363636,0.2868181818181818,0.3013636363636364,0.3054545454545455,0.3090909090909091,0.3271212121212121,0.3403030303030303,0.3498484848484848,0.3531818181818182,0.3821212121212121,0.3883333333333333
-8,0.3045454545454545,0.3715151515151515,0.3713636363636363,0.3684848484848484,0.3718181818181818,0.3745454545454545,0.3816666666666666,0.3924242424242424,0.4016666666666666,0.4127272727272727,0.4136363636363636,0.4225757575757575,0.4221212121212121,0.4231818181818181,0.4236363636363636,0.4286363636363636,0.435,0.4366666666666666,0.4437878787878788,0.4424242424242424,0.4553030303030303,0.4556060606060606,0.4606060606060606,0.4918181818181818,0.5042424242424243,0.5048484848484849,0.5112121212121212,0.5374242424242425,0.5446969696969697
-6,0.4345454545454545,0.5045454545454545,0.5104545454545455,0.5187878787878788,0.5203030303030303,0.5377272727272727,0.5307575757575758,0.5515151515151515,0.5540909090909091,0.5637878787878788,0.5790909090909091,0.5842424242424242,0.5913636363636363,0.5984848484848485,0.6039393939393939,0.6069696969696969,0.6140909090909091,0.6171212121212121,0.6240909090909091,0.6303030303030303,0.6359090909090909,0.6406060606060606,0.6484848484848484,0.6696969696969697,0.6834848484848485,0.6921212121212121,0.691060606060606,0.7110606060606061,0.7151515151515152
-4,0.4966666666666666,0.6131818181818182,0.6307575757575757,0.6413636363636364,0.6513636363636364,0.6603030303030303,0.6665151515151515,0.6827272727272727,0.6842424242424242,0.6998484848484848,0.7040909090909091,0.7163636363636363,0.72,0.7324242424242424,0.735909090909091,0.7425757575757576,0.7439393939393939,0.7553030303030303,0.7513636363636363,0.7609090909090909,0.7622727272727273,0.7680303030303031,0.7727272727272727,0.7954545454545454,0.8004545454545454,0.8078787878787879,0.8106060606060606,0.8254545454545454,0.8354545454545454
-2,0.5251515151515151,0.6795454545454546,0.6978787878787879,0.7231818181818181,0.7413636363636363,0.7510606060606061,0.7645454545454545,0.7771212121212121,0.7871212121212121,0.8031818181818182,0.8131818181818182,0.8222727272727273,0.8304545454545454,0.8301515151515152,0.8410606060606061,0.8410606060606061,0.8503030303030303,0.8512121212121212,0.8534848484848485,0.855,0.8583333333333333,0.8551515151515151,0.8642424242424243,0.8757575757575757,0.8784848484848485,0.8763636363636363,0.8812121212121212,0.889090909090909,0.8921212121212121
