SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
-20,0.0907575757575757,0.0924242424242424,0.0925757575757575,0.0936363636363636,0.0945454545454545,0.096060606060606,0.0953030303030303,0.095,0.0924242424242424,0.0963636363636363,0.0954545454545454,0.0954545454545454,0.0971212121212121,0.0934848484848484,0.0959090909090909,0.0974242424242424,0.1006060606060606,0.1003030303030303,0.1013636363636363,0.1016666666666666,0.1066666666666666,0.1086363636363636,0.113030303030303,0.1163636363636363,0.1168181818181818,0.125,0.1303030303030303,0.1331818181818181,0.14,0.1466666666666666,0.15621212121212122
-18,0.091060606060606,0.0927272727272727,0.0963636363636363,0.0959090909090909,0.0986363636363636,0.0968181818181818,0.0984848484848484,0.0978787878787878,0.0974242424242424,0.0968181818181818,0.0986363636363636,0.0998484848484848,0.0984848484848484,0.0983333333333333,0.1012121212121212,0.0998484848484848,0.1019696969696969,0.1034848484848484,0.1033333333333333,0.1065151515151515,0.1092424242424242,0.1112121212121212,0.1139393939393939,0.1172727272727272,0.1206060606060606,0.1293939393939394,0.1345454545454545,0.138030303030303,0.143030303030303,0.1489393939393939,0.14803030303030304
-16,0.093030303030303,0.0951515151515151,0.0993939393939394,0.0986363636363636,0.1033333333333333,0.1009090909090909,0.103030303030303,0.1022727272727272,0.1024242424242424,0.1034848484848484,0.1065151515151515,0.1065151515151515,0.1037878787878787,0.106060606060606,0.1051515151515151,0.1093939393939393,0.1112121212121212,0.1092424242424242,0.1104545454545454,0.1134848484848484,0.1190909090909091,0.1201515151515151,0.1263636363636363,0.1296969696969697,0.1281818181818181,0.1398484848484848,0.1459090909090909,0.1493939393939393,0.1539393939393939,0.1662121212121212,0.16575757575757577
-14,0.1036363636363636,0.1172727272727272,0.1281818181818181,0.1206060606060606,0.1281818181818181,0.1275757575757575,0.1307575757575757,0.13,0.1304545454545454,0.1301515151515151,0.1357575757575757,0.1322727272727272,0.1354545454545454,0.1439393939393939,0.1425757575757575,0.141060606060606,0.1428787878787878,0.1454545454545454,0.15,0.15,0.1598484848484848,0.1603030303030303,0.17,0.1689393939393939,0.1745454545454545,0.188030303030303,0.1933333333333333,0.203030303030303,0.2057575757575757,0.2198484848484848,0.22666666666666666
-12,0.1187878787878787,0.1519696969696969,0.1772727272727272,0.178030303030303,0.1851515151515151,0.1825757575757575,0.1768181818181818,0.1737878787878788,0.1733333333333333,0.1728787878787878,0.176060606060606,0.1784848484848485,0.18,0.1831818181818182,0.1931818181818181,0.1883333333333333,0.1890909090909091,0.1934848484848484,0.2015151515151515,0.201060606060606,0.2159090909090909,0.2204545454545454,0.23,0.2351515151515151,0.2422727272727272,0.2515151515151515,0.2593939393939394,0.271060606060606,0.271969696969697,0.2910606060606061,0.2925757575757576
-10,0.1806060606060606,0.255,0.2627272727272727,0.2659090909090909,0.2701515151515151,0.2668181818181818,0.2690909090909091,0.2659090909090909,0.2684848484848485,0.2798484848484848,0.2745454545454545,0.2772727272727273,0.2806060606060606,0.2771212121212121,0.2809090909090909,0.2851515151515151,0.2840909090909091,0.2906060606060606,0.3001515151515151,0.2966666666666667,0.3195454545454545,0.3201515151515151,0.3342424242424242,0.3328787878787879,0.3398484848484848,0.3607575757575758,0.3704545454545455,0.3824242424242424,0.3889393939393939,0.4028787878787879,0.40893939393939394
-8,0.293030303030303,0.354090909090909,0.3713636363636363,0.3734848484848485,0.3819696969696969,0.386060606060606,0.3996969696969697,0.4015151515151515,0.4160606060606061,0.4146969696969697,0.4248484848484848,0.4242424242424242,0.4289393939393939,0.4246969696969697,0.4321212121212121,0.4334848484848485,0.4456060606060606,0.4463636363636363,0.446060606060606,0.4566666666666666,0.4715151515151515,0.4834848484848484,0.4866666666666667,0.5013636363636363,0.4951515151515152,0.5213636363636364,0.5272727272727272,0.5409090909090909,0.5421212121212121,0.5575757575757576,0.5645454545454546
-6,0.4175757575757576,0.503030303030303,0.506969696969697,0.5233333333333333,0.5268181818181819,0.5307575757575758,0.5503030303030303,0.556060606060606,0.5533333333333333,0.5762121212121212,0.5869696969696969,0.5893939393939394,0.5992424242424242,0.6054545454545455,0.6112121212121212,0.6186363636363637,0.6234848484848485,0.6215151515151515,0.6265151515151515,0.6380303030303031,0.6668181818181819,0.6734848484848485,0.678939393939394,0.6734848484848485,0.6836363636363636,0.715,0.7121212121212122,0.7104545454545454,0.7169696969696969,0.7281818181818182,0.7354545454545455
-4,0.5048484848484849,0.6048484848484849,0.6251515151515151,0.646969696969697,0.6503030303030303,0.6527272727272727,0.6703030303030303,0.6709090909090909,0.6909090909090909,0.7066666666666667,0.7206060606060606,0.7325757575757575,0.7319696969696969,0.74,0.7459090909090909,0.7543939393939394,0.7586363636363637,0.7628787878787879,0.7674242424242425,0.7660606060606061,0.791060606060606,0.7937878787878788,0.7945454545454546,0.803030303030303,0.8063636363636364,0.8265151515151515,0.8277272727272728,0.8336363636363636,0.8327272727272728,0.8428787878787879,0.843030303030303
-2,0.5201515151515151,0.676969696969697,0.7033333333333334,0.7204545454545455,0.7298484848484849,0.7418181818181818,0.7631818181818182,0.7837878787878788,0.7978787878787879,0.8171212121212121,0.8278787878787879,0.8363636363636363,0.8386363636363636,0.8448484848484848,0.8431818181818181,0.8522727272727273,0.8581818181818182,0.8621212121212121,0.8631818181818182,0.8639393939393939,0.8756060606060606,0.8795454545454545,0.8801515151515151,0.8821212121212121,0.881969696969697,0.8921212121212121,0.894090909090909,0.8934848484848484,0.8934848484848484,0.8981818181818182,0.896969696969697
0,0.5437878787878788,0.7175757575757575,0.7421212121212121,0.7607575757575757,0.7704545454545455,0.7846969696969697,0.8101515151515152,0.8301515151515152,0.8545454545454545,0.8727272727272727,0.8807575757575757,0.8872727272727273,0.8872727272727273,0.8922727272727272,0.8983333333333333,0.8984848484848484,0.9030303030303032,0.9043939393939394,0.9033333333333332,0.901818181818182,0.9101515151515152,0.9122727272727272,0.9131818181818182,0.9101515151515152,0.9072727272727272,0.9125757575757576,0.9106060606060606,0.911060606060606,0.9146969696969696,0.915,0.9139393939393939
2,0.5525757575757576,0.7298484848484849,0.7518181818181818,0.7689393939393939,0.78,0.8045454545454546,0.8121212121212121,0.835,0.8628787878787879,0.8860606060606061,0.8974242424242425,0.9007575757575758,0.9031818181818182,0.9046969696969696,0.9096969696969696,0.9128787878787878,0.912121212121212,0.9153030303030304,0.9159090909090908,0.9166666666666666,0.9227272727272728,0.9233333333333332,0.9196969696969696,0.9198484848484848,0.9181818181818182,0.9209090909090908,0.9193939393939394,0.9192424242424242,0.9163636363636364,0.9206060606060606,0.9192424242424242
