SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
-20,0.0922727272727272,0.0919696969696969,0.0921212121212121,0.0953030303030303,0.0966666666666666,0.0954545454545454,0.0965151515151515,0.0942424242424242,0.0972727272727272,0.0946969696969697,0.0951515151515151,0.096060606060606,0.0969696969696969,0.0984848484848484,0.0968181818181818,0.0965151515151515,0.0983333333333333,0.1007575757575757,0.0986363636363636,0.0996969696969697,0.105,0.1040909090909091,0.105,0.1101515151515151,0.1095454545454545,0.1107575757575757,0.1165151515151515,0.1231818181818181,0.1265151515151515,0.1272727272727272,0.1363636363636363,0.138030303030303,0.14363636363636365
-18,0.0906060606060606,0.0924242424242424,0.0946969696969697,0.098030303030303,0.095,0.0981818181818181,0.0956060606060606,0.099090909090909,0.0989393939393939,0.0974242424242424,0.0984848484848484,0.0978787878787878,0.0978787878787878,0.098030303030303,0.0977272727272727,0.0992424242424242,0.1006060606060606,0.0983333333333333,0.0993939393939394,0.101060606060606,0.1018181818181818,0.1046969696969696,0.1077272727272727,0.1112121212121212,0.1112121212121212,0.1171212121212121,0.1201515151515151,0.1227272727272727,0.1327272727272727,0.1304545454545454,0.1453030303030303,0.1463636363636363,0.1496969696969697
-16,0.0927272727272727,0.0945454545454545,0.0987878787878787,0.098030303030303,0.0981818181818181,0.0989393939393939,0.0992424242424242,0.1018181818181818,0.1046969696969696,0.1012121212121212,0.1015151515151515,0.1024242424242424,0.1034848484848484,0.1046969696969696,0.1033333333333333,0.1053030303030303,0.1066666666666666,0.105,0.1077272727272727,0.1116666666666666,0.1125757575757575,0.1128787878787878,0.1195454545454545,0.1215151515151515,0.1257575757575757,0.1256060606060606,0.135,0.1371212121212121,0.1451515151515151,0.1486363636363636,0.1519696969696969,0.1554545454545454,0.15863636363636363
-14,0.1031818181818181,0.115,0.1184848484848484,0.1242424242424242,0.1284848484848484,0.1307575757575757,0.1274242424242424,0.1336363636363636,0.1322727272727272,0.1343939393939394,0.1328787878787878,0.1343939393939394,0.1366666666666666,0.1439393939393939,0.1412121212121212,0.1413636363636363,0.141060606060606,0.1434848484848485,0.1463636363636363,0.1468181818181818,0.151060606060606,0.1525757575757576,0.1583333333333333,0.1672727272727272,0.1666666666666666,0.17,0.1819696969696969,0.1851515151515151,0.1924242424242424,0.195,0.2084848484848485,0.206060606060606,0.21393939393939393
-12,0.123030303030303,0.1568181818181818,0.1721212121212121,0.1789393939393939,0.1831818181818182,0.1881818181818181,0.1912121212121212,0.1877272727272727,0.1784848484848485,0.1757575757575757,0.1789393939393939,0.1809090909090909,0.1821212121212121,0.1819696969696969,0.1904545454545454,0.1821212121212121,0.1884848484848484,0.1904545454545454,0.1934848484848484,0.1968181818181818,0.1986363636363636,0.2045454545454545,0.2107575757575757,0.2171212121212121,0.2190909090909091,0.2231818181818181,0.2375757575757575,0.245,0.2542424242424242,0.2516666666666666,0.2653030303030303,0.2684848484848485,0.2762121212121212
-10,0.2001515151515151,0.2595454545454545,0.2657575757575757,0.2745454545454545,0.2668181818181818,0.2777272727272727,0.2716666666666666,0.2834848484848485,0.276060606060606,0.278030303030303,0.2803030303030303,0.2816666666666667,0.2728787878787879,0.2796969696969697,0.2812121212121212,0.281060606060606,0.2828787878787879,0.2837878787878788,0.291969696969697,0.29,0.2984848484848484,0.2992424242424242,0.3128787878787878,0.3265151515151515,0.3259090909090909,0.3343939393939394,0.3478787878787879,0.3528787878787879,0.3609090909090909,0.3677272727272727,0.3790909090909091,0.3854545454545454,0.38954545454545453
-8,0.3078787878787878,0.3707575757575757,0.3728787878787878,0.3851515151515151,0.3822727272727272,0.3878787878787879,0.3898484848484848,0.3951515151515151,0.4098484848484848,0.4136363636363636,0.416969696969697,0.4246969696969697,0.4289393939393939,0.4234848484848484,0.4315151515151515,0.4342424242424242,0.4333333333333333,0.4390909090909091,0.4462121212121212,0.4434848484848485,0.4436363636363636,0.4468181818181818,0.4787878787878787,0.4807575757575758,0.4853030303030303,0.4990909090909091,0.5130303030303031,0.5171212121212121,0.5287878787878788,0.53,0.5404545454545454,0.551060606060606,0.5487878787878788
-6,0.4284848484848484,0.5116666666666667,0.5177272727272727,0.5221212121212121,0.5345454545454545,0.5340909090909091,0.5380303030303031,0.5471212121212121,0.5536363636363636,0.5654545454545454,0.5709090909090909,0.5874242424242424,0.588030303030303,0.6036363636363636,0.6078787878787879,0.6116666666666667,0.6171212121212121,0.6242424242424243,0.6274242424242424,0.6284848484848485,0.6366666666666667,0.6380303030303031,0.6621212121212121,0.6636363636363637,0.6648484848484848,0.6731818181818182,0.6940909090909091,0.6974242424242424,0.7031818181818181,0.7069696969696969,0.7222727272727273,0.7272727272727273,0.7290909090909091
-4,0.5160606060606061,0.6119696969696969,0.6262121212121212,0.6345454545454545,0.6543939393939394,0.656969696969697,0.6609090909090909,0.6759090909090909,0.69,0.703939393939394,0.7148484848484848,0.7192424242424242,0.7251515151515151,0.7387878787878788,0.7433333333333333,0.7510606060606061,0.7624242424242424,0.7578787878787879,0.7625757575757576,0.7628787878787879,0.7666666666666667,0.7693939393939394,0.7934848484848485,0.7998484848484848,0.8004545454545454,0.8056060606060607,0.8257575757575758,0.8254545454545454,0.8357575757575758,0.8324242424242424,0.8454545454545455,0.8474242424242424,0.8522727272727273
-2,0.5284848484848484,0.6774242424242424,0.6975757575757576,0.7112121212121212,0.7243939393939394,0.738030303030303,0.7613636363636364,0.7784848484848484,0.7983333333333333,0.806969696969697,0.8162121212121212,0.8301515151515152,0.8307575757575758,0.8375757575757575,0.8465151515151516,0.8528787878787879,0.8492424242424242,0.8556060606060606,0.8584848484848485,0.8601515151515151,0.858030303030303,0.8577272727272728,0.8753030303030302,0.8803030303030303,0.8836363636363637,0.8768181818181818,0.8868181818181818,0.8862121212121212,0.891969696969697,0.8951515151515151,0.8942424242424243,0.9001515151515151,0.896969696969697
