SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
-20,0.095,0.0931818181818181,0.093030303030303,0.0925757575757575,0.094090909090909,0.0948484848484848,0.0962121212121212,0.0937878787878787,0.0939393939393939,0.095,0.0946969696969697,0.0937878787878787,0.0933333333333333,0.0965151515151515,0.0948484848484848,0.0962121212121212,0.094090909090909,0.0975757575757575,0.0978787878787878,0.0996969696969697,0.0996969696969697,0.1012121212121212,0.1006060606060606,0.1089393939393939,0.1112121212121212,0.1125757575757575,0.1163636363636363,0.1256060606060606,0.1284848484848484,0.1345454545454545,0.1428787878787878,0.1521212121212121,0.155,0.15848484848484848
-18,0.0903030303030303,0.093030303030303,0.0956060606060606,0.0971212121212121,0.0942424242424242,0.0972727272727272,0.0965151515151515,0.0951515151515151,0.098030303030303,0.0971212121212121,0.0959090909090909,0.0977272727272727,0.0977272727272727,0.0966666666666666,0.0986363636363636,0.0996969696969697,0.1016666666666666,0.1031818181818181,0.1043939393939394,0.1027272727272727,0.1043939393939394,0.1034848484848484,0.1034848484848484,0.1063636363636363,0.1127272727272727,0.1128787878787878,0.1209090909090909,0.1265151515151515,0.1322727272727272,0.138030303030303,0.1440909090909091,0.1457575757575757,0.1589393939393939,0.16272727272727272
-16,0.0934848484848484,0.0987878787878787,0.101060606060606,0.1007575757575757,0.0993939393939394,0.0992424242424242,0.1003030303030303,0.0981818181818181,0.1056060606060606,0.1059090909090909,0.1031818181818181,0.1024242424242424,0.1033333333333333,0.103030303030303,0.1033333333333333,0.1051515151515151,0.1053030303030303,0.1046969696969696,0.1083333333333333,0.1087878787878788,0.1109090909090909,0.1107575757575757,0.1112121212121212,0.1195454545454545,0.123030303030303,0.1262121212121212,0.1333333333333333,0.1387878787878788,0.1469696969696969,0.1501515151515151,0.1543939393939394,0.1643939393939394,0.171060606060606,0.1706060606060606
-14,0.1013636363636363,0.1172727272727272,0.1225757575757575,0.1289393939393939,0.1257575757575757,0.126060606060606,0.1307575757575757,0.1309090909090909,0.1340909090909091,0.1375757575757575,0.1292424242424242,0.1327272727272727,0.1359090909090909,0.1395454545454545,0.1371212121212121,0.141060606060606,0.138030303030303,0.1387878787878788,0.1448484848484848,0.1463636363636363,0.1431818181818182,0.1421212121212121,0.1504545454545454,0.1554545454545454,0.1631818181818181,0.1671212121212121,0.1734848484848485,0.1845454545454545,0.1874242424242424,0.1924242424242424,0.1913636363636363,0.2051515151515151,0.2107575757575757,0.21848484848484848
-12,0.1174242424242424,0.1556060606060606,0.1783333333333333,0.185,0.1831818181818182,0.1819696969696969,0.18,0.1746969696969696,0.1733333333333333,0.1774242424242424,0.1727272727272727,0.1765151515151515,0.1743939393939394,0.1807575757575757,0.1813636363636363,0.1818181818181818,0.1827272727272727,0.1865151515151515,0.1883333333333333,0.1898484848484848,0.1927272727272727,0.196060606060606,0.198030303030303,0.2063636363636363,0.215,0.2228787878787878,0.2284848484848484,0.2433333333333333,0.2496969696969697,0.2513636363636363,0.2619696969696969,0.2774242424242424,0.276969696969697,0.28484848484848485
-10,0.1834848484848484,0.2443939393939393,0.268030303030303,0.2651515151515151,0.2672727272727273,0.2654545454545454,0.2616666666666666,0.2627272727272727,0.2557575757575757,0.2668181818181818,0.271060606060606,0.2653030303030303,0.2693939393939394,0.26,0.2763636363636363,0.2736363636363636,0.2754545454545454,0.2775757575757576,0.2871212121212121,0.288030303030303,0.2913636363636364,0.3001515151515151,0.3056060606060606,0.3221212121212121,0.3359090909090909,0.3327272727272727,0.3421212121212121,0.3651515151515151,0.3713636363636363,0.383030303030303,0.3851515151515151,0.4046969696969697,0.4063636363636363,0.413030303030303
-8,0.3024242424242424,0.3751515151515151,0.3748484848484849,0.3753030303030303,0.3790909090909091,0.3984848484848485,0.4028787878787879,0.3940909090909091,0.4104545454545454,0.4098484848484848,0.4162121212121212,0.4221212121212121,0.4212121212121212,0.4248484848484848,0.4262121212121212,0.4333333333333333,0.4346969696969697,0.4387878787878788,0.4398484848484848,0.4415151515151515,0.4492424242424242,0.4609090909090909,0.4718181818181818,0.4877272727272727,0.4990909090909091,0.5096969696969696,0.5130303030303031,0.5389393939393939,0.5471212121212121,0.5559090909090909,0.5575757575757576,0.5813636363636364,0.5827272727272728,0.5840909090909091
-6,0.4366666666666666,0.5115151515151515,0.5248484848484849,0.5351515151515152,0.5433333333333333,0.5496969696969697,0.561969696969697,0.5696969696969697,0.571969696969697,0.5781818181818181,0.5783333333333334,0.5853030303030303,0.593030303030303,0.6016666666666667,0.6133333333333333,0.6221212121212121,0.6242424242424243,0.6193939393939394,0.6298484848484849,0.6295454545454545,0.6433333333333333,0.6460606060606061,0.6486363636363637,0.6742424242424242,0.6781818181818182,0.68,0.6898484848484848,0.7142424242424242,0.7227272727272728,0.7290909090909091,0.7298484848484849,0.7463636363636363,0.7445454545454545,0.7531818181818182
-4,0.5096969696969696,0.6153030303030304,0.6366666666666667,0.64,0.6598484848484848,0.671060606060606,0.6793939393939394,0.6907575757575758,0.7037878787878787,0.7137878787878787,0.7096969696969697,0.7195454545454546,0.733030303030303,0.7346969696969697,0.7386363636363636,0.7525757575757576,0.7471212121212121,0.7595454545454545,0.7645454545454545,0.7683333333333333,0.7707575757575758,0.7718181818181818,0.776969696969697,0.8016666666666666,0.8054545454545454,0.8122727272727273,0.8156060606060606,0.8333333333333334,0.8356060606060606,0.8378787878787879,0.8443939393939394,0.8501515151515151,0.8542424242424242,0.8522727272727273
-2,0.5215151515151515,0.6812121212121212,0.7056060606060606,0.7251515151515151,0.7406060606060606,0.7560606060606061,0.7646969696969697,0.7762121212121212,0.7921212121212121,0.7975757575757576,0.8131818181818182,0.8193939393939393,0.8304545454545454,0.8327272727272728,0.8368181818181818,0.8466666666666667,0.8507575757575757,0.8537878787878788,0.8537878787878788,0.8607575757575757,0.8642424242424243,0.8625757575757576,0.8677272727272727,0.8813636363636363,0.8801515151515151,0.88,0.8815151515151515,0.894090909090909,0.8934848484848484,0.8992424242424243,0.8972727272727272,0.9030303030303032,0.9012121212121212,0.9053030303030303
