SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
-20,0.094090909090909,0.0925757575757575,0.0927272727272727,0.0909090909090909,0.0913636363636363,0.0954545454545454,0.093030303030303,0.0927272727272727,0.0928787878787878,0.0934848484848484,0.0945454545454545,0.0934848484848484,0.0959090909090909,0.0954545454545454,0.0954545454545454,0.096060606060606,0.0962121212121212,0.096060606060606,0.0974242424242424,0.0969696969696969,0.0993939393939394,0.0996969696969697,0.0983333333333333,0.0995454545454545,0.0981818181818181,0.0978787878787878,0.1018181818181818,0.1043939393939394,0.1069696969696969,0.1072727272727272,0.1096969696969697,0.1083333333333333,0.1143939393939394,0.1193939393939394,0.1196969696969696,0.1236363636363636,0.1277272727272727,0.1339393939393939,0.1324242424242424,0.13727272727272727
-18,0.0906060606060606,0.094090909090909,0.0966666666666666,0.098030303030303,0.0951515151515151,0.0983333333333333,0.0974242424242424,0.0977272727272727,0.0956060606060606,0.1007575757575757,0.0965151515151515,0.0969696969696969,0.1015151515151515,0.0996969696969697,0.098030303030303,0.1001515151515151,0.1021212121212121,0.1028787878787878,0.1,0.1018181818181818,0.101060606060606,0.1033333333333333,0.1057575757575757,0.1069696969696969,0.1048484848484848,0.1081818181818181,0.1115151515151515,0.1086363636363636,0.1062121212121212,0.1133333333333333,0.1159090909090909,0.1154545454545454,0.1236363636363636,0.1266666666666666,0.1303030303030303,0.1336363636363636,0.1357575757575757,0.141060606060606,0.1439393939393939,0.14681818181818182
-16,0.0956060606060606,0.1001515151515151,0.0984848484848484,0.1,0.0983333333333333,0.0996969696969697,0.0974242424242424,0.101060606060606,0.0996969696969697,0.1003030303030303,0.1027272727272727,0.1019696969696969,0.1034848484848484,0.105,0.1066666666666666,0.105,0.1087878787878788,0.1075757575757575,0.1118181818181818,0.1159090909090909,0.108030303030303,0.111060606060606,0.1166666666666666,0.1137878787878787,0.115,0.1163636363636363,0.12,0.1203030303030303,0.1218181818181818,0.1283333333333333,0.1309090909090909,0.1348484848484848,0.1340909090909091,0.1427272727272727,0.1463636363636363,0.1537878787878787,0.1506060606060606,0.1568181818181818,0.1612121212121212,0.16727272727272727
-14,0.1121212121212121,0.1207575757575757,0.1303030303030303,0.1243939393939393,0.1266666666666666,0.1290909090909091,0.1289393939393939,0.1303030303030303,0.128030303030303,0.1312121212121212,0.135,0.1342424242424242,0.1384848484848485,0.1371212121212121,0.1377272727272727,0.1381818181818181,0.1389393939393939,0.1375757575757575,0.1409090909090909,0.1454545454545454,0.1406060606060606,0.1472727272727272,0.1513636363636363,0.1524242424242424,0.1516666666666666,0.1489393939393939,0.1539393939393939,0.16,0.1581818181818181,0.1721212121212121,0.1753030303030303,0.1778787878787879,0.178030303030303,0.1925757575757575,0.1937878787878788,0.1968181818181818,0.2033333333333333,0.2089393939393939,0.2159090909090909,0.2131818181818182
-12,0.1518181818181818,0.1683333333333333,0.1812121212121212,0.1803030303030303,0.1842424242424242,0.1784848484848485,0.1912121212121212,0.1921212121212121,0.1916666666666666,0.1936363636363636,0.1921212121212121,0.1886363636363636,0.1942424242424242,0.1928787878787878,0.1866666666666666,0.1974242424242424,0.183030303030303,0.1824242424242424,0.1865151515151515,0.1865151515151515,0.1943939393939394,0.1965151515151515,0.2019696969696969,0.2016666666666666,0.1998484848484848,0.2059090909090909,0.2053030303030303,0.2087878787878788,0.2112121212121212,0.2213636363636363,0.2256060606060606,0.2277272727272727,0.2336363636363636,0.2459090909090909,0.2546969696969697,0.2548484848484848,0.2595454545454545,0.2677272727272727,0.2742424242424242,0.2784848484848485
-10,0.2272727272727272,0.2593939393939394,0.2568181818181818,0.2633333333333333,0.2540909090909091,0.2586363636363636,0.266060606060606,0.2659090909090909,0.2654545454545454,0.2683333333333333,0.2715151515151515,0.2815151515151515,0.2743939393939394,0.2866666666666667,0.286060606060606,0.2862121212121212,0.2904545454545454,0.2856060606060606,0.2951515151515151,0.2962121212121212,0.2963636363636364,0.2945454545454545,0.2946969696969697,0.2921212121212121,0.3019696969696969,0.3057575757575758,0.3013636363636364,0.3128787878787878,0.3186363636363636,0.3243939393939394,0.3354545454545454,0.3368181818181818,0.3406060606060606,0.359090909090909,0.3689393939393939,0.3712121212121212,0.378030303030303,0.3886363636363636,0.3889393939393939,0.3924242424242424
-8,0.336060606060606,0.3803030303030303,0.3769696969696969,0.3833333333333333,0.3822727272727272,0.3877272727272727,0.3898484848484848,0.3966666666666666,0.3937878787878788,0.3915151515151515,0.3983333333333333,0.3972727272727273,0.4096969696969696,0.4106060606060606,0.4159090909090909,0.4184848484848484,0.4277272727272727,0.4298484848484848,0.4368181818181818,0.4436363636363636,0.4484848484848485,0.448030303030303,0.4416666666666666,0.4540909090909091,0.4477272727272727,0.4646969696969697,0.4612121212121212,0.466969696969697,0.476969696969697,0.4974242424242424,0.4986363636363636,0.5063636363636363,0.5178787878787878,0.5296969696969697,0.541060606060606,0.5403030303030303,0.5466666666666666,0.5548484848484848,0.5618181818181818,0.5640909090909091
-6,0.456060606060606,0.5166666666666667,0.5263636363636364,0.5396969696969697,0.5484848484848485,0.5512121212121213,0.5583333333333333,0.553939393939394,0.5742424242424242,0.5716666666666667,0.5687878787878788,0.5731818181818182,0.5756060606060606,0.585,0.5854545454545454,0.588030303030303,0.5890909090909091,0.6004545454545455,0.6054545454545455,0.6116666666666667,0.6145454545454545,0.6209090909090909,0.6296969696969696,0.6360606060606061,0.6353030303030303,0.6316666666666667,0.6465151515151515,0.6543939393939394,0.6596969696969697,0.6751515151515152,0.6878787878787879,0.6854545454545454,0.6992424242424242,0.7134848484848485,0.715,0.7183333333333334,0.7260606060606061,0.7371212121212121,0.7384848484848485,0.7415151515151515
-4,0.5377272727272727,0.62,0.649090909090909,0.6675757575757576,0.6656060606060606,0.6775757575757576,0.6857575757575758,0.6943939393939393,0.6965151515151515,0.7062121212121212,0.7013636363636364,0.7121212121212122,0.7142424242424242,0.7143939393939394,0.7240909090909091,0.7342424242424243,0.7327272727272728,0.7416666666666667,0.7477272727272727,0.753030303030303,0.7628787878787879,0.7677272727272727,0.7742424242424243,0.7834848484848485,0.7846969696969697,0.7828787878787878,0.791969696969697,0.7936363636363636,0.7954545454545454,0.8183333333333334,0.8183333333333334,0.8298484848484848,0.8253030303030303,0.8472727272727273,0.8413636363636363,0.8448484848484848,0.8490909090909091,0.8521212121212122,0.8598484848484849,0.8596969696969697
-2,0.5842424242424242,0.6907575757575758,0.7212121212121212,0.735909090909091,0.7548484848484849,0.7683333333333333,0.7754545454545455,0.7812121212121212,0.7892424242424242,0.7851515151515152,0.7945454545454546,0.8024242424242424,0.8022727272727272,0.8066666666666666,0.8190909090909091,0.8242424242424242,0.8316666666666667,0.8374242424242424,0.8451515151515151,0.853030303030303,0.8572727272727273,0.8634848484848485,0.8662121212121212,0.8704545454545455,0.8716666666666667,0.8815151515151515,0.8813636363636363,0.8789393939393939,0.8856060606060606,0.8925757575757576,0.8974242424242425,0.8943939393939394,0.8956060606060606,0.9046969696969696,0.9096969696969696,0.9062121212121212,0.901060606060606,0.9128787878787878,0.908939393939394,0.9116666666666666
