SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
-20,0.0907575757575757,0.0934848484848484,0.0943939393939393,0.0943939393939393,0.0946969696969697,0.0951515151515151,0.0972727272727272,0.0924242424242424,0.094090909090909,0.0951515151515151,0.0943939393939393,0.0934848484848484,0.0928787878787878,0.0963636363636363,0.0931818181818181,0.0951515151515151,0.0962121212121212,0.0971212121212121,0.0953030303030303,0.0956060606060606,0.0974242424242424,0.0981818181818181,0.0962121212121212,0.1009090909090909,0.1004545454545454,0.0996969696969697,0.1006060606060606,0.1039393939393939,0.1054545454545454,0.1069696969696969,0.1081818181818181,0.1103030303030303,0.1172727272727272,0.115,0.1169696969696969,0.1172727272727272,0.1224242424242424,0.12666666666666668
-18,0.0936363636363636,0.0933333333333333,0.0951515151515151,0.0956060606060606,0.0959090909090909,0.0978787878787878,0.0993939393939394,0.0962121212121212,0.0965151515151515,0.098030303030303,0.0993939393939394,0.0954545454545454,0.1016666666666666,0.0981818181818181,0.0989393939393939,0.1015151515151515,0.0998484848484848,0.0996969696969697,0.1009090909090909,0.101060606060606,0.1019696969696969,0.1051515151515151,0.1019696969696969,0.105,0.105,0.1074242424242424,0.1046969696969696,0.1112121212121212,0.114090909090909,0.1143939393939394,0.1178787878787878,0.1184848484848484,0.1254545454545454,0.1254545454545454,0.1271212121212121,0.1315151515151515,0.1334848484848484,0.1362121212121212
-16,0.0953030303030303,0.0978787878787878,0.0983333333333333,0.0984848484848484,0.0989393939393939,0.0992424242424242,0.0986363636363636,0.1018181818181818,0.1,0.0993939393939394,0.1042424242424242,0.1034848484848484,0.103030303030303,0.1027272727272727,0.1028787878787878,0.1057575757575757,0.1048484848484848,0.1040909090909091,0.1062121212121212,0.1081818181818181,0.1122727272727272,0.1113636363636363,0.1116666666666666,0.1128787878787878,0.1125757575757575,0.111060606060606,0.1151515151515151,0.1216666666666666,0.1236363636363636,0.1201515151515151,0.1286363636363636,0.1289393939393939,0.1295454545454545,0.1363636363636363,0.1377272727272727,0.138030303030303,0.1442424242424242,0.14863636363636365
-14,0.1116666666666666,0.1171212121212121,0.1245454545454545,0.1233333333333333,0.1293939393939394,0.1272727272727272,0.1277272727272727,0.1289393939393939,0.1287878787878787,0.1343939393939394,0.1301515151515151,0.1357575757575757,0.1340909090909091,0.1356060606060606,0.1381818181818181,0.1363636363636363,0.131060606060606,0.1393939393939394,0.1387878787878788,0.1434848484848485,0.1437878787878788,0.1406060606060606,0.1439393939393939,0.1486363636363636,0.1487878787878787,0.1481818181818182,0.1504545454545454,0.1566666666666666,0.1622727272727272,0.1598484848484848,0.1631818181818181,0.1712121212121212,0.168030303030303,0.178030303030303,0.1793939393939393,0.184090909090909,0.186060606060606,0.1918181818181818
-12,0.1453030303030303,0.1762121212121212,0.1868181818181818,0.1834848484848484,0.1801515151515151,0.1803030303030303,0.1892424242424242,0.1927272727272727,0.1909090909090909,0.1943939393939394,0.1936363636363636,0.1921212121212121,0.1937878787878788,0.1887878787878787,0.1942424242424242,0.191060606060606,0.1793939393939393,0.1874242424242424,0.1822727272727272,0.1863636363636363,0.1893939393939394,0.1883333333333333,0.1906060606060606,0.1954545454545454,0.2006060606060606,0.2013636363636363,0.1966666666666666,0.2154545454545454,0.2134848484848484,0.213030303030303,0.2193939393939394,0.2224242424242424,0.2269696969696969,0.241060606060606,0.2372727272727272,0.2421212121212121,0.2542424242424242,0.25651515151515153
-10,0.2253030303030303,0.268030303030303,0.2672727272727273,0.2666666666666666,0.266060606060606,0.2709090909090909,0.2775757575757576,0.2663636363636363,0.2790909090909091,0.2774242424242424,0.281969696969697,0.2754545454545454,0.2887878787878788,0.2840909090909091,0.2872727272727273,0.2893939393939393,0.2928787878787879,0.296969696969697,0.2925757575757576,0.2913636363636364,0.289090909090909,0.3021212121212121,0.2987878787878787,0.2931818181818181,0.3022727272727272,0.3003030303030303,0.303030303030303,0.3245454545454545,0.3242424242424242,0.3301515151515151,0.3354545454545454,0.3359090909090909,0.3456060606060606,0.358030303030303,0.3545454545454545,0.3575757575757576,0.3669696969696969,0.3715151515151515
-8,0.328030303030303,0.3724242424242424,0.3798484848484848,0.3851515151515151,0.3863636363636363,0.3859090909090909,0.39,0.3946969696969697,0.4059090909090909,0.3981818181818182,0.4095454545454545,0.4193939393939394,0.4143939393939393,0.4221212121212121,0.4183333333333333,0.4315151515151515,0.4319696969696969,0.4434848484848485,0.4401515151515151,0.4398484848484848,0.4466666666666666,0.4466666666666666,0.4572727272727273,0.4568181818181818,0.4584848484848485,0.4593939393939394,0.4687878787878788,0.4912121212121212,0.4868181818181818,0.4954545454545455,0.5046969696969696,0.5006060606060606,0.5174242424242425,0.5277272727272727,0.5322727272727272,0.5366666666666666,0.5487878787878788,0.5451515151515152
-6,0.4501515151515151,0.5142424242424243,0.5321212121212121,0.5287878787878788,0.5359090909090909,0.5495454545454546,0.5601515151515152,0.5578787878787879,0.5703030303030303,0.57,0.5866666666666667,0.5819696969696969,0.578030303030303,0.5934848484848485,0.5915151515151515,0.5971212121212122,0.6103030303030303,0.6098484848484849,0.6193939393939394,0.6278787878787879,0.6243939393939394,0.6368181818181818,0.6386363636363637,0.6428787878787878,0.6474242424242425,0.6472727272727272,0.661969696969697,0.6790909090909091,0.6893939393939394,0.6848484848484848,0.6863636363636364,0.6898484848484848,0.7171212121212122,0.7163636363636363,0.7184848484848485,0.7304545454545455,0.7343939393939394,0.7368181818181818
-4,0.5387878787878788,0.6242424242424243,0.6475757575757576,0.6583333333333333,0.6657575757575758,0.68,0.6895454545454546,0.6940909090909091,0.7045454545454546,0.7051515151515152,0.7107575757575758,0.7142424242424242,0.7206060606060606,0.7287878787878788,0.7284848484848485,0.7406060606060606,0.7434848484848485,0.7472727272727273,0.7618181818181818,0.7606060606060606,0.7803030303030303,0.7742424242424243,0.7827272727272727,0.7828787878787878,0.786969696969697,0.7839393939393939,0.7934848484848485,0.8113636363636364,0.8137878787878788,0.8245454545454546,0.821969696969697,0.8275757575757576,0.84,0.8451515151515151,0.8448484848484848,0.8462121212121212,0.8536363636363636,0.8531818181818182
-2,0.5945454545454546,0.6931818181818182,0.7203030303030303,0.7343939393939394,0.7471212121212121,0.7693939393939394,0.7742424242424243,0.7842424242424243,0.7921212121212121,0.7990909090909091,0.8001515151515152,0.796060606060606,0.8024242424242424,0.8109090909090909,0.8125757575757576,0.8231818181818182,0.8328787878787879,0.8442424242424242,0.855909090909091,0.8512121212121212,0.8607575757575757,0.8704545454545455,0.8686363636363637,0.8681818181818182,0.8737878787878788,0.8707575757575757,0.8753030303030302,0.8860606060606061,0.8898484848484849,0.8851515151515151,0.89,0.8910606060606061,0.8983333333333333,0.8996969696969697,0.9015151515151516,0.8986363636363637,0.9066666666666666,0.905
