SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
-20,0.0903030303030303,0.0907575757575757,0.095,0.0939393939393939,0.0934848484848484,0.0937878787878787,0.0931818181818181,0.0962121212121212,0.0937878787878787,0.0956060606060606,0.0954545454545454,0.0975757575757575,0.098030303030303,0.0945454545454545,0.0959090909090909,0.0966666666666666,0.0963636363636363,0.0996969696969697,0.0965151515151515,0.099090909090909,0.0986363636363636,0.1004545454545454,0.1,0.1039393939393939,0.1037878787878787,0.1062121212121212,0.1059090909090909,0.1081818181818181,0.1075757575757575,0.1107575757575757,0.113030303030303,0.1136363636363636,0.1195454545454545,0.121060606060606,0.1215151515151515,0.12212121212121212
-18,0.0942424242424242,0.0975757575757575,0.0957575757575757,0.0977272727272727,0.0972727272727272,0.094090909090909,0.0962121212121212,0.096060606060606,0.0983333333333333,0.0992424242424242,0.0959090909090909,0.0975757575757575,0.0995454545454545,0.0981818181818181,0.1009090909090909,0.0978787878787878,0.0981818181818181,0.0989393939393939,0.1004545454545454,0.1013636363636363,0.101060606060606,0.1016666666666666,0.1027272727272727,0.1034848484848484,0.1093939393939393,0.1095454545454545,0.1121212121212121,0.1119696969696969,0.1154545454545454,0.1166666666666666,0.1206060606060606,0.121060606060606,0.1245454545454545,0.1245454545454545,0.128030303030303,0.13575757575757577
-16,0.0927272727272727,0.0977272727272727,0.098030303030303,0.0987878787878787,0.0975757575757575,0.0998484848484848,0.101060606060606,0.1001515151515151,0.0987878787878787,0.1053030303030303,0.106060606060606,0.1034848484848484,0.1025757575757575,0.1045454545454545,0.1074242424242424,0.1075757575757575,0.1109090909090909,0.1089393939393939,0.1086363636363636,0.1109090909090909,0.1098484848484848,0.113030303030303,0.1136363636363636,0.1156060606060606,0.1183333333333333,0.1227272727272727,0.1262121212121212,0.124090909090909,0.1263636363636363,0.1292424242424242,0.1366666666666666,0.1392424242424242,0.1395454545454545,0.145,0.1489393939393939,0.15242424242424243
-14,0.1086363636363636,0.1225757575757575,0.1245454545454545,0.1281818181818181,0.1345454545454545,0.1290909090909091,0.1292424242424242,0.1287878787878787,0.1337878787878788,0.1333333333333333,0.1356060606060606,0.1383333333333333,0.1325757575757575,0.1398484848484848,0.1369696969696969,0.1362121212121212,0.1392424242424242,0.138030303030303,0.1393939393939394,0.1427272727272727,0.1466666666666666,0.1462121212121212,0.1495454545454545,0.1462121212121212,0.1556060606060606,0.1548484848484848,0.1607575757575757,0.1615151515151515,0.1593939393939394,0.1654545454545454,0.1698484848484848,0.1768181818181818,0.1812121212121212,0.1783333333333333,0.188030303030303,0.1859090909090909
-12,0.1533333333333333,0.1806060606060606,0.1827272727272727,0.1793939393939393,0.1857575757575757,0.1874242424242424,0.19,0.1940909090909091,0.1942424242424242,0.1959090909090909,0.191060606060606,0.1928787878787878,0.1871212121212121,0.1806060606060606,0.1831818181818182,0.1909090909090909,0.1893939393939394,0.1874242424242424,0.1927272727272727,0.1948484848484848,0.1962121212121212,0.1975757575757575,0.1957575757575757,0.1943939393939394,0.2051515151515151,0.2131818181818182,0.2128787878787879,0.2201515151515151,0.2151515151515151,0.2195454545454545,0.2386363636363636,0.2315151515151515,0.2392424242424242,0.244090909090909,0.2525757575757575,0.2537878787878788
-10,0.2175757575757576,0.2615151515151515,0.2596969696969697,0.253030303030303,0.2618181818181818,0.2624242424242424,0.2716666666666666,0.2663636363636363,0.278030303030303,0.2774242424242424,0.2798484848484848,0.2825757575757576,0.281969696969697,0.283030303030303,0.2821212121212121,0.2843939393939394,0.2896969696969697,0.2866666666666667,0.2884848484848485,0.2842424242424242,0.2957575757575758,0.295,0.2996969696969697,0.2990909090909091,0.3119696969696969,0.3169696969696969,0.3151515151515151,0.3227272727272727,0.3225757575757575,0.3313636363636363,0.3366666666666666,0.3478787878787879,0.3560606060606061,0.3545454545454545,0.3692424242424242,0.37075757575757573
-8,0.3248484848484848,0.3706060606060606,0.376060606060606,0.3795454545454545,0.3825757575757575,0.3851515151515151,0.3909090909090909,0.4031818181818182,0.3996969696969697,0.3998484848484848,0.4043939393939394,0.4101515151515151,0.419090909090909,0.4204545454545454,0.4215151515151515,0.4336363636363636,0.4316666666666666,0.4336363636363636,0.4309090909090909,0.4395454545454546,0.4451515151515151,0.4472727272727272,0.4548484848484848,0.4503030303030303,0.4716666666666667,0.4731818181818182,0.4827272727272727,0.4833333333333333,0.4809090909090909,0.4942424242424242,0.5065151515151515,0.5196969696969697,0.5186363636363637,0.5245454545454545,0.5383333333333333,0.5378787878787878
-6,0.4443939393939394,0.5193939393939394,0.5286363636363637,0.53,0.543939393939394,0.5504545454545454,0.556060606060606,0.5556060606060607,0.563939393939394,0.5659090909090909,0.565,0.5790909090909091,0.5824242424242424,0.5918181818181818,0.5966666666666667,0.608030303030303,0.6074242424242424,0.6137878787878788,0.6221212121212121,0.6307575757575757,0.6228787878787879,0.6292424242424243,0.6331818181818182,0.641969696969697,0.6590909090909091,0.6648484848484848,0.6643939393939394,0.6771212121212121,0.6775757575757576,0.6775757575757576,0.6948484848484848,0.7036363636363636,0.7051515151515152,0.7143939393939394,0.7253030303030303,0.723030303030303
-4,0.5425757575757576,0.6290909090909091,0.6371212121212121,0.6543939393939394,0.6621212121212121,0.6759090909090909,0.6812121212121212,0.6859090909090909,0.6948484848484848,0.6996969696969697,0.708939393939394,0.7113636363636363,0.7224242424242424,0.7351515151515151,0.7381818181818182,0.7366666666666667,0.7466666666666667,0.755,0.7642424242424243,0.7642424242424243,0.7653030303030303,0.7745454545454545,0.7762121212121212,0.7787878787878788,0.8053030303030303,0.8057575757575758,0.8098484848484848,0.8122727272727273,0.8121212121212121,0.8146969696969697,0.8313636363636364,0.8418181818181818,0.8403030303030303,0.8436363636363636,0.8465151515151516,0.8512121212121212
-2,0.5878787878787879,0.6977272727272728,0.7153030303030303,0.7293939393939394,0.745,0.7654545454545455,0.7734848484848484,0.7774242424242425,0.7806060606060606,0.7866666666666666,0.796969696969697,0.8003030303030303,0.8203030303030303,0.8366666666666667,0.8390909090909091,0.8474242424242424,0.8506060606060606,0.8507575757575757,0.8633333333333333,0.8598484848484849,0.8624242424242424,0.8671212121212121,0.8703030303030304,0.8722727272727273,0.8827272727272727,0.8848484848484849,0.8871212121212121,0.8918181818181818,0.8922727272727272,0.8918181818181818,0.902121212121212,0.901060606060606,0.8998484848484849,0.902121212121212,0.9063636363636364,0.9068181818181819
