SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
-20,0.0939393939393939,0.0921212121212121,0.0933333333333333,0.0945454545454545,0.0933333333333333,0.0928787878787878,0.0928787878787878,0.0942424242424242,0.0937878787878787,0.094090909090909,0.0951515151515151,0.0966666666666666,0.0962121212121212,0.0966666666666666,0.0986363636363636,0.0969696969696969,0.0977272727272727,0.0977272727272727,0.0974242424242424,0.0978787878787878,0.0969696969696969,0.0998484848484848,0.1004545454545454,0.1012121212121212,0.1046969696969696,0.1012121212121212,0.1048484848484848,0.1037878787878787,0.1068181818181818,0.106060606060606,0.1087878787878788,0.1142424242424242,0.113030303030303,0.1184848484848484,0.1166666666666666,0.1169696969696969,0.1204545454545454,0.1257575757575757,0.124090909090909,0.1256060606060606,0.12424242424242424
-18,0.0934848484848484,0.0977272727272727,0.0957575757575757,0.094090909090909,0.095,0.0968181818181818,0.0974242424242424,0.098030303030303,0.0971212121212121,0.0992424242424242,0.0995454545454545,0.0965151515151515,0.0972727272727272,0.098030303030303,0.1,0.0995454545454545,0.0993939393939394,0.0986363636363636,0.0992424242424242,0.1012121212121212,0.1022727272727272,0.103030303030303,0.1048484848484848,0.1069696969696969,0.1072727272727272,0.1092424242424242,0.1104545454545454,0.1069696969696969,0.1121212121212121,0.1154545454545454,0.1166666666666666,0.1198484848484848,0.1184848484848484,0.1228787878787878,0.1268181818181818,0.1265151515151515,0.1274242424242424,0.13,0.133030303030303,0.1340909090909091,0.13090909090909092
-16,0.0931818181818181,0.0984848484848484,0.0972727272727272,0.0972727272727272,0.0981818181818181,0.098030303030303,0.0966666666666666,0.1004545454545454,0.1001515151515151,0.0987878787878787,0.0998484848484848,0.1040909090909091,0.1045454545454545,0.1036363636363636,0.1034848484848484,0.1057575757575757,0.1098484848484848,0.1075757575757575,0.1046969696969696,0.1059090909090909,0.1143939393939394,0.116060606060606,0.1171212121212121,0.1166666666666666,0.1196969696969696,0.1189393939393939,0.1215151515151515,0.1209090909090909,0.1216666666666666,0.1245454545454545,0.1284848484848484,0.1312121212121212,0.1343939393939394,0.1383333333333333,0.1393939393939394,0.1395454545454545,0.1434848484848485,0.1459090909090909,0.148030303030303,0.1484848484848485,0.15045454545454545
-14,0.1089393939393939,0.12,0.1225757575757575,0.1289393939393939,0.1269696969696969,0.1289393939393939,0.125,0.1245454545454545,0.1272727272727272,0.1342424242424242,0.1312121212121212,0.1298484848484848,0.1336363636363636,0.1412121212121212,0.1374242424242424,0.14,0.1354545454545454,0.141060606060606,0.1469696969696969,0.1415151515151515,0.1456060606060606,0.1453030303030303,0.1519696969696969,0.1546969696969697,0.1581818181818181,0.1528787878787879,0.1565151515151515,0.1615151515151515,0.154090909090909,0.1633333333333333,0.1712121212121212,0.1703030303030303,0.1725757575757575,0.1784848484848485,0.1807575757575757,0.1812121212121212,0.1869696969696969,0.1866666666666666,0.1874242424242424,0.1896969696969697,0.19348484848484848
-12,0.141060606060606,0.1757575757575757,0.1754545454545454,0.1865151515151515,0.1824242424242424,0.1856060606060606,0.1865151515151515,0.186060606060606,0.1866666666666666,0.1865151515151515,0.1803030303030303,0.1759090909090909,0.1759090909090909,0.1837878787878787,0.1812121212121212,0.1857575757575757,0.1859090909090909,0.1948484848484848,0.1922727272727272,0.1877272727272727,0.2025757575757575,0.2012121212121212,0.2022727272727272,0.2071212121212121,0.2068181818181818,0.2069696969696969,0.2122727272727272,0.2169696969696969,0.2175757575757576,0.2246969696969697,0.2225757575757575,0.2243939393939394,0.2359090909090909,0.2446969696969697,0.2343939393939394,0.2471212121212121,0.2509090909090909,0.2515151515151515,0.2524242424242424,0.2577272727272727,0.25636363636363635
-10,0.2259090909090909,0.2563636363636363,0.2631818181818182,0.2713636363636363,0.2678787878787879,0.2806060606060606,0.2766666666666666,0.2809090909090909,0.2762121212121212,0.2784848484848485,0.2766666666666666,0.2815151515151515,0.2843939393939394,0.2757575757575757,0.2798484848484848,0.2833333333333333,0.2822727272727273,0.2795454545454545,0.281060606060606,0.2878787878787879,0.2981818181818181,0.3071212121212121,0.2989393939393939,0.3104545454545454,0.3112121212121212,0.3051515151515152,0.3156060606060606,0.3190909090909091,0.3301515151515151,0.3318181818181818,0.3431818181818182,0.3422727272727273,0.3466666666666667,0.3604545454545454,0.3671212121212121,0.363030303030303,0.3706060606060606,0.3733333333333333,0.3728787878787878,0.3798484848484848,0.37742424242424244
-8,0.3184848484848485,0.3840909090909091,0.3842424242424242,0.3795454545454545,0.3851515151515151,0.3865151515151515,0.395,0.3978787878787879,0.4036363636363636,0.4057575757575757,0.4143939393939393,0.4156060606060606,0.4215151515151515,0.4172727272727273,0.4265151515151515,0.428030303030303,0.4342424242424242,0.4284848484848484,0.4336363636363636,0.4486363636363636,0.4484848484848485,0.4534848484848485,0.4587878787878788,0.4639393939393939,0.4596969696969697,0.4715151515151515,0.4709090909090909,0.4753030303030303,0.4818181818181818,0.4996969696969697,0.5054545454545455,0.5036363636363637,0.5093939393939394,0.524090909090909,0.5266666666666666,0.5215151515151515,0.5309090909090909,0.5337878787878788,0.5453030303030303,0.5387878787878788,0.5427272727272727
-6,0.4283333333333333,0.5196969696969697,0.5301515151515152,0.5278787878787878,0.5465151515151515,0.5436363636363636,0.5490909090909091,0.5507575757575758,0.5592424242424242,0.5671212121212121,0.5840909090909091,0.5771212121212121,0.5854545454545454,0.5945454545454546,0.6056060606060606,0.6143939393939394,0.6134848484848485,0.6137878787878788,0.6151515151515151,0.6204545454545455,0.6393939393939394,0.6486363636363637,0.6533333333333333,0.6601515151515152,0.6568181818181819,0.6628787878787878,0.6633333333333333,0.6665151515151515,0.6701515151515152,0.6863636363636364,0.6872727272727273,0.6957575757575758,0.6875757575757576,0.7027272727272728,0.7107575757575758,0.7078787878787879,0.7125757575757575,0.7263636363636363,0.7227272727272728,0.718030303030303,0.7274242424242424
-4,0.4989393939393939,0.6168181818181818,0.636969696969697,0.655,0.6559090909090909,0.6666666666666666,0.676060606060606,0.683030303030303,0.6853030303030303,0.6931818181818182,0.7021212121212121,0.7056060606060606,0.7260606060606061,0.7362121212121212,0.7369696969696969,0.7403030303030304,0.7486363636363637,0.7556060606060606,0.7534848484848485,0.7518181818181818,0.7774242424242425,0.7828787878787878,0.786060606060606,0.7892424242424242,0.7930303030303031,0.7945454545454546,0.8009090909090909,0.8012121212121213,0.8053030303030303,0.8203030303030303,0.8245454545454546,0.8296969696969697,0.8275757575757576,0.8365151515151515,0.8448484848484848,0.8404545454545455,0.8421212121212122,0.8496969696969697,0.8477272727272728,0.8478787878787879,0.8557575757575757
-2,0.5634848484848485,0.6859090909090909,0.7103030303030303,0.7372727272727273,0.7515151515151515,0.7525757575757576,0.7630303030303031,0.7733333333333333,0.7772727272727272,0.7892424242424242,0.8009090909090909,0.8092424242424242,0.821969696969697,0.826060606060606,0.8375757575757575,0.8415151515151515,0.8431818181818181,0.8498484848484849,0.8490909090909091,0.8548484848484849,0.8709090909090909,0.8739393939393939,0.8724242424242424,0.8733333333333333,0.8816666666666667,0.8742424242424243,0.876969696969697,0.8759090909090909,0.878030303030303,0.8930303030303031,0.8963636363636364,0.8942424242424243,0.8933333333333333,0.8986363636363637,0.899090909090909,0.9004545454545455,0.8984848484848484,0.9033333333333332,0.9065151515151516,0.902121212121212,0.9016666666666666
