SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
-20,0.1023888888888888,0.1043055555555555,0.1061666666666666,0.1058055555555555,0.1053888888888888,0.1061666666666666,0.10675,0.1079166666666666,0.1058888888888889,0.1071666666666666,0.1065833333333333,0.1066944444444444,0.1087222222222222,0.1078333333333333,0.1072777777777777,0.1098611111111111,0.1093055555555555,0.1079722222222222,0.1080555555555555,0.1109444444444444,0.1105555555555555,0.1123888888888888,0.1123888888888888,0.1143055555555555,0.1155,0.11925,0.1192777777777777,0.1197222222222222,0.1237777777777777,0.1276666666666666,0.1276111111111111,0.1288611111111111,0.1310833333333333,0.1333888888888889,0.1332777777777777,0.1343888888888889
-18,0.1060833333333333,0.1107777777777777,0.1106666666666666,0.1098055555555555,0.1113055555555555,0.1116388888888888,0.1091111111111111,0.1101388888888888,0.1115,0.1118611111111111,0.1137777777777777,0.1124444444444444,0.1113888888888888,0.1124722222222222,0.1129166666666666,0.1145833333333333,0.1133333333333333,0.1138611111111111,0.1154166666666666,0.1125,0.1140833333333333,0.1146666666666666,0.1156388888888888,0.1174722222222222,0.1212222222222222,0.1244722222222222,0.1249444444444444,0.1250555555555555,0.1286111111111111,0.1327777777777777,0.1337777777777777,0.1347222222222222,0.1379444444444444,0.1415,0.1412777777777777,0.14102777777777778
-16,0.1178611111111111,0.1213888888888889,0.12375,0.1218611111111111,0.1231666666666666,0.1270277777777777,0.1253611111111111,0.1249722222222222,0.1248333333333333,0.1250555555555555,0.1263333333333333,0.1267777777777777,0.1275277777777777,0.1263055555555555,0.1245833333333333,0.1245277777777777,0.12825,0.1289722222222222,0.1287777777777777,0.1308611111111111,0.1315555555555555,0.1315,0.1340833333333333,0.1313888888888889,0.13675,0.1405555555555555,0.1409722222222222,0.1453333333333333,0.1503055555555555,0.1524166666666666,0.1546388888888888,0.1545833333333333,0.1571666666666666,0.1605277777777777,0.1610833333333333,0.16277777777777777
-14,0.1403333333333333,0.1496388888888888,0.1521388888888888,0.1563055555555555,0.1610555555555555,0.157,0.162,0.1620277777777777,0.1603333333333333,0.1610277777777777,0.1618333333333333,0.1618055555555555,0.1621111111111111,0.1634722222222222,0.1628055555555555,0.1640555555555555,0.1660555555555555,0.1666388888888889,0.1686111111111111,0.167,0.1672222222222222,0.1695,0.1688888888888889,0.17325,0.1784722222222222,0.1817777777777778,0.18325,0.1851388888888888,0.1883888888888888,0.1904722222222222,0.1924166666666666,0.1954444444444444,0.2011111111111111,0.202,0.202,0.20422222222222222
-12,0.1946666666666666,0.2066111111111111,0.2116111111111111,0.2180277777777777,0.2147222222222222,0.2153055555555555,0.2148888888888888,0.2173055555555555,0.2219722222222222,0.2158333333333333,0.2196666666666666,0.2211388888888888,0.2178888888888888,0.2166666666666666,0.2191944444444444,0.2219444444444444,0.2238888888888889,0.2241111111111111,0.2254444444444444,0.2260833333333333,0.2291944444444444,0.22725,0.2288888888888889,0.2326111111111111,0.2389444444444444,0.2438888888888888,0.2434722222222222,0.2451111111111111,0.2508611111111111,0.2508333333333333,0.2535,0.2568333333333333,0.2589722222222222,0.2599444444444444,0.2596388888888888,0.25916666666666666
-10,0.2855555555555555,0.3030833333333333,0.2916944444444444,0.2951388888888889,0.3010277777777778,0.30075,0.3045833333333333,0.3058055555555555,0.3106388888888889,0.3085833333333333,0.3134444444444444,0.3141388888888889,0.3129722222222222,0.3163333333333333,0.3142222222222222,0.3169722222222222,0.3190277777777778,0.3190555555555555,0.3250555555555555,0.3250277777777778,0.3235833333333333,0.3244166666666667,0.3253888888888889,0.3259166666666667,0.3383055555555556,0.3358333333333333,0.3393611111111111,0.3422777777777778,0.3493055555555555,0.3528055555555555,0.3515277777777778,0.3518333333333333,0.3589166666666666,0.3613333333333333,0.3596388888888889,0.3626111111111111
-8,0.3747222222222222,0.3949166666666667,0.4101388888888889,0.4151111111111111,0.4158333333333333,0.4201944444444444,0.4209166666666666,0.4241944444444444,0.4310555555555556,0.4280555555555556,0.4304444444444444,0.4360555555555555,0.4360555555555555,0.4403611111111111,0.44275,0.4415833333333333,0.4423888888888889,0.4443055555555555,0.4467777777777778,0.4496111111111111,0.4500555555555555,0.4524444444444444,0.4547222222222222,0.4578611111111111,0.4687777777777778,0.4695,0.4751666666666667,0.4766388888888889,0.4826666666666667,0.4855277777777778,0.4895277777777778,0.4901944444444444,0.49425,0.4944722222222222,0.4966388888888889,0.49755555555555553
-6,0.4868888888888888,0.5193333333333333,0.5460555555555555,0.5545277777777777,0.5636111111111111,0.5666388888888889,0.5673611111111111,0.5751944444444445,0.5756666666666667,0.5795,0.5821388888888889,0.5866388888888889,0.5871111111111111,0.5910555555555556,0.5918888888888889,0.59575,0.5971111111111111,0.5981666666666666,0.60275,0.6033888888888889,0.6025555555555555,0.6064722222222222,0.6091666666666666,0.6098333333333333,0.6234722222222222,0.6263888888888889,0.6311666666666667,0.6328888888888888,0.64125,0.6449722222222222,0.6447222222222222,0.6456666666666667,0.6538888888888889,0.6551388888888889,0.6547222222222222,0.6565
-4,0.6143611111111111,0.6595833333333333,0.6941111111111111,0.71175,0.7225,0.72575,0.7346666666666667,0.7360833333333333,0.7403333333333333,0.7458611111111111,0.7460555555555556,0.7528611111111111,0.7547777777777778,0.7528611111111111,0.7534722222222222,0.7568611111111111,0.7623611111111112,0.7613888888888889,0.7621944444444444,0.7645833333333333,0.7650277777777778,0.7670277777777778,0.7689444444444444,0.7718888888888888,0.7826388888888889,0.7844722222222222,0.783,0.7889722222222222,0.7969444444444445,0.7976944444444445,0.7981111111111111,0.7998611111111111,0.8057222222222222,0.8057222222222222,0.8065833333333333,0.8072222222222222
-2,0.7089444444444445,0.7850555555555555,0.8206666666666667,0.8393611111111111,0.8461111111111111,0.8516111111111111,0.8553055555555555,0.8588888888888889,0.8614166666666667,0.8628611111111111,0.8651388888888889,0.8668888888888889,0.8693055555555556,0.8714722222222222,0.8713888888888889,0.8730833333333333,0.8750833333333333,0.8752777777777778,0.8781111111111111,0.8758055555555555,0.8784166666666666,0.8789166666666667,0.8804722222222222,0.8797222222222222,0.8865555555555555,0.8881111111111111,0.8895277777777778,0.8913055555555556,0.89425,0.894,0.8948055555555555,0.8950277777777778,0.8975555555555556,0.8971944444444444,0.8984444444444445,0.8988333333333334
0,0.76375,0.8468333333333333,0.8872222222222222,0.9004722222222222,0.9069444444444444,0.9082777777777776,0.9113055555555556,0.9117222222222222,0.9133888888888888,0.916,0.9165555555555556,0.9155277777777778,0.9165,0.9180555555555556,0.9181666666666668,0.9181388888888888,0.9185,0.9200277777777778,0.9207222222222222,0.9204166666666668,0.9206388888888888,0.9198888888888888,0.9200555555555556,0.9219444444444445,0.9236944444444444,0.9234166666666668,0.9238888888888888,0.92375,0.9253888888888888,0.9258333333333332,0.9251111111111112,0.9261944444444444,0.9272222222222222,0.9268333333333332,0.9275,0.9270833333333334
