SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-20,0.1053888888888888,0.1066944444444444,0.1069722222222222,0.1061944444444444,0.1060555555555555,0.1071666666666666,0.1076944444444444,0.1048888888888888,0.1049722222222222,0.10675,0.1041666666666666,0.1065833333333333,0.1082222222222222,0.1075555555555555,0.1094166666666666,0.1078333333333333,0.1077222222222222,0.1106666666666666,0.1103611111111111,0.1138611111111111,0.1127222222222222,0.1127222222222222,0.1155277777777777,0.1195277777777777,0.1185,0.1226944444444444,0.12325,0.1240277777777777,0.1253888888888888,0.1293888888888889,0.1304444444444444,0.12977777777777777
-18,0.1066111111111111,0.1100833333333333,0.1105555555555555,0.1104444444444444,0.1100833333333333,0.1119444444444444,0.1088333333333333,0.1098888888888888,0.114,0.1115555555555555,0.1133333333333333,0.1121666666666666,0.1123333333333333,0.1139444444444444,0.1147777777777777,0.1118333333333333,0.1158333333333333,0.1139166666666666,0.1133055555555555,0.1188888888888888,0.1190277777777777,0.1218611111111111,0.1216111111111111,0.1226944444444444,0.1265277777777777,0.1296388888888889,0.1300277777777777,0.1296388888888889,0.1316666666666666,0.1354722222222222,0.1371111111111111,0.13530555555555557
-16,0.1164444444444444,0.1202222222222222,0.1211666666666666,0.1216388888888889,0.1230833333333333,0.12475,0.1252222222222222,0.1278333333333333,0.1285555555555555,0.1242222222222222,0.1261666666666666,0.1252222222222222,0.1291111111111111,0.1273055555555555,0.1271944444444444,0.1298611111111111,0.1315277777777777,0.1275555555555555,0.1313055555555555,0.132,0.1333611111111111,0.1358055555555555,0.1379166666666666,0.1402777777777777,0.1428888888888889,0.1470277777777777,0.1475277777777777,0.1474444444444444,0.1524444444444444,0.155,0.1543888888888888,0.15722222222222224
-14,0.1355555555555555,0.1529166666666666,0.15425,0.15675,0.1555277777777777,0.1602222222222222,0.1617777777777777,0.1600555555555555,0.1611944444444444,0.1621111111111111,0.1625277777777777,0.1626111111111111,0.1640277777777777,0.1645277777777777,0.1648888888888889,0.1654166666666666,0.1663055555555555,0.1668333333333333,0.1664166666666666,0.1668611111111111,0.1762777777777777,0.17475,0.1777777777777777,0.1821388888888888,0.1813055555555555,0.1897222222222222,0.1905555555555555,0.1926944444444444,0.1921666666666666,0.1996666666666666,0.2016111111111111,0.20077777777777778
-12,0.1971666666666666,0.2071111111111111,0.2111944444444444,0.2156666666666666,0.2163888888888888,0.2151944444444444,0.2183611111111111,0.2169166666666666,0.2198333333333333,0.21725,0.2193888888888888,0.2211666666666666,0.218,0.2222222222222222,0.21925,0.2214722222222222,0.2265555555555555,0.2208055555555555,0.2274444444444444,0.2253333333333333,0.2355833333333333,0.2302222222222222,0.2359722222222222,0.2369166666666666,0.2419444444444444,0.2417777777777777,0.2483333333333333,0.2506944444444444,0.2490277777777777,0.2528333333333333,0.2532777777777777,0.258
-10,0.2807777777777778,0.2964444444444444,0.2927777777777778,0.3019722222222222,0.3074722222222222,0.3094444444444444,0.3068055555555555,0.3088888888888889,0.3093611111111111,0.3084444444444444,0.3088055555555555,0.3080277777777778,0.316,0.3142222222222222,0.3188611111111111,0.3160555555555555,0.3193611111111111,0.3217777777777778,0.3213611111111111,0.3216111111111111,0.3312777777777778,0.3345,0.3366666666666666,0.3385277777777777,0.3400555555555555,0.3464166666666666,0.3508888888888888,0.3544166666666666,0.3541944444444444,0.3579722222222222,0.3610555555555556,0.3596388888888889
-8,0.3686944444444444,0.3994166666666666,0.4085277777777777,0.4120555555555555,0.4199444444444444,0.4227222222222222,0.4256111111111111,0.4306111111111111,0.4351388888888889,0.4321944444444444,0.4411388888888889,0.4386666666666666,0.4389722222222222,0.4404166666666667,0.4445277777777778,0.4444722222222222,0.4491944444444444,0.4515,0.4517777777777778,0.4494722222222222,0.4645833333333333,0.4662222222222222,0.4676666666666667,0.4706388888888889,0.4715833333333333,0.4808055555555555,0.4846388888888889,0.4847777777777777,0.4886388888888889,0.4956944444444444,0.4946944444444444,0.49544444444444447
-6,0.4850555555555556,0.5237222222222222,0.5553055555555556,0.5716666666666667,0.5751944444444445,0.5779444444444445,0.5799722222222222,0.5847777777777777,0.5861944444444445,0.5901111111111111,0.5935555555555555,0.596,0.5973333333333334,0.5991944444444445,0.6032222222222222,0.6026944444444444,0.6076111111111111,0.6096388888888888,0.6110833333333333,0.6131944444444445,0.6245,0.6303333333333333,0.6338333333333334,0.6344722222222222,0.6386388888888889,0.6454444444444445,0.6472777777777777,0.6521944444444444,0.6520277777777778,0.6601111111111111,0.6632222222222223,0.6624444444444444
-4,0.6111666666666666,0.6633611111111111,0.7020555555555555,0.7195555555555555,0.7329166666666667,0.7382222222222222,0.7433333333333333,0.7439166666666667,0.7483888888888889,0.7523055555555556,0.7544444444444445,0.7570277777777777,0.7573888888888889,0.7595555555555555,0.7626388888888889,0.7636666666666667,0.7673333333333333,0.7655555555555555,0.7716666666666666,0.7720277777777778,0.7818333333333334,0.7860555555555555,0.7879722222222222,0.7896944444444445,0.7901666666666667,0.8003611111111111,0.7994444444444444,0.8020555555555555,0.8048333333333333,0.8085833333333333,0.8088888888888889,0.8098055555555556
-2,0.7001111111111111,0.7778055555555555,0.8261666666666667,0.8388333333333333,0.8505,0.8571944444444445,0.8583611111111111,0.8596388888888888,0.8636388888888888,0.8649444444444444,0.8667777777777778,0.8686388888888888,0.8722777777777778,0.8737222222222222,0.8733888888888889,0.8757222222222222,0.8752777777777778,0.8759444444444444,0.8778055555555555,0.87675,0.8852777777777778,0.8875277777777778,0.8866666666666667,0.8879722222222223,0.8881666666666667,0.8940277777777778,0.8945,0.894,0.8949444444444444,0.8965833333333333,0.8970555555555556,0.8984166666666666
