SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
-20,0.1035555555555555,0.1050277777777777,0.1070833333333333,0.1061666666666666,0.1085555555555555,0.1041666666666666,0.107,0.1058333333333333,0.1073611111111111,0.1038333333333333,0.1070833333333333,0.1053888888888888,0.107,0.1064166666666666,0.1091666666666666,0.1073888888888889,0.10725,0.109,0.11025,0.1093888888888888,0.1109444444444444,0.1115833333333333,0.113,0.1135555555555555,0.1175555555555555,0.1181111111111111,0.1198888888888888,0.1203333333333333,0.1226388888888889
-18,0.1086388888888888,0.1106666666666666,0.1110555555555555,0.11275,0.1116111111111111,0.1096944444444444,0.1111388888888888,0.11175,0.1115555555555555,0.1118888888888888,0.1128055555555555,0.1115,0.1122222222222222,0.1140833333333333,0.1143055555555555,0.1115833333333333,0.1120555555555555,0.11525,0.1147777777777777,0.1182777777777777,0.1165833333333333,0.1165833333333333,0.1170555555555555,0.1219722222222222,0.12175,0.1238888888888889,0.1273611111111111,0.1262777777777777,0.13066666666666665
-16,0.1168055555555555,0.1186666666666666,0.1231388888888889,0.11975,0.1204722222222222,0.1235277777777777,0.1230555555555555,0.1261666666666666,0.1252777777777777,0.12625,0.1255277777777777,0.1255833333333333,0.1268888888888888,0.1271111111111111,0.1248611111111111,0.1271111111111111,0.1265833333333333,0.1271666666666666,0.1321666666666666,0.1302777777777777,0.1345,0.1335,0.1336944444444444,0.1373333333333333,0.1404166666666666,0.1429722222222222,0.1452222222222222,0.1463055555555555,0.1490277777777778
-14,0.1453333333333333,0.1491944444444444,0.1552777777777777,0.1568333333333333,0.15925,0.1554722222222222,0.161,0.1626388888888889,0.1598055555555555,0.1621388888888889,0.1644166666666666,0.1655277777777777,0.1655555555555555,0.1659444444444444,0.1621111111111111,0.1666944444444444,0.1654166666666666,0.1685833333333333,0.1698888888888889,0.17125,0.1729166666666666,0.1726666666666666,0.1749444444444444,0.1743611111111111,0.1788888888888888,0.1798055555555555,0.18175,0.1835833333333333,0.1885
-12,0.1976944444444444,0.2102777777777777,0.2068055555555555,0.2175555555555555,0.2180555555555555,0.2175555555555555,0.218,0.2164722222222222,0.2174166666666666,0.2226944444444444,0.2220833333333333,0.2216388888888888,0.2231666666666666,0.222,0.2257222222222222,0.2260833333333333,0.2238611111111111,0.2206388888888888,0.2294166666666666,0.2330277777777777,0.2342222222222222,0.2343055555555555,0.2357222222222222,0.2383888888888889,0.2446388888888888,0.2453888888888888,0.2481944444444444,0.2500555555555555,0.25216666666666665
-10,0.2852222222222222,0.2948333333333333,0.288,0.2916388888888889,0.3033055555555555,0.3026388888888889,0.3071388888888889,0.3065833333333333,0.3068333333333333,0.3098333333333333,0.3128055555555555,0.3103611111111111,0.3098333333333333,0.3150555555555555,0.3154444444444444,0.3181111111111111,0.3208333333333333,0.3208888888888889,0.3268055555555555,0.329,0.3335,0.3356666666666666,0.3377777777777778,0.3362222222222222,0.3481666666666667,0.3496944444444444,0.3498055555555555,0.3498888888888889,0.35747222222222225
-8,0.3723333333333333,0.3894166666666667,0.4065833333333333,0.4070277777777777,0.4138888888888888,0.4205555555555555,0.4215555555555555,0.4260555555555556,0.4272222222222222,0.4314166666666666,0.4312777777777777,0.4343611111111111,0.43475,0.4363888888888889,0.4409444444444444,0.4402222222222222,0.4447222222222222,0.4470277777777778,0.4542222222222222,0.4588888888888889,0.4625,0.4653055555555555,0.465,0.4693888888888889,0.4785,0.4846944444444444,0.4854444444444444,0.4853611111111111,0.49266666666666664
-6,0.4835555555555555,0.5201666666666667,0.5487222222222222,0.5612777777777778,0.5713333333333334,0.5768333333333333,0.57725,0.5821666666666667,0.5853333333333334,0.5903888888888889,0.5897222222222223,0.5940555555555556,0.6000555555555556,0.6018333333333333,0.60325,0.6027777777777777,0.6082777777777778,0.6091111111111112,0.6229722222222223,0.6268333333333334,0.62425,0.6306944444444444,0.6322777777777778,0.6356388888888889,0.6461111111111111,0.6487777777777778,0.6523611111111111,0.6512777777777777,0.6575555555555556
-4,0.6135,0.6576944444444445,0.6916666666666667,0.7149166666666666,0.7263333333333334,0.73375,0.7376111111111111,0.7414722222222222,0.7486388888888889,0.7499722222222223,0.7500555555555556,0.7534444444444445,0.7561944444444444,0.7598333333333334,0.7614444444444445,0.7656388888888889,0.7672777777777777,0.7696944444444445,0.7796666666666666,0.7851666666666667,0.7863055555555556,0.7881944444444444,0.7914444444444444,0.7916111111111112,0.8015,0.8034722222222223,0.8057777777777778,0.8069722222222222,0.8135555555555556
-2,0.7061666666666667,0.7710833333333333,0.8114166666666667,0.8322777777777778,0.8464166666666667,0.8572777777777778,0.8638333333333333,0.8629444444444444,0.8673055555555556,0.8651388888888889,0.8699166666666667,0.8711388888888889,0.8719444444444444,0.8745,0.8760833333333333,0.8762777777777778,0.8774444444444445,0.8779444444444444,0.8863611111111112,0.8873888888888889,0.8888611111111111,0.8885555555555555,0.8901944444444444,0.8914722222222222,0.8954444444444445,0.8965555555555556,0.896,0.89675,0.8997222222222222
