SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
-20,0.1056111111111111,0.1066111111111111,0.1061388888888889,0.1043055555555555,0.1037777777777777,0.1051666666666666,0.1071388888888889,0.1056666666666666,0.1063055555555555,0.1077777777777777,0.1088888888888888,0.1041944444444444,0.1080277777777777,0.1075555555555555,0.1066111111111111,0.1088611111111111,0.1075277777777777,0.1104444444444444,0.109,0.1106388888888888,0.1098333333333333,0.1105277777777777,0.1149722222222222,0.11475,0.1138055555555555,0.1136111111111111,0.1166944444444444,0.1205,0.1224444444444444,0.1218888888888889,0.1253611111111111,0.1276111111111111,0.12519444444444444
-18,0.1082222222222222,0.1095555555555555,0.1101944444444444,0.1137777777777777,0.1091666666666666,0.1101388888888888,0.1112222222222222,0.1124444444444444,0.1098611111111111,0.1096111111111111,0.1126666666666666,0.1101388888888888,0.1103888888888888,0.112,0.1115277777777777,0.1157222222222222,0.1130555555555555,0.1166388888888888,0.1132777777777777,0.1155277777777777,0.11425,0.1164722222222222,0.1198333333333333,0.1213611111111111,0.1197777777777777,0.1235,0.1233611111111111,0.1282777777777777,0.1285277777777777,0.1311666666666666,0.1303611111111111,0.1330833333333333,0.13305555555555557
-16,0.1175,0.1205833333333333,0.1224166666666666,0.12175,0.1231944444444444,0.1249166666666666,0.1221111111111111,0.12425,0.1239166666666666,0.1253333333333333,0.1248333333333333,0.1258888888888888,0.1275833333333333,0.1243888888888888,0.1266666666666666,0.1263333333333333,0.1277222222222222,0.13125,0.1303055555555555,0.1309166666666666,0.1283333333333333,0.1295555555555555,0.1344444444444444,0.1349722222222222,0.1356666666666666,0.1359444444444444,0.1363333333333333,0.1424444444444444,0.1443611111111111,0.1442777777777777,0.1470833333333333,0.1488611111111111,0.15333333333333332
-14,0.1401111111111111,0.1520555555555555,0.1534444444444444,0.15525,0.15625,0.1577777777777777,0.1606111111111111,0.1591388888888888,0.1558611111111111,0.1590277777777777,0.16125,0.1623888888888889,0.1617777777777777,0.1608055555555555,0.16,0.1627777777777777,0.1605277777777777,0.1663333333333333,0.1634166666666666,0.1656111111111111,0.1678611111111111,0.1736388888888889,0.1719722222222222,0.1728888888888889,0.1765833333333333,0.1755277777777777,0.1804444444444444,0.1839444444444444,0.1831111111111111,0.1864166666666666,0.1883888888888888,0.1913055555555555,0.19505555555555557
-12,0.1891111111111111,0.2016111111111111,0.2061388888888889,0.2128611111111111,0.2128333333333333,0.213,0.2112222222222222,0.2141944444444444,0.2163888888888888,0.2184166666666666,0.2209166666666666,0.2183055555555555,0.2207777777777777,0.2173333333333333,0.2213333333333333,0.21925,0.2214444444444444,0.2226944444444444,0.2237777777777777,0.2217222222222222,0.2238611111111111,0.23075,0.2310833333333333,0.2340833333333333,0.2370555555555555,0.2383888888888889,0.2441666666666666,0.2468055555555555,0.2479166666666666,0.2494166666666666,0.25125,0.2616666666666666,0.25666666666666665
-10,0.2725833333333333,0.29275,0.2903055555555555,0.2969166666666666,0.2979722222222222,0.3028333333333333,0.29975,0.3048055555555555,0.3035555555555556,0.3039722222222222,0.3064444444444444,0.3082222222222222,0.3078888888888889,0.3112777777777777,0.3128055555555555,0.31125,0.3135277777777778,0.3183888888888889,0.3173888888888889,0.3204166666666667,0.3175277777777778,0.3275555555555555,0.3303888888888889,0.33375,0.3344722222222222,0.3350555555555555,0.3404444444444444,0.3463333333333333,0.3476666666666667,0.3463888888888889,0.3493055555555555,0.3571388888888889,0.36075
-8,0.3610277777777778,0.3959444444444444,0.4055,0.4082222222222222,0.4197777777777778,0.4173611111111111,0.4261111111111111,0.4243333333333333,0.4304722222222222,0.4334166666666667,0.4361111111111111,0.4390833333333333,0.4393055555555555,0.43625,0.4432222222222222,0.4417777777777777,0.4453611111111111,0.4438333333333333,0.4490555555555555,0.4501388888888888,0.45175,0.4618055555555556,0.4673055555555555,0.4625555555555555,0.4665277777777777,0.4726944444444444,0.4703055555555555,0.4803055555555555,0.4856944444444444,0.4834444444444444,0.4873888888888888,0.4941666666666666,0.4940555555555556
-6,0.4726666666666667,0.5185277777777778,0.5449444444444445,0.5541666666666667,0.5640277777777778,0.5679722222222222,0.5765555555555556,0.5756666666666667,0.5826388888888889,0.5840833333333333,0.5848888888888889,0.5871666666666666,0.5919444444444445,0.5947222222222223,0.5962777777777778,0.5966944444444444,0.5980277777777778,0.6001111111111112,0.6023611111111111,0.6069166666666667,0.6056111111111111,0.6205,0.6248333333333334,0.6267222222222222,0.6269722222222223,0.6315,0.6356111111111111,0.6445,0.64825,0.64825,0.6519444444444444,0.6579722222222222,0.6599166666666667
-4,0.6033333333333334,0.6618611111111111,0.6947222222222222,0.7128611111111111,0.7245555555555555,0.72975,0.7362777777777778,0.738,0.7434444444444445,0.7435277777777778,0.746,0.7511666666666666,0.7543888888888889,0.7533333333333333,0.75475,0.758,0.7617777777777778,0.7635277777777778,0.7615555555555555,0.76425,0.7663888888888889,0.7791111111111111,0.78175,0.7829722222222222,0.7844722222222222,0.7859722222222222,0.7879444444444444,0.7985833333333333,0.8006111111111112,0.8026111111111112,0.8043333333333333,0.8101666666666667,0.8108333333333333
-2,0.7075277777777778,0.7921388888888888,0.8261111111111111,0.8431944444444445,0.8526388888888888,0.8545277777777778,0.8590277777777777,0.8617777777777778,0.8638055555555556,0.8668333333333333,0.8664722222222222,0.8690277777777777,0.8712777777777778,0.8718611111111111,0.8733055555555556,0.8737777777777778,0.8757222222222222,0.8750555555555556,0.8773611111111111,0.8776388888888889,0.8781111111111111,0.8863611111111112,0.8860555555555556,0.8871388888888889,0.8854444444444445,0.88825,0.8895555555555555,0.8937222222222222,0.8941388888888889,0.8955,0.8958611111111111,0.8975555555555556,0.8987222222222222
0,0.7661944444444444,0.8564722222222222,0.8903333333333333,0.9039166666666668,0.9083333333333332,0.9093888888888888,0.9131944444444444,0.9131944444444444,0.9162222222222224,0.9141388888888888,0.9153611111111112,0.91425,0.9162222222222224,0.9171944444444444,0.9179444444444445,0.9193611111111112,0.9178055555555557,0.9196944444444444,0.9203333333333332,0.9196944444444444,0.9211944444444444,0.9226388888888888,0.9236111111111112,0.9225555555555556,0.9233611111111112,0.9238055555555555,0.9235,0.9248333333333332,0.9251388888888888,0.9244444444444444,0.9255277777777776,0.9259166666666668,0.9264722222222223
2,0.78675,0.8790277777777777,0.9083888888888888,0.91875,0.9222222222222224,0.9237222222222222,0.9261111111111112,0.9247777777777778,0.926,0.9260833333333334,0.9275,0.9264722222222224,0.92825,0.9271111111111112,0.9293888888888888,0.9288611111111112,0.9278333333333332,0.9291666666666668,0.9289722222222222,0.9293611111111112,0.9295277777777776,0.9315833333333332,0.9303888888888888,0.9308055555555556,0.9311111111111112,0.9309444444444444,0.93075,0.9315277777777776,0.9315833333333332,0.9324166666666668,0.9324166666666668,0.9323055555555556,0.9321944444444444
4,0.7926666666666666,0.8844166666666666,0.9141111111111112,0.9238055555555555,0.9272222222222222,0.9281388888888888,0.9286944444444444,0.9291944444444444,0.9288611111111112,0.9310277777777778,0.9307777777777778,0.9300555555555556,0.9310555555555556,0.9327222222222222,0.9316666666666666,0.9320277777777778,0.9318611111111113,0.9315555555555556,0.9321111111111112,0.9328055555555556,0.9321388888888889,0.9338055555555556,0.9335,0.9341944444444444,0.9334722222222224,0.9335833333333332,0.9336388888888888,0.9336666666666666,0.9343611111111112,0.9344444444444444,0.9348055555555556,0.9344166666666668,0.9352777777777778
6,0.7953055555555556,0.88675,0.9163888888888888,0.9267777777777778,0.92925,0.9299722222222222,0.9307222222222222,0.9303055555555556,0.9319166666666666,0.9327222222222222,0.9325277777777776,0.9323333333333332,0.9338611111111113,0.9340833333333334,0.9347777777777778,0.934,0.9324444444444444,0.9335277777777776,0.9342777777777778,0.9346388888888888,0.9344444444444444,0.9356388888888888,0.9353888888888888,0.9350555555555556,0.9353611111111112,0.9356944444444444,0.9353611111111112,0.9361666666666668,0.9366666666666666,0.9361111111111112,0.9362777777777778,0.93675,0.9367222222222222
8,0.7953055555555556,0.8900833333333333,0.9185277777777778,0.9280277777777778,0.9310277777777778,0.9311944444444444,0.9330277777777778,0.9331666666666668,0.9333611111111112,0.9346944444444444,0.9353888888888888,0.9343333333333332,0.9341388888888889,0.9351388888888889,0.9344166666666668,0.9353333333333332,0.9348611111111113,0.9347222222222222,0.9355833333333332,0.9355555555555556,0.9351111111111112,0.9364444444444444,0.9355833333333332,0.9363888888888888,0.93625,0.9359722222222222,0.9369722222222222,0.9374444444444444,0.9374722222222224,0.9373055555555556,0.9376111111111112,0.9368333333333332,0.93725
10,0.7975277777777777,0.8903611111111112,0.9188611111111112,0.9291111111111112,0.9319166666666666,0.9337222222222222,0.9336111111111112,0.9340555555555556,0.9349444444444444,0.9353333333333332,0.93625,0.9350833333333334,0.9359722222222222,0.93725,0.9367777777777778,0.9361944444444444,0.9367222222222222,0.9369166666666666,0.9366666666666666,0.9380277777777778,0.9376111111111112,0.9377777777777778,0.9383611111111112,0.9380833333333334,0.9385277777777776,0.9377777777777778,0.9379166666666666,0.9382222222222222,0.9392777777777778,0.9385833333333332,0.9385833333333332,0.9396111111111112,0.9395277777777777
12,0.7983888888888889,0.8896944444444445,0.9190555555555556,0.9277777777777778,0.9304444444444444,0.9322222222222222,0.9335555555555556,0.9335,0.9345833333333332,0.934,0.9338611111111113,0.9354722222222224,0.9363055555555556,0.93625,0.9368055555555556,0.9358611111111113,0.9362777777777778,0.9368333333333332,0.9366388888888888,0.9362777777777778,0.9368055555555556,0.9375277777777776,0.9376111111111112,0.9381111111111112,0.93775,0.9365555555555556,0.9382222222222222,0.9383055555555556,0.9390555555555556,0.9383611111111112,0.9384444444444444,0.9378611111111111,0.9386111111111111
14,0.7986944444444445,0.8892777777777777,0.9181388888888888,0.92675,0.9306944444444444,0.9323611111111112,0.9335,0.93475,0.9336388888888888,0.9351944444444444,0.9356666666666666,0.9338333333333332,0.9364166666666668,0.9365,0.9366388888888888,0.9360833333333334,0.9348611111111113,0.9350555555555556,0.9370555555555556,0.9366111111111112,0.9365277777777776,0.9396666666666668,0.9373888888888888,0.9380277777777778,0.9384166666666668,0.9393333333333334,0.9393055555555556,0.9383611111111112,0.9388055555555556,0.9391111111111112,0.9399444444444444,0.9399722222222222,0.9392222222222222
16,0.7954722222222222,0.8899166666666667,0.9184444444444444,0.9275277777777776,0.9305833333333332,0.9323611111111112,0.9334166666666668,0.9324444444444444,0.933,0.9341388888888889,0.9359166666666666,0.9358055555555556,0.9350833333333334,0.936,0.9356111111111112,0.9356111111111112,0.9357222222222222,0.9367222222222222,0.9356944444444444,0.9369444444444444,0.9373611111111112,0.9380277777777778,0.9371111111111112,0.9378333333333332,0.9375,0.9369166666666666,0.938,0.9369722222222222,0.9380833333333334,0.9386388888888888,0.9386666666666666,0.9387222222222222,0.9390277777777778
18,0.7967222222222222,0.8871388888888889,0.9170833333333334,0.9268611111111112,0.9296388888888888,0.9307777777777778,0.9324166666666668,0.9336944444444444,0.9325277777777776,0.9348055555555556,0.9332222222222222,0.9356944444444444,0.9342222222222222,0.9343888888888888,0.9353611111111112,0.9351666666666668,0.9360277777777778,0.9363055555555556,0.9351111111111112,0.9365555555555556,0.9351944444444444,0.9379166666666666,0.9376111111111112,0.9381111111111112,0.9379166666666666,0.9373611111111112,0.9376666666666666,0.9383055555555556,0.9392222222222222,0.9380833333333334,0.9396666666666668,0.9389722222222222,0.9381666666666667
Avg,0.5500361111111111,0.6097388888888889,0.6299625,0.6381305555555555,0.6417763888888889,0.6433652777777777,0.6454138888888888,0.6459680555555556,0.6470652777777778,0.6482069444444445,0.6492472222222222,0.6494458333333334,0.6507444444444445,0.6508083333333333,0.6517944444444445,0.6521472222222222,0.6524555555555556,0.6539388888888888,0.6539972222222222,0.6550125,0.6549722222222222,0.6593652777777778,0.6604597222222223,0.6610180555555556,0.6615222222222222,0.6624194444444444,0.6638097222222222,0.6669611111111111,0.6681194444444445,0.6683430555555555,0.6696611111111112,0.6720444444444444,0.6725027777777778
