SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
-20,0.1043333333333333,0.1038333333333333,0.1064722222222222,0.1040833333333333,0.10575,0.1093055555555555,0.10625,0.1083333333333333,0.1067777777777777,0.1075277777777777,0.1066388888888889,0.1090555555555555,0.1084722222222222,0.1073611111111111,0.1068055555555555,0.1085833333333333,0.1096111111111111,0.1094722222222222,0.1113055555555555,0.11125,0.1113888888888888,0.1148333333333333,0.1159166666666666,0.1160555555555555,0.1176944444444444,0.1191666666666666,0.11975
-18,0.10825,0.11125,0.1108611111111111,0.1085277777777777,0.1095555555555555,0.11075,0.1121944444444444,0.1115,0.111,0.1134166666666666,0.1133611111111111,0.11225,0.1120277777777777,0.1116666666666666,0.1119166666666666,0.113,0.1140833333333333,0.1152777777777777,0.1173888888888888,0.1143333333333333,0.1180277777777777,0.1211388888888889,0.1224722222222222,0.1223333333333333,0.1248333333333333,0.1246111111111111,0.12711111111111112
-16,0.1186388888888888,0.1179444444444444,0.1226111111111111,0.1234722222222222,0.1240277777777777,0.1231944444444444,0.1234722222222222,0.1274722222222222,0.1239444444444444,0.1281666666666666,0.1292777777777777,0.1273055555555555,0.1278055555555555,0.1285555555555555,0.1281944444444444,0.1266666666666666,0.1320555555555555,0.1329444444444444,0.1342777777777777,0.13725,0.1373611111111111,0.1364166666666666,0.1391666666666666,0.1408055555555555,0.1393055555555555,0.1453055555555555,0.14566666666666667
-14,0.1411944444444444,0.1507777777777778,0.1535555555555555,0.157,0.1598055555555555,0.1597777777777777,0.1585,0.1581666666666666,0.1642222222222222,0.16225,0.1617222222222222,0.1663611111111111,0.1615277777777777,0.1666666666666666,0.1636111111111111,0.1661388888888889,0.1671111111111111,0.1716666666666666,0.1698055555555555,0.17175,0.1747777777777777,0.1770277777777777,0.1773888888888889,0.1786666666666666,0.1800833333333333,0.1841388888888888,0.18325
-12,0.2042777777777777,0.2211388888888888,0.2154444444444444,0.2121944444444444,0.2179444444444444,0.21775,0.2182777777777777,0.2161944444444444,0.221,0.2195277777777777,0.2217777777777777,0.2175277777777777,0.2213611111111111,0.2228055555555555,0.222,0.2268333333333333,0.2275833333333333,0.2312222222222222,0.2340555555555555,0.2325,0.2370833333333333,0.2396666666666666,0.2402222222222222,0.2426666666666666,0.2454444444444444,0.2508888888888889,0.24972222222222223
-10,0.2921388888888889,0.3105555555555555,0.3104166666666667,0.30025,0.3011944444444444,0.3065277777777778,0.3105,0.3135,0.3148888888888889,0.3229166666666667,0.3186666666666666,0.3221388888888888,0.3243611111111111,0.3251944444444444,0.3226111111111111,0.3256666666666666,0.3324166666666667,0.3359166666666666,0.341,0.3348055555555556,0.3398888888888889,0.3472222222222222,0.3507222222222222,0.3537777777777778,0.3527222222222222,0.3576388888888889,0.3627222222222222
-8,0.3781111111111111,0.4051944444444444,0.4150555555555555,0.4325277777777778,0.4298055555555555,0.4269166666666666,0.4315555555555556,0.4321944444444444,0.4395277777777778,0.4396388888888889,0.4440555555555555,0.443,0.4490555555555555,0.4497777777777778,0.4503333333333333,0.45425,0.4611944444444444,0.4677777777777778,0.4679444444444444,0.4686944444444444,0.4768055555555555,0.4830277777777778,0.48775,0.4926944444444444,0.4929722222222222,0.4991111111111111,0.4995
-6,0.4903333333333333,0.5248611111111111,0.54175,0.5670555555555555,0.5784444444444444,0.5873333333333334,0.5871111111111111,0.59175,0.5955555555555555,0.60125,0.6026944444444444,0.6079444444444444,0.60775,0.6116388888888888,0.6132222222222222,0.6155,0.6295555555555555,0.6300833333333333,0.6330555555555556,0.6400833333333333,0.6419444444444444,0.6498333333333334,0.6548333333333334,0.65625,0.6568333333333334,0.6651111111111111,0.6695277777777778
-4,0.60425,0.6693888888888889,0.6968333333333333,0.7238333333333333,0.7387222222222222,0.7492777777777778,0.7533888888888889,0.7607777777777778,0.765,0.7711944444444444,0.7736388888888889,0.7756944444444445,0.7800833333333334,0.7820277777777778,0.7838055555555555,0.7855277777777778,0.7981666666666667,0.802,0.8046111111111112,0.8049444444444445,0.8066111111111111,0.8156666666666667,0.8175277777777777,0.8197222222222222,0.8215555555555556,0.8264166666666667,0.8281944444444445
-2,0.6844722222222223,0.7690277777777778,0.8113055555555555,0.8501111111111112,0.8608888888888889,0.8693333333333333,0.8720833333333333,0.87375,0.879,0.8830555555555556,0.8839722222222223,0.8856944444444445,0.888,0.8876666666666667,0.8895,0.8915277777777778,0.8974722222222222,0.8990833333333333,0.8981944444444444,0.9000277777777778,0.89925,0.9045833333333332,0.9051388888888888,0.9038333333333334,0.9064722222222222,0.9085555555555556,0.91025
