SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
-20,0.1051111111111111,0.1061944444444444,0.1057222222222222,0.1063888888888889,0.1051388888888888,0.10625,0.1071666666666666,0.1050277777777777,0.1050555555555555,0.1053333333333333,0.1048055555555555,0.1076666666666666,0.1087222222222222,0.1078611111111111,0.1091388888888888,0.1109722222222222,0.1085277777777777,0.1110555555555555,0.1104444444444444,0.1114166666666666,0.1166388888888888,0.1141388888888888,0.1165555555555555,0.1158333333333333,0.1176388888888888,0.11797222222222223
-18,0.1070555555555555,0.1079166666666666,0.1139444444444444,0.1102777777777777,0.1077777777777777,0.1127222222222222,0.1094722222222222,0.1107777777777777,0.1118055555555555,0.1095277777777777,0.1115,0.1131666666666666,0.1116111111111111,0.1118055555555555,0.1115277777777777,0.1108888888888888,0.1149166666666666,0.1153888888888888,0.1157777777777777,0.1158888888888888,0.1198055555555555,0.1194166666666666,0.1218888888888889,0.1211666666666666,0.1210555555555555,0.125
-16,0.11625,0.1194722222222222,0.1225833333333333,0.1242222222222222,0.1235555555555555,0.1238333333333333,0.1224444444444444,0.1215277777777777,0.1253333333333333,0.12575,0.1238055555555555,0.1255555555555555,0.1241111111111111,0.1254444444444444,0.1284722222222222,0.1304166666666666,0.1291666666666666,0.1323888888888889,0.1338611111111111,0.1316388888888889,0.1345,0.1360277777777777,0.1369166666666666,0.137,0.1411388888888889,0.14308333333333334
-14,0.1391944444444444,0.1516944444444444,0.15275,0.1593333333333333,0.1584722222222222,0.1594166666666666,0.1590555555555555,0.1577222222222222,0.1578611111111111,0.1593611111111111,0.1603611111111111,0.1611388888888889,0.1622777777777777,0.1631388888888889,0.1653333333333333,0.1683333333333333,0.1692777777777777,0.1700833333333333,0.1694444444444444,0.1676944444444444,0.17625,0.1754722222222222,0.176,0.1753055555555555,0.1813055555555555,0.18175
-12,0.2068055555555555,0.2236666666666666,0.2100555555555555,0.2123611111111111,0.2141388888888888,0.217,0.2177777777777777,0.2196944444444444,0.2216666666666666,0.2241666666666666,0.2185277777777777,0.2237222222222222,0.2204166666666666,0.2216111111111111,0.2211111111111111,0.2272222222222222,0.2285,0.2279444444444444,0.2309166666666666,0.2267777777777777,0.2360555555555555,0.2369722222222222,0.2384166666666666,0.2403333333333333,0.2391666666666666,0.24380555555555555
-10,0.2953055555555555,0.31125,0.3033333333333333,0.3002777777777777,0.3045555555555556,0.3121388888888889,0.3120833333333333,0.3152222222222222,0.3154166666666667,0.3228888888888889,0.3205555555555555,0.3195555555555555,0.3245555555555555,0.3239166666666667,0.3256388888888888,0.3314722222222222,0.3345,0.3359722222222222,0.3354444444444444,0.3359722222222222,0.3436388888888889,0.3443055555555555,0.3506388888888889,0.3488611111111111,0.3508611111111111,0.355
-8,0.3789722222222222,0.3981388888888889,0.42125,0.4248611111111111,0.4246111111111111,0.4291388888888889,0.4290833333333333,0.4333055555555555,0.4325277777777778,0.4391944444444444,0.4405,0.4460277777777778,0.4463611111111111,0.4496388888888888,0.45025,0.45975,0.4636111111111111,0.4653055555555555,0.4650555555555555,0.4701111111111111,0.4755833333333333,0.4816666666666667,0.4836111111111111,0.4880833333333333,0.4935555555555556,0.48841666666666667
-6,0.4889444444444444,0.5257222222222222,0.5564166666666667,0.5745833333333333,0.5804444444444444,0.5840277777777778,0.5875555555555556,0.5911666666666666,0.5950833333333333,0.5963611111111111,0.6006111111111111,0.6061111111111112,0.6053611111111111,0.6089722222222222,0.6110277777777777,0.6238611111111111,0.6266944444444444,0.6293888888888889,0.6299444444444444,0.6338055555555555,0.6423333333333333,0.6458055555555555,0.6493333333333333,0.6531111111111111,0.6601388888888889,0.6630277777777778
-4,0.603,0.6615,0.7052777777777778,0.7296388888888888,0.7437777777777778,0.7513055555555556,0.7550833333333333,0.7588888888888888,0.7626388888888889,0.7663055555555556,0.7696666666666667,0.774,0.7758333333333334,0.7781388888888889,0.7848888888888889,0.7942777777777777,0.7995833333333333,0.8015833333333333,0.8034444444444444,0.804,0.8159166666666666,0.8172777777777778,0.8185555555555556,0.8192777777777778,0.8270555555555555,0.8283333333333334
-2,0.6836111111111111,0.7614166666666666,0.8238888888888889,0.8506111111111111,0.8611111111111112,0.8667222222222222,0.8696944444444444,0.8749166666666667,0.8761388888888889,0.8777777777777778,0.8818888888888889,0.88225,0.8843055555555556,0.8871944444444444,0.8878888888888888,0.8936388888888889,0.8952777777777777,0.8978611111111111,0.8996944444444445,0.8990277777777778,0.9036944444444444,0.9040833333333332,0.9046944444444444,0.9041388888888888,0.9075277777777778,0.9071388888888889
