dataset,variant,seed,overall,low_snr,high_snr,run_dir
2016.10a,conv_k3,1,0.628,0.3891322314049587,0.9179999999999999,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-conv_k3_seed1
2016.10a,conv_k3,2,0.6305681818181819,0.3873553719008264,0.925,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-conv_k3_seed2
2016.10a,conv_k3,3,0.6338863636363636,0.39475206611570246,0.9246363636363636,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-conv_k3_seed3
2016.10a,conv_k3,4,0.6282727272727273,0.3886363636363636,0.9195,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-conv_k3_seed4
2016.10a,conv_k3,5,0.6315227272727273,0.39487603305785124,0.9186818181818183,logs/model_2016.10a_60_1024_0.001_IQFormerLite_lkf-conv_k3_seed5
2016.10b,conv_k3,1,0.6757125,0.4621515151515151,0.9355333333333334,logs/model_2016.10b_60_1024_0.001_IQFormerLite_lkf-conv_k3_seed1
2016.10b,conv_k3,2,0.6819375,0.4731818181818181,0.9358916666666668,logs/model_2016.10b_60_1024_0.001_IQFormerLite_lkf-conv_k3_seed2
2016.10b,conv_k3,3,0.6801166666666667,0.4703257575757575,0.9352083333333334,logs/model_2016.10b_60_1024_0.001_IQFormerLite_lkf-conv_k3_seed3
2016.10b,conv_k3,4,0.6839166666666666,0.4769469696969697,0.935675,logs/model_2016.10b_60_1024_0.001_IQFormerLite_lkf-conv_k3_seed4
2016.10b,conv_k3,5,0.6827333333333333,0.47462878787878787,0.9358416666666667,logs/model_2016.10b_60_1024_0.001_IQFormerLite_lkf-conv_k3_seed5
