SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
-20,0.095,0.0936363636363636,0.0945454545454545,0.0924242424242424,0.0968181818181818,0.0948484848484848,0.0963636363636363,0.0948484848484848,0.0957575757575757,0.0943939393939393,0.0959090909090909,0.0948484848484848,0.0971212121212121,0.098030303030303,0.0984848484848484,0.096060606060606,0.0978787878787878,0.0971212121212121,0.0989393939393939,0.0978787878787878,0.098030303030303,0.099090909090909,0.1,0.1031818181818181,0.1042424242424242,0.1031818181818181,0.109090909090909,0.1072727272727272,0.1104545454545454,0.1133333333333333,0.1131818181818181,0.1177272727272727,0.1193939393939394,0.1190909090909091,0.12015151515151515
-18,0.0942424242424242,0.0974242424242424,0.0945454545454545,0.0957575757575757,0.0971212121212121,0.0966666666666666,0.1,0.0971212121212121,0.0968181818181818,0.099090909090909,0.0984848484848484,0.0986363636363636,0.0981818181818181,0.0968181818181818,0.0993939393939394,0.1003030303030303,0.0959090909090909,0.1009090909090909,0.1018181818181818,0.0998484848484848,0.1004545454545454,0.1013636363636363,0.1013636363636363,0.1059090909090909,0.1053030303030303,0.1069696969696969,0.108030303030303,0.1103030303030303,0.1145454545454545,0.115,0.1193939393939394,0.1201515151515151,0.1218181818181818,0.1253030303030303,0.12484848484848485
-16,0.0927272727272727,0.0959090909090909,0.0989393939393939,0.0989393939393939,0.1001515151515151,0.1024242424242424,0.1021212121212121,0.1007575757575757,0.1021212121212121,0.1001515151515151,0.1013636363636363,0.1028787878787878,0.1034848484848484,0.1043939393939394,0.1051515151515151,0.1042424242424242,0.1075757575757575,0.105,0.105,0.1093939393939393,0.1040909090909091,0.1095454545454545,0.1103030303030303,0.1154545454545454,0.114090909090909,0.1228787878787878,0.1198484848484848,0.1215151515151515,0.1268181818181818,0.1296969696969697,0.1286363636363636,0.1351515151515151,0.1381818181818181,0.1457575757575757,0.14681818181818182
-14,0.1068181818181818,0.1174242424242424,0.1209090909090909,0.1266666666666666,0.1234848484848484,0.1304545454545454,0.1296969696969697,0.1296969696969697,0.1316666666666666,0.1312121212121212,0.1336363636363636,0.1303030303030303,0.1354545454545454,0.1377272727272727,0.1340909090909091,0.1365151515151515,0.1324242424242424,0.141060606060606,0.1398484848484848,0.1424242424242424,0.1357575757575757,0.1451515151515151,0.1418181818181818,0.1533333333333333,0.1525757575757576,0.156060606060606,0.1583333333333333,0.154090909090909,0.1722727272727272,0.1736363636363636,0.1757575757575757,0.1748484848484848,0.1859090909090909,0.1896969696969697,0.18696969696969698
-12,0.1327272727272727,0.1609090909090909,0.1756060606060606,0.1763636363636363,0.1798484848484848,0.1734848484848485,0.1759090909090909,0.1813636363636363,0.1854545454545454,0.181060606060606,0.1875757575757575,0.1854545454545454,0.183030303030303,0.1851515151515151,0.1828787878787879,0.1865151515151515,0.1890909090909091,0.1834848484848484,0.1936363636363636,0.196060606060606,0.1948484848484848,0.1912121212121212,0.1893939393939394,0.2063636363636363,0.2103030303030303,0.209090909090909,0.2121212121212121,0.2171212121212121,0.2286363636363636,0.2353030303030303,0.2301515151515151,0.2368181818181818,0.251060606060606,0.2457575757575757,0.24803030303030302
-10,0.2033333333333333,0.2522727272727272,0.2628787878787879,0.2622727272727272,0.2592424242424242,0.2640909090909091,0.2622727272727272,0.2548484848484848,0.2584848484848485,0.2596969696969697,0.2527272727272727,0.2672727272727273,0.2659090909090909,0.2653030303030303,0.2695454545454545,0.2774242424242424,0.2643939393939394,0.2751515151515151,0.2777272727272727,0.2848484848484848,0.2803030303030303,0.2845454545454545,0.2846969696969696,0.3069696969696969,0.3072727272727272,0.3116666666666666,0.3224242424242424,0.3224242424242424,0.3416666666666667,0.3506060606060606,0.3490909090909091,0.358030303030303,0.3631818181818181,0.3768181818181818,0.3743939393939394
-8,0.3086363636363636,0.3548484848484848,0.3609090909090909,0.3704545454545455,0.3775757575757575,0.3877272727272727,0.3828787878787879,0.3916666666666666,0.3987878787878788,0.3953030303030303,0.3966666666666666,0.3962121212121212,0.4006060606060606,0.4028787878787879,0.403030303030303,0.411060606060606,0.4151515151515151,0.4183333333333333,0.4298484848484848,0.425,0.4333333333333333,0.4395454545454546,0.4459090909090909,0.4575757575757576,0.4722727272727273,0.4731818181818182,0.4792424242424242,0.4756060606060606,0.5046969696969696,0.5098484848484849,0.5128787878787879,0.5256060606060606,0.5387878787878788,0.5434848484848485,0.5395454545454546
-6,0.4221212121212121,0.4777272727272727,0.498030303030303,0.5122727272727273,0.5237878787878788,0.5442424242424242,0.5557575757575758,0.5665151515151515,0.5672727272727273,0.5781818181818181,0.575,0.583030303030303,0.5921212121212122,0.5918181818181818,0.5933333333333334,0.6006060606060606,0.5996969696969697,0.6036363636363636,0.6066666666666667,0.6193939393939394,0.6143939393939394,0.616969696969697,0.6201515151515151,0.64,0.6463636363636364,0.6489393939393939,0.6554545454545454,0.6553030303030303,0.6822727272727273,0.6903030303030303,0.6924242424242424,0.693939393939394,0.7077272727272728,0.7087878787878787,0.7168181818181818
-4,0.5392424242424242,0.6121212121212121,0.6207575757575757,0.6401515151515151,0.6606060606060606,0.6677272727272727,0.6757575757575758,0.6862121212121212,0.693939393939394,0.703939393939394,0.7101515151515152,0.7156060606060606,0.7272727272727273,0.7322727272727273,0.735909090909091,0.7401515151515151,0.7471212121212121,0.746969696969697,0.7489393939393939,0.7587878787878788,0.76,0.7606060606060606,0.7724242424242425,0.7912121212121213,0.7945454545454546,0.7956060606060606,0.7983333333333333,0.8015151515151515,0.8183333333333334,0.8253030303030303,0.8301515151515152,0.8306060606060606,0.8353030303030303,0.8418181818181818,0.8415151515151515
-2,0.6268181818181818,0.7118181818181818,0.7327272727272728,0.7503030303030302,0.7715151515151515,0.7766666666666666,0.7966666666666666,0.8043939393939394,0.8145454545454546,0.8175757575757576,0.8215151515151515,0.8287878787878787,0.8309090909090909,0.8362121212121212,0.838939393939394,0.8498484848484849,0.8442424242424242,0.8515151515151516,0.8510606060606061,0.8521212121212122,0.8553030303030303,0.8618181818181818,0.8575757575757575,0.8742424242424243,0.8746969696969698,0.8756060606060606,0.871969696969697,0.8774242424242424,0.8833333333333333,0.8836363636363637,0.8860606060606061,0.8895454545454545,0.8930303030303031,0.8918181818181818,0.8924242424242425
0,0.6795454545454546,0.7565151515151515,0.7954545454545454,0.8196969696969697,0.8248484848484848,0.8465151515151516,0.8565151515151516,0.8677272727272727,0.871969696969697,0.8777272727272727,0.8793939393939394,0.8827272727272727,0.8863636363636364,0.8865151515151515,0.8901515151515151,0.8901515151515151,0.8951515151515151,0.8928787878787878,0.89,0.8978787878787878,0.9007575757575758,0.8981818181818182,0.8954545454545455,0.9074242424242424,0.9056060606060606,0.9043939393939394,0.9045454545454544,0.9074242424242424,0.912121212121212,0.911818181818182,0.9103030303030304,0.9065151515151516,0.9136363636363636,0.9107575757575758,0.9113636363636364
